0|arte astratta
11D13153|unicorno come simbolo di Cristo
11D132|simboli di Cristo ~ piante
11D133|simboli di Cristo ~ oggetti
11D1331|'Etimasia', il trono di Cristo, vuoto, con il libro della vita
11D134|pane e pesce ~ simboli di Cristo
11D14|prefigurazioni di Cristo, Cristo e le sue prefigurazioni
11D15|l'Incarnazione ~ Cristo
11D2|Gesù Bambino o giovane (in generale) ~ religione cristiana
11D21|Gesù Bambino (con attributi)
11D22|Gesù Bambino ~ tipologie iconografiche del Cristo adulto
11D23|Gesù Bambino ~ Passione, 'Schmerzenskind'
11D231|Gesù Bambino medita sugli strumenti della Passione
11D232|Gesù Bambino attorniato dagli strumenti della Passione
11D233|Gesù Bambino porta gli strumenti della Passione
11D234|Gesù Bambino mostra le cinque piaghe
11D235|Gesù Bambino cinto dalla corona di spine, o da ramoscelli spinosi
11D236|Gesu Bambino porta la croce
11D237|Gesù Bambino in ginocchio davanti alla croce
11D238|Gesù Bambino che dorme sulla croce
11D24|Gesù Bambino come simbolo eucaristico
11D241|Gesù Bambino nel calice o sul calice
11D2411|'Melismos' ~ Gesù Bambino come simbolo eucaristico
11D242|Gesù Bambino nel mulino mistico
11D25|Gesù Bambino insieme ad altri personaggi
11D26|Cristo giovane
11D261|Cristo 'Emanuele'
11D3|Cristo adulto
11D31|'ritratti' di Cristo
11D311|'Mandylion', ovvero il ritratto che si dice sia stato realizzato per il re Abgar di Edessa da Cristo stesso asciugandosi il volto sul velo
11D3111|Cristo consegna il Mandylion al messaggero del re Abgar
11D3112|il Mandylion è portato ad Edessa
11D312|'Vera Icon', 'Sudarium', velo della Veronica
11D3121|'Vera Icon', sostenuta dalla Veronica
11D3122|'Vera Icon', sostenuta dagli angeli
11D3123|'Vera Icon' sostenuta da altri personaggi, p.es. San Pietro e San Paolo
11D3124|'Vera Icona' sostenuta dai quattro simboli degli evangelisti
11D313|il 'ritratto' di Cristo secondo l'epistola di Lentulo
11D314|'Volto Santo', p.es. di Lucca (attribuito a Nicodemo)
11D315|il ritratto di Cristo dipinto da San Luca
11D316|ex-voto della Emorroissa guarita
11D317|immagine di Cristo sul sudario (a figura intera), 'Sindone'
11D318|(altri) 'ritratti' di Cristo, p.es. ritratto di profilo
11D32|tipologie particolari del Cristo adulto (senza altri personaggi)
11D321|'Majestas Domini': Cristo nella mandorla seduto sull'arcobaleno o sulla sfera con il Tetramorfo
11D322|Cristo in trono
11D3221|'Pantocrator', (busto di) Cristo, in atto di parlare o benedire, con in mano un libro
11D3222|'Christus Rex'
11D3223|Cristo giudice (celeste)
11D323|Cristo 'Logos', Verbo Incarnato
11D324|'Salvator Mundi', in atto di benedire; ha il globo in mano o ai suoi piedi
11D325|Cristo ~ Eucaristia
11D3251|Cristo con il calice e il pane o l'ostia
11D3252|Cristo nel torchio, 'Christus in der Kelter' (Is. 63, 3)
11D3253|Cristo nel mulino mistico
11D326|'Fons Vitae', 'Fons Pietatis'
11D3261|Cristo in piedi sopra o vicino a una fontana, che versa il suo sangue
11D3262|Cristo crocifisso (in una fontana), che versa il suo sangue
11D327|Cristo ~ attività umane
11D3271|Cristo Buon Pastore
11D3272|Cristo medico
11D32721|Cristo farmacista
11D3273|Cristo pescatore
11D3274|Cristo venditore ambulante
11D3275|Cristo agricoltore o giardiniere
11D3276|Cristo oste
11D3277|Cristo (sommo) sacerdote o profeta
11D3278|Cristo pellegrino
11D3279|'Feiertagschristus', Cristo con gli arnesi da artigiano
11D328|altre tipologie di Cristo adulto (senza altri personaggi)
11D3281|Cristo come donna
11D3282|Cristo in atteggiamento orante
11D3283|Cristo come angelo
11D3284|Cristo ~ Orfeo
11D3285|Cristo ~ Apollo (Helios)
11D33|Cristo adulto insieme ad altri personaggi (in contesto non narrativo)
11D331|Cristo adulto con Maria Vergine
11D3311|Cristo adulto con Maria Vergine come sposo e sposa
11D332|Cristo adulto con angeli
11D333|Cristo adulto ~ diavolo e creature demoniache
11D3331|Cristo trionfa sul/i demonio/i
11D334|Cristo adulto insieme agli apostoli, evangelisti, santi, ecc.
11D3341|Cristo con San Giovanni Evangelista; questi tiene il capo sul suo petto, 'Johannesminne', 'Christus-Johannes-Gruppe'
11D3342|'Traditio legis', 'Dominus legem dat', ovvero Cristo consegna un cartiglio (la Legge) a San Paolo alla presenza di San Pietro
11D33421|Cristo consegna il cartiglio (la Legge) a San Paolo alla presenza degli apostoli
11D3343|Cristo con i peccatori penitenti (Adamo, David, il figliol prodigo, Santa Maria Maddalena, il buon ladrone, San Pietro, ecc.)
11D335|Cristo adulto con figure di mortali
11D3351|Cristo appare ai mortali
11D336|Cristo in trionfo, ovvero Cristo sul carro trionfale
11D337|Cristo a cavallo
11D3371|Cristo a cavallo mentre guida un esercito di cavalieri, 'Militia Christi'
11D34|Cristo adulto ~ concettualizzazioni
11D35|tipologie specifiche del Cristo crocifisso (non in contesto narrativo)
11D351|Cristo sofferente (con la corona di spine, il capo generalmente reclinato da un lato, 'Christus patients')
11D352|Cristo ricoperto di piaghe della peste, 'Pestkruzifixus'
11D353|Cristo trionfante (con la corona di spine, il capo generalmente eretto, 'Christus triumphans')
11D354|Cristo si stacca dalla croce per abbracciare qualcuno
11D355|Cristo crocifisso sull'albero o sulla vite
11D356|Cristo crocifisso sulla croce 'vivente'
11D357|le Virtù ~ Cristo crocifisso
11D36|altre tipologie del Cristo crocifisso in contesto non narrativo
11D4|leggende e devozioni ~ Cristo
11D41|leggende ~ Cristo
11D411|la leggenda della Vera Croce
11D4111|Seth pone un ramo dell'albero della Conoscenza sulla tomba di Adamo ~ leggenda della Vera Croce
11D41111|Seth alla ricerca del Paradiso; l'angelo gli consegna un ramoscello o una fiaschetta di olio ~ leggenda della Vera Croce
11D4112|il legno viene usato per la costruzione del tempio di Salomone ~ leggenda della Vera Croce
11D4113|il legno, utilizzato come ponte, è venerato dalla regina di Saba ~ leggenda della Vera Croce
11D4114|il legno tolto dalla piscina di Bethesaida è utilizzato per la croce di Cristo ~ leggenda della Vera Croce
11D4115|visione di Sant'Elena della Santa Croce portata dagli angeli ~ leggenda della Vera Croce
11D4116|ritrovamento, invenzione della Vera Croce
11D41161|Sant'Elena, madre di Costantinno, fa gettare Giuda, un Ebreo, nel pozzo ~ leggenda della Vera Croce
11D41162|le tre croci vengono dissotterrare vicino al tempio di Venere ~ leggenda de la Vera Croce
11D41163|Sant'Elena identifica la Vera Croce: un cadavere viene riportato alla vita al contatto della croce
11D41164|Sant'Elena e Costantino si inginocchiano davanti (o stanno in piedi vicino) alla Vera Croce
11D4117|erezione della Vera Croce, esaltazione della Santa Croce
11D41171|l'Imperatore Eraclio sconfigge Cosroe II di Persia, e recupera una parte della Vera Croce
11D41172|ingresso dell'imperatore Eraclio in Gerusalemme: come richiestogli da un angelo, l'imperatore, si spoglia dei suoi abiti regali e trasporta la Vera Croce in città
11D411721|ingresso dell'imperatore Eraclio in Gerusalemme: l'imperatore cavalca un asino, o un cavallo ~ leggenda della Vera Croce
11D41173|la Vera Croce viene eretta sul Golgota (o su un altare) ~ leggenda della Vera Croce
11D41174|Cosroe II, avendo rifiutato il battesimo, viene giustiziato ~ leggenda della Vera Croce
11D412|la leggenda della Santa Lancia sanguinante
11D413|la leggenda del Santo Graal
11D414|la profezia di Basilide: sulla via di Gerusalemme, l'imperatore Tito consulta il Carmelitano Basilide, che gli indica la visione di Dio Padre con il Cristo morto
11D42|devozione ~ Cristo
11D421|le Sette Effusioni del sangue di Cristo
11D4211|singole scene ~ le Sette Effusioni del sangue di Cristo
11D422|il Sacro Cuore
11D423|il Sacro Sangue
11D424|la Lacrima di Cristo
11D425|la Misura di Cristo
11D43|le reliquie ~ Cristo
11D431|le schegge della croce ~ reliquie di Cristo
11D432|i chiodi della croce ~ reliquie di Cristo
11D433|la Santa Lancia ~ reliquie di Cristo
11D434|la tunica di Cristo ~ reliquie di Cristo
11D435|Scala Santa, le scale del palazzo di Pilato ~ reliquie di Cristo
11D5|concetti mistici ~ Cristo
11D51|Cristo e l'Anima
11D511|l'Anima come sposa di Cristo
11D52|Cristo e il cuore umano
11D53|il sangue di Cristo che salva l'umanità
11D6|statue miracolose di Cristo o di Gesù Bambino
11D6(...)|statue miracolose di Cristo o di Gesù Bambino (col NOME)
11D9|l'Anticristo
11D91|scene della vita dell'Anticristo
11DD3|Cristo adulto - DD - Cristo senza barba
11DD31|'ritratti' di Cristo - DD - Cristo senza barba
11DD311|'Mandylion', ovvero il ritratto che si dice sia stato realizzato per il re Abgar di Edessa da Cristo stesso asciugandosi il volto sul velo - DD - Cristo senza barba
11DD3111|Cristo consegna il Mandylion al messaggero del re Abgar - DD - Cristo senza barba
11DD3112|il Mandylion è portato ad Edessa - DD - Cristo senza barba
11DD312|'Vera Icon', 'Sudarium', velo della Veronica - DD - Christus triumphans
11DD3121|'Vera Icon', sostenuta dalla Veronica - DD - Christus triumphans
11DD3122|'Vera Icon', sostenuta dagli angeli - DD - Christus triumphans
11DD3123|'Vera Icon' sostenuta da altri personaggi, p.es. San Pietro e San Paolo - DD - Christus triumphans
11DD313|il 'ritratto' di Cristo secondo l'epistola di Lentulo - DD - Cristo senza barba
11DD314|'Volto Santo', p.es. di Lucca (attribuito a Nicodemo) - DD - Cristo senza barba
11DD315|il ritratto di Cristo dipinto da San Luca - DD - Cristo senza barba
11DD316|ex-voto della Emorroissa guarita - DD - Cristo senza barba
11DD317|immagine di Cristo sul sudario (a figura intera), 'Sindone' - DD - Cristo senza barba
11DD318|(altri) 'ritratti' di Cristo, p.es. ritratto di profilo - DD - Cristo senza barba
11DD32|tipologie particolari del Cristo adulto (senza altri personaggi) - DD - Cristo senza barba
11DD321|'Majestas Domini': Cristo nella mandorla seduto sull'arcobaleno o sulla sfera con il Tetramorfo - DD - Cristo senza barba
11DD322|Cristo in trono - DD - Cristo senza barba
11DD3221|'Pantocrator', (busto di) Cristo, in atto di parlare o benedire, con in mano un libro - DD - Cristo senza barba
11DD3222|'Christus Rex' - DD - Cristo senza barba
11DD3223|Cristo giudice (celeste) - DD - Cristo senza barba
11DD323|Cristo 'Logos', Verbo Incarnato - DD - Cristo senza barba
11DD324|'Salvator Mundi', in atto di benedire; ha il globo in mano o ai suoi piedi - DD - Cristo senza barba
11DD325|Cristo ~ Eucaristia - DD - Cristo senza barba
11DD3251|Cristo con il calice e il pane o l'ostia - DD - Cristo senza barba
11DD3252|Cristo nel torchio, 'Christus in der Kelter' (Is. 63, 3) - DD - Cristo senza barba
11DD3253|Cristo nel mulino mistico - DD - Cristo senza barba
11DD326|'Fons Vitae', 'Fons Pietatis' - DD - Cristo senza barba
11DD3261|Cristo in piedi sopra o vicino a una fontana, che versa il suo sangue - DD - Cristo senza barba
11DD3262|Cristo crocifisso (in una fontana), che versa il suo sangue - DD - Cristo senza barba
11DD327|Cristo ~ attività umane - DD - Cristo senza barba
11DD3271|Cristo Buon Pastore - DD - Cristo senza barba
11DD3272|Cristo medico - DD - Cristo senza barba
11DD32721|Cristo farmacista - DD - Cristo senza barba
11DD3273|Cristo pescatore - DD - Cristo senza barba
11DD3274|Cristo venditore ambulante - DD - Cristo senza barba
11DD3275|Cristo agricoltore o giardiniere - DD - Cristo senza barba
11DD3276|Cristo oste - DD - Cristo senza barba
11DD3277|Cristo (sommo) sacerdote o profeta - DD - Cristo senza barba
11DD3278|Cristo pellegrino - DD - Cristo senza barba
11DD3279|'Feiertagschristus', Cristo con gli arnesi da artigiano - DD - Cristo senza barba
11DD328|altre tipologie di Cristo adulto (senza altri personaggi) - DD - Cristo senza barba
11DD3281|Cristo come donna - DD - Cristo senza barba
11DD3282|Cristo in atteggiamento orante - DD - Cristo senza barba
11DD3283|Cristo come angelo - DD - Cristo senza barba
11DD3284|Cristo ~ Orfeo - DD - Cristo senza barba
11DD3285|Cristo ~ Apollo (Helios) - DD - Cristo senza barba
11DD33|Cristo adulto insieme ad altri personaggi (in contesto non narrativo) - DD - Cristo senza barba
11DD331|Cristo adulto con Maria Vergine - DD - Cristo senza barba
11DD3311|Cristo adulto con Maria Vergine come sposo e sposa - DD - Cristo senza barba
11DD332|Cristo adulto con angeli - DD - Cristo senza barba
11DD333|Cristo adulto ~ diavolo e creature demoniache - DD - Cristo senza barba
11DD3331|Cristo trionfa sul/i demonio/i - DD - Cristo senza barba
11DD334|Cristo adulto insieme agli apostoli, evangelisti, santi, ecc. - DD - Cristo senza barba
11DD3341|Cristo con San Giovanni Evangelista; questi tiene il capo sul suo petto, 'Johannesminne', 'Christus-Johannes-Gruppe' - DD - Cristo senza barba
11DD3342|'Traditio legis', 'Dominus legem dat', ovvero Cristo consegna un cartiglio (la Legge) a San Paolo alla presenza di San Pietro - DD - Cristo senza barba
11DD33421|Cristo consegna il cartiglio (la Legge) a San Paolo alla presenza degli apostoli - DD - Cristo senza barba
11DD3343|Cristo con i peccatori penitenti (Adamo, David, il figliol prodigo, Santa Maria Maddalena, il buon ladrone, San Pietro, ecc.) - DD - Cristo senza barba
11DD335|Cristo adulto con figure di mortali - DD - Cristo in atteggiamento sdegnoso, minaccioso, ecc.
11DD3351|Cristo appare ai mortali - DD - Cristo in atteggiamento sdegnoso, minaccioso, ecc.
11DD336|Cristo in trionfo, ovvero Cristo sul carro trionfale - DD - Cristo senza barba
11DD337|Cristo a cavallo - DD - Cristo senza barba
11DD3371|Cristo a cavallo mentre guida un esercito di cavalieri, 'Militia Christi' - DD - Cristo senza barba
11DD34|Cristo adulto ~ concettualizzazioni - DD - Cristo senza barba
11DD35|tipologie specifiche del Cristo crocifisso (non in contesto narrativo) - DD - Cristo senza barba
11DD351|Cristo sofferente (con la corona di spine, il capo generalmente reclinato da un lato, 'Christus patients') - DD - Cristo senza barba
11DD352|Cristo ricoperto di piaghe della peste, 'Pestkruzifixus' - DD - Cristo senza barba
11DD353|Cristo trionfante (con la corona di spine, il capo generalmente eretto, 'Christus triumphans') - DD - Cristo senza barba
11DD354|Cristo si stacca dalla croce per abbracciare qualcuno - DD - Cristo senza barba
11DD355|Cristo crocifisso sull'albero o sulla vite - DD - Cristo senza barba
11DD356|Cristo crocifisso sulla croce 'vivente' - DD - Cristo senza barba
11DD357|le Virtù ~ Cristo crocifisso - DD - Cristo senza barba
11DD36|altre tipologie del Cristo crocifisso in contesto non narrativo - DD - Cristo senza barba
11DD422|il Sacro Cuore - DD - Gesù Bambino e il Sacro Cuore
11E|lo Spirito Santo
11E1|lo Spirito Santo rappresentato come colomba (tra le fiamme)
11E2|lo Spirito Santo rappresentato in forma di fiamme
11E3|lo Spirito Santo rappresentato in sembianze umane
11E4|Spirito Santo rappresentato in altro modo, p.es. raggio/i di luce
11E5|i sette doni dello Spirito Santo
11E51|i sette doni dello Spirito Santo rappresentati come sette colombe
11E52|i sette doni dello Spirito Santo rappresentato come sette fiamme
11E53|i sette doni dello Spirito Santo rappresentati come sette lampade o come caldelabro a sette bracci
11E54|singole rappresentazioni dei sette doni dello Spirito Santo
11E541|'Sapientia', Sapienza; 'Sapienza divina' (Ripa) ~ uno dei sette doni dello Spirito Santo
11E542|'Intellectus', 'Intelligentia', Intelletto ~ uno dei sette doni dello Spirito Santo
11E543|'Consilium', Consiglio ~ uno dei sette doni dello Spirito Santo
11E544|'Fortitudo', Fortezza ~ uno dei sette doni dello Spirito Santo
11E545|'Pietas', Pietà ~ uno dei sette doni dello Spirito Santo
11E546|'Scientia', Conoscenza ~ uno dei sette doni dello Spirito Santo
11E547|'Timor Domini', Timore di Dio ~ uno dei sette doni dello Spirito Santo
11F|Maria Vergine
11F1|simboli e prefigurazioni di Maria Vergine
11F11|simboli di Maria Vergine
11F111|simboli di Maria Vergine dalle litanie
11F111(...)|simboli di Maria Vergine dalle litanie (con il TESTO)
11F111(CIVITAS DEI)|simboli di Maria Vergine dalle litanie: Civitas Dei
11F111(ELECTA UT SOL)|simboli di Maria Vergine dalle litanie: Electa ut sol
11F111(FLOS CAMPI)|simboli di Maria Vergine dalle litanie: Flos campi
11F111(FONS SIGNATUS)|simboli di Maria Vergine dalle litanie: Fons signatus
11F111(HORTUS CONCLUSUS)|simboli di Maria Vergine dalle litanie: Hortus conclusus
11F111(PORTA COELI)|simboli di Maria Vergine dalle litanie: Porta coeli
11F111(PULCHRA UT LUNA)|simboli di Maria Vergine dalle litanie: Pulchra ut luna
11F111(ROSA MYSTICA)|simboli di Maria Vergine dalle litanie: Rosa mystica
11F111(SPECULUM SINE MACULA)|simboli di Maria Vergine dalle litanie: Speculum sine macula
11F111(STELLA MARIS)|simboli di Maria Vergine dalle litanie: Stella maris
11F111(STELLA MATUTINA)|simboli di Maria Vergine dalle litanie: Stella matutina
11F111(TURRIS DAVIDICA)|simboli di Maria Vergine dalle litanie: Turris Davidica
11F111(TURRIS EBURNEA)|simboli di Maria Vergine dalle litanie: Turris eburnea
11F112|Maria Vergine o Madonna con Bambino e simboli delle Litanie Lauretane
11F12|monogrammi di Maria Vergine
11F13|blasoni di Maria Vergine
11F14|'Defensorium inviolatae Virginitatis'; simboli della maternità virginale
11F15|prefigurazioni di Maria Vergine; la Vergine e sue prefigurazioni
11F2|Maria Vergine (senza Gesù Bambino)
11F21|Maria bambina
11F22|'ritratti' di Maria Vergine
11F23|Maria Vergine a figura eretta senza Gesù Bambino
11F231|Maria Vergine come orante (talvolta chiamata 'Blacherniotissa') ~ Maria Vergine a figura eretta senza Gesù Bambino
11F232|'Immaculata', 'Purisima': Maria Vergine, in genere in piedi sulla mezzaluna, mentre scende dal Cielo, immune dal peccato originale (talvolta raffigurata mentre calpesta il serpente) ~ Maria Vergine a figura eretta senza Gesù Bambino
11F2321|'Immaculata', 'Purisima': Maria Vergine con santi, in genere in piedi sulla mezzaluna, mentre scende dal Cielo, immune dal peccato originale (talvolta raffigurata mentre calpesta il serpente) ~ Maria Vergine a figura eretta senza Gesù Bambino
11F233|Maria Vergine sul globo terrestre ~ a figura eretta senza Gesù Bambino
11F234|Maria Vergine incinta, Madonna del Parto ~ a figura eretta senza Gesù Bambino
11F2341|Maria Vergine gravida, con Gesù Bambino visibile ~ Maria Vergine a figura eretta
11F235|Maria Vergine come tabernacolo ~ Maria Vergine a figura eretta senza Gesù Bambino
11F2351|Maria Vergine come tabernacolo con la Trinità all'interno ~ Maria Vergine a figura eretta senza Gesù Bambino
11F2352|Maria Vergine come tabernacolo, con la Passione di Cristo all'interno ~ Maria Vergine a figura eretta
11F236|'Aerenkleidmaria' (talvolta con Gesù Bambino) ~ Maria Vergine a figura eretta
11F24|immagini di Maria Vergine (seduta, senza altri personaggi)
11F241|Nostra Signora dei Dolori; Madonna dei Dolori (Maria Vergine seduta, senza altri personaggi)
11F2411|i (Sette) Dolori di Maria Vergine (seduta, senza altri personaggi)
11F2412|Maria Vergine trafitta da sette spade (Maria Vergine seduta, senza altri personaggi)
11F242|Nostra Signora delle Gioie; Madonna delle Sette Gioie (Maria Vergine seduta, senza altri personaggi)
11F2421|le (Sette) Gioie di Maria Vergine (seduta, senza altri personaggi)
11F243|Maria Vergine e l'unicorno (Maria Vergine seduta, senza altri personaggi)
11F244|Maria Vergine in trono (seduta, senza altri personaggi)
11F26|altri tipologie di Maria Vergine (senza altri personaggi)
11F25|'Mater Dolorosa'
11F251|Maria Vergine piangente
11F252|Maria Vergine trafitta da una spada
11F253|Maria Vergine con gli strumenti della Passione
11F261|Maria Vergine come sposa dello Spirito Santo (con la colomba in seno) (senza altri personaggi)
11F262|Maria Vergine come pastorella (senza altri personaggi)
11F263|Maria Vergine come pellegrina (senza altri personaggi)
11F264|Maria Vergine come eremita (dopo la morte di Cristo), 'Nostra Señora de la Soledad' (senza altri personaggi)
11F265|Maria Vergine come medico (senza altri personaggi)
11F266|Maria Vergine sconfigge il demonio (senza altri personaggi)
11F267|Maria Vergine salva la/e anima/e (senza altri personaggi)
11F268|Maria Vergine come sacerdotessa, amministra l'Eucaristia (senza altri personaggi)
11F3|Maria Vergine (senza Gesù Bambino), insieme ad altri personaggi
11F31|Maria Vergine che intercede (presso Cristo), 'Maria Mediatrix' (talvolta Maria mostra il seno)
11F32|Maria Vergine insieme a figure di mortali, che l'adorano, o implorano il suo aiuto
11F33|Maria Vergine distribuisce il latte dal suo seno, 'Lactatio'
11F34|Maria Vergine protegge l'umanità contro la peste, p.es. nascondendo le persone sotto il suo manto; 'Pestbild'
11F35|Maria Vergine Regina degli apostoli
11F36|trionfo di Maria Vergine, sul carro trionfale
11F4|Madonna: ovvero Maria Vergine con il Bambino, senza altri personaggi (Gesù Bambino può trovarsi in piedi su una balaustra, altare, tavolo, ecc.)
