5|idee e concetti astratti
51F51|novità
51F511|immaturità
51F52|precocità (di stagione, pianta, frutto, ecc.)
51F521|precocità (di persona)
51F522|anticipazione
51F6|frequenza
51F7|regolarità di ricorrenza
51F71|periodicità
51F711|ciclo
51F8|mezzo
51FF|relazioni temporali (concetti opposti)
51FF1|susseguenza
51FF2|discontinuità
51FF3|posteriorità
51FF4|diacronia
51FF5|fine; 'Fine' (Ripa)
51FF51|vecchiaia
51FF511|maturità
51FF52|tardezza, epoca tarda
51FF521|ritardo, indugio
51FF6|infrequenza
51FF7|irregolarità di ricorrenza
51G|alcune caratteristiche della materia
51G1|grandezza, ampiezza
51G2|pesantezza
51G3|resistenza, solidità
51G4|compattezza, durezza
51G5|visibilità
51G6|levigatezza
51GG|alcune caratteristiche della materia (concetti opposti)
51GG1|piccolezza, esiguità
51GG2|leggerezza; 'Leggierezza' (Ripa)
51GG3|fragilità; 'Fragilità' (Ripa)
51GG4|morbidezza
51GG5|invisibilità
51GG6|ruvidezza
51H|quantità e grado
51H1|totalità, l'intero
51H11|indivisibilità
51H2|universalità
51H3|moltitudine
51H4|pienezza
51H41|sufficienza
51H42|abbondanza; 'Abondanza', 'Abondanza maritima' (Ripa)
51H421|Eccesso
51H43|ridondanza
51H5|aumento, crescita
51HH|quantità e grado (concetti opposti)
51HH1|parte, sezione, aspetto particolare
51HH11|divisibilità
51HH2|particolarità, individualità
51HH3|scarsità, pochezza
51HH4|mancanza, deficienza
51HH41|insufficienza
51HH5|diminuzione
51I|spazio
51I1|spazio limitato, definito
51I2|pienezza
51I3|collocazione, posizione
51I4|vicinanza
51I5|mezzo, centro; 'Mezo' (Ripa)
51I6|alto, cima
51II|spazio (concetti opposti)
51II1|spazio illimitato
51II11|espansione
51II2|vuoto
51II3|spostamento, rimozione
51II4|lontananza
51II5|isolamento
51II6|basso, fondo
51K|aspetti riguardanti il mutamento
51K1|mutamento, cambiamento, variazione
51K11|riforma; 'Riforma' (Ripa)
51K2|mutabilità
51K3|sostituzione
51K31|avvicendamento
51K4|evoluzione
51K41|rivoluzione
51K5|reazione
51KK|aspetti riguardanti il mutamento (concetti opposti)
51KK1|permanenza
51KK11|conservazione; 'Conservatione' (Ripa)
51KK2|immutabilità; 'Immutatione' (Ripa)
51KK3|scambio
51L|tipi di moto
51L1|moto
51L2|moto regolare
51L3|direzione, orientamento
51L4|avanzamento, moto in avanti
51L41|avvicinamento
51L42|moto o movimento verso, forza attrattiva, forza di attrazione, trazione
51L5|ascesa
51L51|resurrezione; 'Resurrettione' (Ripa)
51LL|tipi di moto (concetti opposti)
51LL1|quiete, immobilità, stasi
51LL2|moto irregolare
51LL3|deviazione, divergenza
51LL4|regresso, moto all'indietro
51LL41|arretramento
51LL42|moto o movimento da, forza repulsiva, forza di repulsione, spinta
51LL5|discesa
51M|qualità del moto
51M1|moto veloce
51M11|velocità, celerità; 'Agilità', 'Celerità', 'Velocità' (Ripa)
51M12|rapidità
51MM|qualità del moto (concetti opposti)
51MM1|moto lento
51MM11|lentezza; 'Tardità' (Ripa)
51MM12|lungaggine
52|ragionamento e formazione delle idee
52A|intelligenza e facoltà intellettuali
52A1|intelletto, intelligenza; 'Intelletto', 'Intelligenza' (Ripa)
52A11|attenzione, concentrazione
52A12|curiosità, desiderio di conoscenza, indiscrezione; 'Curiosità' (Ripa)
52A13|talento
52A2|previdenza, riflessione; 'Previdenza', 'Providenza' (Ripa)
52A21|metodo
52A22|accortezza, avvedutezza, tatto
52A23|prontezza, vigilanza; 'Guardia', 'Vigilanza', 'Vigilanza per difendersi e oppugnare altri' (Ripa)
52A24|precauzione
52A3|memoria; 'Memoria' (Ripa)
52A4|immaginazione; 'Imaginatione' (Ripa)
52A41|idea, concetto; 'Idea' (Ripa)
52A42|invenzione, inventività; 'Inventione' (Ripa)
52A43|ingegnosità; 'Ingegno' (Ripa)
52A44|fantasia, capriccio; 'Capriccio' (Ripa)
52A5|conoscenza; 'Cognitione', 'Cognitione delle cose' (Ripa)
52A51|saggezza; 'Sapienza', 'Sapienza humana', 'Sapienza vera' (Ripa)
52A511|saggezza dello sciocco
52A52|giudizio, discernimento; 'Giuditio' (Ripa)
52A53|conoscenza di sé
52A54|docilità; 'Docilità' (Ripa)
52A55|acume, sottigliezza, lucidità, ingegno; 'Acutezza de l'Ingegno', 'Sottilità' (Ripa)
52A6|verità; 'Verità' (Ripa)
52A7|onniscienza
52AA|intelligenza e facoltà intellettuali (concetti opposti)
52AA1|stupidità, povertà d'intelletto; 'Stupidità overo Stolidità' (Ripa)
52AA11|mancanza di talento
52AA2|distrazione
52AA21|avventatezza, imprudenza, temerarietà
52AA22|sprovvedutezza; 'Inconsideratione' (Ripa)
52AA23|disattenzione
52AA24|sconsideratezza
52AA3|smemoratezza
52AA31|oblio; 'Oblivione' (Ripa)
52AA4|mancanza di immaginazione, rigidezza, inflessibilità
52AA5|ignoranza; 'Ignoranza', 'Ignoranza di tutte le cose', 'Ignoranza in un ricco senza lettere' (Ripa)
52AA51|stoltezza, follia; 'Pazzia', 'Sciocchezza', 'Stoltitia' (Ripa)
52AA511|ridicolaggine
52AA52|giudizio erroneo
52AA521|illusione, visione
52AA522|illusione, fallacia; 'Prima Impressione' (Ripa)
52AA53|non-conoscenza di sé
52AA54|indocilità; 'Indocilità' (Ripa)
52AA55|ottusità, rozzezza, stolidità
52AA551|superficialità
52AA552|cecità intellettuale; 'Cecità della Mente' (Ripa)
52AA553|preconcetto, pregiudizio
52AA6|falsità, il falso
52B|raziocinio
52B1|pensiero, riflessione; 'Pensiero' (Ripa)
52B11|contemplazione
52B12|meditazione
52B13|fissazione, ossessione
52B2|convinzione
52B21|credulità
52B3|attesa, aspettativa
52B31|probabilità
52B4|verifica
52B41|certezza
52B42|possibilità
52B5|razionalità, ragionamento; 'Ratiocinatione o Discorso' (Ripa)
52B51|ragione; 'Ragione' (Ripa)
52B511|distinzione tra bene e male; 'Distintione del bene e del male' (Ripa)
52B5111|bene, buono, giusto
52B5112|male, cattivo, sbagliato
52B512|scacciare i cattivi pensieri; 'Repulsa de pensieri cattivi' (Ripa)
52B513|la ragione contro le pulsioni amorose; 'Combattimento della ragione con l'appetito' (Ripa)
52B52|sillogismo, dimostrazione
52B53|prova
52BB|raziocinio (concetti opposti)
52BB1|sventatezza, irriflessività
52BB2|dubbio; 'Dubbio' (Ripa)
52BB21|incredulità
52BB3|sorpresa, meraviglia; 'Maraviglia' (Ripa)
52BB31|improbabilità
52BB4|supposizione, congettura
52BB41|incertezza
52BB42|impossibilità
52BB5|irrazionalità
52BB51|intuizione
52BB52|sofisma
52BB53|nonsense, assurdità
52BB54|congettura infondata
52BB6|esaltazione, delirio
52BB61|infatuazione
52C|comprensione e incomprensione
52C1|considerazione; 'Consideratione' (Ripa)
52C11|opinione
52C111|opinione pubblica; 'Opinione' (Ripa)
52C12|sentenza, 'Sententia'
52C2|affermazione, asserzione, conferma; 'Confermatione' (Ripa)
52C3|riconoscimento, accordo
52C4|comprensione; 'Apprehensiva' (Ripa)
52C41|liberare (liberarsi) dall'errore o dall'illusione
52C42|interpretazione
52C5|teoria; 'Theoria' (Ripa)
52C51|dottrina
52C52|ideologia
52CC|comprensione e incomprensione (concetti opposti)
52CC1|irriflessione
52CC2|negazione, rifiuto
52CC3|dissidio
52CC31|confutazione, contraddizione
52CC4|incomprensione, equivoco
52CC41|errore; 'Errore' (Ripa)
52D|comunicazione del pensiero (aspetti qualitativi)
52D1|comunicazione del pensiero
52D2|chiarezza, precisione
52D21|concisione
52D3|eloquenza; 'Eloquenza', 'Fermezza e Gravità dell'Oratione' (Ripa)
52D31|potere dell'eloquenza; 'Forza sottoposta all'Eloquenza' (Ripa)
52D4|prolissità, verbosità, loquacità; 'Loquacità' (Ripa)
52D41|inezia, 'Nugae'
52D5|chiacchiera; 'Rumore' (Ripa)
52DD|comunicazione del pensiero (aspetti qualitativi) (concetti opposti)
52DD1|segretezza, latenza, dicrezione; 'Secretezza' (Ripa)
52DD11|segreto
52DD2|imprecisione, scarsa chiarezza
52DD21|confusione, oscurità; 'Confusione' (Ripa)
52DD22|mistificazione
52DD3|taciturnità; 'Secretezza, 'Secretezza overo Taciturnità' (Ripa)
52E|comunicazione del pensiero (domanda e risposta)
52E1|risposta, responso, soluzione
52E2|predizione, profezia; 'Augurio', 'Divinatione', 'Profetia' (Ripa)
52E21|buon auspicio; 'Augurio buono' (Ripa)
52E22|cattivo auspicio; 'Augurio cattivo' (Ripa)
52E3|consiglio; 'Consiglio' (Ripa)
52EE|comunicazione del pensiero (domanda e risposta) (concetti opposti)
52EE1|domanda, richiesta, interrogazione
52EE11|indagine, ricerca; 'Investigatione' (Ripa)
53|volontà, volizione
53A|caratteristiche della volontà
53A1|volontà; 'Volontà' (Ripa)
53A11|scelta; 'Elettione' (Ripa)
53A2|perseveranza, risoluzione, determinazione; 'Perseveranza' (Ripa)
53A21|costanza, tenacia; 'Costanza', 'Tenacità' (Ripa)
53A211|ostinazione; 'Ostinatione', 'Pertinacia' (Ripa)
53A212|implacabilità
53A22|stabilità, fermezza; 'Fermezza, 'Stabilimento', 'Stabilità' (Ripa)
53AA|caratteristiche della volontà (concetti opposti)
53AA1|mancanza di volontà
53AA11|predeterminazione
53AA2|irresolutezza; 'Irresolutione' (Ripa)
53AA21|incostanza; 'Incostanza', 'Instabilità', 'Instabilità overo Incostanza' (Ripa)
53AA22|tergiversazione
53B|atti della volontà
53B1|accettazione
53B2|decisione, risolutezza
53B3|autocontrollo; 'Dominio di se stesso' (Ripa)
53B4|buona volontà
53B41|disposizione, tendenza, inclinazione; 'Inclinatione' (Ripa)
53B5|obbedienza; 'Obedienza' (Ripa)
53B6|disciplina
53B7|osservanza, adempimento
53BB|atti della volontà (concetti opposti)
53BB1|rifiuto, scarto
53BB2|indecisione
53BB3|indulgenza verso sé stessi
53BB4|cattiva volontà, riluttanza, svogliatezza
53BB5|disubbidienza, ostinazione, insubordinazione; 'Inubidienza' (Ripa)
53BB51|protesta
53BB6|indisciplina
53BB61|lassismo
53BB7|inosservanza
53C|autorità e sottomissione
53C1|predominio
53C11|autorità, potere; 'Dominio', 'Giurisdittione' (Ripa)
53C12|severità; 'Severità' (Ripa)
53C13|rigore; 'Rigore' (Ripa)
53C2|ordine
53C21|coercizione
53C22|minaccia, intimidazione; 'Minaccie' (Ripa)
53CC|autorità e sottomissione (concetti opposti)
53CC1|subordinazione
53CC11|servizio
53CC12|servilismo
53CC2|volontarietà
53CC21|prontezza ad adattarsi
53CC3|supplica; 'Supplicatione' (Ripa)
53CC31|invocazione; 'Invocatione' (Ripa)
53CC32|perorazione
53D|atti volontari nei rapporti intersociali
53D1|offerta, proposta
53D11|permesso
53D12|favore; 'Favore' (Ripa)
53D2|promessa; 'Promissione' (Ripa)
53D3|intercessione
53DD|atti volontari nei rapporti intersociali (concetti opposti)
53DD1|rifiuto
53DD11|proibizione
53DD2|rottura di una promessa
54|l'azione
54A|condizione, modo di essere durante l'azione
54A1|attività
54A11|assiduità, industriosità; 'Assiduità', 'Industria', 'Zelo' (Ripa)
54A2|accuratezza, diligenza; 'Diligenza' (Ripa)
54A21|ansietà, sollecitudine; 'Sollecitudine' (Ripa)
54A211|scrupolosità; 'Scropolo' (Ripa)
54A3|competenza
54A31|esperienza, maestria; 'Esperienza' (Ripa)
54A32|preparazione
54A33|abilità, destrezza; 'Artificio', 'Prontezza' (Ripa)
54A4|calma, tranquillità, imperturbabilità
54A41|continenza; 'Continenza', 'Continenza militare' (Ripa)
54A42|ritegno
54A43|temperanza, moderazione; 'Misura' (Ripa)
54A431|aurea mediocrità; 'Mediocrità' (Ripa)
54A44|pazienza; 'Patienza' (Ripa)
54A45|pacatezza
54A46|quiete; 'Quiete' (Ripa)
54A47|serenità mentale, 'Aequitas'
54A5|bontà; 'Bontà' (Ripa)
54A51|genio buono; 'Genio Buono' (Ripa)
54A52|innocenza
54A6|essere d'aiuto
54A7|forza, potere; 'Fortezza', 'Fortezza d'Animo e di corpo', 'Fortezza del corpo congiunta con la generosità dell'animo', 'Fortezza e valore del corpo congiunto con la prudenza e virtù del animo', 'Forza' (Ripa)
54A71|invincibilità
54A72|invulnerabilità
54A8|coraggio, audacia, valore, virilità; 'Ardire magnanimo et generoso', 'Gagliardezza, 'Valore', 'Virtù heroica', 'Virtù dell'animo e del corpo' (Ripa)
54A81|impavidità, intrepidezza; 'Intrepidità e Costanza' (Ripa)
54A82|audacia, temerarietà; 'Audacia' (Ripa)
54AA|condizione, modo di essere durante l'azione (concetti opposti)
54AA1|inattività
54AA11|pigrizia, indolenza, inerzia; 'Dapocaggine', 'Pigritia' (Ripa)
54AA2|negligenza; 'Negligenza' (Ripa)
54AA21|indifferenza
54AA3|incompetenza
54AA31|inesperienza
54AA32|impreparazione
54AA33|incapacità, malaccortezza, goffaggine
54AA34|mediocrità
54AA4|violenza, veemenza, ardore; 'Sforza con Inganno', 'Violenza' (Ripa)
54AA41|impeto; 'Impeto' (Ripa)
54AA42|selvatichezza
54AA43|intemperanza, smoderatezza
54AA44|impazienza
54AA45|aggressività, combattività
54AA46|inquietudine, irrequietezza, agitazione; 'Inquietudine' (Ripa)
54AA47|inquietudine mentale; 'Inquietudine d'animo' (Ripa)
54AA5|cattiveria, malvagità
54AA51|genio cattivo; 'Genio cattivo' (Ripa)
54AA52|colpevolezza
54AA6|essere di ostacolo
54AA7|debolezza, impotenza, inettitudine; 'Infermità' (Ripa)
54AA71|vincibilità
54AA72|vulnerabilità
54AA8|codardia
54B|mezzi e modi dell'agire
54B1|mezzi
54B11|uso
54B12|opportunità, convenienza, tempestività
54B121|'Occasio', 'Kairos'; 'Occasione' (Ripa)
54B1211|attendere una opportunità
54B1212|perdere l'Occasione
54B1213|cogliere l'occasione
54B2|indispensabilità
54B3|utilità, vantaggiosità; 'Utilità' (Ripa)
54B4|efficienza
54B5|importanza, preponderanza
54B6|valore, pregio
54BB|mezzi e modi dell'agire (concetti opposti)
54BB1|disuso
54BB11|uso improprio
54BB12|profanazione
54BB13|inopportunità, intempestività
54BB2|non necessità, superfluità
54BB3|inutilità, dannosità; 'Nocumento', 'Nocumento d'ogni cosa' (Ripa)
54BB31|danno, disservizio; 'Danno' (Ripa)
54BB4|inefficienza
54BB5|scarsa importanza
54BB6|mancanza di valore, indegnità
54C|intenzione, proposito, scopo
54C1|risolutezza
54C11|intenzione
54C12|proposito, intento, scopo
54C2|stimolo, incitamento, raccomandazione
54C21|persuasione; 'Persuasione' (Ripa)
54C22|richiamo
54C3|influenza
54C31|esempio
54C4|tentazione; 'Tentatione' (Ripa)
54CC|intenzione, proposito, scopo (concetti opposti)
54CC1|mancanza di scopo
54CC11|mancanza di intenzione, mancanza di progetto, non intenzionalità, involontarietà
54CC2|scoraggiamento
54CC21|dissuasione
54CC22|deterrenza, ripulsa
54D|procedimento
54D1|preparazione
54D11|tentativo, prova
54D12|esercizio; 'Essercitio' (Ripa)
54D2|azione; 'Operatione manifesta' (Ripa)
54D21|pratica; 'Prattica' (Ripa)
54D3|completamento, compimento
54D31|durata
54D4|facilità
54D5|sicurezza
54D6|consuetudine, abitudine; 'Consuetudine' (Ripa)
54DD|procedimento (concetti opposti)
54DD1|improvvisazione
54DD2|inattività, ozio; 'Otio' (Ripa)
54DD3|inizio, avvio
54DD31|interruzione, cessazione
54DD311|attesa
54DD4|difficoltà
54DD41|fatica, lavoro faticoso, ingrato; 'Fatica', 'Fatica estiva' (Ripa)
54DD42|stanchezza, fiacchezza; 'Lassitudine o Languidezza estiva' (Ripa)
54DD5|mancanza di sicurezza
54DD51|pericolo; 'Pericolo' (Ripa)
54DD52|rischio; 'Ardire ultimo e necessario' (Ripa)
54DD6|dissuetudine
54E|azione reciproca
54E1|cooperazione, associazione
54E11|necessità di mutuo soccorso
54E2|guida
54E3|accordo, consenso
54E31|patto, unità; 'Concordia', 'Concordia insuperabile', 'Concordia militare', 'Concordia di Pace', 'Unione civile' (Ripa)
54E32|condiscendenza
54E4|difesa
54E41|autodifesa
54E42|protezione; 'Custodia', 'Difesa contra nimici, malefici e venefici', 'Difesa contra pericoli', 'Riparo da i tradimenti' (Ripa)
54E43|salvaguardia, sussistenza; 'Salvezza', 'Sostanza' (Ripa)
54EE|azione reciproca (concetti opposti)
54EE1|mancanza di cooperazione
54EE11|opposizione, contrapposizione, resistenza
54EE2|ostacolo, impedimento
54EE3|conflitto; 'Contrasto' (Ripa)
54EE31|disaccordo, discordia; 'Discordia' (Ripa)
54EE32|disprezzo, sfida
54EE33|competizione, rivalità, antagonismo; 'Emulatione' (Ripa)
54EE4|attacco
54F|fortuna e sfortuna
54F1|successo; 'Evento buono' (Ripa)
54F11|benessere, prosperità; 'Felicità publica', 'Prosperità della vita', 'Salute' (Ripa)
54F12|sorte, fortuna, fato; 'Fato', 'Fortuna', 'Fortuna aurea', 'Fortuna buona', 'Fortuna pacifica overo clemente', 'Sorte' (Ripa)
54F121|ruota della fortuna
54F122|vicissitudini della vita
54F13|progresso, miglioramento, ripresa
54F131|rinnovamento
54F14|vantaggio
54F2|vittoria
54FF|fortuna e sfortuna (concetti opposti)
54FF1|fallimento
54FF11|avversità, sfortuna, sventura; 'Fortuna infelice', 'Infortunio' (Ripa)
54FF12|destino, fato
54FF13|regresso, deterioramento, ricaduta
54FF14|svantaggio
54FF15|sottomissione; 'Forza minore da maggior forza superata' (Ripa)
54FF2|sconfitta
55|proprietà
55A|acquisizione e perdita
55A1|acquisto, guadagno, profitto
55A11|mantenimento
55A12|ricompensa, 'Praemium'; 'Premio', 'Remuneratione' (Ripa)
55AA|acquisizione e perdita (concetti opposti)
55AA1|perdita
55AA11|rinuncia, cessione di proprietà
55B|possesso
55B1|ricchezza, opulenza; 'Opulenza', 'Richezza' (Ripa)
55B2|lusso, sfarzo
55B3|'Né troppo povero, né troppo ricco'
55BB|possesso (concetti opposti)
55BB1|povertà; 'Povertà', 'Povertà dei doni', 'Povertà in uno ch'abbia bell'ingegno' (Ripa)
55BB2|penuria, carestia; 'Carestia' (Ripa)
55C|uso della proprietà
55C1|spendere
55C11|spreco, prodigalità, dispendio, sperpero; 'Prodigalità' (Ripa)
55C2|dare
55C21|generosità, liberalità; 'Generosità', 'Liberalità' (Ripa)
55C22|offerta; 'Offerta overo Oblatione' (Ripa)
55C221|sacrificio
55C3|prestare, affittare
55C4|prendere
55C5|Compartecipazione
55CC|uso della proprietà (concetti opposti)
55CC1|risparmio, frugalità, parsimonia; 'Parsimonia' (Ripa)
55CC11|avidità, cupidigia, bramosia; 'Cupidità' (Ripa)
55CC2|ricevere
55CC3|prendere in prestito, prendere in affitto
55CC4|restituzione; 'Restitutione' (Ripa)
55CC5|Ritenere, Tenere per sé
56|emozione
56A|sentire, sentimento ~ emozione
56A1|sensazione, sensibilità, sensitività
56A2|eccitazione
56A21|estasi, esaltazione
56AA|sentire, sentimento ~ emozione (concetti opposti)
56AA1|insensibilità
56AA11|impassibilità; 'Impassibilità' (Ripa)
56B|gioia e dolore
56B1|piacere, diletto, gioia; 'Allegrezza', 'Allegrezza da le medaglie', 'Allegrezza, letitia e giubilo', 'Diletto', 'Piacere', 'Piacere honesto' (Ripa)
56B11|allegria, gaiezza, ilarità
56B12|giovialità
56B13|giocosità
56B131|scherzo; 'Giuoco (dall'antico)' (Ripa)
56B2|felicità
56B21|beatitudine eterna; 'Felicità eterna' (Ripa)
56B22|felicità breve; 'Felicità breve' (Ripa)
56B3|soddisfazione, appagamento; 'Contento' (Ripa)
56B4|divertimento
56B41|epicureismo
56B42|trivialità, rozzezza
56BB|gioia e dolore (concetti opposti)
56BB1|dolore, dispiacere, tristezza; 'Dolore', 'Dolore di Zeusi' (Ripa)
56BB11|amarezza; 'Amaritudine' (Ripa)
56BB12|tormento; 'Tribulatione' (Ripa)
56BB121|lamento; 'Querela a Dio' (Ripa)
56BB13|angoscia, crepacuore; 'Affanno', 'Cordoglio' (Ripa)
56BB131|sospiri; 'Sospiri' (Ripa)
56BB19|consolazione
56BB2|infelicità; 'Infelicità' (Ripa)
56BB21|calamità, angustia, difficoltà; 'Calamità', 'Calamità o miseria' (Ripa)
56BB22|sofferenza; 'Miseria mondana' (Ripa)
56BB3|insoddisfazione
56BB31|noia
56BB32|insaziabilità
56BB33|lagnanza, lamento; 'Pianto', 'Querela' (Ripa)
56BB34|delusione, disappunto
56BB35|frustrazione
56BB4|disgusto, avversione, ripugnanza, nausea
56BB41|sazietà
56C|senso estetico
56C1|senso del bello
56C2|ammirazione
56C3|ispirazione; 'Ispiratione' (Ripa)
56CC|senso estetico (concetti opposti)
56CC1|insensibilità al bello
56CC2|svalutazione
56D|speranza e timore
56D1|speranza; 'Speranza', 'Speranza delle fatiche' (Ripa)
56D2|fiducia, fede
56D21|rifugio; 'Refugio' (Ripa)
56D29|fiducia malriposta, 'Pax Falsa'; 'Speranza fallace' (Ripa)
56D3|confidenza, sicurezza, tranquillità; 'Confidenza', 'Sicurezza e Tranquillità', 'Sicurtà', 'Sicurtà o Sicurezza', 'Tranquillità' (Ripa)
56D31|fiducia in sé
56D32|affidamento
56DD|speranza e timore (concetti opposti)
56DD1|paura, timore; 'Paura', 'Timidità o Timore', 'Timore' (Ripa)
56DD11|disperazione; 'Disperatione' (Ripa)
56DD2|diffidenza, sospetto; 'Sospitione' (Ripa)
56DD3|insicurezza
56DD31|mancanza di fiducia in sé; 'Viltà' (Ripa)
56DD32|allarme, spavento; 'Spavento', 'Terrore' (Ripa)
56DD33|confusione, smarrimento, panico; 'Perturbatione' (Ripa)
56DD34|orrore, aborrimento
56E|collera e mansuetudine
56E1|irritazione
56E11|indignazione; 'Sdegno' (Ripa)
56E2|rabbia, collera
56E21|irascibilità
56E3|furore; 'Furore', 'Furore implacabile', 'Furore e Rabbia', 'Furore superbo e Indomito' (Ripa)
56EE|collera e mansuetudine (concetti opposti)
56EE1|sopportazione
56EE2|mansuetudine; 'Mansuetudine' (Ripa)
56F|desiderio e avversione
56F1|desiderio; 'Desiderio' (Ripa)
56F11|ambizione; 'Ambitione', 'Amor di Fama' (Ripa)
56F12|Contento ~ Malcontento: la ricerca della felicità
56F13|(sensazione di) attrazione
56F131|potere di attrazione
56F2|amore (personificazioni e rappresentazioni simboliche); 'Amore (secondo Seneca)' (Ripa)
56F21|amore del prossimo; 'Amor del Prossimo' (Ripa)
56F211|amore fraterno
56F22|amore reciproco
56F23|amicizia; 'Amicitia' (Ripa)
56F231|fedeltà nell'amicizia; 'Confermatione dell'Amicitia', 'Fede nell'Amicitia' (Ripa)
56F232|infedeltà nell'amicizia; 'Amicitia senza giovamento' (Ripa)
56F24|amore di sé; 'Amor di se stesso' (Ripa)
56F241|narcisismo
56F25|(personificazioni e rappresentazioni simboliche di) qualità dell'amore
56F251|qualità dell'amore: prima serie
56F2511|'Riconciliatione d'amore' (Ripa)
56F2512|'Giuditio overo inditio d'amore' (Ripa)
56F2513|'Fermezza d'amore' (Ripa)
56F2514|'Instabilità overo incostanza d'amore' (Ripa)
56F2515|'Forza d'amore, Forza d'amore si nell'acqua come in terra' (Ripa)
56F2516|'Tentatione d'amore' (Ripa)
56F2517|'Fortuna giovevole ad amore' (Ripa)
56F2518|'Passione d'amore' (Ripa)
56F2519|'Allegrezza d'amore' (Ripa)
56F252|qualità dell'amore (personificazioni): seconda serie
56F2521|'Contento amoroso' (Ripa)
56F2522|'Tormento d'amore' (Ripa)
56F2523|'Falsita d'amore overo inganno' (Ripa)
56FF|desiderio e avversione (concetti opposti)
56FF1|avversione
56FF13|(sensazione di) repulsione
56FF2|odio; 'Odio capitale' (Ripa)
56FF21|indifferenza all'amore; 'Oblivione d'amore' (Ripa)
56FF22|amore non corrisposto
56FF23|inimicizia; 'Inimicitia', 'Inimicitia mortale' (Ripa)
57|moralità
57A|comportamento buono e cattivo, qualità morali
57A1|comportamento buono
57A2|senso del dovere, dedizione al dovere
57A21|dovere
57A22|obbligo; 'Obligo' (Ripa)
57A23|chiamata, vocazione, missione
57A24|incarico
57A25|responsabilità
57A3|coscienza; 'Coscienza' (Ripa)
57A4|vergogna
57A41|rammarico
57A42|pentimento, rimorso; 'Compuntione' (Ripa)
57A43|senso di colpa
57A5|pudore, timidezza, modestia
57A6|virtuosità; 'Amor di Virtù', Attione virtuosa', 'Guida sicura de' veri honori', 'Virtù', 'Virtù insuperabile' (Ripa)
57A61|onestà; 'Honestà' (Ripa)
57A611|franchezza, lealtà; 'Lealtà', 'Realtà' (Ripa)
57A612|sincerità; 'Purità et Sincerità d'animo', 'Sincerità' (Ripa)
57A613|probità, integrità
57A6131|schiettezza, spontaneità, naturalezza, franchezza, ingenuità
57A614|affidabilità, 'Bona Fide'
57A6141|credibilità, attendibilità
57A6142|giuramento
57A62|fedeltà; 'Fedeltà' (Ripa)
57A63|purezza, l'essere incorrotto; 'Purità' (Ripa)
57A631|innocenza; 'Innocenza', 'Innocenza o Purità' (Ripa)
57A632|innocenza accusata ingiustamente
57A64|umiltà; 'Humiltà' (Ripa)
