5|abstrakte Ideen und Konzeptionen
52A12|Neugier, Wißbegierde, Wissensdrang; Ripa: Curiosità
52A13|Talent
52A2|Vorbedacht, Vorherdenken, Voraussicht, (planende) Überlegung; Ripa: Previdenza, Providenza
52A21|Methode
52A22|Takt, Feingefühl
52A23|Wachsamkeit, Vorsicht; Ripa: Guardia, Vigilanza, Vigilanza per difendersi & oppugnare altri
52A24|Vorkehrung
52A3|Erinnerung; Ripa: Memoria
52A4|Imagination, Vorstellungskraft
52A41|Idee, Konzept; Ripa: Idea
52A42|Erfindung, Erfindungsreichtum
52A43|Erfindungsgabe, Findigkeit, List
52A44|Phantasie, Spritzigkeit
52A5|Wissen; Ripa: Cognitione, Cognitione delle cose
52A51|Weisheit; Ripa: Sapienza, Sapienza humana, Sapienza vera
52A511|Weisheit des Narren
52A52|Urteil, Urteilsvermögen; Ripa: Giuditio
52A53|Selbsterkenntnis
52A54|Gelehrigkeit; Ripa: Docilità
52A55|Subtilität, Scharfsinn, Luzidität, Witz; Ripa: Acutezza de l'Ingegno, Sottilità
52A6|Wahrheit, Wahrhaftigkeit; Ripa: Verità
52A7|Allwissenheit
52AA|Intelligenz und intellektuelle Fähigkeiten (entgegengesetzte Konzepte)
52AA1|Dummheit, Stupidität, Mangel an Intellekt; Ripa: Stupidità overo Stolidità
52AA11|Mangel an Talent
52AA2|Geistesabwesenheit
52AA21|Hast, Unvorsichtigkeit, Unklugheit, Unbedachtsamkeit, Unbesorgtheit
52AA22|Taktlosigkeit; Ripa: Inconsideratione
52AA23|Unaufmerksamkeit
52AA24|Nachlässigkeit, Sorglosigkeit
52AA3|Vergeßlichkeit
52AA31|Vergessen; Ripa: Oblivione
52AA4|Mangel an Vorstellungskraft, Inflexibilität
52AA5|Ignoranz, Unwissen; Ripa: Ignoranza, Ignoranza di tutte le cose, Ignoranza in un ricco senza lettere
52AA51|Verrücktheit, Narrheit; Ripa: Pazzia, Sciocchezza, Stoltitia
52AA511|Lächerlichkeit
52AA52|Fehlurteil
52AA521|Illusion, Phantom
52AA522|Täuschung, Wahn, Irrtum; Ripa: Prima Impressione
52AA53|Mangel an Selbsterkenntnis
52AA54|Ungelehrigkeit; Ripa: Indocilità
52AA55|Dumpfheit, Stumpfsinn, geistige Trägheit
52AA551|Oberflächlichkeit, Seichtheit
52AA552|fehlende Intellektualität; Ripa: Cecità della Mente
52AA553|Voreingenommenheit, Vorurteil
52AA6|Falschheit, Unehrlichkeit
52B|Denken, Argumentation
52B1|Denken, Gedanke, Reflektion; Ripa: Pensiero
52B11|Kontemplation
52B12|Brüten
52B13|Fixierung
52B2|Anerkennung, Vertrauen, Glaube
52B21|Leichtgläubigkeit
52B3|Erwartung
52B31|Wahrscheinlichkeit
52B4|Verifikation
52B41|Sicherheit, Gewißheit
52B42|Möglichkeit
52B5|Rationalität, Vernunft, Verstand; Ripa: Ratiocinatione o Discorso
52B51|Verstand, Urteilskraft; Ripa: Ragione
52B511|Unterscheidung zwischen Gut und Böse; Ripa: Distintione del bene e del male
52B5111|das Gute, das Richtige
52B5112|das Böse, das Falsche
52B512|üble Gedanken (ver)bannen; Ripa: Repulsa de pensieri cattivi
52B513|Verstand vs. Sinnlichkeit; Ripa: Combattimento della ragione con l'appetito
52B52|Syllogismus, Beweisführung
52B53|Beweis
52BB|Denken, Argumentation (entgegengesetzte Konzepte)
52BB1|Gedankenlosigkeit
52BB2|Zweifel; Ripa: Dubbio
52BB21|Ungläubigkeit
52BB3|Überraschung, Verwunderung; Ripa: Maraviglia
52BB31|Unwahrscheinlichkeit
52BB4|Vermutung
52BB41|Unsicherheit
52BB42|Unmöglichkeit
52BB5|Irrationalität
52BB51|Intuition
52BB52|Sophismus
52BB53|Unsinn
52BB54|grundlose Spekulation
52BB6|Raserei
52BB61|blinde Leidenschaft
52C|Verständnis und Uneinigkeit; sich verstehen vs. sich nicht verstehen
52C1|Überlegung; Ripa: Consideratione
52C11|Meinung
52C111|öffentliche Meinung; Ripa: Opinione
52C12|Urteil
52C2|Bejahung, Bestätigung; Ripa: Confermatione
52C3|Anerkennung, Gewährung
52C4|Einverständnis, Einvernehmen, Verständnis; Ripa: Apprehensiva
52C41|sich selbst von einem Irrtum oder einer Illusion befreien
52C42|Interpretation
52C5|Theorie; Ripa: Theoria
52C51|Doktrin
52C52|Ideologie
52CC|Verständnis und Uneinigkeit; sich verstehen vs. sich nicht verstehen (entgegengesetzte Konzepte)
52CC1|Rücksichtslosigkeit
52CC2|Ablehnung, Leugnung, Verneinung
52CC3|Meinungsverschiedenheit
52CC31|Widerlegung
52CC4|Mißverständnis, Nichtbegreifen
52CC41|Irrtum; Ripa: Errore
52D|Gedankenaustausch (qualitative Aspekte)
52D1|Gedankenaustausch
52D2|Klarheit, Genauigkeit, Präzision
52D21|Prägnanz
52D3|Eloquenz, Beredsamkeit; Ripa: Eloquenza, Fermezza & Gravità dell'Oratione
52D31|Macht der Eloquenz, Überredungsgabe; Ripa: Forza sottoposta all'Eloquenza
52D4|Weitschweifigkeit, Wortfülle, Geschwätzigkeit, 'Loquacità' (Ripa)
52D41|Lappalien; nugae
52D5|Gerücht; Ripa: Rumore
52DD|Gedankenaustausch (qualitative Aspekte) (entgegengesetzte Konzepte)
52DD1|Verschwiegenheit, Latenz, Geheimhaltung; Ripa: Secretezza
52DD11|Geheimnis
52DD2|Unklarheit, mangelnde Präzision
52DD21|Verwirrung, Unverständlichkeit; Ripa: Confusione
52DD22|Irreführung
52DD3|Schweigsamkeit; Ripa: Secretezza, Secretezza overo Taciturnità
52E|Gedankenaustausch (Antwort und Frage)
52E1|Antwort, Lösung
52E2|Vorhersage, Prophezeiung, Omen; Ripa: Augurio, Divinatione, Profetia
52E21|gutes Omen; Ripa: Augurio buono
52E22|schlechtes Omen; Ripa: Augurio cattivo
52E3|Ratschlag; Ripa: Consiglio
52EE|Gedankenaustausch (Antwort und Frage) (entgegengesetzte Konzepte)
52EE1|Frage, Befragung
52EE11|Befragung, Untersuchung; Ripa: Investigatione
53|Wille, Wollen
53A|Charakteristika des Wollens
53A1|Wille; Ripa: Volontà
53A11|Wahl; Ripa: Elettione
53A2|Beharrlichkeit, Unbeirrbarkeit, Zielstrebigkeit; Ripa: Perseveranza
53A21|Beständigkeit, Beharrlichkeit; Ripa: Tenacità
53A211|Starrsinn; Ripa: Ostinatione, Pertinacia
53A212|Unversöhnlichkeit
53A22|Stabilität; Festigkeit; Ripa: Fermezza, Stabilimento; Ripa: Stabilità
53AA|Charakteristika des Wollens (entgegengesetzte Konzepte)
53AA1|Willenlosigkeit
53AA11|Vorherbestimmung
53AA2|Unentschlossenheit; Ripa: Irresolutione
53AA21|Unbeständigkeit; Ripa: Incostanza, Instabilità, Instabilità overo Incostanza
53AA22|Ausflucht, Vorwand
53B|Willensakte
53B1|Akzeptanz
53B2|Entschiedenheit, Entscheidung
53B3|Selbstkontrolle; Ripa: Dominio di se stesso
53B4|Bereitwilligkeit
53B41|Neigung; Ripa: Inclinatione
53B5|Gehorsam; Ripa: Obedienza
53B6|Disziplin
53B7|Einhaltung, Erfüllung
53BB|Willensakte (entgegengesetzte Konzepte)
53BB1|Ablehnung
53BB2|Zögern
53BB3|Hemmungslosigkeit
53BB4|Widerwille
53BB5|Ungehorsam, Widerspenstigkeit, Auflehnung; Ripa: Inubidienza
53BB51|Protest
53BB6|Disziplinlosigkeit
53BB61|Laxheit
53BB7|Nichterfüllung
53C|Autorität und Unterordnung
53C1|Vorherrschaft
53C11|Autorität, Macht; Ripa: Dominio, Giurisdittione
53C12|Strenge; Ripa: Severità
53C13|Unnachgiebigkeit; Ripa: Rigore
53C2|Befehl, Anordnung
53C21|Zwang
53C22|Drohung, Einschüchterung; Ripa: Minaccie
53CC|Autorität und Unterordnung (entgegengesetzte Konzepte)
53CC1|Unterordnung
53CC11|Dienst
53CC12|Unterwürfigkeit
53CC2|Freiwilligkeit
53CC21|Bereitschaft zum Nachgeben
53CC3|Flehen; Ripa: Supplicatione
53CC31|Beschwörung; Ripa: Invocatione
53CC32|Plädoyer
53D|zwischenmenschliche Willensäußerung
53D1|Angebot, Vorschlag
53D11|Erlaubnis
53D12|Gunst; Ripa: Favore
53D2|Versprechen; Ripa: Promissione
53D3|Vermittlung
53DD|zwischenmenschliche Willensäußerung (entgegengesetzte Konzepte)
53DD1|Ablehnung, Verweigerung
53DD11|Verbot
53DD2|Bruch eines Versprechens
54|Handlungsabläufe
54A|geistige(r) bzw psychische(r) Zustand bzw. Einstellung während einer Handlung
54A1|Tätigkeit, Aktivität
54A11|Fleiß, Emsigkeit; Ripa: Assiduità, Industria, Zelo
54A2|Sorgfalt; Ripa: Diligenza
54A21|Angst, Besorgtheit; Ripa: Sollecitudine
54A211|Gewissenhaftigkeit; Ripa: Scropolo
54A3|Kompetenz
54A31|Erfahrung, Meisterschaft; Ripa: esperienza
54A32|Bereitschaft
54A33|Geschicklichkeit, Fähigkeit; Ripa: Prontezza
54A4|Gemütsruhe, Gleichmut, Unerschütterlichkeit, Gelassenheit
54A41|Enthaltsamkeit, Mäßigkeit; Ripa: Continenza militare
54A42|Einschränkung
54A43|Mäßigung; Ripa: Misura
54A431|die Goldene Mitte; Ripa: Mediocrità
54A44|Geduld; Ripa: Patienza
54A45|Friedfertigkeit
54A46|Ruhe; Ripa: Quiete
54A47|Seelenfrieden; aequitas
54A5|Redlichkeit, Rechtschaffenheit; Ripa: Bontà
54A51|der gute Geist; Ripa: Genio Buono
54A52|Schuldlosigkeit
54A6|Hilfsbereitschaft
54A7|Kraft, Stärke; Ripa: Fortezza, Fortezza d'Animo e di corpo, Fortezza del corpo congiunta con la generosità dell'animo, Fortezza & valore del corpo congiunto con la prudenza & virtù del animo, Forza
54A71|Unbesiegbarkeit
54A72|Unverwundbarkeit
54A8|Mut, Tapferkeit; Ripa: Ardire magnanimo et generoso, Gagliardezza, Valore, Virtù heroica, Virtù dell'animo e del corpo
54A81|Furchtlosigkeit, Unerschrockenheit; Ripa: Intrepidità & Costanza
54A82|Kühnheit, Tollkühnheit; Ripa: Audacia
54AA|geistige(r) bzw psychische(r) Zustand bzw. Einstellung während einer Handlung (entgegengesetzte Konzepte)
54AA1|Untätigkeit
54AA11|Trägheit, Faulheit; Ripa: Dapocaggine, Pigritia
54AA2|Unachtsamkeit, Nachlässigkeit; Ripa: Negligenza
54AA21|Gleichgültigkeit
54AA3|Inkompetenz, Unfähigkeit
54AA31|Unerfahrenheit
54AA32|Unvorbereitetsein
54AA33|Ungeschicklichkeit, Unfähigkeit
54AA34|Mittelmäßigkeit
54AA4|Gewalt, Gewalttätigkeit; Ripa: Sforza con Inganno, Violenza
54AA41|Impuls; Ripa: Impeto
54AA42|Wildheit, Ungezähmtheit
54AA43|Unmäßigkeit, Ausschweifung
54AA44|Ungeduld
54AA45|Streitsucht
54AA46|Unruhe, Ruhelosigkeit; Ripa: Inquietudine
54AA47|unruhiger Geist, unruhiger Sinn; Ripa: Inquietudine d'animo
54AA5|Schlechtigkeit
54AA51|böser Geist; Ripa: Genio cattivo
54AA52|Schuldigkeit
54AA6|Hinderlichkeit
54AA7|Schwachheit, Machtlosigkeit, Hilflosigkeit; Ripa: Infermità
54AA71|Besiegbarkeit
54AA72|Verwundbarkeit
54AA8|Feigheit
54B|(Mittel der) Durchführung von Handlungen
54B1|Mittel, Werkzeuge, Wege
54B11|Gebrauch
54B12|(passende) Gelegenheit, richtiger Zeitpunkt
54B121|Ripa: Occasio, Kairos, Occasione
54B1211|auf eine Gelegenheit warten
54B1212|eine Gelegenheit entgehen
54B1213|Eine Gelegenheit ergreifen
54B2|Unerläßlichkeit, Unentbehrlichkeit
54B3|Nützlichkeit, Brauchbarkeit
54B4|Tüchtigkeit, Effizienz
54B5|Wichtigkeit, Übergewicht
54B6|Wert
54BB|(Mittel der) Durchführung von Handlungen (entgegengesetzte Konzepte)
54BB1|Nichtgebrauch, Nichtausübung
54BB11|Mißbrauch
54BB12|Entweihung
54BB13|Unzeit, Unangemessenheit, falscher Zeitpunkt
54BB2|Nutzlosigkeit, Überflüssigkeit
54BB3|Nutzlosigkeit, Schädlichkeit; Ripa: Nocumento, Nocumento d'ogni cosa
54BB31|Schaden, Nachteil; Ripa: Danno
54BB4|Ineffizienz, Unwirksamkeit
54BB5|Unwichtigkeit
54BB6|Wertlosigkeit
54C|Intention, Zweck, Ziel
54C1|Zweckmäßigkeit
54C11|Intention
54C12|Zweck, Ziel
54C2|Empfehlung, Veranlassung, Ansporn
54C21|Überredung, Überzeugung; Ripa: Persuasione
54C22|Appell
54C3|Einfluß
54C31|Beispiel
54C4|Versuchung; Ripa: Tentatione
54CC|Intention, Zweck, Ziel (entgegengesetzte Konzepte)
54CC1|Ziellosigkeit
54CC11|Absichtslosigkeit, Planlosigkeit, Unvorsätzlichkeit
54CC2|Entmutigung
54CC21|Abraten
54CC22|Abschreckung
54D|Verfahren, Prozedur
54D1|Vorbereitung
54D11|Versuch, Probe
54D12|Übung; Ripa: Essercitio
54D2|Aktion, Handlung; Ripa: Operatione manifesta
54D21|Praxis; Ripa: Prattica
54D3|Vollendung
54D31|Beständigkeit
54D4|Leichtigkeit
54D5|Sicherheit
54D6|Gewohnheit; Ripa: Consuetudine
54DD|Verfahren, Prozedur (entgegengesetzte Konzepte)
54DD1|Improvisation
54DD2|Müßiggang; Ripa: Otio
54DD3|Start
54DD31|Unterbrechung, Aufhören
54DD311|Warten, Beobachten
54DD4|Schwierigkeit
54DD41|Schufterei, Schinderei; Ripa: Fatica estiva
54DD42|Ermüdung, Mühsal; Ripa: Lassitudine o Languidezza estiva
54DD5|Unsicherheit
54DD51|Gefahr; Ripa: Pericolo
54DD52|Wagnis, Risiko; Ripa: Ardire ultimo & necessario
54DD6|Ungebräuchlichkeit
54E|wechselseitige Aktion
54E1|Zusammenarbeit, Kooperation, Verbindung
54E11|Notwendigkeit von Zusammenarbeit
54E2|Leitung, Führung
54E3|Anerkennung, Übereinstimmung
54E31|Vereinbarung, Übereinkunft, Abkommen; Ripa: Concordia, Concordia insuperabile, Concordia militare, Concordia di Pace, Unione civile
54E32|Erfüllung
54E4|Verteidigung
54E41|Selbstverteidigung
54E42|Schutz; Ripa: Custodia, Difesa contra nimici, malefici & venefici, Difesa contra pericoli, Riparo da i tradimenti
54E43|Schutz, Bewahrung, Erhaltung; Ripa: Salvezza, Sostanza
54EE|wechselseitige Aktion (entgegengesetzte Konzepte)
54EE1|keine Zusammenarbeit
54EE11|Opposition, Widerstand
54EE2|Hindernis
54EE3|Konflikt; Ripa: Contrasto
54EE31|Nichtübereinstimmung, Zwietracht; Ripa: Discordia
54EE32|Trotz
54EE33|Wettbewerb, Wettkampf, Rivalität; Ripa: Emulatione
54EE4|Angriff
54F|Glück und Unglück
54F1|Erfolg; Ripa: Evento buono
54F11|Wohlstand, Ripa: Felicità publica, Prosperità della vita, Salute
54F12|Glück, glückliche Fügung; Ripa: Fato, Fortuna, Fortuna aurea, Fortuna buona, Fortuna pacifica overo clemente, Sorte
54F121|Schicksalswende, Rad der Fortuna, Glücksrad
54F122|Wechselfälle des Lebens
54F13|Fortschritt, Verbesserung, Genesung
54F131|Erneuerung
54F14|Vorteil
54F2|Sieg
54FF|Glück und Unglück (entgegengesetzte Konzepte)
54FF1|Fehlschlag
54FF11|Mißgeschick, Unglück; Ripa:Fortuna infelice, Infortunio
54FF12|Schicksal
54FF13|Regression, Verschlechterung, Rückfall
54FF14|Nachteil
54FF15|Unterwerfung; Ripa: Forza minore da maggior forza superata
54FF2|Niederlage
55|Besitz, Eigentum
55A|Gewinn und Verlust
55A1|Erwerbung, Gewinn, Profit
55A11|Bewahrung
55A12|Belohnung; praemium; Ripa: Premio, Remuneratione
55AA|Gewinn und Verlust (entgegengesetzte Konzepte)
55AA1|Verlust
55AA11|Verzicht, Preisgabe des Wohlstands
55B|Besitz
55B1|Reichtum, Überfluß; Ripa: Opulenza, Richezza
55B2|Luxus
55B3|nicht zu arm, nicht zu reich
55BB|Besitz (entgegengesetzte Konzepte)
55BB1|Armut; Ripa: Povertà, Povertà del doni, Povertà in uno ch'habbia bell'ingegno
55BB2|Knappheit; Ripa: Carestia
55C|Gebrauch des Reichtums
55C1|Verbrauch, Ausgeben
55C11|Verschwendung, Verschwendungssucht; Ripa: Prodigalità
55C2|Geben, Schenken
55C21|Freigebigkeit, Großzügigkeit; Ripa: Generosità, Liberalità
55C22|Opfer, Angebot; Ripa: Offerta overo Oblatione
55C221|Opfer
55C3|Leihgabe, Leihen
55C4|Annahme
55C5|Teilen
55CC|Gebrauch des Reichtums (entgegengesetzte Konzepte)
55CC1|Sparen, Genügsamkeit, Kargheit; Ripa: Parsimonia
55CC11|Gier, Begierde, Habgier; Ripa: Cupidità
55CC2|Entgegennahme
55CC3|Borgen, Mieten
55CC4|Rückgabe; Ripa: Restitutione
55CC5|Für sich selbst behalten
56|Emotion, Gefühl
56A|Fühlen
56A1|Wahrnehmung, Empfindungsvermögen, Empfinndlichkeit
56A2|Erregung
56A21|Ekstase, Exaltation
56AA|Fühlen (entgegengesetzte Konzepte)
56AA1|Unempfindlichkeit, Empfindungslosigkeit
56AA11|Gefühllosigkeit; Ripa: Impassibilità
56B|Freude und Leid
56B1|Freude, Genuß, Vergnügen; Ripa: Allegrezza, Allegrezza da le medaglie, Allegrezza, letitia e giubilo, Diletto, Piacere, Piacere honesto
56B11|Fröhlichkeit, Heiterkeit
56B12|Jovialität
56B13|Scherzhaftigkeit
56B131|Witz; Ripa. Giuoco (dall'antico)
56B2|Glück, Glückseligkeit
56B21|ewige Seligkeit; Ripa: Felicità eterna
56B22|kurzes Glück; Ripa: Felicità breve
56B3|Befriedigung, Zufriedenheit; Ripa: Contento
56B4|unterhaltung
56B41|Verwöhntheit; Epikureismus
56B42|Grobheit, Ungehobeltheit
56BB|Freude und Leid (entgegengesetzte Konzepte)
56BB1|Schmerz, Leid, Traurigkeit; Ripa: Dolore, Dolore di Zeusi
56BB11|Bitterkeit; Ripa: Amaritudine
56BB12|Qual; Ripa: Tribulatione
56BB121|Wehklage; Ripa: Querela a Dio
56BB13|Kummer, Herzenskummer; Ripa: Cordoglio
56BB131|Seufzer; Ripa: Sospiri
56BB19|Tröstung
56BB2|Unglück; Ripa: Infelicità
56BB21|Elend, Kummer; Ripa: Calamità, Calamità o miseria
56BB22|Not, Leid; Ripa: Miseria mondana
56BB3|Unzufriedenheit
56BB31|Langeweile
56BB32|Unersättlichkeit
56BB33|Nörgeln, Beschwerde; Ripa: Pianto, Querela
56BB34|Enttäuschung
56BB35|Frustration
56BB4|Ekel, Abneigung, Übelkeit
56BB41|Übersättigung, Überdruß
56C|ästhetische Empfindung, Schönheitssinn
56C1|Schönheitssinn
56C2|Bewunderung
56C3|Inspiration; Ripa: Ispiratione
56CC|ästhetische Empfindung, Schönheitssinn (entgegengesetzte Konzepte)
56CC1|Unempfindlichkeit für Schönheit
56CC2|Geringschätzung
56D|Hoffnung und Furcht
56D1|Hoffnung; Ripa: Speranza, Speranza delle fatiche
56D2|Vertrauen
56D21|Zuflucht; Ripa: Refugio
56D29|unangebrachtes Vertrauen, enttäuschtes Vertrauen; Ripa: Pax falsa, Speranza fallace
56D3|Vertrauen, Sicherheit, Ruhe; Ripa: Confidenza, Sicurezza e Tranquillità, Sicurtà, Sicurtà o Sicurezza, Tranquillità
56D31|Selbstvertrauen
56D32|Verpflichtung
56DD|Hoffnung und Furcht (entgegengesetzte Konzepte)
56DD1|Furcht, Angst; Ripa: Paura, Timidità o Timore, Timore
56DD11|Verzweiflung; Ripa: Disperatione
56DD2|Mißtrauen, Verdacht; Ripa: Sospitione
56DD3|Unsicherheit
56DD31|Mangel an Selbstvertrauen; Ripa: Viltà
56DD32|Angst, Furcht; Ripa: Spavento, Terrore
56DD33|Verwirrung, Bestürzung, Panik; Ripa: Perturbatione
56DD34|Schrecken, Abscheu
56E|Ärger und Sanftmut
56E1|Irritation
56E11|Entrüstung; Ripa: Sdegno
56E2|Ärger, Wut
56E21|Jähzorn
56E3|Wut, Zorn; Ripa: Furore, Furore implacabile, Furore & Rabbia, Furore superbo & Indomito
56EE|Ärger und Sanftmut (entgegengesetzte Konzepte)
56EE1|Unterlassung
56EE2|Sanftmut; Ripa: Mansuetudine
56F|Begehren und Abscheu
56F1|Begehren, Sehnsucht; Ripa: Desiderio
56F11|Ambition, Ruhmsucht; Ripa: Amor di Fama
56F12|Zufriedenheit und Unzufriedenheit: die Jagd nach dem Glück
