0|abstrakte, ungegenständliche Kunst
11B3232|Gottvater, stehend oder sitzend, hält den toten Christus: Pitié-de-Notre-Seigneur, Not Gottes
11B33|Darstellungen der Dreifaltigkeit
11B331|Darstellung der Dreifaltigkeit: Person (Gottvater), Lamm (Sohn), und Taube (Heiliger Geist)
11B332|Darstellung der Dreifaltigkeit: Person (Vater), Löwe (Sohn) und Taube (Heiliger Geist)
11B333|Darstellung der Dreifaltigkeit: Symbol (Vater), Person (Sohn), Taube (Heiliger Geist)
11B4|Ratschluß der Erlösung, Prolog im Himmel
11B41|Ratschluß der Erlösung unter Anwesenheit allegorischer Figuren, z.B. Gerechtigkeit, Gnade, Frieden und Wahrheit (die versöhnten Tugenden)
11B42|Aussendung Gabriels als Ratschluß der Erlösung
11B43|Rückkehr Gabriels als Ratschluß der Erlösung
11B44|Aussendung des Gottessohns als Ratschluß der Erlösung
11B45|Rückkehr des Gottessohns als Ratschluß der Erlösung
11B5|Erweiterungen der Heiligen Dreifaltigkeit
11B51|Quaternität (d.i. die Dreifaltigkeit mit Maria)
11B52|Quinität
11C|Gottvater
11C1|Symbole für Gottvater
11C11|das Auge Gottes, Dreieck mit Auge als Symbol für Gottvater
11C12|Hand (Dextera Dei) als Symbol für Gottvater
11C13|Tetragramm (in lateinischer oder hebräischer Schrift) als Symbol für Gottvater
11C14|Feuer(säule) als Symbol für Gottvater
11C15|Licht(strahlen) als Symbol für Gottvater
11C16|Alpha und Omega als Symbol für Gottvater
11C2|Gottvater als Mensch dargestellt, in der Regel mit Krone oder Tiara oder Zepter und/oder Weltkugel
11C21|Gottvater als junger oder erwachsener Mann (eventuell Christus gleichend)
11C211|Gottvater thronend, in der Regel mit Zepter und/oder Weltkugel
11C22|Gottvater als junger oder erwachsener Mann (Jupiter gleichend)
11C221|Gottvater (Jupiter gleichend) thronend, in der Regel mit Zepter und/oder Weltkugel
11C23|Gottvater als bärtiger alter Mann, in der Regel mit Krone oder Tiara oder Zepter und/oder Weltkugel
11C231|Gottvater (als bärtiger alter Mann) thronend, gewöhnlich mit Krone oder Tiara und mit Zepter und/oder Weltkugel
11C3|Christus zur Rechten Gottes sitzend
11C31|Gottvater krönt Christus
11C32|Gottvater krönt gleichzeitig Christus und Maria
11C4|Scala Salutis: Christus und Maria bei Gottvater Fürsprache einlegend
11C41|Christus legt bei Gottvater Fürbitte ein
11C5|andere Darstellungen Gottvaters
11C51|Gottvater zwischen Sonne und Mond
11D|Christus
11D1|Symbole und Präfigurationen Christi
11D11|Buchstaben und Monogramme als Christussymbole
11D111|Alpha und Omega, manchmal mit Kranz, Dreieck, den Marterwerkzeugen etc. als Christussymbole
11D112|das Christusmonogramm und davon abgeleitete Formen als Christussymbol
11D113|IHS (Iesus Hominum Salvator) als Christussymbol
11D1131|Labarum (Kreuzbanner), z.B. kaiserliche Standarte mit dem Christogramm IHS
11D1132|Anbetung des Namens Jesu
11D114|Ichthys (Fisch) als Christussymbol
11D12|das Kreuz in Verbindung mit Christus
11D121|das Kreuz als Christussymbol
11D122|Christussymbol (z.B. Lamm) am Kreuz
11D1221|Kreuz mit Christuskopf oder -brustbild
11D123|spezifische Kreuzformen
11D123(...)|spezifische Kreuzformen (mit NAMEN)
11D123(ANDREW'S CROSS)|spezifische Kreuzformen: Andreaskreuz
11D123(ANSATE CROSS)|spezifische Kreuzformen: Crux Ansata
11D123(BENEDICTINE CROSS)|spezifische Kreuzformen: Benediktinerkreuz
11D123(CARAVACA CROSS)|spezifische Kreuzformen: Caravaca-Kreuz
11D123(FORKED CROSS)|spezifische Kreuzformen: Gabelkreuz
11D123(GREEK CROSS)|spezifische Kreuzformen: Griechisches Kreuz
11D123(LORRAINE CROSS)|spezifische Kreuzformen: Lothringer Kreuz
11D123(SWASTIKA)|spezifische Kreuzformen: Hakenkreuz
11D123(TAU-CROSS)|spezifische Kreuzformen: Tau-Kreuz
11D124|Anbetung des Kreuzes
11D13|(andere) Christussymbole
11D131|Christussymbole aus der Tierwelt
11D1311|das Lamm trägt das Kreuz oder das Kreuzbanner, Agnus Dei als Christussymbol
11D1312|Christussymbole ~ Vögel
11D13121|Taube als Christussymbol
11D13122|Adler als Christussymbol
11D13123|Pfau als Christussymbol
11D13124|Pelikan als Christussymbol
11D1313|Christussymbole ~ Saügetiere
11D13131|Reh als Christussymbol
11D13132|Delphin als Christussymbol
11D13133|Hase als Christussymbol
11D13134|Löwe als Christussymbol
11D1314|Christussymbole ~ Insekten
11D13141|Skarabäus als Christussymbol
11D1315|Christussymbole ~ Fabeltiere
11D13151|Greif als Christussymbol
11D13152|Phönix als Christussymbol
11D13153|Einhorn als Christussymbol
11D132|Christussymbole aus der Flora
11D133|Gegenstände als Christussymbole
11D1331|Etimasia, leerer Thron mit dem Buch des Lebens (für Christus vorbereitet)
11D134|Brot und Fisch als Christussymbole
11D14|Präfigurationen Christi, Christus und seine Präfigurationen
11D15|Inkarnation Christi
11D2|Christus als Kind oder Jugendlicher (generell)
11D21|Christuskind (mit Attributen)
11D22|Christuskind in Bezug zu Darstellungen des erwachsenen Christus
11D23|Christuskind mit Bezug auf die Passion (Schmerzenskind)
11D231|das nachsinnende Christuskind vor den Leidenswerkzeugen
11D232|Christuskind inmitten der Leidenswerkzeuge
11D233|das Christuskind trägt die Leidenswerkzeuge
11D234|das Christuskind zeigt seine fünf Wunden vor
11D235|das Christuskind flicht eine Dornenkrone oder verflicht Dornenzweige miteinander
11D236|Christus als Kind, das Kreuz tragend
11D237|das Christuskind kniet vor dem Kreuz
11D238|das Christuskind schläft auf dem Kreuz
11D24|das Christuskind als eucharistisches Symbol
11D241|das Christuskind in oder auf einem Kelch
11D2411|Melismos: das Christuskind als eucharistisches Symbol
11D242|das Christuskind in der Hostienmühle
11D25|das Christuskind mit anderen Figuren zusammen dargestellt
11D26|Christus als Jugendlicher
11D261|Christus als Emmanuel
11D3|Christus als Erwachsener
11D31|angebliche Porträts von Christus
11D311|Mandylion (ein Selbstbildnis Christi, das dieser für König Abgar von Edessa hergestellt haben soll, indem er sein Gesicht in ein Tuch bzw. einen Schleier gepresst hat)
11D3111|Christus gibt dem Boten König Abgars das Mandylion
11D3112|das Mandylion wird nach Edessa gebracht
11D312|Vera Icon, Sudarium, Schweißtuch der Veronika
11D3121|Vera Icon, von Veronika hochgehalten
11D3122|Vera Icon, von Engeln hochgehalten
11D3123|Vera Icon, von Petrus und Paulus hochgehalten
11D3124|Vera Icon, hochgehalten von den vier Evangelistensymbolen
11D313|(angebliches) Porträt Christi, wie im Brief des Lentulus erwähnt
11D314|Volto Santo, z.B. von Lucca (angeblich von Nikodemus geschnitzt)
11D315|vom hl. Lukas hergestelltes Christusporträt
11D316|ex voto der vom Blutfluß geheilten Frau
11D317|ganzfiguriges Christusbild auf dem Grabtuch: Sindone
11D318|(andere) angebliche Porträts Christi, z.B. Profilbildnisse
11D32|spezielle Darstellungsformen des erwachsenen Christus (ohne andere Personen)
11D321|Majestas Domini: Christus in einer Mandorla sitzt auf einem Regenbogen oder einer Kugel und wird vom Tetramorph begleitet
11D322|Christus thronend
11D3221|Pantokrator: Christus (als Brustbild) mit Rede- oder Segensgestus und ein Buch haltend
11D3222|Christus Rex
11D3223|Christus als (himmlischer) Richter
11D323|der Christlogos als Weltenschöpfer
11D324|Salvator Mundi, mit Segensgestus, eine Weltkugel in seiner Hand oder zu seinen Füßen
11D325|Christus in Verbindung mit der Eucharistie
11D3251|Christus mit Kelch und Brot bzw. Hostie
11D3252|Christus in der Kelter (nach Is. 63:3)
11D3253|Christus in der Hostienmühle
11D326|Fons Vitae, Fons Pietatis
11D3261|Christus vergießt sein Blut auf oder nahe einer Quelle
11D3262|Christus am Kreuz (in einer Quelle) vergießt sein Blut
11D327|Christus in menschlichen Berufen
11D3271|Christus als Guter Hirte
11D3272|Christus als Arzt
11D32721|Christus als Apotheker
11D3273|Christus als Fischer
11D3274|Christus als fahrender Händler (Hausierer)
11D3275|Christus als Bauer oder Gärtner
11D3276|Christus als Gastgeber
11D3277|Christus als (Hoher)priester oder Prophet
11D3278|Christus als Pilger
11D3279|Feiertagschristus, Christus mit Werkzeug von Handwerkern
11D328|Darstellungsformen des erwachsenen Christus (allein)
11D3281|Christus als Frau
11D3282|Christus im Orantengestus
11D3283|Christus als Engel
11D3284|Christus mit Bezug auf Orpheus
11D3285|Christus mit Bezug auf Apollo (Helios)
11D33|der erwachsene Christus zusammen mit anderen Personen (nicht-narrative Darstellungen)
11D331|der erwachsene Christus mit Maria
11D3311|Christus und Maria als Bräutigam und Braut
11D332|der erwachsene Christus mit Engeln
11D333|der erwachsene Christus mit Bezug auf Teufel und Dämonen
11D3331|Christus triumphiert über (den) Teufel
11D334|der erwachsene Christus zusammen mit Aposteln, Evangelisten, Heiligen etc.
11D3341|Christus mit Johannes dem Evangelisten an seiner Brust: Johannesminne, Christus-Johannes-Gruppe
11D3342|Traditio legis, Dominus legem dat: Christus übergibt Paulus eine Schriftrolle (das Gesetz), Petrus ist anwesend
11D33421|Christus übergibt Paulus eine Schriftrolle (das Gesetz), ein oder mehrere Apostel sind anwesend
11D3343|Christus mit reuigen Sündern (Adam, David, der Verlorene Sohn, Maria Magdalena, der Gute Schächer, Petrus etc.)
11D335|der erwachsene Christus zusammen mit Sterblichen
11D3351|(der erwachsene) Christus erscheint Sterblichen
11D336|der triumphierende Christus, z.B. auf einem Triumphwagen
11D337|Christus zu Pferd
11D3371|Christus zu Pferd führt eine Armee von Rittern an, Militia Christi
11D34|der erwachsene Christus in Bezug zu abstrakten Ideen
11D35|spezifische Darstellungsformen des gekreuzigten Christus (in nicht-narrativem Kontext)
11D351|der leidende Christus (mit Dornenkrone, den Kopf in der Regel seitwärts gedreht)
11D352|Christus mit Pestbeulen bedeckt, Pestkruzifixus
11D353|der triumphierende Christus (mit Krone und in der Regel mit erhobenem Haupt)
11D354|Christus beugt sich vom Kreuz herab, um jemanden zu umarmen
11D355|der an einem Baum oder einer Weinrebe gekreuzigte Christus
11D356|der an ein lebendes (sprießendes) Kreuz geschlagene Christus
11D357|die Tugenden im Bezug zum gekreuzigten Christus
11D36|andere Darstellungsformen des gekreuzigten Christus (in nicht-narrativem Kontext)
11D4|Legenden und Kulte mit Bezug auf Christus
11D41|Legenden mit Bezug auf Christus
11D411|Kreuzlegende
11D4111|Set legt einen Zweig vom Baum der Erkenntnis in Adams Grab (Kreuzlegende)
11D41111|Set sucht das Paradies, der Engel gibt ihm einen Zweig oder eine Ölflasche (Kreuzlegende)
11D4112|Salomos Tempel wird mit dem Holz erbaut (Kreuzlegende)
11D4113|die Königin von Saba huldigt dem Holz, aus dem eine Brücke gebaut wird (Kreuzlegende)
11D4114|das Holz wird vom Teich von Betesda entfernt, um als Kreuz Christi zu fungieren (Kreuzlegende)
11D4115|Helenas Vision vom Heiligen Kreuz, das von Engeln getragen wird (Kreuzlegende)
11D4116|die Auffindung des Heiligen Kreuzes (Kreuzlegende)
11D41161|Der Jude Judas wird von Helena, der Mutter Konstantins, in einen Brunnen geworfen (Kreuzlegende)
11D41162|die drei Kreuze werden in der Nähe des Venustempels ausgegraben (Kreuzlegende)
11D41163|Helena erkennt das Heilige Kreuz, weil ein Toter durch Berührung mit ihm zum Leben erweckt wird (Kreuzlegende)
11D41164|Helena und Konstatin knien vor (oder stehen neben) dem Heiligen Kreuz (Kreuzlegende)
11D4117|die Aufrichtung und Erhöhung des Heiligen Kreuzes (Kreuzlegende)
11D41171|Kaiser Heraclius besiegt Chosrau II. von Persien und gewinnt einen Teil des Heiligen Kreuzes zurück (Kreuzlegende)
11D41172|der Einzug des Heraclius nach Jerusalem: gemäß dem Befehl eines Engels trägt der Kaiser (ohne sein königliches Gewand) das Heilige Kreuz in die Stadt (Kreuzlegende)
11D411721|Kaiser Heraclius zieht auf einem Esel oder zu Pferd nach Jerusalem ein (Kreuzlegende)
11D41173|das Heilige Kreuz wird auf Golgatha (oder auf einem Altar) aufgerichtet (Kreuzlegende)
11D41174|Chosrau II., der die Taufe verweigert, wird hingerichtet (Kreuzlegende)
11D412|Legende von der blutenden Heiligen Lanze
11D413|Legende vom Heiligen Gral
11D414|die Prophezeiung des Basilides: auf seinem Weg nach Jerusalem besucht Kaiser Titus den Einsiedler Basilides, der ihm eine visionäre Erscheinung (Gottvater mit dem toten Christus) zeigt
11D42|(kultische) Verehrung in Bezug auf Christus
11D421|die sieben Wunden Christi
11D4211|einzelne Szenen mit Bezug auf die sieben Wunden Christi
11D422|das Herz Jesu
11D423|das Heilige Blut
11D424|die Heilige Träne
11D425|die Länge (Größe) Christi
11D43|Reliquien mit Bezug auf Christus
11D431|Kreuzessplitter als Christusreliquien
11D432|Kreuzesnägel als Christusreliquien
11D433|die Heilige Lanze (Lanze des Longinus) als Christusreliquie
11D434|das Gewand Christi als Christusreliquie
11D435|Scala Santa: die Stufen zum Palast des Pilatus als Christusreliquien
11D5|mystische Ideen mit Bezug auf Christus
11D51|Christus und die Seele
11D511|die Seele als Braut Christi
11D52|Christus und das menschliche Herz
11D53|Christi Blut rettet die Menschheit
11D6|wundertätige Statuen Christi oder des Christuskindes
11D6(...)|wundertätige Statuen Christi oder des Christuskindes (mit Namen)
11D9|der Antichrist
11D91|Szenen aus dem Leben des Antichrist
11DD3|Christus als Erwachsener - DD - Christus ohne Bart
11DD31|angebliche Porträts von Christus - DD - Christus ohne Bart
11DD311|Mandylion (ein Selbstbildnis Christi, das dieser für König Abgar von Edessa hergestellt haben soll, indem er sein Gesicht in ein Tuch bzw. einen Schleier gepresst hat) - DD - Christus ohne Bart
11DD3111|Christus gibt dem Boten König Abgars das Mandylion - DD - Christus ohne Bart
11DD3112|das Mandylion wird nach Edessa gebracht - DD - Christus ohne Bart
11DD312|Vera Icon, Sudarium, Schweißtuch der Veronika - DD - der triumphierende Christus
11DD3121|Vera Icon, von Veronika hochgehalten - DD - der triumphierende Christus
11DD3122|Vera Icon, von Engeln hochgehalten - DD - der triumphierende Christus
11DD3123|Vera Icon, von Petrus und Paulus hochgehalten - DD - der triumphierende Christus
11DD313|(angebliches) Porträt Christi, wie im Brief des Lentulus erwähnt - DD - Christus ohne Bart
11DD314|Volto Santo, z.B. von Lucca (angeblich von Nikodemus geschnitzt) - DD - Christus ohne Bart
11DD315|vom hl. Lukas hergestelltes Christusporträt - DD - Christus ohne Bart
11DD316|ex voto der vom Blutfluß geheilten Frau - DD - Christus ohne Bart
11DD317|ganzfiguriges Christusbild auf dem Grabtuch: Sindone - DD - Christus ohne Bart
11DD318|(andere) angebliche Porträts Christi, z.B. Profilbildnisse - DD - Christus ohne Bart
11DD32|spezielle Darstellungsformen des erwachsenen Christus (ohne andere Personen) - DD - Christus ohne Bart
11DD321|Majestas Domini: Christus in einer Mandorla sitzt auf einem Regenbogen oder einer Kugel und wird vom Tetramorph begleitet - DD - Christus ohne Bart
11DD322|Christus thronend - DD - Christus ohne Bart
11DD3221|Pantokrator: Christus (als Brustbild) mit Rede- oder Segensgestus und ein Buch haltend - DD - Christus ohne Bart
11DD3222|Christus Rex - DD - Christus ohne Bart
11DD3223|Christus als (himmlischer) Richter - DD - Christus ohne Bart
11DD323|der Christlogos als Weltenschöpfer - DD - Christus ohne Bart
11DD324|Salvator Mundi, mit Segensgestus, eine Weltkugel in seiner Hand oder zu seinen Füßen - DD - Christus ohne Bart
11DD325|Christus in Verbindung mit der Eucharistie - DD - Christus ohne Bart
11DD3251|Christus mit Kelch und Brot bzw. Hostie - DD - Christus ohne Bart
11DD3252|Christus in der Kelter (nach Is. 63:3) - DD - Christus ohne Bart
11DD3253|Christus in der Hostienmühle - DD - Christus ohne Bart
11DD326|Fons Vitae, Fons Pietatis - DD - Christus ohne Bart
11DD3261|Christus vergießt sein Blut auf oder nahe einer Quelle - DD - Christus ohne Bart
11DD3262|Christus am Kreuz (in einer Quelle) vergießt sein Blut - DD - Christus ohne Bart
11DD327|Christus in menschlichen Berufen - DD - Christus ohne Bart
11DD3271|Christus als Guter Hirte - DD - Christus ohne Bart
11DD3272|Christus als Arzt - DD - Christus ohne Bart
11DD32721|Christus als Apotheker - DD - Christus ohne Bart
11DD3273|Christus als Fischer - DD - Christus ohne Bart
11DD3274|Christus als fahrender Händler (Hausierer) - DD - Christus ohne Bart
11DD3275|Christus als Bauer oder Gärtner - DD - Christus ohne Bart
11DD3276|Christus als Gastgeber - DD - Christus ohne Bart
11DD3277|Christus als (Hoher)priester oder Prophet - DD - Christus ohne Bart
11DD3278|Christus als Pilger - DD - Christus ohne Bart
11DD3279|Feiertagschristus, Christus mit Werkzeug von Handwerkern - DD - Christus ohne Bart
11DD328|Darstellungsformen des erwachsenen Christus (allein) - DD - Christus ohne Bart
11DD3281|Christus als Frau - DD - Christus ohne Bart
11DD3282|Christus im Orantengestus - DD - Christus ohne Bart
11DD3283|Christus als Engel - DD - Christus ohne Bart
11DD3284|Christus mit Bezug auf Orpheus - DD - Christus ohne Bart
11DD3285|Christus mit Bezug auf Apollo (Helios) - DD - Christus ohne Bart
11DD33|der erwachsene Christus zusammen mit anderen Personen (nicht-narrative Darstellungen) - DD - Christus ohne Bart
11DD331|der erwachsene Christus mit Maria - DD - Christus ohne Bart
11DD3311|Christus und Maria als Bräutigam und Braut - DD - Christus ohne Bart
11DD332|der erwachsene Christus mit Engeln - DD - Christus ohne Bart
11DD333|der erwachsene Christus mit Bezug auf Teufel und Dämonen - DD - Christus ohne Bart
11DD3331|Christus triumphiert über (den) Teufel - DD - Christus ohne Bart
11DD334|der erwachsene Christus zusammen mit Aposteln, Evangelisten, Heiligen etc. - DD - Christus ohne Bart
11DD3341|Christus mit Johannes dem Evangelisten an seiner Brust: Johannesminne, Christus-Johannes-Gruppe - DD - Christus ohne Bart
11DD3342|Traditio legis, Dominus legem dat: Christus übergibt Paulus eine Schriftrolle (das Gesetz), Petrus ist anwesend - DD - Christus ohne Bart
11DD33421|Christus übergibt Paulus eine Schriftrolle (das Gesetz), ein oder mehrere Apostel sind anwesend - DD - Christus ohne Bart
11DD3343|Christus mit reuigen Sündern (Adam, David, der Verlorene Sohn, Maria Magdalena, der Gute Schächer, Petrus etc.) - DD - Christus ohne Bart
11DD335|der erwachsene Christus zusammen mit Sterblichen - DD - Christus verhöhnt, bedroht etc.
11DD3351|(der erwachsene) Christus erscheint Sterblichen - DD - Christus verhöhnt, bedroht etc.
11DD336|der triumphierende Christus, z.B. auf einem Triumphwagen - DD - Christus ohne Bart
11DD337|Christus zu Pferd - DD - Christus ohne Bart
11DD3371|Christus zu Pferd führt eine Armee von Rittern an, Militia Christi - DD - Christus ohne Bart
11DD34|der erwachsene Christus in Bezug zu abstrakten Ideen - DD - Christus ohne Bart
11DD35|spezifische Darstellungsformen des gekreuzigten Christus (in nicht-narrativem Kontext) - DD - Christus ohne Bart
11DD351|der leidende Christus (mit Dornenkrone, den Kopf in der Regel seitwärts gedreht) - DD - Christus ohne Bart
11DD352|Christus mit Pestbeulen bedeckt, Pestkruzifixus - DD - Christus ohne Bart
11DD353|der triumphierende Christus (mit Krone und in der Regel mit erhobenem Haupt) - DD - Christus ohne Bart
11DD354|Christus beugt sich vom Kreuz herab, um jemanden zu umarmen - DD - Christus ohne Bart
11DD355|der an einem Baum oder einer Weinrebe gekreuzigte Christus - DD - Christus ohne Bart
11DD356|der an ein lebendes (sprießendes) Kreuz geschlagene Christus - DD - Christus ohne Bart
11DD357|die Tugenden im Bezug zum gekreuzigten Christus - DD - Christus ohne Bart
11DD36|andere Darstellungsformen des gekreuzigten Christus (in nicht-narrativem Kontext) - DD - Christus ohne Bart
11DD422|das Herz Jesu - DD - das Christuskind und das Herz Jesu
11E|der Heilige Geist
11E1|der Heilige Geist als Taube (in Flammen) dargestellt
11E2|Darstellung des Heiligen Geistes in Form von Flammenzungen
11E3|der Heilige Geist als menschliche Figur dargestellt
11E4|anderweitige Darstellungen des Heiligen Geistes, z.B. als Lichtstrahl(en)
11E5|die sieben Gaben des Heiligen Geistes
11E51|die sieben Gaben des Heiligen Geistes als sieben Tauben dargestellt
11E52|die sieben Gaben des Heiligen Geistes als sieben Flammen dargestellt
11E53|die sieben Gaben des Heiligen Geistes als sieben Lampen oder als siebenarmiger Leuchter dargestellt
11E54|andere Darstellungen der sieben Gaben des Heiligen Geistes
11E541|Sapientia, Weisheit, Sapienza divina (Ripa) als eine der sieben Gaben des Heiligen Geistes
11E542|Intellectus, Intelligentia, Verstand, als eine der sieben Gaben des Heiligen Geistes
11E543|Consilium, Rat, als eine der sieben Gaben des Heiligen Geistes
11E544|Fortitudo, Stärke, als eine der sieben Gaben des Heiligen Geistes
11E545|Pietas, Frömmigkeit, als eine der sieben Gaben des Heiligen Geistes
11E546|Scientia, Wissen(schaft), als eine der sieben Gaben des Heiligen Geistes
11E547|Timor Domini, Furcht Gottes (Jahwes), Heilige Furcht, als eine der sieben Gaben des Heiligen Geistes
11F|die Jungfrau Maria
11F1|Symbole und Präfigurationen Marias
11F11|Mariensymbole
11F111|Mariensymbole aus Litaneien
11F111(...)|Mariensymbole aus Litaneien (mit TEXT)
11F111(CIVITAS DEI)|Mariensymbole aus Litaneien: Civitas Dei
11F111(ELECTA UT SOL)|Mariensymbole aus Litaneien: Electa ut sol
11F111(FLOS CAMPI)|Mariensymbole aus Litaneien: Flos campi
11F111(FONS SIGNATUS)|Mariensymbole aus Litaneien: Fons signatus
11F111(HORTUS CONCLUSUS)|Mariensymbole aus Litaneien: Hortus conclusus
11F111(PORTA COELI)|Mariensymbole aus Litaneien: Porta coeli
11F111(PULCHRA UT LUNA)|Mariensymbole aus Litaneien: Pulchra ut luna
11F111(ROSA MYSTICA)|Mariensymbole aus Litaneien: Rosa mystica
11F111(SPECULUM SINE MACULA)|Mariensymbole aus Litaneien: Speculum sine macula
11F111(STELLA MARIS)|Mariensymbole aus Litaneien: Stella maris
11F111(STELLA MATUTINA)|Mariensymbole aus Litaneien: Stella matutina
11F111(TURRIS DAVIDICA)|Mariensymbole aus Litaneien: Turris Davidica
11F111(TURRIS EBURNEA)|Mariensymbole aus Litaneien: Turris eburnea
11F112|Maria (mit oder ohne Kind) mit Symbolen aus der Lauretanischen Litanei
11F12|Marienmonogramme
11F13|Marienwappen
11F14|Defensorium inviolatae virginitatis, Symbole der jungfräulichen Mutterschaft
11F15|Präfigurationen Marias, Maria und ihre Präfigurationen
11F2|Maria (ohne Christuskind)
11F21|Maria als Kind
11F22|angebliche Porträts von Maria
11F23|Maria ohne Christuskind, aufrecht sitzend oder stehend
11F231|Maria als Orantin (manchmal Blacherniotissa genannt)
11F232|Immaculata, Purisima: Maria, in der Regel auf einer Mondsichel stehend, steigt vom Himmel herab und befreit die Menschheit von der Erbsünde, manchmal indem sie eine Schlange zertritt
11F2321|Immaculata, Purisima: Maria mit Heiligen
11F233|Maria steht oder ruht auf der Erde
11F234|Maria schwanger, Madonna del Parto
11F2341|Maria schwanger, Christuskind sichtbar
11F235|Maria mit geöffnetem Körper
11F2351|Dreifaltigkeit im geöffneten Körper Marias
11F2352|Passion Christi im geöffneten Körper Marias
11F236|Ährenkleidmaria (manchmal mit Christuskind)
11F24|Maria als Sitzfigur (allein)
11F241|die Schmerzen Mariä
11F2411|die (sieben) Schmerzen Marias
11F2412|Maria von sieben Schwertern durchbohrt
11F242|die Freuden Mariä
11F2421|die (sieben) Freuden Marias
11F243|Maria und das Einhorn
11F244|die thronende Maria
11F26|sonstige Darstellungsformen von Maria (allein)
11F25|Mater Dolorosa
11F251|die weinende Maria
11F252|Maria von einem Schwert durchbohrt
11F253|Maria mit den Leidenswerkzeugen
11F261|Maria als Braut des Heiligen Geistes (mit einer Taube auf ihrer Brust)
11F262|Maria als (Schaf)hirtin
11F263|Maria als Pilger
11F264|Maria als Eremitin (nach Christi Tod), Nostra señora de la Soledad
11F265|Maria als Ärztin
11F266|Maria besiegt den Teufel
11F267|Maria rettet eine (oder mehrere) Seele(n)
11F268|Maria als Priesterin, die die Kommunion spendet
11F3|Maria (ohne Christuskind), zusammen mit anderen Personen
11F31|Maria legt Fürsprache ein (bei Christus), Maria Mediatrix (zeigt manchmal ihre Brüste)
11F32|Maria mit Sterblichen, die sie anbeten oder um Hilfe anflehen
11F33|Maria stillt: Lactatio
11F34|Maria beschützt die Menschheit vor der Pest, z.B. indem sie Menschen mit ihrem Mantel beschirmt: Pestbild
11F35|Maria als Königin der Apostel
11F36|Triumph Marias, auf einem Triumphwagen
11F4|Madonna; d.h. Maria mit dem Christuskind
11F41|Madonna: stehende (oder halbfigurige) Maria mit dem Christuskind an der Brust
11F411|Maria stehend (oder halbfigurig), das Christuskind vor ihr
11F4111|Maria stehend (oder halbfigurig), das Christuskind steht vor ihr
11F4112|Maria stehend (oder halbfigurig), das Christuskind sitzt vor ihr
11F41121|die Madonna als Nikopoia
11F4113|Maria, stehend (oder halbfigurig), das Christuskind liegt vor ihr
11F412|Maria stehend (oder halbfigurig), das Christuskind auf ihrem Arm und an ihrer Brust
11F4121|Maria stehend (oder halbfigurig), das Christuskind steht auf ihrem Arm
