5|抽象的な考えと概念
52B12|思い悩むこと
52B13|執着
52B2|自認, 確信
52B21|信じやすいこと
52B3|予想
52B31|見込み
52B4|確証
52B41|確実性
52B42|可能性
52B5|合理性, 理由づけ
52B51|理由
52B511|善悪の相違
52B5111|良い, 正しい
52B5112|悪い, 邪悪, 間違っている
52B512|邪悪な考えを追い払う
52B513|理性対性的欲望
52B52|三段論法, 証拠
52B53|証明
52BB|理由づけ (対立する概念)
52BB1|配慮不足
52BB2|疑い
52BB21|不信
52BB3|驚き
52BB31|起こりそうもないこと
52BB4|想定
52BB41|不確実性
52BB42|不可能性
52BB5|不合理性
52BB51|直観
52BB52|詭弁
52BB53|無意味なもの, ばかげた考え
52BB54|根拠のない憶測
52BB6|逆上
52BB61|熱中
52C|理解と誤解
52C1|熟慮
52C11|意見
52C111|世論
52C12|文
52C2|肯定, 確証
52C3|承認 
52C4|理解, 理解力
52C41|誤解または勘違いからの解放
52C42|解釈
52C5|学説
52C51|教義
52C52|イデオロギー
52CC|理解と誤解 (対立する概念)
52CC1|思いやりのなさ
52CC2|否定, 否認
52CC3|不一致
52CC31|論破, 反駁, 反証をあげること
52CC4|誤解, 無理解
52CC41|誤り
52D|考えのやりとり (性質上の側面)
52D1|考えのやりとり
52D2|明確さ, 正確さ
52D21|簡潔さ
52D3|雄弁
52D31|巧みな話術の力
52D4|冗長さ, くどいこと, 多弁
52D41|つまらないこと
52D5|噂
52DD|考えのやりとり (性質上の側面) (対立する概念)
52DD1|秘密, 潜伏, 隠された状態
52DD11|秘密
52DD2|不明確さ, 不正確
52DD21|混乱, 不明
52DD22|煙に巻くこと
52DD3|無言
52E|考えのやりとり (答えと問い)
52E1|反応, 答え, 解答
52E2|予測, 予言
52E21|良い兆し
52E22|悪い兆し
52E3|助言
52EE|考えのやりとり (答えと問い) (対立する概念)
52EE1|尋ねること, 質問, 尋問
52EE11|質問, 調査
53|意志, 決断
53A|意志の特徴
53A1|意志
53A11|選択
53A2|我慢強さ, 決意, 決心
53A21|不変, 粘り強さ
53A211|頑固さ
53A212|執念深さ
53A22|安定性, かたさ
53AA|意志の特徴 (対立する概念)
53AA1|意志のなさ
53AA11|宿命
53AA2|決断力の無さ
53AA21|不誠実
53AA22|変節
53B|意志の行為
53B1|承諾
53B2|決定的であること, 決定
53B3|自制
53B4|自発性
53B41|意向
53B5|従順さ
53B6|規律
53B7|遵守, 満足
53BB|意志の行為 (対立する概念)
53BB1|拒否
53BB2|ためらい
53BB3|わがまま
53BB4|不本意であること
53BB5|不服従, 不従順, 反抗
53BB51|抗議
53BB6|無秩序
53BB61|怠慢
53BB7|不遵守
53C|権威と従属
53C1|優勢
53C11|権威, 権力
53C12|厳格
53C13|厳格さ
53C2|命令
53C21|衝動
53C22|危険, 脅迫
53CC|権威と従属 (対立する概念)
53CC1|従属
53CC11|供給
53CC12|主体性のなさ
53CC2|自発性
53CC21|進んで従うこと
53CC3|嘆願すること
53CC31|祈り
53CC32|嘆願
53D|異人種間の決断
53D1|申し出, 提案
53D11|許可
53D12|支持
53D2|約束
53D3|仲裁
53DD|異人種間の決断 (対立する概念)
53DD1|拒絶
53DD11|禁止
53DD2|約束違反
54|行為の過程
54A|実行中の状態
54A1|活動
54A11|勤勉さ, 根気
54A2|注意深さ, 勤勉さ
54A21|心配, 気遣い
54A211|誠実さ
54A3|能力
54A31|経験, 熟練
54A32|準備ができていること
54A33|技術, 能力
54A4|冷静さ, 落ち着き, 沈着
54A41|自制
54A42|制限
54A43|節制, 適度
54A431|中庸
54A44|忍耐力
54A45|平和を好むこと
54A46|休息
54A47|心の平和
54A5|善良性
54A51|良い天性
54A52|罪のなさ
54A6|有用さ
54A7|強さ, 力
54A71|無敵
54A72|不死身さ
54A8|勇気, 勇敢さ, 勇壮, 男らしさ
54A81|怖いもの知らず, 大胆さ
54A82|大胆さ, 向こう見ず
54AA|実行中の状態 (対立する概念)
54AA1|不活発
54AA11|のろさ, 怠惰
54AA2|不注意
54AA21|無関心
54AA3|無能力
54AA31|無経験
54AA32|準備不足
54AA33|無能, 不器用さ, ぎこちなさ
54AA34|平凡
54AA4|激しさ, 暴力, 獰猛さ
54AA41|衝動
54AA42|野生
54AA43|不摂生, 節度のなさ
54AA44|苛立ち
54AA45|喧嘩ずき
54AA46|不安
54AA47|心の不安
54AA5|悪さ
54AA51|悪の天性
54AA52|罪悪感
54AA6|妨害
54AA7|弱さ, 無力さ
54AA71|打ち負かされやすさ
54AA72|脆弱性
54AA8|臆病
54B|手段とその特徴
54B1|手段
54B11|使用
54B12|好機, 時機を掴むこと, 時宜を得たこと
54B121|
54B1211|好機を待つこと
54B1212|好機を逃すこと
54B1213|好機を掴むこと
54B2|不可欠であること
54B3|有益, 有用
54B4|能率
54B5|重要性, 優位
54B6|価値
54BB|手段とその特徴 (対立する概念)
54BB1|不使用
54BB11|誤用, 悪用
54BB12|冒涜
54BB13|時機を逸していること, 時機の悪いこと
54BB2|不必要, 過剰なもの
54BB3|無益, 有害
54BB31|損害
54BB4|容量の悪さ
54BB5|重要でないこと
54BB6|無価値
54C|意図, 目的, 目標
54C1|しっかりした目的があること
54C11|意図
54C12|目的, 目標
54C2|勧め, 誘因, 刺激
54C21|説得
54C22|訴え
54C3|影響
54C31|実例
54C4|誘惑
54CC|意図, 目的, 目標 (対立する概念)
54CC1|漫然としていること
54CC11|意図のない, 無計画, 意図のなさ, 無計画さ
54CC2|阻止すること
54CC21|思いとどまらせること
54CC22|抑止
54D|手順
54D1|準備
54D11|試み, 試行
54D12|運動
54D2|行動
54D21|実行
54D3|完成
54D31|継続
54D4|設備
54D5|安全
54D6|慣習, 習慣
54DD|手順 (対立する概念)
54DD1|即興で作ること
54DD2|怠惰
54DD3|開始
54DD31|中断, 中止
54DD311|待つこと, 見守ること
54DD4|難しさ
54DD41|単調な骨折り仕事
54DD42|疲労, 脱力感
54DD5|危険
54DD51|危険
54DD52|危険性
54DD6|廃止
54E|相互作用
54E1|協力, 連合
54E11|相互協力の必要性
54E2|案内
54E3|一致, 合致
54E31|協定, 統一
54E32|承諾
54E33|調整
54E4|防御
54E41|自己防衛
54E42|保護
54E43|保存, 維持
54EE|相互作用 (対立する概念)
54EE1|非協力
54EE11|対立, 阻止, 抵抗
54EE2|妨害, 阻止
54EE3|衝突
54EE31|意見の相違, 不一致
54EE32|抵抗
54EE33|競争, 対抗
54EE4|攻撃
54F|運と不運
54F1|成功
54F11|富, 繁栄
54F12|幸運, 運
54F121|運命の巡り合わせ, 運命の歯車
54F122|人生の浮き沈み
54F13|進歩, 改善, 回復
54F131|修理
54F14|優越点
54F2|勝利
54FF|運と不運 (対立する概念)
54FF1|失敗
54FF11|不運, 不幸
54FF12|運命, 宿命
54FF13|退化, 悪化, 再発
54FF14|不利な点
54FF15|服従
54FF2|敗北
55|財産
55A|獲得と喪失
55A1|獲得, 利益
55A11|保有
55A12|報酬
55AA|獲得と喪失 (対立する概念)
55AA1|喪失
55AA11|断念, 財産の放棄
55B|所有
55B1|富, 豪奢さ
55B2|豪華さ, 贅沢さ
55B3|"貧しすぎず, 裕福すぎない"
55BB|所有 (対立する概念)
55BB1|貧乏
55BB2|欠乏
55C|財産の使用
55C1|支出
55C11|浪費, 無駄遣い
55C2|与えること
55C21|寛大さ, 寛容
55C22|生贄
55C221|犠牲
55C3|貸すこと
55C4|持っていくこと
55C5|分かち合うこと
55CC|財産の使用 (対立する概念)
55CC1|節約, 倹約, 出し惜しみ
55CC11|強欲, 貪欲
55CC2|受け取ること
55CC3|借りること
55CC4|返還
55CC5|隠す, 秘密にしておく
56|感情
56A|気持ち
56A1|感覚, 感性, 感受性
56A2|刺激
56A21|有頂天, 高揚
56AA|気持ち (対立する概念)
56AA1|無感覚, 無意識
56AA11|不可能性
56B|喜びと悲しみ
56B1|楽しみ, 喜び
56B11|陽気
56B12|陽気さ
56B13|ひょうきん
56B131|冗談
56B2|幸福, 至福
56B21|永遠の至福
56B22|短い至福
56B3|満足, 幸福感
56B4|面白さ
56B41|選り好みの激しいこと, 食い道楽
56B42|粗さ, 粗野
56BB|喜びと悲しみ (対立する概念)
56BB1|痛み, 悲しみ
56BB11|苦さ
56BB12|苦悩
56BB121|深い悲しみ
56BB13|心痛
56BB131|ため息
56BB19|慰め
56BB2|不幸
56BB21|災難, 苦悩
56BB22|惨めさ
56BB3|不満
56BB31|倦怠
56BB32|貪欲さ
56BB33|不満, 不平
56BB34|落胆
56BB35|欲求不満
56BB4|反感, 嫌悪
56BB41|満喫
56C|美的感覚
56C1|美的感覚
56C2|称賛
56C3|霊感
56CC|美的感覚 (対立する概念)
56CC1|美に対する無関心
56CC2|価値の低下
56D|希望と恐れ
56D1|希望
56D2|信頼
56D21|避難
56D29|間違った信頼
56D3|信頼, 安全, 落ち着き
56D31|自信
56D32|約束
56DD|希望と恐れ (対立する概念)
56DD1|恐れ, 不安
56DD11|絶望
56DD2|不信, 疑惑
56DD3|不安感
56DD31|自信の欠如
56DD32|恐れ, 恐怖
56DD33|混乱, 狼狽,動揺
56DD34|恐怖, 嫌悪
56E|怒りと従順さ
56E1|苛立ち
56E11|憤り
56E2|激怒, 怒り
56E21|短気さ
56E3|激怒
56EE|怒りと従順さ (対立する概念)
56EE1|我慢
56EE2|従順さ
56F|欲望と嫌悪
56F1|欲望
56F11|大望
56F12|幸福の追求
56F13|魅力的 (な気持ち)
56F131|魅力的な力
56F2|(擬人化と象徴的な表現としての) 愛
56F21|隣人愛
56F211|兄弟愛
56F22|相互愛
56F23|友人関係
56F231|友人関係における貞節
56F232|友人関係における不義
56F24|自己愛
56F241|自己讃美
56F25|(擬人化と象徴的な表現としての) 愛の特質
56F251|愛の特質: 第1シリーズ
56F2511|
56F2512|
56F2513|
56F2514|
56F2515|
56F2516|
56F2517|
56F2518|
56F2519|
56F252|愛の特質: 第2シリーズ
56F2521|
56F2522|
56F2523|
56FF|欲望と嫌悪(対立する概念)
56FF1|嫌悪
56FF13|嫌悪の (気持ち)
56FF2|嫌悪
56FF21|愛への無関心
56FF22|片想い
56FF23|憎悪
56FF231|人間不信
56FF232|ミソジニー
56FF233|ホモフォビア
57|道徳
57A|良いそして悪い振る舞い, 道徳上の質
57A1|良い振る舞い
57A2|義務感, 職務への専念
57A21|義務
57A22|義務
57A23|天職, 使命
57A24|仕事
57A25|責任 
57A3|良心
57A4|恥
57A41|後悔
57A42|良心の呵責, 自責の念
57A43|罪の意識
57A5|礼儀正しさ, 内気さ
57A6|有徳
57A61|誠実さ
57A611|率直さ, 誠実さ
57A612|誠実さ
57A613|高潔さ
57A6131|正直さ, 素朴さ, 純真さ
57A614|誠実
57A6141|信頼性, 信頼度
57A6142|誓い
57A62|貞節
57A63|清廉潔白
57A631|潔白
57A632|不当に告発された無実の人
57A64|謙虚さ
57A641|慎重さ, 謙虚さ
57A642|質素
57A643|臆病, 内気
57A644|従順さ
57A65|利他的であること
57A66|真面目なこと
57A661|霊化
57A67|分別のあること
57A68|高潔さ
57A681|威厳
57A682|豪華
57A69|神聖であること
57A7|慈悲, 慈善
57A71|寛大さ
57A72|寛容さ, 辛抱強い
57A73|寛大さ, 慈悲
57A74|寛大さ
57A741|許す
57A75|慈悲, あわれみ
57A76|好意的であること
57A77|親愛, 優しさ, 感じの良さ
57A8|感謝
57A9|人類, 礼儀正しさ
57AA|良いそして悪い振る舞い, 道徳の質 (対立する概念)
57AA1|悪い振る舞い
57AA2|義務からの逃避, 義務の怠慢
57AA21|無責任さ
57AA3|不実さ
57AA4|厚かましさ
57AA41|頑固さ
57AA5|無作法, 厚かましさ
57AA51|不道徳さ, 猥褻さ
57AA52|性的倒錯
57AA53|不道徳さ, 醜聞
57AA6|残忍さ, 行儀の悪さ
57AA61|不誠実さ, 間違い
57AA611|偽り, 偽善
57AA612|不誠実さ
57AA6121|お世辞
57AA6122|金をせびる, 寄生する
57AA613|ずるい, ずるさ
57AA6131|狡猾さ, ずるさ, ずる賢さ
57AA614|不誠実さ
57AA6141|信頼できなさ, あてにならなさ
57AA6142|裏切り
57AA62|不義, 不誠実
57AA621|詐欺, 虚偽
57AA622|偽り
57AA6221|嘘
57AA6222|虚偽の警報, 誤報, デマ
57AA6223|待ち伏せ, わな
57AA6224|陰謀
57AA6225|偽造
57AA63|不純
57AA64|誇り, 気高さ
57AA641|不謹慎
57AA642|洗練
57AA643|媚態
57AA644|傲慢さ
57AA645|自慢
57AA646|自己満足, 自惚れ
57AA647|思い上がり
57AA65|わがまま
57AA66|軽率
57AA661|世俗
57AA67|無分別であること
57AA68|無価値であること
57AA69|残忍さ
57AA7|悪意, 悪意のあること
57AA71|偏狭
57AA72|不寛容
57AA73|天候の厳しさ
57AA74|執念深さ
57AA741|復讐, 報い, 報復
57AA75|無慈悲さ
57AA76|嫉妬
57AA77|不親切さ
57AA8|恩知らず
57AA9|残忍さ
57AA91|残酷さ, 獰猛さ
57AA92|悪評
57B|行動の判断
57B1|称賛,  同意
57B11|やりがいのあるよさ
57B2|尊敬, 敬意
57B21|ピエタ
57B3|正当化, 弁明
57B31|情状酌量
57BB|行動の判断 (対立する概念)
57BB1|不承認, 不認可, 非難
57BB11|注意, 非難
57BB12|訂正
57BB13|罰
57BB131|悪を罰すること
57BB14|非難
57BB2|あざけり, 嘲笑, 非礼
57BB21|軽蔑
57BB211|世界を軽蔑すること
57BB22|侮辱
57BB23|不名誉
57BB24|屈辱
57BB241|皮肉
57BB242|嫌味
57BB25|中傷, 非難
57BB251|アペレスの非難: 欺瞞, 嫉妬, 無知, 嫌疑, 背信を抱き玉座に座るロバの耳の悪い裁判官が、無実の被告人の前に立ちはだかる; 良心の呵責と真実の提示
57BB3|告発, 有罪にすること
58|創造
58A|創造と破壊
58A1|生じること
58A2|発生
58A3|成果, 多産, 豊穣, 肥沃
58AA|創造と破壊 (対立する概念)
58AA1|破壊
58AA11|絶滅
58AA12|自己破壊
58AA2|未発生
58AA3|非生産的であること, 無駄, 徒労, 無駄骨
58B|生命力と死ぬべき運命
58B1|生命力, 生存能力
58B11|発生
58B2|生命
58B21|人間の命
58B211|
58B212|生命の泉 (非キリスト教)
58B213|船で表現された人間の命
58B22|生存競争
58B3|不死, 不朽
58B4|復活, 再生
58B5|遺伝
58B6|本能, 天性の気質
58BB|生命力と死ぬべき運命 (対立する概念)
58BB1|死ぬべき運命, 生命の絶滅
59|社会的行動の局面
59A|人類 ~ 共同体
59A1|社会性
59A2|改良, 味
59A3|作法, 礼儀
59A4|優雅さ
59A5|親切なもてなし
59AA|人類 ~ 共同体 (対立する概念)
59AA1|孤独
59AA2|不作法, 悪趣味
59AA3|下品
59AA4|きざ, 癖
59AA5|生存に適さないこと
59B|社会的地位
59B1|全ての人
59B2|昇進, 促進
59B3|評判, 名声
59B31|名誉, 栄光
59B32|名声
59B33|社会的地位
59B34|有名であること
59B4|尊厳
59B41|王位, 王権
59B5|長所
59BB|社会的地位 (対立する概念)
59BB1|取るに足らない人
59BB2|低下
59BB3|不名誉, 不評
59BB31|不名誉
59BB32|悪い評判
59BB33|不名誉, '民衆'
59BB34|不名誉であること
59BB4|卑しさ
59BB5|短所
59C|公平と不公平
59C1|法整備
59C2|公平
59C21|平等, 公平, 公正, 正義
59C22|公平
59C221|聖人の遺体
59C3|合法性
59CC|公平と不公平(対立する概念)
59CC1|法律違反
59CC2|不公平
59CC21|不平等, 不公平, 不正
59CC211|任意性
59CC22|不完全さ
59CC221|腐敗させることができること, 買収されやすいこと, 堕落
59CC3|違法
6|歴史
61|歴史的な出来事と状況; 歴史的人物
61A|歴史的な出来事と状況
61A(...)|歴史的な出来事と状況 (日付つき)
61B|歴史的人物 (肖像画と人生の場面)
61B1|名もなき歴史的人物
61B11|表現された匿名の歴史的人物
61B111|一人で表現された匿名の歴史的人物
61B112|二人の肖像画として表現された匿名の歴史的人物
61B113|集団, 集団の肖像画として表現された匿名の歴史的人物
61B12|光景 ~ 匿名の歴史的人物
61B121|匿名の人物の人生または伝記に直接関係する風景
61B122|架空の光景 ~匿名の歴史的人物
61B2|歴史的人物
61B2(...)|歴史的人物 (名前付き)
61B2(...)1|歴史的人物 (名前付き) - 表現された歴史的人物
61B2(...)11|歴史的人物 (名前付き) - 一人で表現された歴史的人物 (名前付き)
61B2(...)12|歴史的人物 (名前付き) - 二人の肖像画として表現された歴史的人物 (名前付き)
61B2(...)13|歴史的人物 (名前付き) -集団, 集団の肖像画として表現された歴史的人物 (名前付き)
61B2(...)2|歴史的人物 (名前付き) - 光景 ~ 歴史的人物 (人物の名前付き)
61B2(...)21|歴史的人物 (名前付き) - 人生または伝記に直接関係する風景 (人物の名前付き)
61B2(...)22|歴史的人物 (名前付き) - 架空の光景 ~ 歴史的人物 (人物の名前付き)
61B2(...)3|歴史的人物 (名前付き) - 歴史的人物の名前が添付されている可能性のある他の表現 (人物の名前付き)
61BB|歴史的人物 (肖像画と人生の場面) - BB - 女性
61BB1|名もなき歴史的人物 - BB - 女性
61BB11|表現された匿名の歴史的人物 - BB - 女性
61BB111|一人で表現された匿名の歴史的人物 - BB - 女性
61BB112|二人の肖像画として表現された匿名の歴史的人物 - BB - 女性
61BB113|集団, 集団の肖像画として表現された匿名の歴史的人物 - BB - 女性
61BB12|光景 ~ 匿名の歴史的人物 - BB - 女性
61BB121|匿名の人物の人生または伝記に直接関係する風景 - BB - 女性
61BB122|架空の光景 ~匿名の歴史的人物 - BB - 女性
61BB2|歴史的人物 - BB - 女性
61BB2(...)|歴史的人物 (名前付き) - BB - 女性
61BB2(...)1|歴史的人物 (名前付き) - BB - 女性 - 表現された歴史的人物
61BB2(...)11|歴史的人物 (名前付き) - BB - 女性 - 一人で表現された歴史的人物 (名前付き)
61BB2(...)12|歴史的人物 (名前付き) - BB - 女性 - 二人の肖像画として表現された匿名の歴史的人物 - BB - 女性
61BB2(...)13|歴史的人物 (名前付き) - BB - 女性 - 集団, 集団の肖像画として表現された匿名の歴史的人物
61BB2(...)2|歴史的人物 (名前付き) - BB - 女性 - 光景 ~ 匿名の歴史的人物
61BB2(...)21|歴史的人物 (名前付き) - BB - 女性 - 匿名の人物の人生または伝記に直接関係する風景
61BB2(...)22|歴史的人物 (名前付き) - BB - 女性 - 架空の光景 ~匿名の歴史的人物
61BB2(...)3|歴史的人物 (名前付き) - BB - 女性 - 歴史的人物の名前が添付されている可能性のある他の表現 (人物の名前付き)
61C|動植物の固有名詞
61C1|植物の固有名詞
61C1(...)|植物の固有名詞 (名前付き)
61C2|動物の固有名詞
61C2(...)|動物の固有名詞 (名前付き)
61D|国, 地域, 山, 川などの地理的名前
61D(...)|国, 地域, 山, 川などの地理的名前 (町と村の名前を除く) (名前付き)
61E|町と村の名前
61E(...)|町と村の名前 (名前付き)
61F|歴史的建造物, 土地, 通りなどの名前
61F(...)|歴史的建造物, 土地, 通りなどの名前 (名前付き)
61G|人工遺物と人工物の名前
61G(...)|人工遺物と人工物の名前 (建造物を除く) (名前付き)
61H|組織, 会社, 労働組合などの名前
61H(...)|組織, 会社, 労働組合などの名前 (名前付き)
61I|歴史的事件と状況の名前
61I(...)|歴史的事件と状況の名前 (名前付き)
61K|(他の) 歴史的名前
61K(...)|(他の) 歴史的名前 (名前付き)
62|未来像
7|聖書
71|旧約聖書
71A|天地創造から楽園追放までの創世記と, アダムとイブの晩年
71A1|はじめに ...' 混沌の整理 (創世記 1:1-2)
71A11|無定形で荒れ果てた地球
71A12|神の霊が水の面を動く
71A2|天地創造の6日間 (創世記 1:3-25)
71A21|光と闇を分ける
71A22|大空を作り、その上と下に水を分ける
71A23|天の下の水を集める; 乾いたところが現れ, あらゆる種類の草を芽生えさせる
71A231|植生の創造 (単体)
71A24|太陽, 月, 星々の創造
71A25|動物の創造 ~ 創世記
71A251|鳥と魚の創造
71A252|陸上動物の創造
71A3|人類の創造; エデンの園 (創世記 1:26 - 2)
71A31|神は土で人間を形作る
71A311|人間 (アダム) が生命を宿す: 通例神がアダムの鼻の穴に手を差し伸べるまたは命の息を吹き入れる
71A32|エデンの園に木を生えいでさせる神
71A321|エデンの園, 楽園
71A3211|(泉から湧き出る) 楽園の4つの川
71A32111|ピション (楽園の川)
71A32112|ギホン (楽園の川)
71A32113|チグリス (ヒデケル) (楽園の川)
71A32114|ユーフラテス (楽園の川)
71A3212|生命の木と善悪の知識の木
71A32121|エデンの園の生命の木
71A32122|善悪の知識の木 (この木の実は通例りんごか無花果で、死をもたらす); 木は蛇によって監視されているかもしれない
71A33|エデンの園のアダム
71A331|神がアダムをエデンの園へ連れて行く
71A332|神がアダムと話す
71A333|アダムが動物たちを名づける
71A34|イブの創造
71A341|神は眠っているアダムの脇腹から肋骨を抜き出す
71A342|イブはアダムの肋骨から形作られる
71A3421|イブはアダムの肉体から現れる
71A35|楽園のアダムとイブ (堕落後)
71A351|神はイブをアダムのもとへ連れて行く
71A352|神はアダムとイブを祝福する; 結婚の制定
71A353|アダムは全ての被造物の支配権を得る
71A354|試しの命令を与える: 神がアダムとイブに善悪の知識の木の実を食べないよう警告する
71A36|神は七日目に安息する
71A4|誘惑と堕落 (創世記 3:1-7)
71A41|誘惑と堕落 (イブ一人の光景)
71A411|蛇がイブに果実 (通例りんご)を取るよう説得しようとする
71A412|イブが果実を取る
71A42|誘惑と堕落 (アダムとイブの光景)
71A421|イブがアダム (彼女を止めようとしているかもしれない)の目の前で蛇 (または木)から果実をとる
71A422|イブがアダムに果実を差し出す
71A4221|イブが果実をアダムに差し出しながら, 蛇(または木)からさらに果実を取る
71A4222|アダム自身が木から果実を取る
71A423|果実を抱え (そしてもしかすると食べ)るアダムとイブ
71A4231|果実を抱えるアダム (一人)
71A4232|果実を抱えるイブ (一人)
71A424|裸であることに気づくアダムとイブ; 彼らは手と葉で体を隠す
71A5|誘惑と堕落: 楽園のアダムとイブ (堕落の後) (創世記 3:8-21)
71A51|後悔に打ちのめされるアダムと/またはイブ
71A52|エデンの園を歩く神
