0|抽象，非具象芸術
11D324|「サルバトール・ムンディ」,  祝福を与えるキリスト; 球体を手にもつ、あるいは足元に伴う
11D325|キリスト 〜 聖餐
11D3251|聖杯とパン(または聖体)を伴うキリスト
11D3252|葡萄絞り器の中のキリスト, 'Christus in der Kelter' (イザヤ書 63章3節)
11D3253|神秘の粉挽き機におけるキリスト
11D326|「生命の泉」, 「慈悲の泉」
11D3261|泉の上または傍に立つ、血を流すキリスト
11D3262|(泉の中で)十字架にかけられた、血を流すキリスト
11D327|キリスト 〜 人間の職業
11D3271|善き羊飼いなるキリスト
11D3272|医者のキリスト
11D32721|薬剤師のキリスト
11D3273|釣りをするキリスト
11D3274|行商人のキリスト
11D3275|農夫あるいは庭師のキリスト
11D3276|主人であるキリスト
11D3277|司祭(長)あるいは預言者のキリスト
11D3278|巡礼者のキリスト
11D3279|日曜日のキリスト',　職人の道具を伴うキリスト
11D328|成人キリスト (単独)
11D3281|女性化されたキリスト
11D3282|オランスのポーズをとるキリスト
11D3283|天使のように表されるキリスト
11D3284|キリスト ~ オルフェウス
11D3285|キリスト ~ アポロ (ヘリオス)
11D33|その他の人物達を伴う成人キリスト (非物語的表現)
11D331|成人キリストとマリア
11D3311|新郎新婦としてのキリストとマリア
11D332|天使達を伴う成人キリスト
11D333|成人キリスト~ 悪魔(悪魔達) 及び悪魔のような生き物達
11D3331|悪魔(悪魔達)に勝利するキリスト 
11D334|成人キリストと 使徒達、福音書記者達、聖人達 etc.
11D3341|キリストとその胸に寄りかかる福音書記者ヨハネ, 'ヨハネの日の葡萄酒', 'キリストとヨハネの群像'
11D3342|Traditio legis', 'Dominus legem dat', すなわち ペテロに巻物 (法) を与えるキリスト; ペテロの前で
11D33421|ペテロに巻物 (法) を与えるキリスト; 使徒(使徒達) の前で
11D3343|キリストと悔悛した罪人達 (アダム, ダビデ, 放蕩息子, マグダラのマリア, 善き罪人, ペテロ, etc.)
11D335|人間と共にある成人キリスト
11D3351|人間の元に現れるキリスト(成人) 
11D336|勝利のキリスト, 例えば 凱旋車に乗るキリスト
11D337|馬に跨るキリスト
11D3371|騎士の軍隊を率いて馬に跨るキリスト, 'Militia Christi'
11D34|成人キリスト ~ 抽象概念
11D35|磔刑のキリストの特定型(非物語的文脈における)
11D351|苦しみのキリスト (イバラの冠、概して横に向けられる頭の表現を伴う)
11D352|ペストの傷まみれのキリスト, 'Pestkruzifixus'
11D353|勝利のキリスト (イバラの冠、概して真っ直ぐな頭の表現を伴う)
11D354|誰かを抱きしめようと十字架から腰をかがめるキリスト
11D355|木またはブドウの木に磔にされるキリスト
11D356| '生きながら' 十字架に磔にされるキリスト
11D357|力天使 ~ 磔刑のキリスト
11D36|非物語的文脈における他の種類の「磔刑を受けるキリスト」
11D4|伝説と信仰 ~ キリスト
11D41|数々の伝説 ~ キリスト
11D411|聖十字架の伝説
11D4111|セトはアダムの墓に知恵の樹の枝を置く ~ 聖十字架の伝説
11D41111|楽園を探すセト; 天使は彼に枝か油の入ったフラスコを与える ~ 聖十字架の伝説
11D4112|その木はソロモン神殿の建築に用いられた ~ 聖十字架の伝説
11D4113|橋となったその木はシバの女王の拝礼を受ける ~ 聖十字架の伝説
11D4114|その木はキリストの十字架とするためベトザタの池から取り出された ~ 聖十字架の伝説
11D4115|聖ヘレナの天使に運ばれる聖十字架の幻 ~ 聖十字架の伝説
11D4116|聖十字架の発見
11D41161|ユダヤ人のユダはコンスタンティヌスの母ヘレナによって井戸に投げ入れられた ~ 聖十字架の伝説
11D41162|3つの十字架がウェヌス神殿の近くで掘り出される ~ 聖十字架の伝説
11D41163|聖ヘレナによる聖十字架の特定: 人間の死体が十字架に触れると生き返る
11D41164|聖十字架の前に跪く(またはその傍らに立つ)聖ヘレナとコンスタンティヌス1世
11D4117|聖十字架の掲揚、賛美
11D41171|皇帝ヘラクレイオスがペルシャのホスロー2世を破り、聖十字架の一部を取り戻す
11D41172|ヘラクレイオスのエルサレム入城: 天使に請われ王のローブを脱いだ皇帝は、聖十字架を街に運び込んだ
11D411721|ロバまたは馬に乗ったヘラクレイオス帝のエルサレム入城 ~ 聖十字架の伝説
11D41173|聖十字架はゴルゴタ(または祭壇)に建立される ~ 聖十字架の伝説
11D41174|洗礼を拒否したホスロー2世は処刑される ~ 聖十字架の伝説
11D412|血まみれの聖槍の伝説
11D413|聖杯の伝説
11D414|バシレイデースの預言: エルサレムへの道中、皇帝ティトゥスはカルメル会のバシレイデースに助言を求め、父なる神と死んだキリストの幻を見せられる
11D42|信仰 ~ キリスト
11D421|7作からなる「血を流すキリスト」
11D4211|7作からなる「血を流すキリスト」の1つ
11D422|聖心
11D423|聖なる血
11D424|聖なる涙
11D425|キリストの長さ
11D43|聖遺物 ~ キリスト
11D431|聖十字架の破片 ~ キリストの聖遺物
11D432|聖十字架の釘 ~ キリストの聖遺物
11D433|聖槍 ~ キリストの聖遺物
11D434|キリストの上衣 ~ キリストの聖遺物
11D435|スカラ・サンタ', ピラトの宮殿の階段 ~ キリストの聖遺物
11D5|神秘主義的思想 ~ キリスト
11D51|キリストと霊
11D511|キリストの花嫁としての霊
11D52|キリストと心臓
11D53|人類を救うキリストの血
11D6|キリストまたは幼少期のキリストの奇跡の像
11D6(...)|キリストまたは幼少期のキリストの奇跡の像 (名前入り)
11D9|反キリスト
11D91|反キリストの人生の場面
11DD3|成年としてのキリスト- 髭のないキリスト
11DD31|キリストの「肖像画」 - 髭のないキリスト
11DD311|エデッサのアブガル王のためにキリスト自身が顔を押し付けて作ったともされる肖像 マンディリオン(聖顔布) - 髭を生やしていないキリスト
11DD3111|アブガル王の使者にマンディリオン(聖顔布)を手渡すキリスト - 髭のないキリスト
11DD3112|マンディリオン(聖顔布)がエデッサにもたらされる - 髭のないキリスト
11DD312|ウェラ・イコン、聖顔布、ヴェロニカの肖像 - 勝利のキリスト
11DD3121|ヴェロニカにより持ち上げられるウェラ・イコン- 勝利のキリスト
11DD3122|天使が持つ「ウェラ・イコン」 - 勝利のキリスト
11DD3123|ペテロとパウロが持つ「ウェラ・イコン」 - 勝利のキリスト
11DD313|レントゥルス書簡に基づくキリストの「肖像」 - 髭のないキリスト
11DD314|「ヴォルト・サント」, e.g. (おそらくニコデモによって彫られた) ルッカのヴォルト・サント - 髭のないキリスト
11DD315|聖ルカによって描かれたキリストの肖像画 - 髭のないキリスト
11DD316|長血が治癒した女の奉納物 - 髭のないキリスト
11DD317|屍衣の上のキリストの(全身)像, 「聖骸布」 - 髭のないキリスト
11DD318|(その他の) キリストの「肖像画」, e.g. 横顔肖像画 - 髭のないキリスト
11DD32|大人のキリスト(同伴者なし)の、特定の類型
11DD321|「マイエスタス・ドミニ」: 虹あるいは球体の上に坐し、テトラモルフを伴う、マンドルラを帯びたキリスト - 髭のないキリスト
11DD322|玉座に坐したキリスト - 髭のないキリスト　
11DD3221|「パントクラトール」, 演説する、あるいは祝福の身振りをする、書物を手にしたキリスト(の胸像) - 髭のないキリスト
11DD3222|「王であるキリスト」 - 髭のないキリスト
11DD3223|（天上の）審判者のキリスト - 髭のないキリスト
11DD323|「ロゴス」・キリスト, 受肉した御言葉 - 髭のないキリスト
11DD324|「サルバトール・ムンディ」,  祝福を与えるキリスト; 球体を手にもつ、あるいは足元に伴う - 髭のないキリスト
11DD325|キリスト 〜 聖餐 - 髭のないキリスト
11DD3251|聖杯とパン(または聖体)を伴うキリスト - 髭のないキリスト
11DD3252|葡萄絞り器の中のキリスト, 'Christus in der Kelter' (イザヤ書 63章3節) - 髭のないキリスト
11DD3253|神秘の粉挽き機におけるキリスト - 髭のないキリスト
11DD326|「生命の泉」, 「慈悲の泉」 - 髭のないキリスト
11DD3261|泉の上または傍に立つ、血を流すキリスト - 髭のないキリスト
11DD3262|(泉の中で)十字架にかけられた、血を流すキリスト - 髭のないキリスト
11DD327|キリスト 〜 人間の職業 - 髭のないキリスト
11DD3271|善き羊飼いなるキリスト - 髭のないキリスト
11DD3272|医者のキリスト - 髭のないキリスト
11DD32721|薬剤師のキリスト - 髭のないキリスト
11DD3273|釣りをするキリスト - 髭のないキリスト
11DD3274|行商人のキリスト - 髭のないキリスト
11DD3275|農夫あるいは庭師のキリスト - 髭のないキリスト
11DD3276|主人であるキリスト - 髭のないキリスト
11DD3277|司祭(長)あるいは預言者のキリスト - 髭のないキリスト
11DD3278|巡礼者のキリスト - 髭のないキリスト
11DD3279|日曜日のキリスト,　職人の道具を伴うキリスト- 髭のないキリスト
11DD328|成人キリスト (単独) - 髭のないキリスト
11DD3281|女性化されたキリスト - 髭のないキリスト
11DD3282|オランスのポーズをとるキリスト - 髭のないキリスト
11DD3283|天使のように表されるキリスト - 髭のないキリスト
11DD3284|キリスト ~ オルフェウス - 髭のないキリスト
11DD3285|キリスト ~ アポロ (ヘリオス) - 髭のないキリスト
11DD33|その他の人物達を伴う成人キリスト (非物語的表現) - 髭のないキリスト
11DD331|成人キリストとマリア - 髭のないキリスト
11DD3311|新郎新婦としてのキリストとマリア - 髭のないキリスト
11DD332|天使達を伴う成人キリスト - 髭のないキリスト
11DD333|成人キリスト~ 悪魔(悪魔達) 及び悪魔のような生き物達 - 髭のないキリスト
11DD3331|悪魔(悪魔達)に勝利するキリスト - 髭のないキリスト
11DD334|使徒達, 福音書記者達, 聖人達, etc.を伴う成人キリスト - 髭のないキリスト
11DD3341|キリストとその胸に寄りかかる福音書記者ヨハネ, 'ヨハネの日の葡萄酒', 'キリストとヨハネの群像' - 髭のないキリスト
11DD3342|Traditio legis', 'Dominus legem dat', すなわちペテロに巻物 (法) を与えるキリスト; ペテロの前で - 髭のないキリスト
11DD33421|ペテロに巻物 (法) を与えるキリスト; 使徒(使徒達) の前で - 髭のないキリスト
11DD3343|キリストと悔悛した罪人達 (アダム, ダビデ, 放蕩息子, マグダラのマリア, 善き罪人, ペテロ, etc.) - 髭のないキリスト
11DD335|人間と共にある成人キリスト - 憤慨し、威嚇的なキリスト, etc.
11DD3351|人間の元に現れるキリスト(成人)  - 憤慨し、威嚇的なキリスト, etc.
11DD336|勝利のキリスト, 例えば 凱旋車に乗るキリスト - 髭のないキリスト
11DD337|馬に跨るキリスト - 髭のないキリスト
11DD3371|騎士の軍隊を率いて馬に跨るキリスト, 'Militia Christi' - 髭のないキリスト
11DD34|成人キリスト ~ 抽象概念 - 髭のないキリスト
11DD35|磔刑のキリストの特定型(非物語的文脈における) - 髭のないキリスト
11DD351|苦しみのキリスト (イバラの冠、概して横に向けられる頭の表現を伴う) - 髭のないキリスト
11DD352|ペストの傷まみれのキリスト, 'Pestkruzifixus' - 髭のないキリスト
11DD353|勝利のキリスト (イバラの冠、概して真っ直ぐな頭の表現を伴う) - 髭のないキリスト
11DD354|誰かを抱きしめようと十字架から腰をかがめるキリスト - 髭のないキリスト
11DD355|木またはブドウの木に貼り付けにされるキリスト - 髭のないキリスト
11DD356| '生きながら' 十字架に磔にされるキリスト - 髭のないキリスト
11DD357|力天使 ~ 磔刑のキリスト - 髭のないキリスト
11DD36|非物語的文脈における他の種類の「磔刑を受けるキリスト」 - 髭のないキリスト
11DD422|聖心 - キリストの少年時代と聖心
11E|聖霊
11E1|鳩の姿で表現された聖霊 (炎の中で)
11E2|炎の姿で表現された聖霊
11E3|人間の姿で表現された聖霊
11E4|他のもの（例えば光線など）で表現された聖霊
11E5|聖霊の7つの賜物
11E51|7羽の鳩で表現された聖霊の7つの賜物
11E52|7つの炎で表現された聖霊の7つの賜物
11E53|7つのランプまたは7つに分かれた枝付き燭台で表現された聖霊の7つの賜物　
11E54|聖霊の7つの賜物を別々に表現したもの
11E541|知恵', 賢明さ; '神の英知' (Ripa) ~ 聖霊の7つの賜物の1つ
11E542|理知', '知性', 理解 ~ 聖霊の7つの賜物の1つ
11E543|助言', 忠告 ~ 聖霊の7つの賜物の1つ
11E544|不屈の精神', 忍耐 ~ 聖霊の7つの賜物の1つ
11E545|敬虔', 信心 ~ 聖霊の7つの賜物の1つ
11E546|知識', 知識 ~ 聖霊の7つの賜物の1つ
11E547|主を畏れること', 主への畏れ ~ 聖霊の7つの賜物の1つ
11F|聖母マリア
11F1|聖母マリアの象徴と予兆
11F11|聖母マリアの象徴
11F111|連禱における聖母マリアの象徴
11F111(...)|連禱における(聖母マリアの)象徴(テキストつき)
11F112| 「ロレトの連禱」の象徴を伴う聖母マリア
11F12|聖母マリアのモノグラム
11F13|聖母マリアの紋章
11F14|処女母性の象徴
11F15|聖母マリアの予兆; 聖母マリアと彼女の予兆
11F2|聖母マリア (幼少期のキリストを伴わない)
11F21|子供の姿の聖母マリア
11F22|聖母マリアの'肖像画' 
11F23|幼少期のキリストを伴わない直立した聖母マリア
11F231|オラントする聖母マリア ('Blacherniotissa'ともいう)
11F232|(時には蛇を踏みつけ)通例天国から降った三日月に立つ聖母マリアが原罪を免じる
11F2321|聖人を伴う聖母マリア
11F233|地球に立つまたはもたれる聖母マリア
11F234|妊娠した聖母マリア, 期待の聖母マリア, 'Madonna del Parto'
11F2341|妊娠した聖母マリア, 目に見える幼少期のキリスト
11F235|開く聖母マリア
11F2351|開く聖母マリアの中にある三位一体
11F2352|開く聖母マリアの中のキリストの受難
11F236|Aehrenkleidmaria' (時折幼少期のキリストを伴う)
11F24|座り姿の聖母マリア (一人)
11F241|悲しみの聖母マリア
11F2411|(7つの)悲しみの聖母マリア
11F2412|7つの剣に貫かれる聖母マリア
11F242|喜びの聖母マリア
11F2421|(7つの) 喜びの聖母マリア
11F243|聖母マリアと一角獣
11F244|王座に就く聖母マリア
11F26|異なる種類の聖母マリア (一人で)
11F25|スターバト・マーテル'
11F251|嘆きの聖母マリア
11F252|剣に貫かれる聖母マリア
11F253|聖母マリアとキリストの受難具
11F261| (胸元に鳩を伴う)聖霊の花嫁としての聖母マリア
11F262|羊飼いとしての聖母マリア
11F263|巡礼者としての聖母マリア
11F264|隠者としての聖母マリア (キリストの死後)
11F265|医師としての聖母マリア
11F266|悪魔を打ち負かす聖母マリア
11F267|魂（たち）を救う聖母マリア
11F268|聖餐式を執り行う聖職者としての聖母マリア
11F3|(幼少期のキリストを伴わない)他者を連れた聖母マリア
11F31|(キリストに)取りなしをする聖母マリア, 仲介者マリア' (時折胸を見せているマリア)
11F32|彼女を崇拝する、または彼女に助けを懇願する人間を連れた聖母マリア
11F33|授乳する聖母マリア
11F34|疫病から人類を守る聖母マリア（例えば外套の下に人間を隠すことによって）
11F35|使徒たちの女王としての聖母マリア
11F36|凱旋の馬車に乗る勝利の聖母マリア
11F4|聖母マリア、すなわち幼少期のキリストを伴う聖母マリア
11F41|聖母マリア: 立ち姿の(または半身の)聖母マリアと彼女の胸に近づく幼少期のキリスト
11F411|立ち姿の(または半身の)聖母マリアと彼女の前で胸に近づく幼少期のキリスト
11F4111|立ち姿の(または半身の)聖母マリアと彼女の前で胸に近づく幼少期のキリスト; 立ち姿
11F4112|立ち姿の(または半身の)聖母マリアと彼女の前で胸に近づく幼少期のキリスト; 座り姿
11F41121|ニコポイア' ~ 聖母マリア
11F4113|立ち姿の(または半身の)聖母マリアと彼女の前で胸に近づく幼少期のキリスト; 寝姿
11F412|立ち姿の (または半身の)聖母マリアと彼女の腕の中の幼少期のキリスト(キリストはマリアの左側に)
11F4121|立ち姿の (または半身の)聖母マリアと彼女の腕の中の幼少期のキリスト(キリストはマリアの左側に)
11F4122|立ち姿の (または半身の)聖母マリアと彼女の腕の中に座る幼少期のキリスト(キリストはマリアの左側に)
11F41221|ホデゲトリア' ~ 聖母マリア
11F41222|デクシオクラトウサ' ~ 聖母マリア
11F41223|エレウサ', 'グリュコフィルサ ~ 聖母マリア
11F4123|立ち姿の (または半身の)聖母マリアと彼女の腕の中に横たわる幼少期のキリスト(キリストはマリアの左側に)
11F41231|ガラクトトロファウサ' ~ 聖母マリア
11F413|他者を伴わない特定の種類の立ち姿（または半身）の聖母マリア
11F4131|プラティテラ', すなわち祈りの姿の聖母マリアと彼女の前にある盾の中の幼少期のキリスト
11F41311|通例幼少期のキリストを伴った、(生命の)泉の前の祈りの姿の聖母マリア
11F4132|三日月の上の聖母マリア(時折天国の女王と呼ばれる) (マンドルラの中の)
11F4133|ドラゴンと戦う聖母マリアの腕の中の幼少期のキリスト
11F4134|マドンナ・デッラ・ヴィットーリア', (例えばプロテスタンティズムを)打ち負かす
11F4135|マリアナム'', 光輪またはマンドルラの中の(ロザリオに囲まれた)聖母マリア, 天上の栄光の中の聖母マリア　
11F4136|円柱の上の聖母マリア,'マリエン柱'
11F4137|(ユダの)ライオンの上に立つ(または座る)聖母マリア
11F42|聖母マリア: 座るまたは王座に就く聖母マリアと、膝の上の（または胸の前の）幼少期のキリスト (マリアはしばしば半身で表現される)
11F421|座るまたは王座に就く聖母マリアと、膝の上(または彼女の胸の前)の立つ幼少期のキリスト
11F4211|座るまたは王座に就く聖母マリアと、膝の上に(または彼女の胸の前に)立つ幼少期のキリスト
11F4212|座るまたは王座に就く聖母マリアと、膝の上に(または彼女の胸の前に)立つ幼少期のキリスト
11F42121|
11F42122|時折像に囲まれている、ソロモンの玉座の上の聖母マリア（または聖母マリア一人）
11F4213|座るまたは王座に就く聖母マリアと、膝の上に(または彼女の胸の前に)横たわる幼少期のキリスト、時折ピエタの姿勢で
11F422|座るまたは王座に就く聖母マリアと、(マリアの左にいる)膝の上のキリスト
11F4221|座るまたは王座に就く聖母マリアと、(マリアの左にいる)膝の上に立つキリスト
11F4222|座るまたは王座に就く聖母マリアと、(マリアの左にいる)膝の上に座るキリスト
11F4223|座るまたは王座に就く聖母マリアと、(マリアの左にいる)膝の上に横たわるキリスト
11F423|特定の種類の座るまたは王座に就く聖母マリア(他者を伴わない)
11F4231|薔薇の庭園にいる聖母マリア
11F4232|花輪(またはフルーツの輪)に囲まれる聖母マリア
11F4233|木の上の聖母マリア
11F43|聖母マリア: 地面に座る聖母マリアと膝の上の幼少期のキリスト
11F431|聖母マリア: 地面に座る聖母マリアと彼女の前の膝の上の幼少期のキリスト
11F4311|地面に座る聖母マリアと膝の上に立つ幼少期のキリスト
11F4312|地面に座る聖母マリアと膝の上に座る幼少期のキリスト
11F4313|地面に座る聖母マリアと膝の上に横たわる幼少期のキリスト
11F43131|マドンナ・デルミルタ' (通例地面に座って幼少期のキリストに授乳する聖母マリア)
11F4314|地面に座る聖母マリアと、彼女の膝にひざまずく幼少期のキリスト
11F432|地面に座る聖母マリアと彼女の左にいる膝の上の幼少期のキリスト
11F4321|地面に座る聖母マリアと、マリアの膝に座るまたは足を踏み入れる幼少期のキリスト(マリアの左側で)
11F4322|地面に座る聖母マリアと膝の上に座る幼少期のキリスト(マリアの左側で)
11F4323|地面に座る聖母マリアと膝の上に横たわる幼少期のキリスト(マリアの左側で)
11F4324|地面に座る聖母マリアと、彼女の膝の上でひざまずく幼少期のキリスト(マリアの左側で) 
11F44|聖母マリア: (立ち姿の)聖母マリアと支えなしに立つ(またはマリアに寄りかかる)幼少期のキリスト
11F441|(立ち姿の)聖母マリアとその前の(支えなしまたは彼女のに寄りかかって立つ)幼少期のキリスト
11F4411|(立ち姿の)聖母マリアとその前の(支えなしまたは彼女のに寄りかかって立つ)幼少期のキリスト; 立ち姿の幼少期のキリスト
11F4412|(立ち姿の)聖母マリアとその前の(支えなしまたは彼女のに寄りかかって立つ)幼少期のキリスト; 座り姿の幼少期のキリスト
11F4413|(立ち姿の)聖母マリアとその前の(支えなしまたは彼女のに寄りかかって立つ)幼少期のキリスト; 横たわる姿の幼少期のキリスト
11F4414|(立ち姿の)聖母マリアとその前の(支えなしまたは彼女のに寄りかかって立つ)幼少期のキリスト; ひざまずく幼少期のキリスト
11F442|(立ち姿の)聖母マリアとその傍らの(支えなしまたは彼女のに寄りかかって立つ)幼少期のキリスト
