4|社会, 文明, 文化
41A42|椅子張りの材料 (部屋の)
41A421|カーテン
41A422|壁掛けとカーテン
41A4221|幕 (壁掛けとカーテン)
41A423|儀式用カーテン
41A4231|天蓋, 金襴
41A43|敷物地
41A43(...)|敷物地 (名称を伴う)
41A431|カーペット, 絨毯
41A44|(装飾された) 天井
41A5|別館と別棟; 柵; 門
41A51|中庭
41A511|宮殿 または 'ホテル' の中庭
41A512|裏庭
41A52|馬車置き場
41A521|ガレージ
41A53|小屋
41A531|
41A532|
41A54|囲い, 壁, くい
41A541|手すり
41A542|ゲート, 入り口
41A5421|柵
41A5422|キッシングゲート, クラップゲート
41A543|かまち
41A544|水門
41A6|庭
41A61|平面図, 庭の地図
41A62|庭の建物
41A621|パーゴラ
41A622|避暑用の別荘, 東屋, ガーデンハウス (オランダ語: 'theekoepel')
41A623|庵
41A624|見晴台
41A625|格子のアーチ
41A626|偽の建物
41A63|庭の設計
41A631|芝生
41A632|花壇
41A633|石庭
41A634|迷宮, 迷路 ~ 庭
41A635|フェンスや塀で囲まれた庭; 'Hortus Conclusus'
41A6351|屋上庭園
41A636|フランス式または建築的庭園; 整形式庭園
41A637|英国式または風景式庭園
41A638|庭園入口, 庭園の私道
41A64|庭の装飾品
41A641|庭園の彫像、彫刻作品
41A6411|小人, 'grylloi' (庭の装飾品)
41A642|オベリスク (庭の装飾品)
41A643|ピラミッド (庭の装飾品)
41A644|ヘルメス柱像 (庭の装飾品)
41A645|廃墟 (庭の装飾品)
41A646|庭の花鉢
41A65|庭の水道設備
41A651|庭の噴水
41A652|庭の池
41A653|庭の小滝
41A66|庭園の人工洞窟
41A67|観賞用植物
41A671|植物、花や果物の静物
41A6711|花瓶の中の花
41A6712|花を生ける
41A672|装飾的に刈り込んだ作品 (装飾的な形に刈られ、整枝された低木および樹木); 盆栽, 垣根仕立て等
41A673|鉢植え
41A68|(装飾的な) 庭の耕作
41A681|園芸
41A6811|植物の水やり
41A682|園芸用具
41A682(...)|園芸用具 (名称を伴う)
41A7|家具と家財
41A71|物を置くための家具
41A711|テーブル
41A7111|三脚
41A7112|架台式テーブル
41A712|棚, ラック, サイドボード
41A7121|飾り棚
41A7122|本棚
41A71221|扉付きの書箱
41A713|テーブルかけ等
41A72|腰掛家具
41A721|椅子
41A7211|スツール
41A72111|フットスツール
41A7212|肘掛け椅子, 腰掛
41A7213|ロッキングチェア
41A722|長椅子, ソファ
41A7221|クッション
41A723|ベンチ
41A73|収納家具
41A731|食器棚
41A732|装飾用食器棚
41A733|金庫
41A734|長持ち (cassone)'
41A735|錠 ~ 家具
41A7351|鍵 ~ 家具
41A7352|かんぬき ~ 家具
41A7353|南京錠 ~ 家具
41A74|特殊用途の家具
41A741|間仕切り, 屏風
41A75|装飾的な家具
41A751|通風スクリーン
41A76|横たわるまたは寝そべるための家具
41A761|ベッド
41A7611|作りつけの寝台 (オランダ語: 'bedstee')
41A7612|天蓋付きベッド
41A76121|二柱式ベッド
41A76122|四柱式ベッド
41A762|ハンモック
41A763|寝具
41A7631|マットレス
41A7632|枕
41A7633|シーツ
41A7634|毛布
41A7635|ベッドカバー
41A77|容器
41A771|金属製容器: バケツ, 缶, キャニスター, ドラム缶, ブリキ缶, 等
41A7711|貴金属の容器
41A772|石の容器: 石の花瓶
41A7721|(半) 貴石の容器
41A773|陶磁器の容器: つぼ、水差し、鍋、花瓶
41A774|ガラスの容器: 瓶, つぼ, 花瓶
41A775|木製の容器: 樽, 大樽
41A7751|木以外の植物製の容器: 籠
41A776|革製の容器: 革のバッグ
41A7761|動物製の容器
41A777|織物製の容器: バッグ, 袋, 網
41A778|紙製、段ボールの容器: バッグ, カートン
41A779|合成素材の容器
41A78|小間物
41A8|家の使用
41A81|備品 (家)
41A82|引っ越し (家)
41A9|廃屋, 家, 城, 等
41AA1|市民建築; 大建造物; 居住施設 - AA - 市民建築: 内部
41AA10|Edifitio overo un sito' (リーパ) - AA - 市民建築: 内部
41AA11|宮殿 - AA - 市民建築: 内部
41AA111|hôtel, すなわち 市内の小さい豪華な建物 - AA - 市民建築: 内部
41AA12|城 - AA - 市民建築: 内部
41AA121|市内の要塞化された家 - AA - 市民建築: 内部
41AA13|大建造物 例: 公共の建物, デパート - AA - 市民建築: 内部
41AA14|都市住宅 - AA - 市民建築: 内部
41AA141|通常の家または家並み - AA - 市民建築: 内部
41AA142|商店と結合した家 - AA - 市民建築: 内部
41AA143|市内の戸建て - AA - 市民建築: 内部
41AA144|平屋, アパート - AA - 市民建築: 内部
41AA15|摩天楼 - AA - 市民建築: 内部
41AA16|農村住居, 例: カントリー・ハウス, ヴィラ, コテージ - AA - 市民建築: 内部
41AA161|カントリー・ハウス - AA - 市民建築: 内部
41AA162|ヴィラ - AA - 市民建築: 内部
41AA163|コテージ - AA - 市民建築: 内部
41AA17|農場 (農舎) - AA - 市民建築: 内部
41AA171|納屋 - AA - 市民建築: 内部
41AA18|小屋, キャビン, ロッジ - AA - 市民建築: 内部
41AA181|丸太小屋 - AA - 市民建築: 内部
41AA182|インディアン・ロッジ - AA - 市民建築: 内部
41AA1821|ウィグワム - AA - 市民建築: 内部
41AA19|他の住居のタイプ - AA - 市民建築: 内部
41AA191|テント - AA - 市民建築: 内部
41AA1911|テントキャンプ - AA - 市民建築: 内部
41AA1912|ティピー - AA - 市民建築: 内部
41AA192|キャラバン (トレーラー) - AA - 市民建築: 内部
41AA1921|キャラバンキャンプ - AA - 市民建築: 内部
41AA1922|トレーラー - AA - 市民建築: 内部
41AA193|ホウスボート - AA - 市民建築: 内部
41AA194|湖上住居, 杭上住居 - AA - 市民建築: 内部
41AA1941|地面から離れて立つその他の居住施設 - AA - 市民建築: 内部
41AA195|かまくら, イグルー - AA - 市民建築: 内部
41AA196|穴居生活 - AA - 市民建築: 内部
41AA32|扉 - AA - 偽扉, 見せかけの扉
41AA321|ドアを開ける - AA - 偽扉, 見せかけの扉
41AA3211|開いたドア - AA - 偽扉, 見せかけの扉
41AA3212|分割された扉, 上部の開いた扉 - AA - 偽扉, 見せかけの扉
41AA3213|回転ドア - AA - 偽扉, 見せかけの扉
41AA322|ドアを閉める、閉じる
41AA3221|閉じたドア - AA - 偽扉, 見せかけの扉
41AA323|記念碑的なドア, 玄関, 'aediculum' - AA - 偽扉, 見せかけの扉
41AA324|ドアの金属細工品 - AA - 偽扉, 見せかけの扉
41AA3241|ドアノッカー, 玄関の呼び鈴 - AA - 偽扉, 見せかけの扉
41AA3242|ドア・ハンドル, ドアノブ - AA - 偽扉, 見せかけの扉
41AA325|敷居 - AA - 偽扉, 見せかけの扉
41AA3251|かまち, 柱, わき柱 - AA - 偽扉, 見せかけの扉
41AA3252|ドアの付属品 例: 靴の泥落とし, ブラシ, ドアマット - AA - 偽扉, 見せかけの扉
41AA326|郵便箱 ~ 扉 - AA - 偽扉, 見せかけの扉
41AA327|門番, 守衛 (無人の) - AA - 偽扉, 見せかけの扉
41AA328|錠 ~ 扉 - AA - 偽扉, 見せかけの扉
41AA3281|鍵 - AA - 偽扉, 見せかけの扉
41AA32811|マスターキー, 'passe-partout', 合鍵 - AA - 偽扉, 見せかけの扉
41AA3282|掛け金 - AA - 偽扉, 見せかけの扉
41AA3283|かんぬき - AA - 偽扉, 見せかけの扉
41AA3284|南京錠 - AA - 偽扉, 見せかけの扉
41AA33|窓 - AA - 偽窓
41AA331|窓を開ける - AA - 偽窓
41AA3311|開いた窓 - AA - 偽窓
41AA332|窓を閉める - AA - 偽窓
41AA3321|閉じた窓 - AA - 偽窓
41AA333|雨戸 - AA - 偽窓
41AA3331|外部の雨戸 - AA - 偽窓
41AA3332|内部の雨戸 - AA - 偽窓
41AA335|窓側の席 - AA - 偽窓
41AA336|(開いた) 窓辺の人物像 - AA - 偽窓
41AA3361|(開いた) 窓辺の人物像, 外部から見られた場面 - AA - 偽窓
41AA3362|(開いた) 窓辺の人物像, 内部から見られた場面 - AA - 偽窓
41AA337|窓を通した光景 - AA - 偽窓
41AA3371|窓を通した光景, 外部から見られた場面 - AA - 偽窓
41AA3372|窓を通した光景, 内部から見られた場面 - AA - 偽窓
41B|加熱, 照明, 換気
41B1|着火 (一般的な)
41B11|火を焚く
41B111|火打ち石と打ち金
41B112|火口箱
41B113|硫黄マッチ
41B114|マッチ
41B1141|マッチ箱
41B115|導火線
41B12|燃焼過程
41B12(...)|燃焼過程 (燃料の名前を伴う)
41B12(COAL)|燃焼過程: 石炭
41B12(FAGGOT)|燃焼過程: 柴の束
41B12(LOG)|燃焼過程: 丸太
41B12(OIL)|燃焼過程: 油
41B12(STRAW)|燃焼過程: 藁
41B121|炎
41B122|火花 ~ 火
41B123|燃焼により放出されるガス
41B13|火をかき立てる
41B131|吹く (火をかき立てる)
41B1311|ふいご
41B132|煽る (火をかき立てる)
41B1321|うちわ
41B133|かき立てる (火をかき立てる)
41B1331|火かき棒 (~ 着火)
41B14|消火
41B15|燃焼堆積物
41B151|すす
41B152|灰
41B153|燃え殻, スラグ
41B16|キャンプファイアー; かがり火
41B161|焚き火
41B162|煙
41B2|炉床とストーブ
41B21|平炉, 暖炉
41B211|火で身体を暖める (または 暖炉前, ストーブ, 火鉢)
41B212|器具 ~ 暖炉
41B2121|火バサミ
41B2122|石炭用消化器
41B213|付属品 ~ 暖炉
41B2131|ファイアースクリーン
41B2132|緩衝装置
41B2133|炉床板
41B2134|ダミー板図
41B2135|鎖で吊り下げられたポット
41B2136|炉のまきのせ台, まきのせ台
41B214|煙突
41B2141|チムニーピース, マントルピース
41B2142|煙突の装飾品
41B22|暖房ストーブ
41B221|(暖房ストーブの) 火格子
41B222|ストーブの煙突
41B223|石炭バケツ
41B224|石炭シャベル
41B23|フットストーブ
41B231|寝床用あんか (ベッド用)
41B232|湯たんぽ
41B24|セントラルヒーティング
41B241|ラジエーター (セントラルヒーティング)
41B29|冷却, 空調
41B3|照明; ランプ
41B31|蝋燭
41B311|シャンデリア, 枝付き燭台
41B312|壁取り付け用燭台, 壁灯
41B313|燭台
41B314|蝋燭の火消し具
41B32|松明
41B33|ランタン
41B34|石油ランプ
41B35|パラフィンランプ
41B36|ガス灯
41B37|電気ランプ
41B371|電球 (電気の)
41B372|ネオンランプ, ネオン管
41B4|燃える, 燃えたつ
41B5|消火
41B51|消防署, 消防隊
41B511|消防士
41B52|消火設備
41B521|バケツ (消火設備)
41B522|ポンプ (消火設備)
41B523|消防用ホース
41B524|化学消化器
41B525|消防車
41B53|消火救援
41B531|ジャンプシートを伴う消火救援
41B6|喚起システム
41B61|通風孔
41BB32|松明 - BB - 逆さまに持たれた松明
41C|栄養, 滋養物
41C1|飲食
41C10|美食, 飲食の芸
41C11|食べる
41C111|食べ物を与える
41C119|飢え
41C1190|飢えの擬人化, '名声s'; '名声' (リーパ)
41C1191|飢餓, 飢饉
41C1192|ハンガーストライキ
41C12|飲む
41C121|飲み物を与える
41C122|注ぐ
41C129|喉の渇き
41C13|食前に食べ物を冷やすため吹く
41C14|食前に食べ物を冷やすためかき混ぜる
41C18|飽和, 飽食 ~ 飲食
41C19|飽くことのない飢え または 喉の渇き
41C2|台所と地下貯蔵室
41C21|台所
41C211|台所内部
41C2111|全景に食料品のある台所内部 (オランダ語: 'keukenstuk')
41C212|シンク (台所)
41C22|厨房職員
41C221|料理人
41C222|台所の下働きの女中,台所の使用人
41C23|貧相な台所と豪華な台所
41C231|豪華な台所
41C232|貧相な台所
41C24|食品を保存する
41C241|地下貯蔵室
41C2411|ワインセラー
41C24111|ソムリエ
41C242|貯氷庫
41C2421|アイスボックス, 冷蔵庫
41C25|調理
41C251|火で焼く, グリルする
41C2511|焼き串 ~ 調理
41C2512|グリル, 焼き網 ~ 調理
41C252|揚げる
41C253|沸く
41C254|台所の火
41C2541|着火, 暖炉, ストーブ (台所の)
41C2542|レンジ
41C2543|オーブン ~ 台所
41C26|食事の準備
41C261|洗浄する (食物)
41C2611|野菜を洗浄する
41C2612|果物を洗浄する, 例: 皮むき
41C26121|(半分) 皮を剥かれた果物, 例: レモン
41C2613|家禽や小動物をきれいにする
41C26131|毛を毟られた家禽
41C262|分ける (食物)
41C2621|肉を切る
41C2622|パンをスライスする
41C263|混ぜる, 混ぜ合わせる (食物を準備する)
41C2631|生地や衣生地を用意する
41C264|なめらかにする, 打つ (食物を準備する)
41C265|飾り付ける, 飾る, 仕上げる (食物を準備する)
41C269|食器を洗う
41C27|台所用品
41C27(...)|台所用品 (名称を伴う)
41C27(CAULDRON)|台所用品: 大釜
41C27(COLANDER)|台所用品: 水切り器
41C27(FRYING PAN)|台所用品: フライパン
41C27(FUNNEL)|台所用品: 漏斗
41C27(GRATER)|台所用品: おろし金
41C27(LADLE)|台所用品: ひしゃく
41C27(PAN)|台所用品: 平鍋
41C27(POT)|台所用品: 深鍋
41C27(ROLLING-PIN)|台所用品: めん棒
41C27(SIEVE)|台所用品: ふるい
41C27(SKIMMER)|台所用品: 網じゃくし
41C3|置かれたテーブル: 食卓用器具, テーブルの飾り等
41C31|食卓用器具
41C311|テーブルナイフ
41C312|フォーク
41C313|スプーン
41C314|塩入れ, 振り出し式塩入れ
41C315|薬味入れ
41C316|茹で卵立て
41C317|ワインクーラー
41C32|飲用を意図した容器
41C321|コップ
41C3211|飲料用角杯
41C3212|ノーチラスカップ
41C322|マグ, ビーカー, ゴブレット
41C3221|グラスの足
41C323|グラス, ラマー
41C323(...)|グラス, ラマー (名称を伴う)
41C323(BERKEMEYER)|グラス, ラマー: berkemeyer (広口ガラス)
41C323(PASGLAS)|グラス, ラマー: pasglas (細長いビールグラス)
41C324|タンカード
41C325|卓上噴水
41C326|瓶, 水差し (飲料用容器として使われる)
41C327|稀な形の飲料用容器
41C3271|動物の形をした飲料用容器
41C3272|擬人化された飲料用容器
41C32721|飲料用容器としての人間の頭蓋骨
41C3273|物体の形をした飲料用容器
41C33|紅茶とコーヒー用器一式
41C331|カップと受け皿
41C332|コーヒーポット
41C333|ティーポット; サモワール
41C334|砂糖壺
41C34|正餐用食器類一式
41C341|皿, 平皿, 受け皿
41C342|器, 大皿
41C343|金属製の盆
41C344|グレイビーソース
41C345|わん
41C35|テーブルの飾り
41C351|中央装飾品, 飾り皿, 'surtout', 'milieu-de-table'
41C352|trionfi di tavola', 'pièces montées'
41C353|広口水差し, 食前に手を洗うための水を入れた容器
41C36|食器棚に展示された(正餐用)一式
41C37|テーブルクロス
41C371|ナプキン
41C3711|ナプキンリング
41C38|静物として置かれたテーブル
41C381|朝食画 (オランダ語: 'ontbijtje')
41C382|宴会画
41C4|(家族の) 食事
41C41|朝食
41C411|朝のコーヒー
41C42|昼飯, 昼食
41C421|ハイ・ティー
41C4211|茶席
41C422|アフタヌーン・ティー
41C43|夕食, 正餐, 晩餐
41C44|(遅い) 晩餐
41C5|祝いの食事, 饗宴, 宴会
41C50|Convito' (リーパ)
41C51|優雅な宴会
41C52|大酒盛り, 酒盛り, 乱痴気騒ぎ
41C520|Crapula' (リーパ)
41C6|食料品; 食料品の静物
41C61|小麦
41C611|小麦または穀物類
41C612|小麦及び穀物製品
41C6121|穀草類
41C6122|麺, スパゲッティ等
41C62|パン, ケーキ, パン菓子等
41C621|パン, ローフ
41C6211|成型パン
41C62111|平らな、丸いパンまたはペストリー, 例: ピザ
41C6212|惣菜パン, ロール, 例: サンドイッチ, ハンバーガー
41C622|ケーキ, タルト, パン菓子
41C6221|デコレーションケーキ, デコレーションパストリー
41C6222|ビスケット
41C623|パンケーキ
41C624|ワッフル
41C6241|筒状ウエハース
41C625|パイ
41C626|パン屋の型
41C6261|ケーキ、タルト、パン菓子用の型
41C6262|ビスケット用の型
41C62621|所謂 'speculaasplanken' (ビスケット型)
41C6263|ワッフル焼き型
41C6264|パン焼き型, 焼き型
41C63|砂糖
41C631|パン焼き型
41C632|角砂糖
41C633|糖蜜
41C634|氷砂糖
41C635|お菓子, 珍味
41C6351|アイスクリーム
41C6352|チョコレート (固形)
41C636|蜂蜜
41C637|糖衣をかけた
41C6371|アイシング
41C64|乳製品と卵
41C641|乳製品
41C6411|バター
41C6412|チーズ
41C6413|牛乳
41C64131|バターミルク
41C64132|ヨーグルト
41C64133|クリーム
41C642|卵, 卵料理
41C65|野菜と果物; 野菜と果物の静物画
41C651|ジャガイモ
41C6511|加工されたジャガイモ, 例: ポテトチップス, チップス (フライドポテト)
41C652|野菜
41C652(...)|野菜 (名称を伴う)
41C6521|加工された野菜
41C6521(...)|加工された野菜 (名称を伴う)
41C653|果物
41C653(...)|果物 (名称を伴う)
41C6531|加工された果物, 例: ジャム, マーマレード等
41C66|調味料, スパイス
41C66(...)|調味料, スパイス (名称を伴う)
41C66(SAFFRON)|調味料, スパイス: サフラン
41C661|塩
41C662|胡椒
41C663|マスタード
41C67|油, 酢, ソース
41C671|植物油脂
41C6711|マーガリン
41C672|酢
41C673|ソース
41C68|魚; 魚の静物画
41C68(...)|魚 (名称を伴う)
41C68(SMOKED HERRING)|魚: 燻製ニシン
41C681|海産食品
41C681(...)|海産食品 (名称を伴う)
41C69|肉; 肉の静物画
41C691|屠殺された牛または豚
41C692|肉類
41C692(...)|肉類 (名称を伴う)
41C693|ソーセージ
41C694|ハム
41C695|脂肪, ラード
41C696|出汁, スープ
41C7|飲料, 刺激物, 薬物
41C71|アルコール飲料
41C711|ワイン ~ アルコール飲料
41C7111|1杯のワイン
41C7112|1本のワイン
41C7113|ワインの種類
41C7113(...)|ワインの種類 (名称を伴う)
41C712|リキュール
41C713|蒸留酒
41C7131|ジュネヴァ, ジン
41C7132|ウイスキー
41C7133|ウォッカ
41C7134|ブランデー, ブランデーワイン
41C714|ビール, エール
41C7141|1杯のビール
41C715|他のアルコール飲料
41C715(...)|他のアルコール飲料 (名称を伴う)
41C7151|カクテル
41C72|刺激性飲料
41C721|コーヒー
41C7211|1杯のコーヒー
41C722|紅茶 (茶葉)
41C7221|1杯の紅茶
41C723|チョコレート, ココア
41C73|他の非アルコール飲料
41C731|甘い果物-糖蜜
41C732|果実飲料
41C74|煙草
41C741|パイプ ~ 煙草
41C7411|水煙草, 水ぎせる, ナルギレ
41C7412|巻き煙草, ねじって巻いた煙草
41C7413|刻み煙草用壺
41C7414|管受け, 立て管
41C7415|灰皿
41C742|葉巻
41C7421|シガーボックス
41C7422|葉巻ケース
41C7423|葉巻用パイプ
41C743|紙巻きたばこ
41C7431|シガレットケース
41C7432|紙巻きたばこの巻紙
41C7433|紙巻きたばこ用パイプ
41C744|嗅ぎ煙草
41C7441|かぎたばこ入れ
41C745|噛み煙草
41C7451|他の噛む用の刺激物
41C74511|キンマ
41C74512|チューインガム
41C75|薬物
41C75(...)|薬物 (名称を伴う)
41C75(HASHISH)|薬物: ハシシ
41C751|阿片
41C7511|阿片パイプ
41C7512|阿片窟
41C76|香り, 香水 ~ 刺激物, 薬物
41C761|香箱
41C762|香炉 ~ 香り, 香水
41C9|カニバリズム
41C91|ネクロファジスト
41CC221|料理人 - CC - 女性料理人
41CC25|調理 - CC - 戸外にて
41CC251|火で焼く, グリルする - CC - 戸外にて
41CC2511|焼き串 ~ 調理 - CC - 戸外にて
41CC2512|グリル, 焼き網 ~ 調理 - CC - 戸外にて
41CC252|揚げる - CC - 戸外にて
41CC253|沸く - CC - 戸外にて
41CC254|台所の火 - CC - 戸外にて
41CC2541|着火, 暖炉, ストーブ (台所の) - CC - 戸外にて
41CC2542|レンジ - CC - 戸外にて
41CC2543|オーブン ~ 台所 - CC - 戸外にて
41CC26|食事の準備 - CC - 戸外にて
41CC261|洗浄する (食物) - CC - 戸外にて
41CC2611|野菜を洗浄する - CC - 戸外にて
41CC2612|果物を洗浄する, 例: 皮むき - CC - 戸外にて
41CC26121|(半分) 皮を剥かれた果物, 例: レモン - CC - 戸外にて
41CC2613|家禽や小動物をきれいにする - CC - 戸外にて
41CC26131|毛を毟られた家禽 - CC - 戸外にて
41CC262|分ける (食物) - CC - 戸外にて
41CC2621|肉を切る - CC - 戸外にて
41CC2622|パンをスライスする - CC - 戸外にて
41CC263|混ぜる, 混ぜ合わせる (食物を準備する) - CC - 戸外にて
41CC2631|生地や衣生地を用意する - CC - 戸外にて
41CC264|なめらかにする, 打つ (食物を準備する) - CC - 戸外にて
41CC265|飾り付ける, 飾る, 仕上げる (食物を準備する) - CC - 戸外にて
41CC269|食器を洗う - CC - 戸外にて
41CC4|(家族の) 食事 - CC - 屋外
41CC41|朝食 - CC - 屋外
41CC411|朝のコーヒー - CC - 屋外
41CC42|昼飯, 昼食 - CC - 屋外
41CC421|ハイ・ティー - CC - 屋外
41CC4211|茶席 - CC - 屋外
41CC422|アフタヌーン・ティー - CC - 屋外
41CC43|夕食, 正餐, 晩餐 - CC - 屋外
41CC44|(遅い) 晩餐 - CC - 屋外
41CC5|祝いの食事, 饗宴, 宴会 - CC - 屋外
41CC50|Convito' (リーパ) - CC - 屋外
41CC51|優雅な宴会 - CC - 屋外
41CC52|大酒盛り, 酒盛り, 乱痴気騒ぎ - CC - 屋外
41CC520|Crapula' (リーパ) - CC - 屋外
41D|ファッション, 衣類
41D1|ファッション
41D11|伊達男
41D12|ファッションショー
41D121|モデル, マネキン
41D122|ショーウィンドウの像
41D13|流行を追う
41D131|ダンディ, 洒落男
41D1310|Delitioso' (リーパ)
41D1311|incroyable' ~ ダンディ
41D132|ファッショナブルな女性, 'belle'
41D1321|merveilleuse'
41D14|ファッションデザイナー
41D2|衣類, 衣裳
41D21|身体全体を覆う衣類
41D21(...)|身体全体を覆う衣類 (名称を伴う)
41D211|ドレス, ガウン
41D211(...)|ドレス, ガウン (名称を伴う)
41D211(BALL GOWN)|ドレス, ガウン: 夜会服
41D211(CHEMISE À LA REINE)|ドレス, ガウン: シュミーズ・ア・ラ・レーヌ (chemise à la Reine)
41D211(COURT GOWN)|ドレス, ガウン: 宮中服または大礼服
41D211(DAY DRESS)|ドレス, ガウン: デイドレス
41D211(DINNER DRESS)|ドレス, ガウン: ディナードレス
41D211(EVENING DRESS)|ドレス, ガウン: イブニングドレス
41D211(MANTEAU)|ドレス, ガウン: マント
41D211(MORNING DRESS)|ドレス, ガウン: モーニング
41D211(REDINGOTE)|ドレス, ガウン: ルダンゴト
41D211(ROBE VOLANTE)|ドレス, ガウン: ローブ・ヴォラント
41D211(ROBE À L'ANGLAISE)|ドレス, ガウン: ローブ・ア・ラングレーズ (robe à l'anglaise)
41D211(ROBE À LA CIRCASSIENNE)|ドレス, ガウン: ローブ・ア・ラ・シルカシェンヌ (robe à la circassienne)
41D211(ROBE À LA FRANÇAISE)|ドレス, ガウン: ローブ・ア・ラ・フランセーズ (robe à la française)
41D211(ROBE À LA LÉVITE)|ドレス, ガウン: ローブ・ア・ラ・レヴィ (robe à la lévite)
41D211(ROBE À LA POLONAISE)|ドレス, ガウン: ローブ・ア・ラ・ポロネーズ (robe à la polonaise)
41D211(WALKING DRESS)|ドレス, ガウン: 外出着
41D212|コート, ケープ
41D2121|コート
41D2121(...)|コート (名称を伴う)
41D2121(BOLERO)|コート: ボレロ
41D2121(CARACO)|コート: 唐子
41D2121(OVERCOAT)|コート: 外套
41D21211|ハウスコート
41D21211(...)|ハウスコート (名称を伴う)
41D21211(BANYAN)|ハウスコート: バニヤン
41D2122|ケープ
41D2122(...)|ケープ (名称を伴う)
41D2122(MANTELET)|ケープ: マントレット
41D213|衣服のアンサンブル
41D213(...)|衣服のアンサンブル (名称を伴う)
41D213(SAILOR SUIT)|衣服のアンサンブル: セーラー服
41D22|被り物および上半身のための衣類
41D221|被り物
41D221(...)|被り物 (名称を伴う)
41D221(BERET)|被り物: ベレー帽
41D221(BICORNE)|被り物: 二角帽
