2|自然
23A41|時が明らかにする真実; 時が真実を上方へと運ぶ
23A411|真実を裸にする時
23A42|過去を隠す時
23A43|勤勉に報い、怠惰を罰する時
23A44|時の儚さ
23A441|建物等の破壊を引き起こす時
23A45|美を拉致する時
23B|1年以上の期間
23B1|1000年以上の期間
23B2|千年
23B3|100年, 1世紀
23B30|世紀 (Secolo)' (リーパ)
23B4|50年
23B5|25年
23B6|12 1/2 年
23B7|10年, 10年間
23B8|5年, 5年間
23B9|その他の期間
23B9(...)|その他の期間 (年数 を伴う)
23C|年, 太陽年
23C1|Annus', 年の擬人化; 'Anno', 'Carro dell'anno' (リーパ)
23C2|太陰年
23C3|恒星年
23D|1年の季節 (特に 擬人化); 'Stagione', 'Le quattro Stagione dell'anno' (リーパ)
23D1|not used
23D2|2つの季節に分けられる年
23D21|冬半期
23D22|夏半期
23D23|夏と冬の闘争
23D3|3つの季節に分けられる年
23D31|3つの季節に分けられる年 (第1のシリーズ)
23D311|1月 - 4月 (3つの季節に分けられる年)
23D312|5月 - 8月 (3つの季節に分けられる年)
23D313|9月 - 12月 (3つの季節に分けられる年)
23D32|3つの季節に分けられる年 (第2のシリーズ)
23D321|12月 - 3月 (3つの季節に分けられる年)
23D322|4月 - 7月 (3つの季節に分けられる年)
23D323|8月 - 11月 (3つの季節に分けられる年)
23D4|四季に分けられる年
23D41|冬, 'Hyems'; 'Inverno' (リーパ)
23D42|春, 'Ver'; 'Primavera' (リーパ)
23D43|夏, 'Aestas'; 'Estate' (リーパ)
23D44|秋,  'Autumnus'; 'Autunno' (リーパ)
23D5|5つの季節に分けられる年
23D6|6つの季節に分けられる年
23D61|6つの季節に分けられる年 (第1のシリーズ)
23D611|1月と2月 (6つの季節に分けられる年)
23D612|3月と4月 (6つの季節に分けられる年)
23D613|5月と6月 (6つの季節に分けられる年)
23D614|7月と8月 (6つの季節に分けられる年)
23D615|9月と10月 (6つの季節に分けられる年)
23D616|11月と12月 (6つの季節に分けられる年)
23D62|6つの季節に分けられる年 (第2のシリーズ)
23D621|12月と1月 (6つの季節に分けられる年)
23D622|2月と3月 (6つの季節に分けられる年)
23D623|4月と5月 (6つの季節に分けられる年)
23D624|6月と7月 (6つの季節に分けられる年)
23D625|8月と9月 (6つの季節に分けられる年)
23D626|10月と11月 (6つの季節に分けられる年)
23E|人間の活動を示す場面によって表される1年の季節, 通常風景の中で表される
23E2|2つの季節に分けられる年 ~ 人間の活動
23E21|冬半期 ~ 人間の活動 (2つの季節に分けられる年)
23E22|夏半期 ~ 人間の活動 (2つの季節に分けられる年)
23E23|夏と冬の闘争 ~ 人間の活動 (2つの季節に分けられる年)
23E3|3つの季節に分けられる年 ~ 人間の活動
23E31|3つの季節に分けられる年 ~ 人間の活動 (第1のシリーズ)
23E311|1月 - 4月 ~ 人間の活動 (3つの季節に分けられる年)
23E312|5月 - 8月 ~ 人間の活動 (3つの季節に分けられる年)
23E313|9月 - 12月 ~ 人間の活動 (3つの季節に分けられる年)
23E32|3つの季節に分けられる年 ~ 人間の活動 (第2のシリーズ)
23E321|12月 - 3月 ~ 人間の活動 (3つの季節に分けられる年)
23E322|4月 - 7月 ~ 人間の活動 (3つの季節に分けられる年)
23E323|8月 - 11月 ~ 人間の活動 (3つの季節に分けられる年)
23E4|1年の四季 ~ 人間の活動
23E41|冬 ~ 人間の活動 (1年の四季)
23E42|春 ~ 人間の活動 (1年の四季)
23E43|夏 ~ 人間の活動 (1年の四季)
23E44|秋 ~ 人間の活動 (1年の四季)
23E5|5つの季節に分けられる年 ~ 人間の活動
23E6|6つの季節に分けられる年 ~ 人間の活動
23E61|6つの季節に分けられる年 ~ 人間の活動 (第1のシリーズ)
23E611|1月と2月 ~ 人間の活動 (6つの季節に分けられる年)
23E612|3月と4月 ~ 人間の活動 (6つの季節に分けられる年)
23E613|5月と6月 ~ 人間の活動 (6つの季節に分けられる年)
23E614|7月と8月 ~ 人間の活動 (6つの季節に分けられる年)
23E615|9月と10月 ~ 人間の活動 (6つの季節に分けられる年)
23E616|11月と12月 ~ 人間の活動 (6つの季節に分けられる年)
23E62|6つの季節に分けられる年 ~ 人間の活動 (第2のシリーズ)
23E621|12月と1月 ~ 人間の活動 (6つの季節に分けられる年)
23E622|2月と3月 ~ 人間の活動 (6つの季節に分けられる年)
23E623|4月と5月 ~ 人間の活動 (6つの季節に分けられる年)
23E624|6月と7月 ~ 人間の活動 (6つの季節に分けられる年)
23E625|8月と9月 ~ 人間の活動 (6つの季節に分けられる年)
23E626|10月と11月 ~ 人間の活動 (6つの季節に分けられる年)
23F|風景によって表される年の季節
23F2|2つの季節に分けられる年 ~ 風景
23F21|冬半期 ~ 風景 (2つの季節に分けられる年)
23F22|夏半期 ~ 風景 (2つの季節に分けられる年)
23F23|夏と冬の闘争 ~ 風景 (2つの季節に分けられる年)
23F3|3つの季節に分けられる年 ~ 風景
23F31|3つの季節に分けられる年 ~ 風景 (第1のシリーズ)
23F311|1月 - 4月 ~ 風景 (3つの季節に分けられる年)
23F312|5月 - 8月 ~ 風景 (3つの季節に分けられる年)
23F313|9月 - 12月 ~ 風景 (3つの季節に分けられる年)
23F32|3つの季節に分けられる年 ~ 風景 (第2のシリーズ)
23F321|12月 - 3月 ~ 風景 (3つの季節に分けられる年)
23F322|4月 - 7月 ~ 風景 (3つの季節に分けられる年)
23F323|8月 - 11月 ~ 風景 (3つの季節に分けられる年)
23F4|1年の四季 ~ 風景
23F41|冬の風景; 冬を象徴する風景 (1年の四季)
23F42|春の風景; 春を象徴する風景 (1年の四季)
23F43|夏の風景; 夏を象徴する風景 (1年の四季)
23F44|秋の風景; 秋を象徴する風景 (1年の四季)
23F5|5つの季節に分けられる年 ~ 風景
23F6|6つの季節に分けられる年 ~ 風景
23F61|6つの季節に分けられる年 ~ 風景 (第1のシリーズ)
23F611|1月と2月 ~ 風景 (6つの季節に分けられる年)
23F612|3月と4月 ~ 風景 (6つの季節に分けられる年)
23F613|5月と6月 ~ 風景 (6つの季節に分けられる年)
23F614|7月と8月 ~ 風景 (6つの季節に分けられる年)
23F615|9月と10月 ~ 風景 (6つの季節に分けられる年)
23F616|11月と12月 ~ 風景 (6つの季節に分けられる年)
23F62|6つの季節に分けられる年 ~ 風景 (第2のシリーズ)
23F621|12月と1月 ~ 風景 (6つの季節に分けられる年)
23F622|2月と3月 ~ 風景 (6つの季節に分けられる年)
23F623|4月と5月 ~ 風景 (6つの季節に分けられる年)
23F624|6月と7月 ~ 風景 (6つの季節に分けられる年)
23F625|8月と9月 ~ 風景 (6つの季節に分けられる年)
23F626|10月と11月 ~ 風景 (6つの季節に分けられる年)
23G|花 や/または 果物の静物によって表される年の季節
23G2|2つの季節に分けられる年 ~ 花 や/または 果物の静物
23G21|冬半期 ~ 花 や/または 果物の静物 (2つの季節に分けられる年)
23G22|夏半期 ~ 花 や/または 果物の静物 (2つの季節に分けられる年)
23G23|夏と冬の闘争 ~ 花 や/または 果物の静物 (2つの季節に分けられる年)
23G3|3つの季節に分けられる年 ~ 花 や/または 果物の静物
23G31|3つの季節に分けられる年 ~ 花 や/または 果物の静物 (第1のシリーズ)
23G311|1月 - 4月 ~ 花 や/または 果物の静物 (3つの季節に分けられる年)
23G312|5月 - 8月 ~ 花 や/または 果物の静物 (3つの季節に分けられる年)
23G313|9月 - 12月 ~ 花 や/または 果物の静物 (3つの季節に分けられる年)
23G32|3つの季節に分けられる年 ~ 花 や/または 果物の静物 (第2のシリーズ)
23G321|12月 - 3月 ~ 花 や/または 果物の静物 (3つの季節に分けられる年)
23G322|4月 - 7月 ~ 花 や/または 果物の静物 (3つの季節に分けられる年)
23G323|8月 - 11月 ~ 花 や/または 果物の静物 (3つの季節に分けられる年)
23G4|1年の四季 ~ 花 や/または 果物の静物
23G41|冬を象徴する静物 (1年の四季)
23G42|春を象徴する静物 (1年の四季)
23G43|夏を象徴する静物 (1年の四季)
23G44|秋を象徴する静物 (1年の四季)
23G5|5つの季節に分けられる年 ~ 花 や/または 果物の静物
23G6|6つの季節に分けられる年 ~ 花 や/または 果物の静物
23G61|6つの季節に分けられる年 ~ 花 や/または 果物の静物 (第1のシリーズ)
23G611|1月と2月 ~ 花 や/または 果物の静物 (6つの季節に分けられる年)
23G612|3月と4月 ~ 花 や/または 果物の静物 (6つの季節に分けられる年)
23G613|5月と6月 ~ 花 や/または 果物の静物 (6つの季節に分けられる年)
23G614|7月と8月 ~ 花 や/または 果物の静物 (6つの季節に分けられる年)
23G615|9月と10月 ~ 花 や/または 果物の静物 (6つの季節に分けられる年)
23G616|11月と12月 ~ 花 や/または 果物の静物 (6つの季節に分けられる年)
23G62|6つの季節に分けられる年 ~ 花 や/または 果物の静物 (第2のシリーズ)
23G621|12月と1月 ~ 花 や/または 果物の静物 (6つの季節に分けられる年)
23G622|2月と3月 ~ 花 や/または 果物の静物 (6つの季節に分けられる年)
23G623|4月と5月 ~ 花 や/または 果物の静物 (6つの季節に分けられる年)
23G624|6月と7月 ~ 花 や/または 果物の静物 (6つの季節に分けられる年)
23G625|8月と9月 ~ 花 や/または 果物の静物 (6つの季節に分けられる年)
23G626|10月と11月 ~ 花 や/または 果物の静物 (6つの季節に分けられる年)
23H|擬人化以外の概念で表される1年の季節, 人間の活動, 風景, または 花 や/または 果物の静物 (例 聖書の場面)
23H2|2つの季節に分けられる年 ~ その他の概念 (例 聖書の場面)
23H21|冬半期 ~ その他の概念 (例 聖書の場面) (2つの季節に分けられる年)
23H22|夏半期 ~ その他の概念 (例 聖書の場面) (2つの季節に分けられる年)
23H23|夏と冬の闘争 ~ その他の概念 (例 聖書の場面) (2つの季節に分けられる年)
23H3|3つの季節に分けられる年 ~ その他の概念 (例 聖書の場面)
23H31|3つの季節に分けられる年 ~ その他の概念 (例 聖書の場面) (第1のシリーズ)
23H311|1月 - 4月 ~ その他の概念 (例 聖書の場面) (3つの季節に分けられる年)
23H312|5月 - 8月 ~ その他の概念 (例 聖書の場面) (3つの季節に分けられる年)
23H313|9月 - 12月 ~ その他の概念 (例 聖書の場面) (3つの季節に分けられる年)
23H32|3つの季節に分けられる年 ~ その他の概念 (例 聖書の場面) (第2のシリーズ)
23H321|12月 - 3月 ~ その他の概念 (例 聖書の場面) (3つの季節に分けられる年)
23H322|4月 - 7月 ~ その他の概念 (例 聖書の場面) (3つの季節に分けられる年)
23H323|8月 - 11月 ~ その他の概念 (例 聖書の場面) (3つの季節に分けられる年)
23H4|1年の四季 ~ その他の概念 (例 聖書の場面)
23H41|冬 ~ その他の概念 (例 聖書の場面) (1年の四季)
23H42|春 ~ その他の概念 (例 聖書の場面) (1年の四季)
23H43|夏 ~ その他の概念 (例 聖書の場面) (1年の四季)
23H44|秋 ~ その他の概念 (例 聖書の場面) (1年の四季)
23H5|5つの季節に分けられる年 ~ その他の概念 (例 聖書の場面)
23H6|6つの季節に分けられる年 ~ その他の概念 (例 聖書の場面)
23H61|3つの季節に分けられる年 ~ その他の概念 (例 聖書の場面) (第1のシリーズ)
23H611|1月と2月 ~ その他の概念 (例 聖書の場面) (6つの季節に分けられる年)
23H612|3月と4月 ~ その他の概念 (例 聖書の場面) (6つの季節に分けられる年)
23H613|5月と6月 ~ その他の概念 (例 聖書の場面) (6つの季節に分けられる年)
23H614|7月と8月 ~ その他の概念 (例 聖書の場面) (6つの季節に分けられる年)
23H615|9月と10月 ~ その他の概念 (例 聖書の場面) (6つの季節に分けられる年)
23H616|11月と12月 ~ その他の概念 (例 聖書の場面) (6つの季節に分けられる年)
23H62|3つの季節に分けられる年 ~ その他の概念 (例 聖書の場面) (第2のシリーズ)
23H621|12月と1月 ~ その他の概念 (例 聖書の場面) (6つの季節に分けられる年)
23H622|2月と3月 ~ その他の概念 (例 聖書の場面) (6つの季節に分けられる年)
23H623|4月と5月 ~ その他の概念 (例 聖書の場面) (6つの季節に分けられる年)
23H624|6月と7月 ~ その他の概念 (例 聖書の場面) (6つの季節に分けられる年)
23H625|8月と9月 ~ その他の概念 (例 聖書の場面) (6つの季節に分けられる年)
23H626|10月と11月 ~ その他の概念 (例 聖書の場面) (6つの季節に分けられる年)
23I|12ヶ月 (特に擬人化されたもの); 'Mese generale' (リーパ)
23I1|1年の第1四半期の月
23I11|1月; '1月 Gennaro' (リーパ)
23I12|2月; '2月 Febraro' (リーパ)
23I13|3月; '3月 Marzo' (リーパ)
23I2|1年の第2四半期の月
23I21|4月; '4月 Aprile' (リーパ)
23I22|5月; '5月 Maggio' (リーパ)
23I23|6月; '6月 Giugno' (リーパ)
23I3|1年の第3四半期の月
23I31|7月; '7月 Luglio' (リーパ)
23I32|8月; '8月 Agosto' (リーパ)
23I33|9月; '9月 Settembre' (リーパ)
23I4|1年の第4四半期の月
23I41|10月; '10月 Ottobre' (リーパ)
23I42|11月; '11月 Novembre' (リーパ)
23I43|12月; '12月 Decembre' (リーパ)
23K|人間の活動を示す場面で表される12ヶ月, 通常風景の中で表される; 所謂 '月の労働 labours of the months'
23K1|the 1年の第1四半期の月 ~ 人間の活動 (1月, 2月と3月の'労働 labours')
23K11|1月とその '労働 labours'
23K12|2月とその '労働 labours'
23K13|3月とその '労働 labours'
23K2|the 1年の第2四半期の月 ~ 人間の活動 (4月, 5月と6月の'労働 labours')
23K21|4月とその '労働 labours'
23K22|5月とその '労働 labours'
23K23|6月とその '労働 labours'
23K3|the 1年の第3四半期の月 ~ 人間の活動 (7月, 8月と9月の'労働 labours')
23K31|7月とその '労働 labours'
23K32|8月とその '労働 labours'
23K33|9月とその '労働 labours'
23K4|the 1年の第4四半期の月 ~ 人間の活動 (10月, 11月と12月の'労働 labours')
23K41|10月とその '労働 labours'
23K42|11月とその '労働 labours'
23K43|12月とその '労働 labours'
23L|風景によって表される12ヶ月
23L1|風景で表される1年の第1四半期の月
23L11|1月を象徴する風景
23L12|2月を象徴する風景
23L13|3月を象徴する風景
23L2|風景で表される1年の第2四半期の月
23L21|4月を象徴する風景
23L22|5月を象徴する風景
23L23|6月を象徴する風景
23L3|風景で表される1年の第3四半期の月
23L31|7月を象徴する風景
23L32|8月を象徴する風景
23L33|9月を象徴する風景
23L4|風景で表される1年の第4四半期の月
23L41|10月を象徴する風景
23L42|11月を象徴する風景
23L43|12月を象徴する風景
23M|花 や/または 果物の静物で表される12ヶ月
23M1|花 や/または 果物の静物で表される1年の第1四半期の月 
23M11|花 や/または 果物の静物によって表される1月
23M12|花 や/または 果物の静物によって表される2月
23M13|花 や/または 果物の静物によって表される3月
23M2|花 や/または 果物の静物で表される1年の第2四半期の月 
23M21|花 や/または 果物の静物によって表される4月
23M22|花 や/または 果物の静物によって表される5月
23M23|花 や/または 果物の静物によって表される6月
23M3|花 や/または 果物の静物で表される1年の第3四半期の月 
23M31|花 や/または 果物の静物によって表される7月
23M32|花 や/または 果物の静物によって表される8月
23M33|花 や/または 果物の静物によって表される9月
23M4|花 や/または 果物の静物で表される1年の第4四半期の月 
23M41|花 や/または 果物の静物によって表される10月
23M42|花 や/または 果物の静物によって表される11月
23M43|花 や/または 果物の静物によって表される12月
23N|擬人化以外の概念で表される12ヶ月, 人間の活動, 風景, または 花 や/または 果物の静物
23N1|1年の第1四半期の月 ~ その他の概念
23N11|1月 ~ その他の概念
23N12|2月 ~ その他の概念
23N13|3月 ~ その他の概念
23N2|1年の第2四半期の月 ~ その他の概念
23N21|4月 ~ その他の概念
23N22|5月 ~ その他の概念
23N23|6月 ~ その他の概念
23N3|1年の第3四半期の月 ~ その他の概念
23N31|7月 ~ その他の概念
23N32|8月 ~ その他の概念
23N33|9月 ~ その他の概念
23N4|1年の第4四半期の月 ~ その他の概念
23N41|10月 ~ その他の概念
23N42|11月 ~ その他の概念
23N43|12月 ~ その他の概念
23O|黄道帯; 12星座と共に
23O1|冬の季節の星座
23O11|山羊座
23O12|水瓶座 (1月の星座)
23O13|魚座 (2月の星座)
23O2|春の季節の星座
23O21|牡羊座 (3月の星座)
23O22|牡牛座 (4月の星座)
23O23|双子座 (5月の星座)
23O3|夏の季節の星座
23O31|蟹座 (6月の星座)
23O32|獅子座 (7月の星座)
23O33|乙女座 (8月の星座)
23O4|秋の季節の星座
23O41|天秤座 (9月の星座)
23O42|蠍座 (10月の星座)
23O43|射手座 (11月の星座)
23O5|獣帯人間; 人体の諸部分と結びついた黄道帯
23P|週
23Q|曜日
23Q1|日曜日
23Q2|月曜日
23Q3|火曜日
23Q4|水曜日
23Q5|木曜日
23Q6|金曜日
23Q7|土曜日
23Q8|明日
23Q81|明後日
23R|昼と夜
23R1|24時間の1日, 自然日
23R10|Giorno naturale', 'Carro del giorno naturale' (リーパ)
23R11|朝
23R110|朝の擬人化, '黎明 (Aurora)'; '黎明 (Aurora)' (リーパ)
23R111|朝 ~ 風景 ('黎明 (Aurora)'と題される場合も)
23R112|朝 ~ その他の概念
23R113|正午
23R12|午後
23R120|午後の擬人化, '昼 (Meridies)'
23R121|午後 ~ 風景 ('昼 (Meridies)'と題される場合も)
23R122|午後 ~ その他の概念
23R13|夕方
23R130|夕方の擬人化, '夕暮れ (Vesper)'
23R131|夕方 ~ 風景 ('夕暮れ (Vesper)'と題される場合も)
23R132|夕方 ~ その他の概念
23R14|夜
23R140|夜の擬人化, '夜 (Nox)'; 'Notte', 'Carro della notte', 'Serenità della notte' (リーパ)
23R141|夜 ~ 風景 ('夜 (Nox)'と題される場合も)
23R142|夜 ~ その他の概念
23R2|日の出から日の入りまでの日
23R20|Giorno artificiale', 'Carro del giorno artificiale', 'Serenità del giorno, 空気の精 (ninfa dell'aria)' (リーパ)
23R3|昼と夜の24時間
23R31|1日の最初の12時間
23R310|Hore del giorno' ('Hora prima', 'Hora seconda', 'Hora terza', 'Hora quarta', 'Hora quinta', 'Hora sesta', 'Hora settima', 'Hora ottava', 'Hora nona', 'Hora decima', 'Hora undecima', 'Hora duodecima') (リーパ)
23R32|1日の最後の12時間
23R320|Hore della notte' ('Hora prima', 'Hora seconda', 'Hora terza', 'Hora quarta', 'Hora quinta', 'Hora sesta', 'Hora settima', 'Hora ottava', 'Hora nona', 'Hora decima', 'Hora undecima', 'Hora duodecima') (リーパ)
23S|世界の帝国
23S1|4つの世界帝国 (バビロン, ペルシア, ギリシャ, ローマ)
23S11|バビロン (4つの世界帝国のうちのひとつ)
23S12|ペルシア (4つの世界帝国のうちのひとつ)
23S13|ギリシャ (4つの世界帝国のうちのひとつ
23S14|ローマ (4つの世界帝国のうちのひとつ)
23S2|聖書の区分による世界の帝国
23S21|様々な素材の巨像に象徴される世界の帝国 (ダニエル書 2章)
23S22| 4匹の獣に象徴される世界の帝国 (ダニエル書 7章)
23S3|他の方法で区分けされた世界の帝国
23T|歴史的時代
23T1|アダムから世界の終焉までの7つの時代に分けられた世界の歴史
23T11|アダムからノアの時代 ~ 世界の歴史
23T12|ノアからアブラハムまたはモーセの時代 ~ 世界の歴史
23T13|アブラハムまたはモーセからダヴィデの時代 ~ 世界の歴史
23T14|ダヴィデからバビロン捕囚の時代 ~ 世界の歴史
23T15|バビロン捕囚からキリスト降臨の時代 ~ 世界の歴史
23T16|キリストから世界の終末の時代 ~ 働く, 起きる
23T17|キリストから世界の終末の時代 ~ 寝る, 休憩 (永遠の安息日 eternal Sabbath)
23T2|歴史的時代の現代の区分
23T21|先史時代 (歴史的時代)
23T22|古代史 (歴史的時代)
23T23|古典古代 (歴史的時代)
23T24|暗黒時代 (歴史的時代)
23T25|中世史, 中世 (歴史的時代)
23T26|ルネサンス (歴史的時代, 16世紀まで)
23T27|歴史的時代の現代の区分 ~ 世紀
23T27(...)|歴史的時代の現代の区分 ~ 世紀 (世紀のローマ数字 を伴う)
23U|年表
23U1|暦法, 暦 
23U11|万年暦
23U2|時間の測定 (のための器具) 
23U20|Horografia' (リーパ)
23U21|日時計
23U22|砂時計
23U23|水時計
23U24|時計
23U241|時計職人, 時計工
23U25|腕時計
24|天界 (天体)
240|天界の寓意的表現 (天体)
24A|天体としての太陽
24A1|日の出
24A11|夜明け
24A110|曙 (Crepuscolo della matina)' (リーパ)
24A2|日没
24A21|夕闇, 夕方の黄昏
24A210|Crepuscolo della sera' (リーパ)
24A3|日食
24A31|コロナによる皆既日食
24A4|白夜
24A5|太陽の物理的側面
24A51|太陽黒点
24A52|異常な太陽現象: 幻日、日のかさ 等
24A6|顔や車輪等として表される太陽
24A7|太陽の位置
24A71|夏至, 夏至の日
24A710|夏至 (Solstitio estivo)' (リーパ)
24A72|秋分
24A720|Equinottio dell'autunno' (リーパ)
24A73|冬至
24A730|冬至 (Solstitio hiemale)' (リーパ)
24A74|春分
24A740|春分 (Equinottio della primavera)' (リーパ)
24A8|日光
24A81|太陽光線
24B|天体としての月
24B1|上弦の月, すなわち この方向に向いている: )
24B11|顔として表される上弦の月
24B2|満月
24B21|顔として表される月
24B3|下弦の月, すなわち この方向に向いている: (
24B31|顔として表される下弦の月
24B4|月食
24B5|月面
24B6|月光
24B61|月光線
24B62|月の熟考, 'schwärmen'
24B7|月の出
24B8|落月
24C|惑星 (地球を除く)
24C1|惑星; 惑星系, 太陽系
24C11|ケレス (惑星)
24C12|木星 (惑星)
24C13|火星 (惑星)
24C14|水星 (惑星)
24C15|海王星 (惑星)
24C16|冥王星 (惑星)
24C17|土星 (惑星)
24C18|天王星 (惑星)
24C19|金星 (惑星)
24C191|明けの明星 (金星)
24C192|宵の明星 (金星またはその他の惑星)
24C2|惑星により影響を受ける人類,太陽と月を含む; '守護惑星 Planetenkinder'
24C21|惑星(の擬人化)と彼らの'子供達', 所謂 '守護惑星 Planetenkinder'
24C211|土星とその子供達 ('守護惑星 Planetenkinder')
24C212|木星とその子供達 ('守護惑星 Planetenkinder')
24C213|火星とその子供達 ('守護惑星 Planetenkinder')
24C214|太陽とその子供達 ('守護惑星 Planetenkinder')
24C215|金星とその子供達 ('守護惑星 Planetenkinder')
24C216|水星とその子供達 ('守護惑星 Planetenkinder')
24C217|月とその子供達 ('守護惑星 Planetenkinder')
24C22|惑星 (の擬人化) と彼らの '子供達', 所謂 '守護惑星 Planetenkinder', 対応する星座を伴う
24C221|土星とその子供達 ('守護惑星 Planetenkinder') ~ 水瓶座と山羊座
24C222|木星とその子供達 ('守護惑星 Planetenkinder') ~ 魚座と射手座
24C223|火星とその子供達 ('守護惑星 Planetenkinder') ~ 牡羊座と蠍座
24C224|太陽とその子供達 ('守護惑星 Planetenkinder') ~ 獅子座
24C225|金星とその子供達 ('守護惑星 Planetenkinder') ~ 牡牛座と天秤座
24C226|水星とその子供達 ('守護惑星 Planetenkinder') ~ 双子座と乙女座
24C227|月とその子供達 ('守護惑星 Planetenkinder') ~ 蟹座
24C3|金属で象徴的に表される７つの惑星のグループ
24C31|金を表す太陽
24C32|銀を表す月
24C33|水銀を表す水星
24C34|銅を表す金星
24C35|鉄を表す火星
24C36|錫を表す木星
24C37|鉛を表す土星
24C39|金属を表す他の天体
24C39(...)|金属を表す他の天体 (名称 を伴う)
24C39(URANUS)|プラチナを表す天王星
24D|星
24D0|象徴的または寓意的に表される星
24D1|星と星座
24D1(...)|星と星座 (名称 を伴う)
24D1(ORION)|星と星座: オリオン
24D1(POLARIS)|星と星座: 北極星
24D1(SIRIUS)|星と星座: シリウス
24D11|カタステリスモイ (星々の配置), 星の中に加えることによって、ある人に栄誉を授ける
24D2|銀河系
24D21|天の川
24D211|天の川の起源 (ヘラクレスに授乳するユノ)
24D4|その他銀河系または恒星系
24D4(...)|その他銀河系または恒星系 (名称 を伴う)
24E|天文学的現象
24E1|彗星
24E10|Cometa, 空気の精 (ninfa dell'aria)' (リーパ)
24E2|流星
24E3|隕石
24F|大空, 空
24F1|大空を見つめる
24F2|大空の星
24G|天体 ~ 天界
24G1|天空
25|土, 天体としての世界
250|Mondo', 'Machina del mondo' (リーパ)
25A|地図, 地図書
25A1|世界地図
25A11|世界の形についての旧来の考えに従った正方形または円形の形の地図
25A111|世界の中心, 'オンパロス omphalos' (地図または地図書上の)
25A1111|エルサレムを中心とした地図
25A1112|オンパロス omphalos'としてのデルフォイを伴う地図
25A12|現代の平面図法 ~ 世界地図
25A13|地球儀
25A131|二十面体の形をした地球儀
25A14|4方位
25A141|北 (4方位のうちのひとつ)
25A1410|Settentrione' (リーパ)
25A142|東 (4方位のうちのひとつ)
25A1420|Oriente' (リーパ)
25A1421|方位, 東向き
25A143|南 (4方位のうちのひとつ)
25A1430|Mezzodì' (リーパ)
25A144|西 (4方位のうちのひとつ)
