4|社会，文明，文化
41A38|陽台
41A381|走廊
41A382|凸窗
41A39|布管道和布線
41A391|供水和排水, 管道 (建築或房屋的)
41A3911|井
41A3912|抽水泵
41A3913|水龍頭
41A3914|廁所, 洗手間
41A3915|噴泉 (室內)
41A3916|水池, 水盆
41A392|天然氣管道
41A393|用電裝置, 如插座, 插頭, 電燈開關, 電線
41A4|裝潢 (室內)
41A41|壁面覆蓋物
41A411|壁紙
41A412|壁板
41A413|壁毯
41A414|金革cordwain, cordovan leather, 荷蘭語:goudleer
41A42| (房間的)傢飾襯料覆布
41A421|掛帘
41A422|懸掛物和布幔
41A4221|罩布 (懸掛物和布幔)
41A423|儀式布幔
41A4231|華蓋, 錦龕
41A43|地面覆蓋物
41A43(...)|地面覆蓋物 (名稱)
41A431|地毯, 小地毯
41A44|(裝飾性的) 天花板
41A5|附加建築和配樓; 籬笆; 院門
41A51|合院
41A511|小宮殿的內庭
41A512|後院
41A52|馬車房
41A521|停車間
41A53|棚屋
41A54|籬笆, 牆, 
41A541|攔桿,扶欄,迴欄
41A542|院門, 入口
41A5421|隔欄
41A5422|旋轉門, clap gate
41A543|門梃stile
41A544|水門
41A6|庭園
41A61|規劃, 庭園地圖
41A62|花園建築
41A621|藤蔓架
41A622|涼亭, 涼棚, 庭園小屋 (荷蘭語: 'theekoepel')
41A623|隱居處
41A624|觀景台
41A625|花棚
41A626|假建築sham-buildings
41A63|庭園布局
41A631|草坪
41A632|花圃
41A633|石景庭園
41A634|迷宮 ~ 庭園
41A635|有籬笆或牆圍起來的庭園; 'Hortus Conclusus'
41A6351|屋頂庭園
41A636|法式或建築學式庭園; 規則式庭園
41A637|英式或風景式庭園
41A638|庭園通道,庭園車道
41A64|庭園裝飾
41A641|塑像, 庭園裡的雕塑
41A6411|小矮人, 'grylloi' (庭園裝飾)
41A642|方尖碑 (庭園裝飾)
41A643|金字塔 (庭園裝飾)
41A644|半身像柱 (庭園裝飾)
41A645|廢墟 (庭園裝飾)
41A646|庭園花瓶
41A65|庭園裡的供水系統
41A651|庭園噴泉
41A652|庭園池塘
41A653|庭園瀑布
41A66|庭園裡的人工洞穴
41A67|觀賞性植物
41A671|植物,花卉和果實靜物
41A6711|瓶中花卉
41A6712|插花
41A672|整形 (灌木和樹木被修剪整理成觀賞形態); 盆景, 牆樹, 等等
41A673|花盆裡的植物
41A68|(觀賞性)庭園的種植
41A681|園藝
41A6811|給植物澆水
41A682|園藝工具
41A682(...)|園藝工具 (名稱)
41A7|傢俱和家庭用具
41A71|放東西的傢俱
41A711|桌子
41A7111|三足桌
41A7112|擱板桌
41A712|架子, 邊桌
41A7121|放各種東西的架子
41A7122|書架
41A71221|書櫥, 有門的
41A713|桌罩, 等等
41A72|坐俱
41A721|椅子
41A7211|凳子
41A72111|擱腳凳
41A7212|扶手椅, 座
41A7213|搖椅
41A722|躺椅, 沙發, 沙發椅
41A7221|坐墊
41A723|凳子
41A73|儲藏俱
41A731|櫃
41A732|觀賞櫃
41A733|箱
41A734|'cassone'
41A735|鎖 ~ 傢俱
41A7351|鑰匙 ~ 傢俱
41A7352|栓 ~ 傢俱
41A7353|掛鎖 ~ 傢俱
41A74|特殊用處的傢俱
41A741|屏風, 折疊屏風
41A75|裝飾性傢俱
41A751|擋風屏
41A76|臥俱
41A761|床
41A7611|固定床架 (荷蘭語: 'bedstee')
41A7612|棚頂床
41A76121|兩柱床
41A76122|四柱床
41A762|吊床
41A763|床具
41A7631|床墊
41A7632|枕頭
41A7633|床單
41A7634|毛毯
41A7635|床罩
41A77|盛器
41A771|金屬盛器: 圓桶, 罐, 小罐, 鼓, 等等
41A7711|貴重金屬盛器
41A772|石質盛器: 石瓶
41A7721|(次)寶石盛器
41A773|陶瓷盛器: 細瓶壺,罐, 壺, 花瓶
41A774|玻璃盛器: 瓶, 罐, 花瓶
41A775|木質盛器: 桶, 木桶
41A7751|非木材類植物質盛器: 籃
41A776|皮質盛器: 皮包
41A7761|其它動物材料盛器
41A777|織物盛器: 包, 袋, 網袋
41A778|紙質盛器: 包, 紙盒
41A779|人造材料盛器
41A78|花哨的小玩意, 小骨董
41A8|住宅的使用
41A81|布置 (住宅)
41A82|搬 (住宅)
41A9|住宅,房屋,城堡等等建築的廢墟
#41AA1|civic architecture; edifices; dwellings - AA - 公共建築: 內部
#41AA10|'Edifitio overo un sito' (Ripa) - AA - 公共建築: 內部
#41AA11|palace - AA - 公共建築: 內部
#41AA111|hôtel, i.e. small palace in city - AA - 公共建築: 內部
#41AA12|castle - AA - 公共建築: 內部
#41AA121|fortified house in city - AA - 公共建築: 內部
#41AA13|edifice, e.g.: public building, department store - AA - 公共建築: 內部
#41AA14|urban housing - AA - 公共建築: 內部
#41AA141|the usual house or row of houses - AA - 公共建築: 內部
#41AA142|house combined with shop - AA - 公共建築: 內部
#41AA143|detached house in city - AA - 公共建築: 內部
#41AA144|flat-building, apartment house - AA - 公共建築: 內部
#41AA15|skyscraper - AA - 公共建築: 內部
#41AA16|rural housing, e.g. country-house, villa, cottage - AA - 公共建築: 內部
#41AA161|country-house - AA - 公共建築: 內部
#41AA162|villa - AA - 公共建築: 內部
#41AA163|cottage - AA - 公共建築: 內部
#41AA17|farm (building) - AA - 公共建築: 內部
#41AA171|barn - AA - 公共建築: 內部
#41AA18|hut, cabin, lodge - AA - 公共建築: 內部
#41AA181|log-cabin - AA - 公共建築: 內部
#41AA182|Indian lodge - AA - 公共建築: 內部
#41AA1821|wigwam - AA - 公共建築: 內部
#41AA19|other dwelling types - AA - 公共建築: 內部
#41AA191|tent - AA - 公共建築: 內部
#41AA1911|tent-camp - AA - 公共建築: 內部
#41AA1912|tepee, tipi, teepee - AA - 公共建築: 內部
#41AA192|caravan (trailer) - AA - 公共建築: 內部
#41AA1921|caravan-camp - AA - 公共建築: 內部
#41AA1922|trailer - AA - 公共建築: 內部
#41AA193|houseboat - AA - 公共建築: 內部
#41AA194|lake-dwelling, pile-dwelling - AA - 公共建築: 內部
#41AA1941|other dwellings standing off the ground - AA - 公共建築: 內部
#41AA195|snow-hut, igloo - AA - 公共建築: 內部
#41AA196|cave-dwelling - AA - 公共建築: 內部
#41AA32|door - AA - 假門
#41AA321|opening the door - AA - 假門
#41AA3211|open door - AA - 假門
#41AA3212|divided door, upper part opened - AA - 假門
#41AA3213|revolving door - AA - 假門
#41AA322|closing, shutting the door - AA - 假門
#41AA3221|closed door - AA - 假門
#41AA323|monumental door, porch, 'aediculum' - AA - 假門
#41AA324|metalwork of a door - AA - 假門
#41AA3241|door-knocker, doorbell - AA - 假門
#41AA3242|door-handle, doorknob - AA - 假門
#41AA325|threshold - AA - 假門
#41AA3251|stile, post, doorjamb - AA - 假門
#41AA3252|door furniture, e.g. boot scraper, brush, doormat - AA - 假門
#41AA326|letter-box ~ door - AA - 假門
#41AA327|doorkeeper, house-guard (inanimate) - AA - 假門
#41AA328|lock ~ door - AA - 假門
#41AA3281|key - AA - 假門
#41AA32811|master-key, 'passe-partout', skeleton key - AA - 假門
#41AA3282|latch - AA - 假門
#41AA3283|bolt - AA - 假門
#41AA3284|padlock - AA - 假門
#41AA33|window - AA - 假窗
#41AA331|opening the window - AA - 假窗
#41AA3311|open window - AA - 假窗
#41AA332|closing the window - AA - 假窗
#41AA3321|closed window - AA - 假窗
#41AA333|window shutters - AA - 假窗
#41AA3331|window shutters on the outside - AA - 假窗
#41AA3332|window shutters on the inside - AA - 假窗
#41AA335|window-seat - AA - 假窗
#41AA336|human figure at (open) window - AA - 假窗
#41AA3361|human figure at (open) window, seen from outside - AA - 假窗
#41AA3362|human figure at (open) window, seen from inside - AA - 假窗
#41AA337|view through a window - AA - 假窗
#41AA3371|view through a window from the outside - AA - 假窗
#41AA3372|view through a window from the inside - AA - 假窗
41B|供暖,照明,通風
41B1|生火 (一般性)
41B11|點火
41B111|燧石和鋼
41B112|火種盒
41B113|硫磺火柴
41B114|火柴
41B1141|火柴盒
41B115|保險絲fuse
41B12|燃燒過程
41B12(...)|燃燒過程 (燃料名稱)
41B12(COAL)|燃燒過程: 煤
41B12(FAGGOT)|燃燒過程: 樹枝
41B12(LOG)|燃燒過程: 原木
41B12(OIL)|燃燒過程: 油
41B12(STRAW)|燃燒過程: 禾稈
41B121|火焰
41B122|火星 ~ 火焰
41B123|煤氣點火後燃燒
41B13|把火燒旺
41B131|吹 (把火燒旺)
41B1311|鼓風
41B132|煽 (把火燒旺)
41B1321|扇子
41B133|撥火 (把火燒旺)
41B1331|撥火棍 (~ 生火)
41B14|滅火
41B15|燃燒沉澱物
41B151|煙灰
41B152|灰燼
41B153|融渣
41B16|營地火
41B161|篝火
41B162|狼煙smoke
41B2|爐灶
41B21|生爐子, 火爐
41B211|火(或爐灶, 火盆)邊取暖
41B212|用具 ~ 火爐
41B2121|火鉗
41B2122|煤火滅火器
41B213|配件 ~ 火爐
41B2131|隔火屏風
41B2132|壁爐圍欄
41B2133|火爐墊板
41B2134|假人板
41B2135|帶鏈條的吊壺
41B2136|火爐柴架
41B214|煙囪
41B2141|壁爐架
41B2142|煙囪裝飾
41B22|取暖爐
41B221|鐵柵 (取暖爐)
41B222|暖爐管
41B223|煤筒
41B224|煤鏟
41B23|腳爐
41B231|暖盆 (為床上用)
41B232|熱水瓶
41B24|中央供暖系統
41B241|暖器片 (中央供暖系統)
41B29|致冷, 空調
41B3|照明; 燈
41B31|蠟燭
41B311|枝形吊燈, 枝形燭台
41B312|壁式燭台, 壁燈
41B313|燭台
41B314|燭花剪
41B32|火炬
41B33|燈籠
41B34|油燈
41B35|石蠟燈
41B36|煤氣燈
41B37|電燈
41B371|燈泡 (電)
41B372|霓虹燈, 霓虹燈管
41B4|失火, 著火
41B5|滅火
41B51|消防部門, 消防隊
41B511|消防隊員
41B52|消防器材
41B521|提桶 (消防器材)
41B522|水泵 (消防器材)
41B523|水龍帶
41B524|化學滅火器材
41B525|消防車
41B53|從火中搶救
41B531|用接跳布從火中搶救
41B6|通風系統
41B61|通風口
41BB32|火炬 - BB - 倒舉火炬
41C|食物，营养
41C1|飲食
41C10|美食學, 飲食的藝術
41C11|吃
41C111|給予食物
41C119|飢餓
41C1190|飢餓的人格化, 'Fames'; 'Fame' (Ripa)
41C1191|飢餓, 飢荒
41C1192|絕食抗議
41C12|喝
41C121|給予飲料
41C122|倒,斟
41C129|口渴
41C13|吹, 在食用前把食物變涼
41C14|攪動, 在食用前把食物變涼
41C18|飽足, 飽食 ~ 飲食
41C19|永不滿足的飲食欲
41C2|廚房和地窖
41C21|廚房
41C211|廚房-室內
41C2111|廚房-前景有食物的室內 (荷蘭語: 'keukenstuk')
41C212|水池 (廚房)
41C22|廚房-人員
41C221|廚師
41C222|廚房女傭, 廚房男傭
41C23|貧窮和富庶的廚房
41C231|富庶的廚房
41C232|貧窮的廚房
41C24|儲存食物
41C241|地窖
41C2411|酒窖
41C24111|侍酒師
41C242|冰窖
41C2421|冰箱
41C25|烹飪
41C251|烤
41C2511|烤叉 ~ 烹飪
41C2512|燒烤格架 ~ 烹飪
41C252|煎炸
41C253|煮
41C254|廚房-火
41C2541|生火, 火爐 (廚房裡的)
41C2542|鍋
41C2543|烤箱 ~ 廚房
41C26|準備食物
41C261|清潔 (食物)
41C2611|清潔蔬菜
41C2612|清潔果實, 如去皮
41C26121|水果(一半)被去了皮, 如檸檬
41C2613|清潔飛禽或小動物
41C26131|去了羽毛的飛禽
41C262|切割 (食物)
41C2621|切肉
41C2622|切麵包
41C263|混合, 相加 (準備食物)
41C2631|準備麵槽或糊狀物batter
41C264|弄均勻 (準備食物)
41C265|裝飾, 加香料 (準備食物)
41C269|清洗
41C27|廚房用具
41C27(...)|廚房用具 (名稱)
41C27(CAULDRON)|廚房用具: 大鍋
41C27(COLANDER)|廚房用具: 碗形濾器
41C27(FRYING PAN)|廚房用具: 煎炸鍋
41C27(FUNNEL)|廚房用具: 漏斗
41C27(GRATER)|廚房用具: 磨碎器
41C27(LADLE)|廚房用具: 長柄杓
41C27(PAN)|廚房用具: 鍋
41C27(POT)|廚房用具: 壺
41C27(ROLLING-PIN)|廚房用具: 擀麵杖
41C27(SIEVE)|廚房用具: 篩子
41C27(SKIMMER)|廚房用具: 去渣器
41C3|餐桌擺設: 餐具, 餐桌裝飾, 等等
41C31|餐具
41C311|餐刀
41C312|餐叉
41C313|餐勺
41C314|鹽瓶
41C315|調味盒
41C316|蛋杯
41C317|酒瓶冰鎮桶
41C32|飲器
41C321|杯
41C3211|角杯
41C3212|鸚鵡螺杯
41C322|大柄杯子, 大口杯, 高足杯
41C3221|高足杯的足goblet foot
41C323|玻璃杯, 大玻璃杯
41C323(...)|玻璃杯, 大玻璃杯 (名稱)

41C323(BERKEMEYER)|玻璃杯, 大玻璃杯: berkemeyer
41C323(PASGLAS)|玻璃杯, 大玻璃杯: pasglas
41C324|單柄杯tankard
41C325|table fountain
41C326|罐, 壺 (作為飲器)
41C327|特別造型的飲器
41C3271|動物造型的飲器
41C3272|類似人物造型的飲器
41C32721|人的顱骨作為飲器
41C3273|物件造型的飲器in the shape of an object
41C33|茶和咖啡具
41C331|杯和碟
41C332|咖啡壺
41C333|茶壺
41C334|糖缸
41C34|晚餐餐具
41C341|盤dish, 盆plate, 碟saucer
41C342|供應盤, 大淺盤
41C343|托盤
41C344|船形汁碗
41C345|碗
41C35|餐桌裝飾
41C351|中央擺飾, 餐桌飾架, 'surtout', 'milieu-de-table'
41C352|'trionfi di tavola', 'pièces montées'
41C353|餐前洗手水罐
41C36|放在邊桌的(晚餐)餐具
41C37|餐桌布
41C371|餐巾
41C3711|餐巾套環
41C38|作為靜物的餐桌擺飾
41C381|早餐靜物 (荷蘭語: 'ontbijtje')
41C382|宴席靜物
41C4|(家庭) 用餐
41C41|早餐
41C411|早茶
41C42|午餐
41C421|正式茶點
41C4211|茶道
41C422|下午茶
41C43|晚餐, 晚飯
41C44|夜宵(late) supper
41C5|慶祝宴會, 盛宴, 宴席
41C50|'Convito' (Ripa)
41C51|有高雅伴侶的宴席
41C52|喧鬧的宴席, 狂飲, 狂歡
41C520|'Crapula' (Ripa)
41C6|食材; 食材靜物
41C61|麵粉
41C611|各種麵粉或穀物
41C612|麵粉或穀物做出來的食品
41C6121|麥片
41C6122|麵條, 義大利麵條, 等等
41C62|麵包, 蛋糕, 點心, 等等
41C621|麵包, 一條大麵包
41C6211|一定形狀的麵包
41C62111|扁麵包, 圓麵包或點心, 如比薩餅
41C6212|有餡的麵包, 麵包卷, 如三明治, 漢堡包
41C622|蛋糕, 水果蛋糕, 點心
41C6221|花式蛋糕, 花式點心
41C6222|餅乾
41C623|薄餅
41C624|蛋奶烘餅,威夫餅乾
41C6241|蛋奶卷餅
41C625|餡餅
41C626|麵包(糕點)師的模子
41C6261|蛋糕,水果蛋糕,點心的模子
41C6262|餅乾模子
41C62621|所謂 'speculaasplanken' (餅乾模子)
41C6263|威夫餅乾鐵夾
41C6264|麵包烤模
41C63|糖
41C631|塔糖
41C632|塊糖
41C633|糖漿
41C634|冰糖
41C635|糖果
41C6351|冰淇淋
41C6352|巧克力 (固態的)
41C636|蜂蜜
41C637|裹糖的
41C6371|糖霜
41C64| 乳製品和蛋
41C641|乳製品
41C6411|奶油
41C6412|奶酪
41C6413|奶
41C64131|酪奶
41C64132|酸奶
41C64133|乳脂
41C642|蛋,egg-dishes
41C65|蔬果; 蔬果靜物
41C651|土豆
41C6511|加工過的土豆, 如薯片, 薯條 (炸薯條)
41C652|蔬菜
41C652(...)|蔬菜 (名稱)
41C6521|加工過的蔬菜
41C6521(...)|加工過的蔬菜 (名稱)
41C653|水果
41C653(...)|水果 (名稱)
41C6531|加工過的水果, 如果醬, (帶果皮的)果醬, 等等
41C66|調料,香料
41C66(...)|調料,香料 (名稱)
41C66(SAFFRON)|調料,香料: 藏紅花
41C661|鹽
41C662|胡椒
41C663|芥末
41C67|油, 醋, 調味汁
41C671|油和植物脂肪
41C6711|植物奶油
41C672|醋
41C673|調味汁
41C68|魚; 魚的靜物
41C68(...)|魚 (名稱)
41C68(SMOKED HERRING)|魚: 熏鯡魚
41C681|海鮮
41C681(...)|海鮮 (名稱)
41C69|肉類; 肉類靜物
41C691|屠宰了的牛或豬
41C692|各種肉
41C692(...)|各種肉 (名稱)
41C693|香腸
41C694|火腿
41C695|肥肉, 豬油
41C696|肉湯, 湯
41C7|飲料, 提神品, 毒品
41C71|酒精飲料
41C711|葡萄酒 ~ 酒精飲料
41C7111|一杯葡萄酒
41C7112|一瓶葡萄酒
41C7113|各種葡萄酒
41C7113(...)|各種葡萄酒 (名稱)
41C712|白酒
41C713|蒸餾酒精
41C7131|杜松子酒
41C7132|威士忌酒
41C7133|伏特加酒
41C7134|白蘭地酒
41C714|啤酒, 麥芽酒
41C7141|一杯啤酒
41C715|其它酒精飲料
41C715(...)|其它酒精飲料 (名稱)
41C7151|雞尾酒
41C72|提神飲料
41C721|咖啡
41C7211|一杯咖啡
41C722|茶 (葉)
41C7221|一杯茶
41C723|巧克力, 可可飲料
41C73|其它非酒精飲料
41C731|糖水果汁
41C732|果汁
41C74|煙草
41C741|煙斗 ~ 煙草
41C7411|水煙斗, 水煙袋
41C7412|煙卷
41C7413|煙筒
41C7414|煙斗托, 煙斗架
41C7415|煙灰缸
41C742|雪茄
41C7421|雪茄盒cigar-box
41C7422|雪茄盒cigar-case
41C7423|雪茄煙嘴
41C743|香煙
41C7431|香煙盒
41C7432|香煙紙
41C7433|香煙嘴
41C744|鼻煙
41C7441|鼻煙盒
41C745|嚼煙
41C7451|其它可咀嚼提神品
41C74511|萎葉
41C74512|口香糖
41C75|毒品
41C75(...)|毒品 (名稱)
41C75(HASHISH)|毒品: 大麻
41C751|鴉片
41C7511|鴉片煙槍
41C7512|亞片煙館
41C76|香味, 香水 ~ 提神品, 毒品
41C761|香盒
41C762|香爐 ~ 香味, 香水
41C9|食人
41C91|戀屍癖necrophagism
#41CC221|cook - CC - 女性廚師
#41CC25|cooking food - CC - 在室外
#41CC251|roasting, grilling - CC - 在室外
#41CC2511|spit ~ cooking - CC - 在室外
#41CC2512|grill, gridiron ~ cooking food - CC - 在室外
#41CC252|frying - CC - 在室外
#41CC253|boiling - CC - 在室外
#41CC254|kitchen-fire - CC - 在室外
#41CC2541|open fire, fire-place, stove (in kitchen) - CC - 在室外
#41CC2542|cooker - CC - 在室外
#41CC2543|oven ~ kitchen - CC - 在室外
#41CC26|preparation of food - CC - 在室外
#41CC261|cleaning (food) - CC - 在室外
#41CC2611|cleaning vegetables - CC - 在室外
#41CC2612|cleaning fruit, e.g. peeling - CC - 在室外
#41CC26121|(half-)peeled fruit, e.g. lemon - CC - 在室外
#41CC2613|cleaning fowl or small animals - CC - 在室外
#41CC26131|plucked fowl - CC - 在室外
#41CC262|dividing (food) - CC - 在室外
#41CC2621|cutting meat - CC - 在室外
#41CC2622|slicing bread - CC - 在室外
#41CC263|mixing, combining (preparing food) - CC - 在室外
#41CC2631|preparing dough or batter - CC - 在室外
#41CC264|smoothing, beating (preparing food) - CC - 在室外
#41CC265|ornamenting, decorating, dressing (preparing food) - CC - 在室外
#41CC269|washing up - CC - 在室外
#41CC4|(family) meal - CC - 戶外
#41CC41|breakfast - CC - 戶外
#41CC411|morning coffee - CC - 戶外
#41CC42|midday meal, lunch - CC - 戶外
#41CC421|high tea - CC - 戶外
#41CC4211|tea-ceremony - CC - 戶外
#41CC422|afternoon tea - CC - 戶外
#41CC43|evening meal, dinner, supper - CC - 戶外
#41CC44|(late) supper - CC - 戶外
#41CC5|celebration meal, feast, banquet - CC - 戶外
#41CC50|'Convito' (Ripa) - CC - 戶外
#41CC51|banquet of elegant company - CC - 戶外
#41CC52|carousal, drinking-bout, orgy - CC - 戶外
#41CC520|'Crapula' (Ripa) - CC - 戶外
41D|時裝,服裝
41D1|時裝
41D11|時裝圖樣
41D12|時裝表演
41D121|模特兒, 時裝人體模型
41D122|櫥窗人物模型
41D13|趕時髦的人
41D131|花花公子, 好打扮的人
41D1310|'Delitioso' (Ripa)
41D1311|'incroyable' ~ 花花公子
41D132|時髦的女子, 'belle'
41D1321|'merveilleuse'
41D14|時裝設計師
41D2|服裝, 服飾
41D21|覆蓋全身的服裝
41D21(...)|覆蓋全身的服裝 (名稱)
41D211|袍服, 長袍
41D211(...)|袍服, 長袍 (名稱)
41D211(BALL GOWN)|袍服, 長袍: 晚會禮服
41D211(CHEMISE À LA REINE)|袍服, 長袍: 無腰身寬鬆連衣裙chemise à la Reine
41D211(COURT GOWN)|袍服, 長袍: 朝服
41D211(DAY DRESS)|袍服, 長袍: day dress
41D211(DINNER DRESS)|袍服, 長袍: 晚餐服 
41D211(EVENING DRESS)|袍服, 長袍: 晚禮服
41D211(MANTEAU)|袍服, 長袍: 外套
41D211(MORNING DRESS)|袍服, 長袍: 晨禮服
41D211(REDINGOTE)|袍服, 長袍: 騎裝外套
41D211(ROBE À L’ANGLAISE)|袍服, 長袍: 寬身女袍robe à l'anglaise
41D211(ROBE VOLANTE)|袍服, 長袍: robe volante
41D211(ROBE À L'ANGLAISE)|袍服, 長袍: 寬身女袍robe à l'anglaise
41D211(ROBE À LA CIRCASSIENNE)|袍服, 長袍: robe à la circassienne
41D211(ROBE À LA FRANÇAISE)|袍服, 長袍: robe à la française
41D211(ROBE À LA LÉVITE)|袍服, 長袍: robe à la lévite
41D211(ROBE À LA POLONAISE)|袍服, 長袍: robe à la polonaise

41D211(WALKING DRESS)|袍服, 長袍: 外出服
41D212|外套coat, 披風
41D2121|外套coat
41D2121(...)|外套 (名稱)
41D2121(BOLERO)|外袍: 小外套
41D2121(CARACO)|外袍: 卡洛可女上衣
41D2121(OVERCOAT)|外袍: 大衣
41D21211|女式家居長袍
41D21211(...)|女式家居長袍 (名稱)
41D21211(BANYAN)|女式家居長袍: 班揚外套
41D2122|披風
41D2122(...)|披風 (名稱)
41D2122(MANTELET)|披風: 小斗篷
41D213|全套服裝
41D213(...)|全套服裝 (名稱)
41D213(SAILOR SUIT)|全套服裝: 水手服
41D22|頭飾和上半身服裝
41D221|頭飾
41D221(...)|頭飾 (名稱)
41D221(BERET)|頭飾: 貝雷帽
41D221(BICORNE)|頭飾: 雙角帽
41D221(BOATER)|頭飾: 硬草帽
41D221(BOWLER)|頭飾: 圓頂高帽
41D221(CAP)|頭飾: 無邊帽
41D221(CLOCHE HAT)|頭飾: 鐘形帽
41D221(FONTANGE)|頭飾: 婦女高頭飾
41D221(HAT)|頭飾: 帽
41D221(HOOD)|頭飾: 風帽
41D221(MORNING CAP)|頭飾: 晨帽
41D221(TOP HAT)|頭飾: 大禮帽
41D221(TOQUE)|頭飾: 托克帽,荳蔻帽
41D221(TRICORNE)|頭飾: 三角帽
41D221(TURBAN)|頭飾: 頭巾
41D2211|面紗
41D2212|弗里吉亞無邊帽
41D222|項飾 ~ 服裝
41D222(...)|項飾 ~ 服裝 (名稱)
41D222(COLLAR)|項飾: 領口
41D222(JABOT)|項飾: 垂胸領飾
41D223|上半身服裝
41D223(...)|上半身服裝 (名稱)
41D223(BLOUSE)|上半身服裝: 女襯衫
41D2231|露胸的禮服piece of clothing covering the breast or décolleté
41D2231(...)|露胸的禮服piece of clothing covering the breast or décolleté (名稱)
41D224|衣袖
41D225|手套, 連指手套, 等等
41D225(...)|手套, 連指手套 (名稱)
41D2251|'manus velatae' (用一塊布蓋住雙手)
41D2252|暖手筒
41D23|下半身服裝
41D231|褲子
41D231(...)|褲子, 等等 (名稱)
41D2311|遮袋 (蓋住陰部)
41D232|半身裙
41D232(...)|半身裙 (名稱)
41D2321|圍裙
41D233|腿和腳的裝束
41D2331|長統襪, 襪子
41D2332|鞋子, 涼鞋
41D23321|靴子
41D23322|拖鞋
41D2333|木鞋, 木底鞋
41D2334|兩隻腳穿不同的鞋
41D23341|一隻鞋和一隻拖鞋 (兩隻腳穿不同的鞋)
41D23342|一隻腳穿鞋, 另一隻光腳
41D2335|配件 ~ 鞋, 如鞋墊, 鞋拔, 鞋油
41D2339|光腳
41D24|特殊目的服裝
41D241|官方場合的服裝
41D2411|顯耀人物的標識
41D242|交際服裝, 節日服裝
41D2421|化裝舞會, 戴面具的舞會
41D2422|特殊打扮的晚會
41D2423|古裝打扮
41D24231|用於慶典的服裝
41D243|職業服裝
41D244|奇幻裝束
41D249|雕塑人物的服裝
41D25|內衣和睡衣
41D251|內衣
41D2511|遮蓋全身的內衣
