5|Idées et Concepts Abstraits
52AA55|Esprit Non Incisif, Esprit Obtus (Borné), Insipidité
52AA551|Esprit Superficiel
52AA552|Cécité Intellectuelle; 'Cecità della Mente' (Ripa)
52AA553|Préjugé, Prévention, Parti Pris
52AA6|Mensonge
52B|Raisonnement
52B1|Penser, Pensée, Réflexion; 'Pensiero' (Ripa)
52B11|Contemplation, Méditation
52B12|Rumination
52B13|Fixation, Obsession
52B2|Aveu, Croyance
52B21|Crédulité
52B3|Prévision
52B31|Probabilité
52B4|Vérification
52B41|Certitude
52B42|Possibilité
52B5|Rationalité, Raisonnement; 'Ratiocinatione o Discorso' (Ripa)
52B51|Raison; 'Ragione' (Ripa)
52B511|Distinction entre le Bien et le Mal; 'Distintione del bene & del male' (Ripa)
52B5111|Bien, Bon
52B5112|Mauvais, Mal, Faux
52B512|Bannir de Mauvaises Pensées; 'Repulsa de pensieri cattivi' (Ripa)
52B513|Raison vs. Appétit Sexuel (la Libido); 'Combattimento della ragione con l'appetito'(Ripa)
52B52|Syllogisme, Démonstration
52B53|Preuve
52BB|Raisonnement (concepts opposés)
52BB1|Étourderie, Irréflexion
52BB2|Doute; 'Dubbio' (Ripa)
52BB21|Incrédulité
52BB3|Surprise, Émerveillement; 'Maraviglia' (Ripa)
52BB31|Improbabilité
52BB4|Présomption
52BB41|Incertitude
52BB42|Impossibilité
52BB5|Irrationalité
52BB51|Intuition
52BB52|Sophisme
52BB53|Non-Sens, Contresens
52BB54|Spéculation Infondée
52BB6|Frénésie
52BB61|Engouement
52C|Compréhension et Incompréhension
52C1|Considération; 'Consideratione' (Ripa)
52C11|Opinion
52C111|Opinion Publique; 'Opinione' (Ripa)
52C12|Sentence, Maxime, 'Sententia'
52C2|Affirmation, Confirmation; 'Confermatione' (Ripa)
52C3|Reconnaissance, Concession
52C4|Entente, Compréhension; 'Apprehensiva' (Ripa)
52C41|(se) Libérer d'une Erreur ou d'une Illusion
52C42|Interprétation
52C5|Théorie; 'Theoria' (Ripa)
52C51|Doctrine
52C52|Idéologie
52CC|Compréhension et Incompréhension (concepts opposés)
52CC1|Inconsidération, Manque d'Attention
52CC2|Dénégation, Démenti, Négation
52CC3|Dissidence, Dissentiment, Désaccord
52CC31|Réfutation, Opposition
52CC4|Mésentente, Incompréhension
52CC41|Erreur; 'Errore' (Ripa)
52D|Communication de la Pensée (aspects qualitatifs)
52D1|Communication de la Pensée
52D2|Clarté, Précision
52D21|Concision
52D3|Éloquence; 'Eloquenza', 'Fermezza & Gravità dell'Oratione' (Ripa)
52D31|Force de l'Éloquence; 'Forza sottoposta all'Eloquenza' (Ripa)
52D4|Prolixité, Verbosité, Loquacité; 'Loquacità' (Ripa)
52D41|Bagatelles, Balivernes, 'Nugae'
52D5|Rumeur; 'Rumore' (Ripa)
52DD|Communication de la Pensée (aspects qualitatifs) (concepts opposés)
52DD1|Clandestinité, Latence, Dissimulation; 'Secretezza' (Ripa)
52DD11|Secret
52DD2|Flou, Imprécision
52DD21|Confusion, Obscurité; 'Confusione' (Ripa)
52DD22|Mystification
52DD3|Taciturnité; 'Secretezza', 'Secretezza overo Taciturnità' (Ripa)
52E|Communication de la Pensée (réponse et question)
52E1|Réaction, Réponse, Solution
52E2|Prédiction, Prophétie; 'Augurio', 'Divinatione', 'Profetia' (Ripa)
52E21|Bon Augure; 'Augurio buono' (Ripa)
52E22|Mauvais Augure; 'Augurio cattivo' (Ripa)
52E3|Conseil; 'Consiglio' (Ripa)
52EE|Communication de la Pensée (réponse et question) (concepts opposés)
52EE1|Demande, Question, Interrogation
52EE11|Enquête, Investigation; 'Investigatione' (Ripa)
53|Volonté, Volition
53A|Caractéristiques de la Volonté
53A1|Volonté; 'Volontà' (Ripa)
53A11|Choix; 'Elettione' (Ripa)
53A2|Persévérance, Résolution, Détermination; 'Perseveranza' (Ripa)
53A21|Constance, Ténacité; 'Costanza', 'Tenacità' (Ripa)
53A211|Obstination; 'Ostinatione', 'Pertinacia' (Ripa)
53A212|Implacabilité, caractère de ce qui est Inéluctable
53A22|Stabilité, Fermeté; 'Fermezza', 'Stabilimento', 'Stabilità'(Ripa)
53AA|Caractéristiques de la Volonté (concepts opposés)
53AA1|Mollesse, Manque de Volonté
53AA11|Prédétermination
53AA2|Irrésolution, Indécision; 'Irresolutione' (Ripa)
53AA21|Inconstance; 'Incostanza', 'Instabilità', 'Instabilità overo Incostanza' (Ripa)
53AA22|Tergiversation
53B|Actes de Volonté
53B1|Acceptation, Consentement
53B2|Décision
53B3|Maîtrise de Soi; 'Dominio di se stesso' (Ripa)
53B4|Empressement, Enthousiasme, Bonne Volonté
53B41|Penchant, Inclination; 'Inclinatione' (Ripa)
53B5|Obéissance; 'Obedienza' (Ripa)
53B6|Discipline
53B7|Observance, Accomplissement, Réalisation
53BB|Actes de Volonté (concepts opposés)
53BB1|Rejet
53BB2|Hésitation
53BB3|Complaisance envers Soi-Même
53BB4|Réticence
53BB5|Désobéissance, Contumace, Insubordination; 'Inubidienza' (Ripa)
53BB51|Protestation
53BB6|Indiscipline
53BB61|Relâchement
53BB7|Inobservance
53C|Autorité et Subordination
53C1|Prédominance
53C11|Autorité, Pouvoir; 'Dominio', 'Giurisdittione' (Ripa)
53C12|Sévérité; 'Severità' (Ripa)
53C13|Rigueur; 'Rigore' (Ripa)
53C2|Ordre, Commandement
53C21|Contrainte, Compulsion
53C22|Menace, Intimidation; 'Minaccie' (Ripa)
53CC|Autorité et Subordination (concepts opposés)
53CC1|Subordination, Servitude
53CC11|Service
53CC12|Servilité
53CC2|Caractère Bénévole
53CC21|Accommodation, Empressement à se Conformer
53CC3|Supplication; 'Supplicatione' (Ripa)
53CC31|Invocation; 'Invocatione' (Ripa)
53CC32|Prière, Requête
53D|Acte de Volonté Interindividuel
53D1|Offre, Proposition
53D11|Permission
53D12|Faveur; 'Favore' (Ripa)
53D2|Promesse; 'Promissione' (Ripa)
53D3|Intercession
53DD|Acte de Volonté Interindividuel (concepts opposés)
53DD1|Refus
53DD11|Interdiction
53DD2|Manque de Parole
54|Développement de l'Action
54A|Manière d'Être dans l'Action
54A1|Activité
54A11|Zèle, Industrie, Assiduité; 'Assiduità', 'Industria', 'Zelo' (Ripa)
54A2|Soin, Attention, Diligence; 'Diligenza' (Ripa)
54A21|Anxiété, Sollicitude; 'Sollecitudine' (Ripa)
54A211|Scrupule; 'Scropolo' (Ripa)
54A3|Compétence
54A31|Expérience, Maîtrise; 'Esperienza' (Ripa)
54A32|État de Préparation
54A33|Habilité, Capacité, Aptitude; 'Artificio', 'Prontezza' (Ripa)
54A4|Calme, Équanimité, Imperturbabilité
54A41|Continence; 'Continenza', 'Continenza militare' (Ripa)
54A42|Retenue
54A43|Tempérance, Modération; 'Misura' (Ripa)
54A431|le Juste Milieu; 'Mediocrità' (Ripa)
54A44|Patience; 'Patienza' (Ripa)
54A45|Caractère Pacifique
54A46|Repos; 'Quiete' (Ripa)
54A47|Sérénité, Tranquillité d'Esprit, 'Aequitas'
54A5|Bonté; 'Bontà' (Ripa)
54A51|Bon Génie; 'Genio Buono' (Ripa)
54A52|Innocence
54A6|Serviabilité
54A7|Force, Puissance; 'Fortezza', 'Fortezza d'Animo e di corpo', 'Fortezza del corpo congiunta con la generosità dell'animo', 'Fortezza & valore del corpo congiunto con la prudenza & virtù del animo', 'Forza'(Ripa)
54A71|Invincibilité
54A72|Invulnérabilité
54A8|Courage, Bravoure, Vaillance, Virilité; 'Ardire magnanimo et generoso', 'Gagliardezza', 'Valore', 'Virtù heroica', 'Virtù dell'animo e del corpo' (Ripa)
54A81|Hardiesse, Intrépidité; 'Intrepidità & Costanza' (Ripa)
54A82|Audace, Témérité; 'Audacia' (Ripa)
54AA|Manière d'Etre dans l'Action (concepts opposés)
54AA1|Inactivité
54AA11|Indolence, Inertie; 'Dapocaggine', 'Pigritia' (Ripa)
54AA2|Négligence; 'Negligenza' (Ripa)
54AA21|Indifférence
54AA3|Incompétence
54AA31|Inexpérience
54AA32|Impréparation
54AA33|Incapacité, Maladresse, Gaucherie
54AA34|Médiocrité
54AA4|Véhémence, Violence, Férocité; 'Sforza con Inganno', 'Violenza' (Ripa)
54AA41|Impulsion; 'Impeto' (Ripa)
54AA42|Sauvagerie, Caractère Indompté
54AA43|Intempérance, Immodération
54AA44|Impatience
54AA45|Pugnacité
54AA46|Agitation, Nervosité, Inquiétude; 'Inquietudine' (Ripa)
54AA47|Manque de Sérénité; 'Inquietudine d'animo' (Ripa)
54AA5|Méchanceté
54AA51|Mauvais Génie; 'Genio cattivo' (Ripa)
54AA52|Culpabilité
54AA6|Tendance à faire des obstacles, Obstructionnisme
54AA7|Faiblesse, Impuissance, Incapacité à s'en sortir; 'Infermità' (Ripa)
54AA71|Caractère de ce qui peut être Vaincu, Non Invincibilité
54AA72|Vulnérabilité
54AA8|Lâcheté
54B|Moyens et Caractéristiques des Moyens
54B1|Moyen, Procédé
54B11|Usage, Emploi
54B12|Opportunité, À Propos
54B121|'Occasio', 'Kairos'; 'Occasione' (Ripa)
54B1211|Attente de l'Occasion
54B1212|Rater une Occasion
54B1213|Saisir une occasion
54B2|Indispensabilité
54B3|Utilité; 'Utilità' (Ripa)
54B4|Efficacité
54B5|Importance, Prépondérance
54B6|Mérite, Valeur
54BB|Moyens et Caractéristiques des Moyens (concepts opposés)
54BB1|Mauvais Usage
54BB11|Abus, Usage abusif
54BB12|Profanation
54BB13|qui se produit à Contretemps, Inopportunité, Inadéquation
54BB2|Absence de Nécessité, Superfluité
54BB3|Inutilité, Nocivité; 'Nocumento', 'Nocumento d'ogni cosa' (Ripa)
54BB31|Dommage, Mauvais Service; 'Danno' (Ripa)
54BB4|Inefficacité
54BB5|Insignifiance
54BB6|Absence totale de Valeur
54C|Intention, But, Objet, Dessein
54C1|Conscience du But
54C11|Intention
54C12|But, Objet, Dessein
54C2|Recommandation, Provocation, Incitation
54C21|Persuasion; 'Persuasione' (Ripa)
54C22|Appel, Attrait
54C3|Influence
54C31|Exemple
54C4|Tentation; 'Tentatione' (Ripa)
54CC|Intention, But, Objet, Dessein (concepts opposés)
54CC1|Absence de But
54CC11|Manque d'Intention, Manque de Planification, Irréflexion
54CC2|Découragement
54CC21|Dissuasion
54CC22|Dissuasion (par la force ou le danger)
54D|Procédure, Déroulement du Processus
54D1|Préparation
54D11|Tentative, Essai
54D12|Exercice; 'Essercitio' (Ripa)
54D2|Action; 'Operatione manifesta' (Ripa)
54D21|Pratique; 'Prattica' (Ripa)
54D3|Achèvement
54D31|Continuation
54D4|Facilité
54D5|Sécurité
54D6|Coutume, Habitude; 'Consuetudine' (Ripa)
54DD|Procédure, Déroulement du Processus (concepts opposés)
54DD1|Improvisation
54DD2|Inaction, Oisiveté; 'Otio' (Ripa)
54DD3|Commencement, Début, Départ
54DD31|Interruption, Cessation, Arrêt
54DD311|Attente, Guet
54DD4|Difficulté
54DD41|Corvée, Travail Pénible; 'Fatica', 'Fatica estiva' (Ripa)
54DD42|Fatigue, Lassitude; 'Lassitudine o Languidezza estiva' (Ripa)
54DD5|Insécurité
54DD51|Danger; 'Pericolo' (Ripa)
54DD52|Risque; 'Ardire ultimo & necessario' (Ripa)
54DD6|Désuétude
54E|Action Réciproque
54E1|Coopération, Association
54E11|Nécessité de Coopération Mutuelle
54E2|Conseil
54E3|Accord, Conformité
54E31|Concorde, Union; 'Concordia', 'Concordia insuperabile', 'Concordia militare', 'Concordia di Pace', 'Unione civile' (Ripa)
54E32|Acquiescement
54E4|Défense
54E41|Autodéfense
54E42|Protection; 'Custodia', 'Difesa contra nimici, malefici & venefici', 'Difesa contra pericoli', 'Riparo da i tradimenti' (Ripa)
54E43|Préservation, Subsistance; 'Salvezza', 'Sostanza' (Ripa)
54EE|Action Réciproque (concepts opposés)
54EE1|Absence de Coopération
54EE11|Opposition, Neutralisation, Résistance
54EE2|Entrave, Obstruction
54EE3|Conflit; 'Contrasto' (Ripa)
54EE31|Discorde, Désaccord; 'Discordia' (Ripa)
54EE32|Défi
54EE33|Compétition, Rivalité, Émulation; 'Emulatione' (Ripa)
54EE4|Attaque
54F|Fortune et Infortune
54F1|Succès; 'Evento buono' (Ripa)
54F11|Bien-Être, Prospérité; 'Felicità publica', 'Prosperità della vita', 'Salute' (Ripa)
54F12|Chance, Fortune, Destinée; 'Fortuna', 'Fortuna aurea', 'Fortuna buona', 'Fortuna pacifica overo clemente', 'Sorte' (Ripa)
54F121|Caprice du Hasard, Roue de la Fortune
54F122|Vicissitudes de la Vie
54F13|Progrès, Amélioration, Rétablissement
54F131|Rénovation
54F14|Avantage
54F2|Victoire
54FF|Fortune et Infortune (concepts opposés)
54FF1|Échec, Insuccès
54FF11|Adversité, Infortune, Malchance; 'Fortuna infelice', 'Infortunio' (Ripa)
54FF12|Destin, Fatalité
54FF13|Régression, Détérioration, Rechute
54FF14|Désavantage
54FF15|Soumission; 'Forza minore da maggior forza superata' (Ripa)
54FF2|Défaite
55|Propriété, Biens
55A|Acquisition et Perte
55A1|Acquisition, Gain, Profit
55A11|Rétention, Maintien
55A12|Récompense, 'Praemium'; 'Premio', 'Remuneratione' (Ripa)
55AA|Acquisition et Perte (concepts opposés)
55AA1|Perte
55AA11|Abandon, Cession de Propriété
55B|Possession
55B1|Richesse, Opulence; 'Opulenza', 'Richezza' (Ripa)
55B2|Luxe, Somptuosité
55B3|'Ni trop pauvre, ni trop riche'
55BB|Possession (concepts opposés)
55BB1|Pauvreté; 'Povertà', 'Povertà del doni', 'Povertà in uno ch'habbia bell'ingegno' (Ripa)
55BB2|Pénurie; 'Carestia' ('Ripa)
55C|Usage des Biens
55C1|Dépenses
55C11|Dilapidation, Folies, Prodigalité, Gaspillage; 'Prodigalità' (Ripa)
55C2|Donner, Don
55C21|Générosité, Libéralité; 'Generosità', 'Liberalità' (Ripa)
55C22|Offrande; 'Offerta overo Oblatione' (Ripa)
55C221|Sacrifice
55C3|Prêt, Location
55C4|Prendre, Prise
55C5|Partager
55CC|Usage des Biens (concepts opposés)
55CC1|Économie, Frugalité, Parcimonie; 'Parsimonia' (Ripa)
55CC11|Avidité, Convoitise, Cupidité; 'Cupidità' (Ripa)
55CC2|Réception, Accueil
55CC3|Emprunt, Location, Embauche
55CC4|Restitution; 'Restitutione' (Ripa)
55CC5|Retenir, Conserver à soi
56|Émotion
56A|Sensation
56A1|Sensation, Sensibilité, Susceptibilité
56A2|Excitation
56A21|Extase, Exaltation
56AA|Sensation (concepts opposés)
56AA1|Insensibilité
56AA11|Impassibilité; 'Impassibilità' (Ripa)
56B|Joie et Souffrance
56B1|Plaisir, Jouissance, Joie; 'Allegrezza', 'Allegrezza da le medaglie', 'Allegrezza, letitia e giubilo', 'Diletto', 'Piacere', 'Piacere honesto' (Ripa)
56B11|Rires, Hilarité
56B12|Gaieté
56B13|Jovialité
56B131|Plaisanterie, Farce; 'Giuoco (dall'antico)' (Ripa)
56B2|Bonheur, Félicité
56B21|Félicité Éternelle; 'Felicità eterna' (Ripa)
56B22|Félicité Éphémère; 'Felicità breve' (Ripa)
56B3|Satisfaction, Contentement; 'Contento' (Ripa)
56B4|Amusement, Divertissement
56B41|Plaisir raffiné, Épicurisme
56B42|Plaisir vulgaire, Rusticité
56BB|Joie et Souffrance (concepts opposés)
56BB1|Douleur, Chagrin, Tristesse; 'Dolore', 'Dolore di Zeusi' (Ripa)
56BB11|Amertume; 'Amaritudine' (Ripa)
56BB12|Tourment; 'Tribulatione' (Ripa)
56BB121|Lamentation; 'Querela a Dio' (Ripa)
56BB13|Peine, Détresse, Affliction, Chagrin d'Amour; 'Cordoglio' (Ripa)
56BB131|Soupirs; 'Sospiri' (Ripa)
56BB19|Consolation
56BB2|Malheur, Infélicité; 'Infelicità' (Ripa)
56BB21|Calamité, Désolation; 'Calamità', 'Calamità o miseria' (Ripa)
56BB22|Misère; 'Miseria mondana' (Ripa)
56BB3|Insatisfaction, Mécontentement
56BB31|Ennui
56BB32|Insatiabilité
56BB33|Récriminations, Plaintes; 'Pianto', 'Querela' (Ripa)
56BB34|Déception, Désappointement
56BB35|Frustration
56BB4|Dégoût, Aversion, Répulsion, Nausée
56BB41|Satiété
56C|Sens de l'Esthétique
56C1|Sens de la Beauté
56C2|Admiration
56C3|Inspiration; 'Ispiratione' (Ripa)
56CC|Sens de l'Esthétique (concepts opposés)
56CC1|Insensibilité à la Beauté
56CC2|Dénigrement, Dépréciation
56D|Espoir et Peur
56D1|Espérance, Espoir; 'Speranza', 'Speranza delle fatiche' (Ripa)
56D2|Confiance
56D21|Refuge; 'Refugio' (Ripa)
56D29|Crédulité, Fausse Confiance, 'Pax Falsa'; 'Speranza fallace' (Ripa)
56D3|Assurance, Sécurité, Tranquillité; 'Confidenza', 'Sicurezza e Tranquillità', 'Sicurtà', 'Sicurtà o Sicurezza', 'Tranquillità' (Ripa)
56D31|Assurance, Confiance en soi-même
56D32|Engagement
56DD|Espoir et Peur (concepts opposés)
56DD1|Peur, Crainte; 'Paura', 'Timidità o Timore', 'Timore' (Ripa)
56DD11|Désespoir; 'Disperatione' (Ripa)
56DD2|Méfiance, Suspicion; 'Sospitione' (Ripa)
56DD3|Insécurité
56DD31|Manque d'Assurance; 'Viltà' (Ripa)
56DD32|Alarme, Frayeur; 'Spavento', 'Terrore' (Ripa)
56DD33|Confusion, Perplexité, Panique; 'Perturbatione' (Ripa)
56DD34|Horreur, Épouvante, Répugnance
56E|Colère et Douceur
56E1|Irritation
56E11|Indignation; 'Sdegno' (Ripa)
56E2|Rage, Colère
56E21|Irascibilité
56E3|Fureur; 'Furore', 'Furore implacabile', 'Furore & Rabbia', 'Furore superbo & Indomito' (Ripa)
56EE|Colère et Douceur (concepts opposés)
56EE1|Tolérance
56EE2|Douceur, Mansuétude; 'Mansuetudine' (Ripa)
56F|Désire et Aversion
56F1|Désire; 'Desiderio' (Ripa)
56F11|Ambition; 'Ambitione', 'Amor di Fama' (Ripa)
56F12|Contento ~ Malcontento : la poursuite du Bonheur
56F13|(Sensation d') Attraction
56F131|Force d'Attraction
56F2|(personnifications et représentations symboliques de l') Amour; 'Amore (secondo Seneca)' (Ripa)
56F21|Amour du Prochain; 'Amor del Prossimo' (Ripa)
56F211|Amour Fraternel
56F22|Amour Réciproque
56F23|Amitié; 'Amicitia' (Ripa)
56F231|Fidélité dans l'Amitié; 'Confermatione dell'Amicitia', 'Fede nell'Amicitia' (Ripa)
56F232|Infidélité dans l'Amitié; 'Amicitia senza giovamento' (Ripa)
56F24|Amour de soi-même; 'Amor di se stesso' (Ripa)
56F241|Narcissisme
56F25|(personnifications et représentations symboliques des) Qualités de l'Amour
56F251|Qualités de l'Amour : première série
56F2511|'Riconciliatione d'amore' (Ripa)
56F2512|'Giuditio overo inditio d'amore' (Ripa)
56F2513|'Fermezza d'amore' (Ripa)
56F2514|'Instabilità overo incostanza d'amore' (Ripa)
56F2515|'Forza d'amore, Forza d'amore si nell'acqua come in terra' (Ripa)
56F2516|'Tentatione d'amore' (Ripa)
56F2517|'Fortuna giovevole ad amore' (Ripa)
56F2518|'Passione d'amore' (Ripa)
56F2519|'Allegrezza d'amore' (Ripa)
