9|ギリシャ・ローマ神話と古代史
91B1313|アストライオス (の物語) - 最も重要な行い
91B1314|アストライオス (の物語) - 攻撃的かつ非友好的な活動と関係
91B1315|アストライオス (の物語) - 非攻撃的な, 友好的な中立の活動と関係
91B1316|アストライオス (の物語) - 苦悩, 不運
91B13168|アストライオス (の物語) - 死
91B13169|アストライオス (の物語) - 神格化
91B1317|アストライオス (の物語) - 特定の局面, 寓意的な局面, 守護者としての
91B13178|アストライオス (の物語) - 凱旋
91B13179|アストライオス (の物語) - 尊敬, 崇拝
91B1318|アストライオス (の物語) - 象徴
91B1319|アストライオス (の物語) - 子孫, 仲間(たち), お供 etc.
91B132|パラス (の物語)
91B1321|パラス (の物語) - 幼少期, 若い盛り
91B13211|パラス (の物語) - 誕生
91B13212|パラス (の物語) - 幼年期, 育成
91B1322|パラス (の物語) - 情事
91B1323|パラス (の物語) - 最も重要な行い
91B1324|パラス (の物語) - 攻撃的かつ, 非友好的な活動と関係
91B1325|パラス (の物語) - 非攻撃的な, 友好的または中立の活動と関係
91B1326|パラス (の物語) - 苦悩, 不運
91B13268|パラス (の物語) - 死
91B13269|パラス (の物語) - 神格化
91B1327|パラス (の物語) - 特定の局面, 寓意的な局面, 守護者としての
91B13278|パラス (の物語) - 凱旋
91B13279|パラス (の物語) - 尊敬, 崇拝
91B1328|パラス (の物語) - 象徴
91B1329|パラスの子孫, 仲間(たち), お供 etc. 
91B13291|ビアー, 力, 暴力
91B13292|クラトス, 強さ
91B13293|ゼーロス, ジール
91B133|ペルセース
91B134|アステリア
91B135|ラートーナ (レートー)
91B136|アトラース (の物語)
91B1361|アトラース (の物語) - 幼少期, 若い盛り
91B13611|アトラース (の物語) - 誕生
91B13612|アトラース (の物語) - 幼年期, 育成
91B1362|アトラース (の物語) - 情事
91B1363|アトラース (の物語) - 最も重要な行い
91B1364|アトラース (の物語) - 攻撃的かつ非友好的な活動と関係
91B1365|アトラース (の物語) - 非攻撃的な, 友好的または中立の活動と関係
91B1366|アトラースの苦悩と不運
91B13661|肩で天国を支えるアトラース
91B13668|アトラースの苦悩と不運 - 死
91B13669|アトラースの苦悩と不運 - 神格化
91B1367|アトラース (の物語) - 特定の局面, 寓意的な局面, 守護者としての
91B13678|アトラース (の物語) - 凱旋
91B13679|アトラース (の物語) - 尊敬, 崇拝
91B1368|アトラース (の物語) - 象徴
91B1369|アトラース (の物語) - 子孫, 仲間 (たち), お供 etc.
91B137|メノイティオス
91B2|サイクロプス
91B21|ブロンテース
91B22|ステロペース
91B23|アルゲース
91B24|ポリュペーモス
91B25|他のサイクロプス
91B25(...)|他のサイクロプス (名前付き)
91B25(ELATREUS)|エラトレウス (サイクロプス)
91B25(PYRACMON)|フィラクモン (サイクロプス)
91B3|センティマニ (ヘカトンケイル), 百手巨人
91B31|ブリアレウス (アイガイオーン)
91B32|ギュゲス (センティマニの一つ)
91B33|コットス
91C|(タイタン, 巨人, テューポーン, アロエイド) と神との戦い
91C1|タイタンのユピテルとその仲間に対する戦争: ティタノマキア
91C11|タルタロスに投獄されるタイタン
91C2|巨人, (足に蛇を巻きつけた)ギガンテスと, 彼らと神との戦い
91C21|巨人と神の戦い: 巨人の戦い
91C211|巨人たちが大きな石と木の幹で天国に攻め入る
91C212|山を積み上げる巨人たち
91C213|神のさまざまな動物への大変身 ~ 巨人のたたかい
91C214|火山の下に埋められる巨人たち
91C22|単名の巨人
91C22(...)|単名の巨人 (名前付き)
91C3|百の頭を持つ怪物テューポーン (テュポーエウス) と神との戦い
91C31|テューポーンと神との戦い
91C311|テューポーンとユピテルの戦い: 彼はユピテルの手足の腱を切り, それらを隠す
91C312|テューポーンから逃げる神
91C3121|神々がテューポーンから逃れる恐怖の中で様々な動物に変身する: 子羊 (ユピテル), オオガラス (アポロ), ヤギ (バッカス), 牛 (ユーノー), 猫 (ディアーナ), 魚 (ウェヌス), トキ (メルクリウス)
91C313|テューポーンがシシリーのエトナ山の下に埋められる
91C4|アローアダイ (アロエイダイ), オトゥスとエピアルテース, そして彼らの神との戦い
91C41|アローアダイと神との戦い
91C411|アローアダイはマルスをとらえ, 彼を青銅のかめに閉じ込める
91C4111|メルクリウスによって解放されるマルス
91C412|アローアダイはオッサ山とペリオン山をオリンポスに積み上げて天国に行こうとする
91C413|アポロに殺されるアローアダイ
91C4131|白い雌鹿の姿をしたディアナが彼らの間に現れ、アローアダイたちは誤って互いを殺してしまう
91C414|タルタロスのアローアダイ
91D|(ユピテル, ネプトゥーヌス, プルートゥの間の) 世界の分配
91D1|天界, 海, 冥界の支配権をめぐってサイコロを振るユピテル, ネプトゥーヌス, プルートゥ
91D11|ユピテル (とユーノー) が天界の所有権を得る
91D12|ネプトゥーヌスが海の支配権を得る
91D13|プルートゥが冥界の支配権を得る
91E|人間の起源
91E1|創造の力による人類創造
91E11|ウルカヌスの人類創造
91E12|粘土の塊で人間を作るクーラ
91E121|クーラの人間に生命を吹き込むユピテル
91E122|ユピテルとテルースと口論するクーラ
91E123|クーラとユピテルの口論をおさめるサターン
91E2|4つの時代 (黄金, 白銀, 青銅, 鉄の時代)
91E21|黄金時代; 人間はサターンの支配のもと, 果実を集めて幸せに暮らす
91E211|黄金時代の化身
91E22|白銀時代; 人間は土を耕し小屋を建てる
91E221|白銀時代の化身
91E23|青銅時代; ミネルヴァと建築活動に特徴付けられる
91E231|青銅時代の化身
91E24|鉄の時代; マルスと戦争, 略奪に特徴付けられる
91E241|鉄の時代の化身
91E3|人類の原始的段階; 人間は粗野な状態から文明へと上る
91E31|アイオロスの手助けを受ける人間の教師としてのウルカヌス
91E32|火の発見
91E33|原始的な建造物の制作, e.g.: 小屋
91E4|プロメテウス (の物語)
91E41|(プロメテウス (の物語) - 幼少期, 若い盛り
91E411|プロメテウス (の物語) - 誕生
91E412|プロメテウス (の物語) - 幼年期, 育成
91E42|プロメテウス (の物語) - 情事
91E43|プロメテウス (の物語) - 最も重要な行い
91E44|プロメテウス (の物語) - 攻撃的かつ非友好的な活動と関係
91E45|プロメテウスの非攻撃的な, 友好的または中立の活動と関係
91E451|プロメテウスが人間を粘土で作り, 通例ミネルヴァもいる
91E452|プロメテウスが火を人間のところへ持ってくる
91E4521|太陽の馬車から火を盗むプロメテウス
91E45211|プロメテウスは火をウルカヌスの火事場から盗む
91E4522|プロメテウスは盗んだ火で人間を形作り生命を吹き込む
91E453|プロメテウスは生贄のどの部分を神に捧げるべきかという問題を仲裁しなければならず, 骨と脂肪の詰まった牛革でユピテルを騙す
91E46|プロメテウスの苦悩と不運
91E461|プロメテウスの罰; 彼は通例ウルカヌスと/またはメルクリウスによって岩につながれる
91E4611|鷲がプロメテウスの肝臓を引き裂く
91E4612|オケアノスがプロメテウスを慰めようとする
91E4613|プロメテウスはヘスペリデスの庭に向かうヘラクレスによって解放される: 彼は矢で鷹を撃つ
91E468|プロメテウスの苦悩と不運 - 死
91E469|プロメテウスの苦悩と不運 - 神格化
91E47|特定の局面のプロメテウス; 守護者としてのプロメテウス
91E471|占星術師プロメテウス
91E472|発明家プロメテウス
91E473|最初の彫刻家としてのプロメテウス
91E478|特定の局面のプロメテウス; 守護者としてのプロメテウス- 凱旋
91E479|特定の局面のプロメテウス; 守護者としてのプロメテウス - 崇拝
91E48|プロメテウスの象徴
91E48(...)|プロメテウスの象徴 (名前付き)
91E49|プロメテウス (の物語) - 子孫, 仲間(たち), お供 etc.
91E5|エピメテウス
91E6|パンドラ (の物語) 
91E61|パンドラの幼少期, 若い盛り
91E611|通例ウルカヌスが粘土で作り出したパンドラ
91E6111|パンドラに魅力を加える神々
91E6112|オリンポスで神々に取り囲まれるパンドラ
91E6113|パンドラがメルクリウスによって地球に連れていかれる
91E612|パンドラの幼少期, 若い盛り - 幼年期, 育成
91E62|パンドラの (物語) - 情事
91E63|パンドラの (物語) - 最も重要な行い
91E64|パンドラの (物語) - 攻撃的かつ非友好的な活動と関係
91E65|パンドラの非攻撃的な, 友好的または中立の活動と関係
91E651|パンドラがメルクリウスによってエピメテウスに引き渡される
91E6511|パンドラとエピメテウス
91E652|パンドラが箱 (またはかめ)を開ける; 善または悪が逃げ, 希望が残る
91E6521|エピメテウスがパンドラの箱を開ける
91E6522|(エピメテウスではない) 誰かがパンドラの箱を開ける
91E66|パンドラ (の物語) - 苦悩, 不運
91E668|パンドラ (の物語) - 死
91E669|パンドラ (の物語) - 神格化
91E67|パンドラ (の物語) - 特的の局面, 寓意的な局面 ; 守護者としての
91E678|パンドラ (の物語) - 凱旋
91E679|パンドラ (の物語) - 尊敬, 崇拝
91E68|パンドラの象徴
91E68(...)|パンドラの象徴 (名前付き)
91E68(BOX)|パンドラの象徴: 箱
91E69|パンドラ (の物語) - 子孫, 仲間(たち), お供 etc.
91E7|デウカリオンの洪水; ユピテルが人間を滅ぼすために大きな洪水をもたらす; デウカリオンとピュラーは水面に浮かぶ
91E71|デウカリオンとピュラーが祭壇を築く
91E72|水が引いたとき, デウカリオンとピュラーの祭壇は山の頂上に漂着する
91E73|通例ガイアテミスの神殿でデウカリオンとピュラーは祈る
92|神々 ~ ギリシャ・ローマ神話
92A|オリュンポス十二神集合: ユピテル, ユーノー, ネプトゥーヌス, ケレス, アポロン, ディアナ, マルス, ウェヌス, メルクリウス, ミネルヴァ, ウルカヌス, ウェスタ (またはバッカス)
92A1|微妙に異なる十二神のグループ
92B|天国の偉大な神々とそのお供
92B1|ユピテル (ゼウス) (の物語)
92B11|ユピテルの幼少期, 若い盛り
92B111|ユピテルの誕生: 彼はレアから逃げ隠れる
92B112|ユピテルの幼年期, 育成
92B1121|通例ヤギの姿をしたニンフのアマルテイアは, 生まれたばかりのユピテルに授乳する
92B11211|幼いユピテルはクレテス人に守られる
92B1122|ニンフたちはヤギのアマルテイアの花や果実で満たす; そうしてそれがコルヌコピアとなる
92B11221|コルヌコピア', 豊穣の角
92B12|ユピテルの情事
92B121|ユピテルの情事 ~ 女性たち (I): 第一期
92B1211|鷲または炎の姿のユピテルは, アソポスの娘アイギナに求愛したり誘拐したりする
92B1212|アンフィトリオンを装ったユピテルとヘルクレスの母アルクメーネー
92B1213|サテュロスに変装したユピテルが眠るアンティオペーに近づく; 鷲が近くにいるかもしれない
92B1214|鷲の姿のユピテルが(まだ変身していない)アステリアと格闘する
92B1215|ディアナを装ったユピテルとカリスト
92B1216|セレスを愛するユピテル
92B1217|ダナエに求愛するユピテル; 彼女は通例黄金の雨を受けてベッドに横たわっている
92B1218|通例白い雄牛の姿のユピテルがエウロペを誘拐し, 水の上を運ぶ 
92B12181|エウロペと乙女たちは雄牛と遊び, そして/または花でそれを飾る
92B12182|恋人たちとしてのエウロペとユピテル
92B1219|雲に囲まれたユピテルがイーナコスの娘イーオーに求愛する; ユーノーが恋人たちを見ているかもしれない
92B122|ユピテルの情事 ~ 女性たち (II): 第二期
92B1221|恋人たちとしてのユーノーとユピテル
92B12211|ユーノーの膝の上の, カッコウの姿のユピテル
92B1222|白鳥の姿のユピテルとレダ
92B1223|真夜中のキュレネ山で, ユピテルはプレイアデスの一人であるマイアを訪れる
92B1224|羊飼いを装ったユピテルとムネーモシュネー, ティタン, ムーサたちの母
92B1225|蛇の姿のユピテルとプロセルピナ
92B1226|セメレーに求愛するユピテル
92B12261|ユピテルはセメレーに雷光をまとって近づき殺す
92B12262|ユピテルは赤子のバッカスを救出する
92B13|ユピテル (ゼウス) (の物語) - 最も重要な行い
92B14|ユピテルの攻撃的かつ非友好的な活動と関係
92B141|ユピテルの, ペラスガスの息子リュカーオーン訪問 ; 人肉を食べるよう勧められて, ユピテルはリュカーオーン (とその息子たち) を雷で討つ
92B142|ユピテルがララの舌を奪う; 通例メルクリウスがいる
92B143|おそらくヘラクレスの誕生が遅れたため, ユピテルはアーテーの髪を掴んでオリュンポスから引き摺り下ろす
92B144|ユピテルはオケアニスでありミネルヴァの母であるメティスを飲み込む
92B15|ユピテルの非攻撃的な, 友好的または中立の活動と関係
92B151|秤で運命をはかるユピテル
92B16|ユピテルの苦悩と不運
92B161|ユーノー, ミネルヴァ, ネプトゥーヌスとおそらくウェスタを除く他のオリュンポス十二神たちは, ユピテルを屈服させ縛りつけようとする
92B1611|ユピテルは, テティスがユピテルのために召喚したヘカトンケイルの一人ブリアレオスによって救われる　
92B168|ユピテルの苦悩と不運 - 死
92B169|ユピテルの苦悩と不運 - 神格化
92B17|ユピテルの特定の局面, 寓意的な局面 ; 守護者としてのユピテル
92B171|天界の王としてのユピテル
92B1711|天界の王と女王としてのユピテルとユーノー
92B1712|天界の門, ユピテルの門; おそらく番人としてのホーラたちとともに
92B178|ユピテルの凱旋
92B179|ユピテルの崇拝
92B18|ユピテルの象徴
92B18(...)|ユピテルの象徴 (名前付き)
92B18(EAGLE)|ユピテルの象徴 : 鷹
92B18(THUNDERBOLT)|ユピテルの象徴: 雷
92B181|ジュピターの鷹がガニュメデス, ヘーベーまたは他のものに飲み物をもらう
92B19|ユピテル (ゼウス) (の物語) - 子孫, 仲間(たち), お供 etc.
92B2|ウルカヌス (へーパイストス) (の物語)
92B21|ウルカヌスの幼少期, 若い盛り
92B211|ウルカヌスの幼少期, 若い盛り - 誕生
92B212|ウルカヌスの幼年期, 育成
92B2121|ユーノーによってウルカヌスはオリュンポスから追放される
92B21211|ユピテルによってウルカヌスはオリュンポスから追放される
92B2122|ウルカヌスは海に落ち, テティスとエウリュノメーの元へ避難する
92B2123|ウルカヌスはリムノス人たちまたはニンフたち (また場合によっては猿たち) に世話される
92B22|ウルカヌスの情事
92B221|ウルカヌスはミネルヴァに暴行しようとする; ガイアが偶然受胎させられる
92B222|ウルカヌスとウェヌス
92B223|ウルカヌスとカリス
92B23|ウルカヌス (へーパイストス) (の物語) - 最も重要な行い
92B24|ウルカヌスの攻撃的かつ非友好的な活動と関係
92B241|ウルカヌスのユーノーへの復讐; 彼は彼女を金の玉座にして, そこから起き上がれないようにする
92B25|ウルカヌスの非攻撃的な, 友好的または中立の活動と関係
92B251|バッカスとそのお供を伴うウルカヌスのオリュンポス帰還
92B252|自分の鍛冶場にいるウルカヌス
92B2521|ユピテルの雷を鍛造するウルカヌス
92B2522|クピドの羽と矢を鍛造するウルカヌス
92B2523|他の光景 ~ 鍛造するウルカヌス
92B26|ウルカヌス (ヘーパイストス) (の物語) - 苦悩と不運
92B268|ウルカヌス (ヘーパイストス) (の物語) - 死
92B269|ウルカヌス (ヘーパイストス) (の物語) - 神格化
92B27|ウルカヌス (ヘーパイストス) (の物語) - 特定の局面, 寓意的な局面; 守護者としての
92B278|ウルカヌス (ヘーパイストス) (の物語) - 凱旋
92B279|ウルカヌス (ヘーパイストス) (の物語) - 尊敬, 崇拝
92B28|ウルカヌスの象徴
92B28(...)|ウルカヌスの象徴 (名前付き)
92B29|ウルカヌスの子孫, 仲間(たち), お供 etc. 
92B291|神の鍛冶場における, ウルカヌスの鍛冶仲間としてのキュクロープスたち (の物語)
92B2911|鍛造するキュクロープスたち
92B29111|ユピテルの雷を鍛造するキュクロープスたち
92B29112|クピドの翼と矢を鍛造するキュクロープスたち
92B29113|ネプトゥーヌスの三叉の矛を鍛造するキュクロープスたち
92B2912|作品を渡すキュクロープスたち
92B29121|ユピテルに雷を渡すキュクロープスたち
92B29122|クピドに矢を渡すキュクロープスたち
92B29123|ネプトゥーヌスの三叉の矛を渡すキュクロープスたち
92B292|ケダリオン
92B3|アポロン (ポイボス) (の物語)
92B31|アポロンの幼少期, 若い盛り
92B311|アポロンの誕生: ラトナがデロス島でアポロンとディアナを産む
92B312|アポロンの幼少期, 若い盛り - 幼年期, 育成
92B32|アポロンの情事 ~ 女性たち
92B321|プリアモスの娘カッサンドラに求愛するアポロン
92B322|ダイダリオーンの娘キオネーを誘惑するアポロン; メルクリウスの存在
92B323|オケアニスでありパエトーンの母であるクリュメネーに求愛するアポロン
92B324|プレギュアース王の娘コロニスに求愛するアポロン
92B3241|白い鴉がコロニスの不倫を目撃し, アポロンに報告する
92B3242|アポロンはコロニスを撃ったが, それを後悔して彼女を生き返らそうと無駄な努力をする
92B32421|ディアナがコロニスを撃つ
92B32422|アポロン (またはメルクリウス) はまだ生きているアスクレーピオスをコロニスの子宮から切り出す
92B325|(まだ変身していない) ニンフのダフネーを追いかけるアポロン
92B326|農夫のふりをしてイッセに求愛するアポロン
92B327|おそらく老婦のふりをしてレウコテアに求愛するアポロン
92B33|アポロン (ポイボス) (の物語) - 最も重要な行い
92B34|アポロンの攻撃的かつ非友好的な活動と関係
92B341|アポロンの音楽コンテスト
92B3411|山の神トモーロスを審判とするアポロンとパンの争い, i.e. ミダスの判断; ミダスはロバの耳を持つ姿で表現されることが多い
92B3412|アポロンとマルシュアスの争い; 審判をする女神たち
92B34121|マルシュアスの罰: 彼はアポロンに皮を剥がれる
92B341211|女神たちに罰せられるマルシュアス
92B34122|オリュンポスがマルシュアスのためにとりなしをする
92B3413|ミダスが審判を務めるアポロンとマルシアスの戦い
92B3414|アポロンと音楽家リノスの音楽コンテスト
92B34141|リノスはアポロンに殺される
92B342|アポロンが大蛇ピュートーンを撃つ　
92B343|ユピテルがアスクレーピオスを殺した雷を作ったため, アポロンがキュクロープスたちを殺す
92B344|レートーに暴力を振るおうとしたティテュオスを撃つアポロン (とディアナ) 
92B345|レスリングコンテストでアポロンはプレギュアースの王ポルバスを殺す
92B346|矢を放ち人間に疫病をもたらすアポロン
92B347|デルポイの聖なる三叉の矛をめぐりヘルクレスと争うアポロン; ユピテルが雷を以って干渉する
92B35|アポロンの非攻撃的な, 友好的または中立の活動と関係
92B351|アポロンはキュクロープスを殺した罰としてアドメートスの家畜の世話をする
92B352|ウルカヌスの鍛冶場でウェヌスのマルスとの情事を暴くアポロン
92B36|アポロンの苦悩と不幸
92B361|パエトーンの死を嘆き悲しむアポロン (ソール) に対して, 神は再び馬車を走らせるよう懇願する
92B368|アポロンの苦悩と不運 - 死
92B369|アポロンの苦悩と不運 - 神格化
92B37|アポロンの特定の局面, 寓意的な局面; 守護者としてのアポロン
92B371|太陽神としてのアポロン, i.e. ソール (へーリオス), ティタン
92B3711|通例松明を持ったアウローラに先導され, 四頭の馬に引かれた太陽の馬車に乗るアポロン
92B37111|太陽の馬車
92B37112|アポロンの馬
92B372|預言の神アポロン
92B3721|デルフォイの神託
92B37211|ピューティアー, デルフォイの神託の女神官
92B37212|オンファロス (デルフォイ)
92B37213|三叉の矛(デルフォイ)
92B373|竪琴を奏でるアポロン, 吟遊詩人アポロン
92B3731|アポロンとムーサ, ムーサを率いるアポロン
92B374|医師アポロン
92B375|他の特定の局面のアポロン
92B375(...)|他の特定の局面のアポロン (名前付き)
92B375(SAUROCTONUS)|トカゲを殺すアポロン
92B375(SMINTEUS)|アポロン
92B378|アポロンの凱旋
92B379|アポロンの特定の局面, 寓意的な局面; 守護者としてのアポロン - 尊敬, 崇拝
92B38|アポロンの象徴
92B38(...)|アポロンの象徴 (名前付き)
92B38(DATE-PALM)|アポロンの象徴: ナツメヤシ
92B38(LYRE)|アポロンの象徴: 竪琴
92B39|アポロンの子孫, 仲間(たち), お供 etc.
92B391|パエトーン
92B3911|パエトーンの物語と太陽の馬車
92B39111|パエトーンは父親がいないことをイーオーとユピテルの息子エパポスに嘲笑される
92B39112|オケアニスである母クリュメネーに不平を言うパエトーン
92B39113|パエトーンはアポロン (ソール) に太陽の馬車を求める
92B39114|パエトーンの顔が聖別される
92B39115|パエトーンは馬車に乗り込む
92B39116|パエトーンは太陽の馬車を操縦する; 地球が大火に脅かされる
92B39117|パエトーンの墜落; 彼はユピテルの雷に撃たれる
92B39118|パエトーンはニンフたちによって埋葬される
92B39119|パエトーンと太陽の馬車の物語の別のシーン
92B4|マルス (アレス) (の物語)
92B41|マルス (アレス) (の物語) - 幼少期, 若い盛り
92B411|マルス (アレス) (の物語) - 誕生
92B412|マルス (アレス) (の物語) - 幼年期, 育成
92B42|マルスの情事
92B421|マルスはミネルヴァの姿のアンナ・ペレンナに求愛する
92B422|マルスは, 水差しを傍らにおそらくテベレ川の土手で寝ているレア・シルウィアに求愛する
92B423|恋人たちとしてのマルスとウェヌス
92B4231|クピドとカリスに衣服を脱がされるマルスとウェヌス
92B4232|アポロ（ソール）の前で愛し合うマルスとウェヌス
92B42321|ガルス (アレクトリオン) が雄鶏に変えられ, マルスとウェヌスは愛し合う
92B4233|ウルカヌスに驚かされるマルスとウェヌス; ウルカヌスは二人を網で捕らえる
92B42331|ウルカヌスに網で捕らえられたマルスとウェヌスは, 集まった神々の嘲笑にさらされる
92B43|マルス (アレス) (の物語) - 最も重要な行い
92B44|マルスの攻撃的かつ非友好的な活動と関係
92B441|マルスはネプトゥーヌスの息子ハリロティオスを殺す
92B4411|アレオパゴスでのマルスの裁判
92B45|マルス (アレス) (の物語) - 非攻撃的な, 友好的または中立の活動と関係
92B46|マルス (アレス) (の物語) - 苦悩, 不運
92B468|マルス (アレス) (の物語) - 死
92B469|マルス (アレス) (の物語) - 神格化
92B47|マルスの特定の局面, 寓意的な局面; 守護者としてのマルス
92B478|マルスの凱旋
92B479|マルスの特定の局面, 寓意的な局面; 守護者としてのマルス - 尊敬, 崇拝
92B48|マルスの象徴
92B48(...)|マルスの象徴 (名前付き)
92B49|マルスの子孫, 仲間(たち), お供 etc.
92B491|ベローナ (エニューオー)
92B492|パロルとパウォル (デイモスとポイボス)
92B493|キドイモス
92B5|メルクリウス (ヘルメス) (の物語)
92B51|メルクリウスの幼少期, 若い盛り
92B511|メルクリウスの幼少期, 若い盛り - 誕生
92B512|メルクリウスの幼年期, 育成
92B5121|ユーノーに授乳されるメルクリウス
92B5122|アポロンの矢を盗む幼いメルクリウス
92B5123|アポロンの家畜を盗む幼いメルクリウス
92B52|メルクリウスの情事
92B521|キオネーに求愛するメルクリウス; アポロンの存在
92B522|メルクリウスとケクロプスの娘ヘルセー
92B5221|ヘルセーとその仲間たちが花いっぱいのかごを神殿に運ぶところを見て, メルクリウスは恋に落ちる
92B5222|メルクリウスはおそらくヘルセーの姉アグラウロスを金で買収して, ヘルセーの部屋に入ろうとする
92B523|メルクリウスは, ユピテルから舌を奪われたニンフのララを冥界に連れて行く時に彼女に求愛する
92B524|メルクリウスとリベラルアーツの母フィロロギア (の結婚) 
92B525|恋人たちとしてのメルクリウス
92B53|メルクリウス (ヘルメス) (の物語) - 最も重要な行い
92B54|メルクリウスの攻撃的かつ非友好的な活動と関係
92B541|アポロンの矢を盗むメルクリウス
92B542|メルクリウスはアポロンが世話をしている家畜を盗む
92B5421|メルクリウスはバトスの前でアポロンが世話をしている家畜を盗む
92B5422|メルクリウスとバトス; バトスが口止め料の雌牛で買収される
92B543|メルクリウスはコンテントを地球から誘拐する
92B55|メルクリウスの非攻撃的な, 友好的または中立の活動と関係
92B551|メルクリウスはカメの甲羅を改造して竪琴を作る
92B552|メルクリウスは竪琴をアポロンに与える
92B553|アポロンは竪琴の返礼に杖 (カドゥケウス) をメルクリウスに渡す
92B554|メルクリウスと木こりとその斧 (イソップ)
92B555|サンダルを履くまたは脱ぐメルクリウス
92B56|メルクリウス (ヘルメス) (の物語) - 苦悩, 不運
92B568|メルクリウス (ヘルメス) (の物語) - 死
92B569|メルクリウス (ヘルメス) (の物語) - 神格化
92B57|メルクリウスの特定の局面, 寓意的な局面; 守護者としてのメルクリウス
92B571|ヘルメス プシュコポムポス: 魂の案内人としてのメルクリウス
92B572|ハーム: 旅行者の守護者メルクリウスの頭の柱
92B5721|ヘルマテナ (ハームの形ではない)
92B5722|他の混合した柱の形
92B5722(...)|他の混合した柱の形 (名前付き)
92B573|ヘルメス ロギオス, 雄弁の神としてのメルクリウス
92B578|メルクリウスの凱旋
92B579|メルクリウスの特定の局面, 寓意的な局面; 守護者としてのメルクリウス - 尊敬, 崇拝
92B58|メルクリウスの象徴
92B58(...)|メルクリウスの象徴 (名前付き)
