4|Sociedade, Civilização, Cultura
41A3221|porta fechada
41A323|porta monumental, pórtico, "aediculum"
41A324|trabalho de metal integrado numa porta
41A3241|aldraba, campainha
41A3242|maçaneta
41A325|limiar (de porta)
41A3251|couceira, aduela, ombreira
41A3252|elementos relacionado com a porta, e.g., raspador de botas, escova, capacho
41A326|caixa do correio ~ porta
41A327|corrente de segurança
41A328|fechadura ~ porta
41A3281|chave
41A32811|chave mestra, "passe-partout", chave universal
41A3282|trinco
41A3283|ferrolho, lingueta
41A3284|cadeado
41A33|janela
41A331|abrir a janela
41A3311|janela aberta
41A332|fechar a janela
41A3321|janela fechada
41A333|estores, portadas
41A3331|estores, portadas exteriores
41A3332|estores, portadas interiores
41A334|guarda-sol, sombrinha
41A335|assento na janela, conversadeira
41A336|figura humana à janela (aberta)
41A3361|figura humana à janela (aberta), vista do exterior
41A3362|figura humana à janela (aberta), vista do interior
41A337|ver através de uma janela
41A3371|ver através de uma janela, estando no exterior
41A3372|ver através de uma janela, estando no interior
41A34|escada
41A341|escadaria
41A3411|escada rolante
41A342|elevador, ascensor
41A343|escada, escadote
41A344|escada de incêndio
41A345|escada de serviço
41A35|escada, escadaria principal
41A351|terraço
41A352|baldaquino (sobre a entrada)
41A36|telhado (de uma casa ou edifício)
41A361|torre (de uma casa ou edifício)
41A3611|pináculo (de uma torre ou edifício)
41A362|cobertura do telhado
41A363|frontão decorado 
41A37|cave, adega
41A38|varanda
41A381|loggia, varanda, alpendre
41A382|janela saliente, janela de sacada envidraçada
41A39|canalização, instalação eléctrica
41A391|fornecimento de água e drenagem, tubagem (em casa ou edifício)
41A3911|poço
41A3912|bomba
41A3913|torneira
41A3914|w.c. (casa de banho)
41A3915|fonte (interior)
41A3916|lavatório, bacia
41A392|condutas de gás
41A393|instalação eléctrica, acessórios, e.g. tomada, ficha, interruptor, cabo, fio eléctrico 
41A4|decorações (no interior de uma casa)
41A41|revestimento das paredes
41A411|papel de parede
41A412|apainelamento
41A413|tapeçarias
41A42|acolchoamento, estofamento (de um quarto)
41A421|cortinas
41A422|tecidos e cortinados
41A4221|velum (tecidos e cortinados)
41A423|tecidos cerimoniais
41A4231|dossel, baldaquino
41A43|revestimento de pavimento
41A43(...)|revestimento de pavimento (com NOME)
41A431|carpete, tapete
41A44|tecto (decorado)
41A5|edifícios anexos e exteriores; cerca; portão
41A51|pátio
41A511|pátio interior de um palácio ou "hôtel"
41A512|quintal
41A52|cocheira
41A521|garagem
41A53|alpendre
41A54|cerca, muro, paliçada
41A541|balaústrada
41A542|portão, entrada 
41A5421|barreira
41A5422|manga, torniquete
41A543|degraus, banco
41A544|comporta
41A6|jardim
41A61|planta, mapa do jardim
41A62|edifícios do jardim
41A621|pérgola
41A622|quiosque, abrigo, casa de jardim, pavilhão (para chá), (holandês: "theekoepel")
41A623|eremitério
41A624|belvedere (mirante)
41A625|latada
41A626|edifícios ou construções falsas
41A63|desenho de um jardim
41A631|relvado
41A632|canteiro
41A633|jardim de pedra
41A634|labirinto ~ jardim 
41A635|jardim fechado com um muro ou cerca; "Hortus Conclusus"
41A6351|jardim pênsil, telhado verde
41A636|jardim francês; jardim formal, à italiana 
41A637|jardim inglês (ou à inglesa) ou paisagístico
41A638|avenida ~ jardim 
41A64|ornamentos de jardim
41A641|estátuas, esculturas de jardim
41A6411|anões ", grylloi '(ornamentos de jardim)
41A642|obeliscos (ornamentos de jardim)
41A643|pirâmides (ornamentos de jardim)
41A644|hermes (ornamentos de jardim)
41A645|ruínas (ornamentos de jardim)
41A646|vaso de jardim
41A65|instalação de água no jardim
41A651|fonte de jardim
41A652|lago de jardim
41A653|cascata de jardim
41A66|gruta artificial de jardim
41A67|plantas ornamentais
41A671|natureza morta com plantas, flores e frutos
41A6711|flores em vaso
41A6712|arranjos de flores
41A672|topiaria (podar e cultivar arbustos e árvores ornamentais); bonsai, plantas em treliças, etc.
41A673|plantas em vasos
41A68|cultivar um jardim (ornamental)
41A681|jardinagem
41A6811|irrigação, regar as plantas
41A682|ferramentas de jardinagem
41A682(...)|ferramentas de jardinagem (com NOME)
41A7|mobiliário e objectos domésticos
41A71|mobiliário para pôr objectos
41A711|mesa
41A7111|tripé
41A7112|mesa sobre cavaletes
41A712|prateleiras, estantes, aparador
41A7121|papeleira
41A713|toalha de mesa, etc.
41A72|mobiliário para sentar
41A721|cadeira
41A7211|banquinho
41A72111|banquinho para os pés, escabelo
41A7212|poltrona
41A7213|cadeira de balanço
41A722|divã, sofá
41A7221|travesseiro
41A723|banco
41A73|mobiliário para guardar, armazenar
41A731|armário
41A732|armário ornamental
41A733|cofre
41A734|"cassone"
41A74|mobiliário para usos específicos
41A741| paravento, biombo
41A75|mobiliário decorativo
41A751| paravento
41A76|mobiliário para deitar
41A761|cama
41A7611|cama com dossel incorporado (holandês: 'bedstee')
41A7612|cama de dossel
41A76121|cama (de dossel) com duas colunas
41A76122|cama (de dossel) com quatro colunas
41A762|maca
41A763|roupa de cama
41A7631|colchão
41A7632|almofada, travesseiro
41A7633|lençol
41A7634|cobertor
41A7635|colcha
41A77|recipientes
41A771|recipiente de metal:  balde, lata, caixa de metal
41A7711|recipiente de metal precioso
41A772|recipiente de pedra: vaso de pedra
41A7721|recipiente de pedras preciosas ou semi-preciosas
41A773|recipiente de cerâmica: jarra, jarro, pote, vaso
41A774|recipiente de vidro: garrafa, jarro, vaso
41A775|recipiente de madeira: barril, pipa
41A7751|recipiente feito de outros materiais vegetais: cesta
41A776|recipiente de couro: bolsa de couro
41A7761|recipiente de um outro material de origem animal
41A777|recipiente de material têxtil: bolsa, saco
41A778|recipiente de papel, de cartão: saco, caixa de cartão
41A779|recipiente de material sintético
41A78|artigos de fantasia, bugigangas
41A8|uso doméstico
41A81|mobilar (a casa)
41A82|mudar (de casa)
41A9|ruínas de uma habitação, casa, castelo, etc.
41AA1|arquitectura civil; edifícios; habitações - AA - arquitectura civil: no interior
41AA10|"Edifitio overo un sito" (Ripa) - AA - arquitectura civil: no interior
41AA11|palácio - AA - arquitectura civil: no interior
41AA111|hotel, i.e. pequeno palácio (ou palacete) na cidade - AA - arquitectura civil: no interior
41AA12|castelo - AA - arquitectura civil: no interior
41AA121|casa fortificada na cidade - AA - arquitectura civil: no interior
41AA13|edíficio, e.g. edífício público, armazém ou loja - AA - arquitectura civil: no interior
41AA14|habitação urbana - AA - arquitectura civil: no interior
41AA141|casa comum; casas dispostas em fila, em banda - AA - arquitectura civil: no interior
41AA142|casa combinada com loja - AA - arquitectura civil: no interior
41AA143|casa isolada numa cidade - AA - arquitectura civil: no interior
41AA144|prédio de apartamentos; apartamento - AA - arquitectura civil: no interior
41AA15|arranha-céus - AA - arquitectura civil: no interior
41AA16|habitação rural, e.g. casa de campo, villa, chalé, cabana - AA - arquitectura civil: no interior
41AA161|casa de campo - AA - arquitectura civil: no interior
41AA162|villa - AA - arquitectura civil: no interior
41AA163|chalé - AA - arquitectura civil: no interior
41AA17|fazenda (edifício) - AA - arquitectura civil: no interior
41AA171|celeiro - AA - arquitectura civil: no interior
41AA18|choupana, cabana, casa de campo - AA - arquitectura civil: no interior
41AA181|cabana de madeira - AA - arquitectura civil: no interior
41AA182|cabana de Índio - AA - arquitectura civil: no interior
41AA1821|wigwam - AA - arquitectura civil: no interior
41AA19|outros tipos de habitação - AA - arquitectura civil: no interior
41AA191|tenda - AA - arquitectura civil: no interior
41AA1911|tenda de campismo - AA - arquitectura civil: no interior
41AA1912|tepee, tipi, teepee - AA - arquitectura civil: no interior
41AA192|caravana, roulotte - AA - arquitectura civil: no interior
41AA1921|parque de caravanas - AA - arquitectura civil: no interior
41AA1922|reboque - AA - arquitectura civil: no interior
41AA193|casa flutuante - AA - arquitectura civil: no interior
41AA194|habitação lacustre, palafita  - AA - arquitectura civil: no interior
41AA1941|outros tipos de habitação não assentes no solo - AA - arquitectura civil: no interior
41AA195|abrigo da neve, iglu - AA - arquitectura civil: no interior
41AA196|habitação rupestre - AA - arquitectura civil: no interior
41AA32|porta - AA - porta simulada, porta fingida
41AA321|abrir a porta - AA - porta simulada, porta fingida
41AA3211|porta aberta - AA - porta simulada, porta fingida
41AA3212|porta dividida em duas, com a parte superior aberta - AA - porta simulada, porta fingida
41AA3213|porta giratória - AA - porta simulada, porta fingida
41AA322|fechar, trancar a porta - AA - porta simulada, porta fingida
41AA3221|porta fechada - AA - porta simulada, porta fingida
41AA323|porta monumental, pórtico, "aediculum" - AA - porta simulada, porta fingida
41AA324|trabalho de metal integrado numa porta - AA - porta simulada, porta fingida
41AA3241|aldraba, campainha - AA - porta simulada, porta fingida
41AA3242|maçaneta - AA - porta simulada, porta fingida
41AA325|limiar (de porta) - AA - porta simulada, porta fingida
41AA3251|couceira, aduela, ombreira - AA - porta simulada, porta fingida
41AA3252|elementos relacionado com a porta, e.g., raspador de botas, escova, capacho - AA - porta simulada, porta fingida
41AA326|caixa do correio ~ porta - AA - porta simulada, porta fingida
41AA327|corrente de segurança - AA - porta simulada, porta fingida
41AA328|fechadura ~ porta - AA - porta simulada, porta fingida
41AA3281|chave - AA - porta simulada, porta fingida
41AA32811|chave mestra, "passe-partout", chave universal - AA - porta simulada, porta fingida
41AA3282|trinco - AA - porta simulada, porta fingida
41AA3283|ferrolho, lingueta - AA - porta simulada, porta fingida
41AA3284|cadeado - AA - porta simulada, porta fingida
41AA33|janela - AA - janela fingida
41AA331|abrir a janela - AA - janela fingida
41AA3311|janela aberta - AA - janela fingida
41AA332|perto, aperte a janela - AA - janela fingida
41AA3321|janela fechada - AA - janela fingida
41AA333|estores, portadas - AA - janela fingida
41AA3331|estores, portadas exteriores - AA - janela fingida
41AA3332|estores, portadas interiores - AA - janela fingida
41AA335|assento de janela, conversadeiras - AA - janela fingida
41AA336|figura humana à janela (aberta) - AA - janela fingida
41AA3361|figura humana à janela (aberta), vista do exterior - AA - janela fingida
41AA3362|figura humana à janela (aberta), vista do interior - AA - janela fingida
41AA337|ver através de uma janela - AA - janela fingida
41AA3371|ver através de uma janela, estando no exterior - AA - janela fingida
41AA3372|ver através de uma janela, estando no interior - AA - janela fingida
41B|aquecimento e iluminação
41B1|fogo (aberto, livre, em geral)
41B11|acender um fogo
41B111|pedra e aço
41B112|isqueiro
41B113|fósforo de enxofre
41B114|fósforo
41B1141|caixa de fósforos
41B115|fundir
41B12|queimar como um processo
41B12(...)|queimar como um processo (com o NOME do combustível)
41B12(COAL)|queimar como um processo: carvão
41B12(FAGGOT)|queimar como um processo: feixe
41B12(LOG)|queimar como um processo: lenha
41B12(OIL)|queimar como um processo: óleo
41B12(STRAW)|queimar como um processo: palha
41B121|chama
41B122|faísca ~ fogo
41B123|gases libertados por combustão
41B13|avivar o fogo
41B131|soprar (avivar um fogo)
41B1311|fole
41B132|abanar (avivar um fogo)
41B1321|abanador (avivar um fogo)
41B133|atiçar (avivar um fogo)
41B1331|atiçador
41B14|apagar um incêndio
41B15|resíduos de combustão
41B151|fuligem
41B152|cinza
41B153|cinzas, brasas
41B16|fogueira; fogueira de acampamento
41B161|fogueira
41B162|fumo
41B2|lareira e recuperador de calor
41B21|lareira 
41B211|aquecer-se ao fogo (ou lareira, salamandra, fogareiro, braseiro)
41B212|ferramentas ~ lareira
41B2121|tenaz
41B2122|extintor para carvão
41B213|acessórios ~ lareira
41B2131|guarda-fogo (metal)
41B2132|guarda-fogo (em frente à lareira)
41B2133|placa de lareira
41B2134|dummy board figures (figuras decorativas, planas, de tamanho natural em madeira pintada, que criam a ilusão de se estar perante alguém (criado, militar, etc.) ou de algum animal. Eram colocadas em cantos, escadas, e à lareira no Verão)
41B2135|vasos suspensos por uma cadeia ou corrente
41B2136|suporte de ferro para lenha em lareira, cachorro de chaminé
41B214|chaminé
41B2141|lareira com lintel, cornija
41B2142|ornamentos de chaminé
41B22|fogão para aquecimento
41B221|grade ou grelha (do fogão para aquecimento)
41B222|tubo da salamandra
41B223|balde de carvão
41B224|pá de carvão
41B23|aquecedor de pés (escalda-pés)
41B231|aquecedor (para a cama)
41B232|botija (ou saco) de água quente
41B24|aquecimento central
41B241|radiador (aquecimento central)
41B29|arrefecimento, ar-condicionado
41B3|iluminação; lâmpadas
41B31|vela
41B311|lustre, candelabro
41B312|aplique, lâmpada de parede
41B313|castiçal
41B314|instrumento para apagar velas
41B32|tocha
41B33|lanterna
41B34|lâmparina a óleo
41B35|lâmparina a parafina
41B36|lâmparina a gás
41B37|lâmparina eléctrica
41B371|lâmpada (eléctrica)
41B4|em fogo, em chamas
41B5|combater um incêndio
41B51|quartel dos bombeiros, bombeiros
41B511|bombeiro
41B52|equipamento para apagar o fogo
41B521|balde (equipamento para apagar o fogo)
41B522|bomba (equipamento para apagar o fogo)
41B523|mangueira de incêndio
41B524|extintor químico
41B525|bomba de incêndio, carro do corpo de bombeiros
41B53|salvamento num incêndio
41B531|salvamento num incêndio com uma cama elástica
41BB32|tocha - BB - tocha virada para baixo
41C|nutrição, alimentação
41C1|comer e beber
41C10|gastronomia, a arte de comer e beber
41C11|comer
41C111|dar comida
41C119|fome, ter fome
41C1190|personificação da fome, "Fames"; "Fame" (Ripa)
41C1191|inanição, carestia
41C1192|greve de fome
41C12|beber
41C121|dar de beber
41C122|verter
41C129|sede
41C13|soprar, para arrefecer a comida antes de comer
41C14|mexer, para arrefecer a comida antes de comer
41C18|saturado, saciado ~ comer e beber
41C19|fome ou sede insaciável 
41C2|cozinha e adega
41C21|cozinha
41C211|interior da cozinha
41C2111|interior da cozinha com géneros alimentícios em primeiro plano (holandês: "keukenstuk")
41C212|lava-louças (cozinha)
41C22|pessoal da cozinha
41C221|cozinhar, cozinheiro
41C222|empregado(a) de cozinha
41C23|cozinha pobre e rica
41C231|cozinha rica
41C232|cozinha pobre
41C24|conservação de alimentos
41C241|adega
41C2411|adega para o vinho
41C24111|escanção
41C242|câmara frigorífica
41C2421|arca congeladora, congelador, frigorífico
41C25|cozinhar alimentos
41C251|assar, grelhar
41C2511|espeto ~ cozinhar
41C2512|grelhador, grelha ~ cozinhar alimentos
41C252|fritar
41C253|ferver
41C254|fogo (para cozinhar)
41C2541|lareira, fogão (na cozinha)
41C2542|fogão, fogareiro
41C2543|forno ~ cozinha
41C26|preparação de alimentos
41C261|lavar ou arranjar (alimentos)
41C2611|lavar ou arranjar vegetais
41C2612|lavar ou arranjar fruta, e.g. descascar
41C26121|fruta (semi) descascada, e.g. limão
41C2613|arranjar ou depenar aves domésticas ou pequenos animais
41C26131|aves domésticas depenadas
41C262|dividir (alimentos)
41C2621|cortar carne
41C2622|cortar pão
41C263|misturar, combinar (preparar alimentos)
41C2631|preparação de massa de pão ou de massa
41C264|amaciar, bater (preparar alimentos)
41C265|ornamentar, decorar, revestir (preparar alimentos)
41C269|lavar
41C27|utensílios de cozinha
41C27(CAULDRON)|utensílios de cozinha: caldeirão
41C27(COLANDER)|utensílios de cozinha: coador
41C27(FRYING PAN)|utensílios de cozinha: frigideira
41C27(FUNNEL)|utensílios de cozinha: funil
41C27(GRATER)|utensílios de cozinha: ralador
41C27(LADLE)|utensílios de cozinha: colher, concha
41C27(PAN)|utensílios de cozinha: panela
41C27(POT)|utensílios de cozinha: pote
41C27(ROLLING-PIN)|utensílios de cozinha: rolo da massa
41C27(SIEVE)|utensílios de cozinha: peneira
41C27(SKIMMER)|utensílios de cozinha: escumadeira
41C3|mesa posta: serviço mesa, decoração de mesa, etc.
41C31|talheres
41C311|faca de mesa
41C312|garfo
41C313|colher
41C314|saleiro
41C315|recipiente para especiarias
41C316|porta ovo
41C317|balde de gelo (para manter o vinho fresco)
41C32|recipientes para beber
41C321|copo
41C3211|chifre para beber
41C3212|taça nautilus
41C322|caneca, taça, cálice
41C3221|cálice com pé
41C323|copo, copo grande (de vinho)
41C324|caneca de cerveja
41C325|fonte de mesa
41C326|jarro, caneca (usado como recipiente para beber)
41C327|recipiente para beber de forma incomum
41C3271|recipiente para beber com a forma de animal
41C3272|recipiente para beber antropomórfico
41C32721|crânio humano como recipiente para beber
41C3273|recipiente para beber em forma de um objecto
41C33|serviço de chá e café
41C331|pires e chávena
41C332|cafeteira, bule de café
41C333|bule de chá; samovar
41C334|açucareiro
41C34|serviço de jantar
41C341|prato, pires
41C342|travessa
41C343|bandeja
41C344|molheira
41C345|tigela, taça
41C35|decorações de mesa
41C351|centro de mesa, "epergne" "surtout","milieu-de-table"
41C352|"trionfi di tavola", "pièces montées"
41C353|aquamanile, recipiente para a água usada para lavar as mãos antes de uma refeição
41C36|serviço (de jantar) disposto em sideboard (credência)
41C37|toalha
41C371|guardanapo
41C3711|argola de guardanapo
41C38|mesa posta como natureza morta
41C381|serviço de pequeno-almoço (holandês: "ontbijtje")
41C382|serviço para um banquete 
41C4|refeição (em família) 
41C41|pequeno-almoço
41C411|café da manhã
41C42|refeição do meio-dia, almoço
41C421|chá 
41C4211|cerimónia do chá
41C422|chá da tarde
41C43|refeição da noite (jantar, ceia)
41C44|ceia (tardia)
41C5|jantar comemorativo, festa, banquete
41C50|"Convito" (Ripa)
41C51|banquete elegante
41C52|festim, bebedeira, orgia
41C520|"Crapula" (Ripa)
41C6|géneros alimentícios; natureza morta com alimentos
41C61|farinha
41C611|tipos de farinha ou grão
41C612|produtos de farinha e grão
41C6121|cereal
41C6122|massas, esparguete, etc.
41C62|pão, bolo, pastelaria, etc.
41C621|pão, pão de forma
41C6211|pão em forma
41C62111|plano, pão redondo ou pastelaria, e.g. piza
41C6212|pão recheado, pãezinhos, e.g. sanduíche, hamburger
41C622|bolo, tarte, pastelaria
41C6221|bolos de cerimónia, alta pastelaria
41C6222|biscoitos
41C623|panquecas
41C624|waffles
41C6241|rolo (cone) de bolacha, cannoli
41C625|tarte coberta, empada, pastel
41C626|formas de padeiro
41C6261|formas para bolos, tartes, pastelaria
41C6262|formas para biscoitos
41C62621|o chamado "speculaasplanken" (formas para biscoitos)
41C6263|máquina de fazer waffle
41C6264|forma de pão, forma de bolos
41C63|açúcar
41C631|pão de açúcar
41C632|cubos de açúcar
41C633|xarope
41C634|doces de açúcar
41C635|doces, guloseimas
41C6351|gelado
41C6352|chocolate (sólido)
41C636|mel
41C637|revestimento de açúcar
41C6371|glacé
41C64|produtos lácteos e ovos
41C641|produtos lácteos
41C6411|manteiga
41C6412|queijo
41C6413|leite
41C64131|soro de leite coalhado
41C64132|iogurte
41C64133|creme, nata
41C642|ovos, pratos de ovos
41C65|vegetais e fruta; natureza morta com legumes e fruta
41C651|batatas
41C6511|batatas transformadas, e.g. batatas fritas 
41C652|vegetais
41C652(...)|vegetais (com NOME)
41C6521|vegetais transformados
41C6521(...)|vegetais transformados (com NOME)
41C653|fruta
41C653(...)|fruta (com NOME)
41C6531|fruta transformada, e.g. compota, marmelada, etc.
41C66|condimentos, especiarias
41C66(...)|condimentos, especiarias (com NOME)
41C66(SAFFRON)|condimentos, especiarias: açafrão
41C661|sal
41C662|pimenta
41C663|mostarda
41C67|azeite, vinagre, molhos
41C671|óleos e gorduras vegetais
41C6711|margarina
41C672|vinagre
41C673|molhos
41C68|peixe; naturaza morta com peixes
41C68(...)|peixe (com NOME)
41C68(SMOKED HERRING)|peixe: arenque defumado
41C681|marisco
41C681(...)|marisco (com NOME)
41C69|carne; natureza morta com carne
41C691|boi ou porco abatido
41C692|tipos de carne
41C692(...)|tipos de carne (com NOME)
41C693|salsicha
41C694|presunto
41C695|gordura, banha de porco
41C696|caldo, sopa
41C7|bebidas, estimulantes, drogas
41C71|bebidas alcoólicas
41C711|vinho ~ bebidas alcoólicas
41C7111|copo de vinho
41C7112|garrafa de vinho
41C7113|tipos de vinho
41C7113(...)|tipos de vinho (com NOME)
41C712|licor
41C713|bebidas destiladas
41C7131|gin (holandês ou belga), gin
41C7132|uísque
41C7133|vodca
41C714|cerveja
41C7141|copo de cerveja
41C715|outras bebidas alcoólicas
41C715(...)|outras bebidas alcoólicas (com NOME)
41C7151|cocktail
41C72|bebidas estimulantes, energéticas
41C721|café
41C7211|chávena de café
41C722|chá (folhas)
41C7221|chávena de chá
41C723|chocolate, cacau
41C73|outras bebidas não alcoólicas
41C731|xaropes de fruta doce
41C732|sumo de fruta
41C74|tabaco
41C741|cachimbo ~ tabaco
41C7411|cachimbo de água, hookah (cachimbo turco), narguilé
41C7412|tabaco de rolo, trança de tabaco enrolada
41C7413|pote de tabaco
41C7414|porta-cachimbo
41C7415|cinzeiro
41C742|charuto
41C7421|caixa de charuto(s)
41C7422|charuteira
41C7423|boquilha de charuto
41C743|cigarro(s)
41C7431|cigarreira
41C7432|papel de cigarro
41C7433|bocal de cigarro, boquilha
41C744|rapé
41C7441|caixa de rapé
41C745|tabaco de mascar
41C7451|outras coisas estimulantes para mastigar
41C74511|bétel, sirih (pimenteira)
41C74512|pastilha elástica
41C75|drogas
41C75(...)|drogas (com NOME)
41C75(HASHISH)|drogas: haxixe
41C751|ópio
41C7511|cachimbo de ópio
41C7512|casa de ópio
41C76|essências, perfumes ~ estimulantes, drogas
41C761|caixa de essências
41C762|incensário ~ essências, perfumes
41C9|canibalismo
41C91|necrofagia
41CC221|cozinhar - CC - cozinheira
41CC25|cozinhar alimentos - CC - ao ar livre
41CC251|assar, grelhar - CC - ao ar livre
41CC2511|espeto ~ cozinhar - CC - ao ar livre
41CC2512|grelhador, grelha ~ cozinhar alimentos - CC - ao ar livre
41CC252|fritar - CC - ao ar livre
41CC253|ferver - CC - ao ar livre
41CC254|fogo (para cozinhar) - CC - ao ar livre
41CC2541|lareira, fogão (na cozinha) - CC - ao ar livre
41CC2542|fogão, fogareiro - CC - ao ar livre 
41CC2543|forno ~ cozinha - CC - ao ar livre
41CC26|preparação de alimentos - CC - ao ar livre
41CC261|limpeza (de alimentos) - CC - ao ar livre
41CC2611|limpeza de vegetais - CC - ao ar livre
41CC2612|limpeza de fruta, e.g. descascar - CC - ao ar livre
41CC26121|fruta (semi) descascada, e.g. limão - CC - ao ar livre
41CC2613|limpeza de aves ou animais pequenos - CC - ao ar livre
41CC26131|aves depenadas - CC - ao ar livre
41CC262|dividir (alimentos) - CC - ao ar livre
41CC2621|cortar carne - CC - ao ar livre
41CC2622|cortar o pão - CC - ao ar livre
41CC263|misturar, combinar (preparação de alimentos) - CC - ao ar livre
41CC2631|preparação de massa de pão ou massa - CC - ao ar livre
41CC264|amaciar, bater (preparação de alimentos) - CC - ao ar livre
41CC265|ornamentar, decorar, revestir (preparação de alimentos) - CC - ao ar livre
41CC269|lavar - CC - ao ar livre
41CC4|refeição (em família) - CC - no exterior
41CC41|pequeno-almoço - CC - no exterior
41CC411|café da manhã - CC - no exterior
41CC42|refeição do meio-dia, almoço - CC - no exterior
41CC421|chá - CC - no exterior
41CC4211|cerimónia do chá - CC - no exterior
41CC422|chá da tarde - CC - no exterior
41CC43|refeição da noite (jantar, ceia) - CC - no exterior
41CC44|ceia (tardia) - CC - no exterior
41CC5|jantar comemorativo, festa, banquete - CC - no exterior
41CC50|"Convito" (Ripa) - CC - no exterior
41CC51|banquete elegante - CC - no exterior
41CC52|festim, bebedeira, orgia - CC - no exterior
41CC520|"Crapula" (Ripa) - CC - no exterior
41D|moda, vestuário
41D1|moda
41D11|desenhos, figurinos de moda
41D12|desfile de moda
41D121|modelo, manequim
41D122|manequins para vitrina
41D13|venda, distribuição de moda
41D131|dândi, beau (namorador)
41D1310|"Delitioso" (Ripa)
41D1311|"incroyable" ~ dândi
41D132|mulher elegante, "belle"
41D1321|"merveilleuse"
41D14|designer de moda
41D2|roupas, traje
41D21|vestuário, roupa(s) que cobre(m) o corpo todo
41D21(...)|vestuário, roupa(s) que cobre(m) o corpo todo (com NOME)
41D211|vestido, vestido comprido
41D211(...)|vestido, vestido comprido (com NOME)
41D211(BALL GOWN)|
41D211(CHEMISE À LA REINE)|
41D211(COURT GOWN)|
41D211(DAY DRESS)|
41D211(DINNER DRESS)|
41D211(EVENING DRESS)|
41D211(MANTEAU)|
41D211(MORNING DRESS)|
41D211(REDINGOTE)|
41D211(ROBE À L'ANGLAISE)|
41D211(ROBE À LA CIRCASSIENNE)|
41D211(ROBE À LA FRANÇAISE)|
41D211(ROBE À LA LÉVITE)|
41D211(ROBE À LA POLONAISE)|
41D211(ROBE VOLANTE)|
41D211(WALKING DRESS)|
41D212|casaco, capa
41D22|chapelaria e roupa para a parte superior do corpo
41D221|chapelaria 
41D221(...)|chapelaria (com NOME)
41D221(BERET)|chapelaria: boina
41D221(CAP)|chapelaria: boné
41D221(HAT)|chapelaria: chapéu
41D221(TURBAN)|chapelaria: turbante
41D2211|véu
41D2212|barrete frígio
41D222|adereços para o pescoço ~ vestuário
41D222(...)|adereços para o pescoço ~ vestuário (com NOME)
41D222(COLLAR)|adereços para o pescoço: colarinho, gola
41D222(JABOT)|adereços para o pescoço: folhos
41D223|vestuário para a parte superior do corpo
41D223(...)|vestuário para a parte superior do corpo (com NOME)
41D2231|peça de vestuário que cobre o peito ou decote
41D224|mangas
41D225|luvas, mitenes (luvas sem dedos)
41D2251|"manus velatae" (mãos cobertas com um tecido)
41D2252|regalo
41D23|vestuário para a parte inferior do corpo
41D231|calças, calções
41D2311|braguilha (cobertura para os órgãos genitais)
41D232|saia
41D2321|avental
41D233|vestuário (equipamento) para pernas e pés
41D2331|collants, meias compridas, meias
41D2332|sapatos, sandálias
41D23321|botas
41D2333|sapatos de madeira, tamancos
41D2334|os pés calçados de forma desigual
41D23341|sapato e chinelo (os pés calçados de forma desigual)
41D23342|um pé calçado, o outro descalço
41D2335|acessórios ~ sapatos, e.g. sola interior, calçadeira, graxa para sapato
41D2339|descalço
41D24|vestuário para ocasiões especiais
