2|Natureza
23C1|"Annus", personificação do ano; "Anno", "Carro dell'anno" (Ripa)
23C2|ano lunar
23C3|ano sideral
23D|estações do ano (personificações em particular); "Stagione", "Le quattro stagione dell'anno" (Ripa)
23D1|não usado
23D2|ano dividido em duas estações
23D21|semestre de Inverno
23D22|semestre de Verão
23D23|conflito entre o Verão e o Inverno
23D3|ano dividido em três estações
23D31|ano dividido em três estações (primeira série)
23D311|Janeiro - Abril (ano dividido em três estações)
23D312|Maio - Agosto (ano dividido em três estações)
23D313|Setembro - Dezembro (ano dividido em três estações)
23D32|ano dividido em três estações (segunda série)
23D321|Dezembro - Março (ano dividido em três estações)
23D322|Abril - Julho (ano dividido em três estações)
23D323|Agosto - Novembro (ano dividido em três estações)
23D4|ano dividido em quatro estações
23D41|Inverno, "Hyems"; "Inverno" (Ripa)
23D42|Primavera, "Ver"; "Primavera" (Ripa)
23D43|Verão, "Aestas"; "Estate" (Ripa)
23D44|Outono, "Autumnus"; "Autunno" (Ripa)
23D5|ano dividido em cinco estações
23D6|ano dividido em seis estações
23D61|ano dividido em seis estações (primeira série)
23D611|Janeiro e Fevereiro (ano dividido em seis estações)
23D612|Março e Abril (ano dividido em seis estações)
23D613|Maio e Junho (ano dividido em seis estações)
23D614|Julho e Agosto (ano dividido em seis estações)
23D615|Setembro e Outubro (ano dividido em seis estações)
23D616|Novembro e Dezembro (ano dividido em seis estações)
23D62|ano dividido em seis estações (segunda série)
23D621|Dezembro e Janeiro (ano dividido em seis estações)
23D622|Fevereiro e Março (ano dividido em seis estações)
23D623|Abril e Maio (ano dividido em seis estações)
23D624|Junho e Julho (ano dividido em seis estações)
23D625|Agosto e Setembro (ano dividido em seis estações)
23D626|Outubro e Novembro (ano dividido em seis estações)
23E|estações do ano representadas por cenas que mostram as actividades humanas, normalmente numa paisagem
23E2|ano dividido em duas estações ~ actividades humanas
23E21|semestre de Inverno ~ actividades humanas (ano dividido em duas estações)
23E22|semestre de Verão ~ actividades humanas (ano dividido em duas estações)
23E23|conflito entre o Verão e o Inverno ~ actividades humanas (ano dividido em duas estações)
23E3|ano dividido em três estações ~ actividades humanas
23E31|ano dividido em três estações ~ actividades humanas (primeira série)
23E311|Janeiro - Abril ~ actividades humanas (ano dividido em três estações)
23E312|Maio - Agosto ~ actividades humanas (ano dividido em três estações)
23E313|Setembro - Dezembro ~ actividades humanas (ano dividido em três estações)
23E32|ano dividido em três estações ~ actividades humanas (segunda série)
23E321|Dezembro - Março ~ actividades humanas (ano dividido em três estações)
23E322|Abril - Julho ~ actividades humanas (ano dividido em três estações)
23E323|Agosto - Novembro ~ actividades humanas (ano dividido em três estações)
23E4|as quatro estações do ano ~ actividades humanas
23E41|Inverno ~ actividades humanas (as quatro estações)
23E42|Primavera ~ actividades humanas (as quatro estações)
23E43|Verão ~ actividades humanas (as quatro estações)
23E44|Outono ~ actividades humanas (as quatro estações)
23E5|ano dividido em cinco estações ~ actividades humanas
2E6|ano dividido em seis estações ~ actividades humanas
23E61|ano dividido em seis estações ~ actividades humanas (primeira série)
23E611|Janeiro e Fevereiro ~ actividades humanas (ano dividido em seis estações)
23E612|Março e Abril ~ actividades humanas (ano dividido em seis estações)
23E613|Maio e Junho ~ actividades humanas (ano dividido em seis estações)
23E614|Julho e Agosto ~ actividades humanas (ano dividido em seis estações)
23E615|Setembro e Outubro ~ actividades humanas (ano dividido em seis estações)
23E616|Novembro e Dezembro ~ actividades humanas (ano dividido em seis estações)
23E62|ano dividido em seis estações ~ actividades humanas (segunda série)
23E621|Dezembro e Janeiro ~ actividades humanas (ano dividido em seis estações)
23E622|Fevereiro e Março ~ actividades humanas (ano dividido em seis estações)
23E623|Abril e  Maio ~ actividades humanas (ano dividido em seis estações)
23E624|Junho e Julho ~ actividades humanas (ano dividido em seis estações)
23E625|Agosto e Setembro ~ actividades humanas (ano dividido em seis estações)
23E626|Outubro e Novembro ~ actividades humanas (ano dividido em seis estações)
23F|estações do ano representadas por paisagens
23F2|ano dividido em duas estações ~ paisagens 
23F21|semestre de Inverno ~ paisagens (ano dividido em duas estações)
23F22|semestre de Verão ~ paisagens (ano dividido em duas estações)
23F23|conflito entre o Verão e o Inverno ~ paisagens (ano dividido em duas estações)
23F3|ano dividido em três estações ~ paisagens
23F31|ano dividido em três estações ~ paisagens (primeira série)
23F311|Janeiro - Abril ~ paisagens (ano dividido em três estações)
23F312|Maio - Agosto ~ paisagens (ano dividido em três estações)
23F313|Setembro - Dezembro ~ paisagens (ano dividido em três estações)
23F32|ano dividido em três estações ~ paisagens (segunda série)
23F321|Dezembro - Março ~ paisagens (ano dividido em três estações)
23F322|Abril - Junho ~ paisagens (ano dividido em três estações)
23F323|Agosto - Novembro ~ paisagens (ano dividido em três estações)
23F4|as quatro estações do ano ~ paisagens
23F41|paisagem de Inverno; paisagem simbolizando o Inverno (as quatro estações do ano)
23F42|paisagem de Primavera; paisagem simbolizando a Primavera (as quatro estações do ano)
23F43|paisagem de Verão; paisagem simbolizando o Verão (as quatro estações do ano)
23F44|paisagem de Outono; paisagem simbolizando o Outono (as quatro estações do ano)
23F5|ano dividido em cinco estações ~ paisagens
23F6|ano dividido em seis estações ~ paisagens
23F61|ano dividido em seis estações ~ paisagens (primeira série)
23F611|Janeiro e Fevereiro ~ paisagens (ano dividido em seis estações)
23F612|Março e Abril ~ paisagens (ano dividido em seis estações)
23F613|Maio e Junho ~ paisagens (ano dividido em seis estações)
23F614|Julho e Agosto ~ paisagens (ano dividido em seis estações)
23F615|Setembro e Outubro ~ paisagens (ano dividido em seis estações)
23F616|Novembro e Dezembro ~ paisagens (ano dividido em seis estações)
23F62|ano dividido em seis estações ~ paisagens (segunda série)
23F621|Dezembro e Janeiro ~ paisagens (ano dividido em seis estações)
23F622|Fevereiro e Março ~ paisagens (ano dividido em seis estações)
23F623|Abril e Maio ~ paisagens (ano dividido em seis estações)
23F624|Junho e Julho ~ paisagens (ano dividido em seis estações)
23F625|Agosto e Setembro ~ paisagens (ano dividido em seis estações)
23F626|Outubro e Novembro ~ paisagens (ano dividido em seis estações)
23G|estações do ano representadas por naturezas mortas de flores e/ou frutos
23G2|ano dividido em duas estações ~ naturezas mortas de flores e/ou frutos
23G21|semestre de Inverno ~ naturezas mortas de flores e/ou frutos (ano dividido em duas estações)
23G22|semestre de Verão ~ naturezas mortas de flores e/ou frutos (ano dividido em duas estações)
23G23|conflito entre o Verão e o Inverno ~ naturezas mortas de flores e/ou frutos (ano dividido em duas estações)
23G3|ano dividido em três estações ~ naturezas mortas de flores e/ou frutos 
23G31|ano dividido em três estações ~ naturezas mortas de flores e/ou frutos (primeira série)
23G311|Janeiro - Abril ~ naturezas mortas de flores e/ou frutos (ano dividido em três estações)
23G312|Maio - Agosto ~ naturezas mortas de flores e/ou frutos (ano dividido em três estações)
23G313|Setembro - Dezembro ~ naturezas mortas de flores e/ou frutos (ano dividido em três estações)
23G32|ano dividido em três estações ~ naturezas mortas de flores e/ou frutos (segunda série)
23G321|Dezembro - Março ~ naturezas mortas de flores e/ou frutos (ano dividido em três estações)
23G322|Abril - Julho ~ naturezas mortas de flores e/ou frutos (ano dividido em três estações)
23G323|Agosto - Novembro ~ naturezas mortas de flores e/ou frutos (ano dividido em três estações)
23G4|as quatro estações do ano ~ naturezas mortas de flores e/ou frutos 
23G41|natureza morta simbolizando o Inverno (as quatro estações do ano)
23G42|natureza morta simbolizando a Primavera (as quatro estações do ano)
23G43|natureza morta simbolizando o Verão (as quatro estações do ano)
23G44|natureza morta simbolizando o Outono (as quatro estações do ano)
23G5|ano dividido em cinco estações ~ naturezas mortas de flores e/ou frutos 
23G6|ano dividido em seis estações ~ naturezas mortas de flores e/ou frutos 
23G61|ano dividido em seis estações ~ naturezas mortas de flores e/ou frutos (primeira série)
23G611|Janeiro e Fevereiro ~ naturezas mortas de flores e/ou frutos (ano dividido em seis estações)
23G612|Março e Abril ~ naturezas mortas de flores e/ou frutos (ano dividido em seis estações)
23G613|Maio e Junho ~ naturezas mortas de flores e/ou frutos (ano dividido em seis estações)
23G614|Julho e Agosto ~ naturezas mortas de flores e/ou frutos (ano dividido em seis estações)
23G615|Setembro e Outubro ~ naturezas mortas de flores e/ou frutos (ano dividido em seis estações)
23G616|Novembro e Dezembro ~ naturezas mortas de flores e/ou frutos (ano dividido em seis estações)
23G62|ano dividido em seis estações ~ naturezas mortas de flores e/ou frutos (segunda série)
23G621|Dezembro e Janeiro ~ naturezas mortas de flores e/ou frutos (ano dividido em seis estações)
23G622|Fevereiro e Março ~ naturezas mortas de flores e/ou frutos (ano dividido em seis estações)
23G623|Abril e Maio ~ naturezas mortas de flores e/ou frutos (ano dividido em seis estações)
23G624|Junho e Julho ~ naturezas mortas de flores e/ou frutos (ano dividido em seis estações)
23G625|Agosto e Setembro ~ naturezas mortas de flores e/ou frutos (ano dividido em seis estações)
23G626|Outubro e Novembro ~ naturezas mortas de flores e/ou frutos (ano dividido em seis estações)
23H|estações do ano representadas por conceitos que não personificações, actividades humanas, paisagens, ou naturezas mortas de flores e/ou frutos (e.g. cenas bíblicas)
23H2|ano dividido em duas estações ~ outros conceitos (e.g. cenas bíblicas)
23H21|semestre de Inverno ~ outros conceitos (e.g. cenas bíblicas) (ano dividido em duas estações)
23H22|semestre de Verão ~ outros conceitos (e.g. cenas bíblicas) (ano dividido em duas estações)
23H23|conflito entre o Verão e o Inverno ~ outros conceitos (e.g. cenas bíblicas) (ano dividido em duas estações)
23H3|ano dividido em três estações ~ outros conceitos (e.g. cenas bíblicas)
23H31|ano dividido em três estações ~ outros conceitos (e.g. cenas bíblicas) (primeira série)
23H311|Janeiro - Abril ~ outros conceitos (e.g. cenas bíblicas) (ano dividido em três estações)
23H312|Maio - Agosto ~ outros conceitos (e.g. cenas bíblicas) (ano dividido em três estações)
23H313|Setembro - Dezembro ~ outros conceitos (e.g. cenas bíblicas) (ano dividido em três estações)
23H32|ano dividido em três estações ~ outros conceitos (e.g. cenas bíblicas) (segunda série)
23H321|Dezembro - Março ~ outros conceitos (e.g. cenas bíblicas) (ano dividido em três estações)
23H322|Abril - Julho ~ outros conceitos (e.g. cenas bíblicas) (ano dividido em três estações)
23H323|Agosto - Novembro ~ outros conceitos (e.g. cenas bíblicas) (ano dividido em três estações)
23H4|as quatro estações do ano ~ outros conceitos (e.g. cenas bíblicas)
23H41|Inverno ~ outros conceitos (e.g. cenas bíblicas) (as quatro estações do ano)
23H42|Primavera ~ outros conceitos (e.g. cenas bíblicas) (as quatro estações do ano)
23H43|Verão ~ outros conceitos (e.g. cenas bíblicas) (as quatro estações do ano)
23H44|Outono ~ outros conceitos (e.g. cenas bíblicas) (as quatro estações do ano)
23H5|ano dividido em cinco estações ~ outros conceitos (e.g. cenas bíblicas)
23H6|ano dividido em seis estações ~ outros conceitos (e.g. cenas bíblicas)
23H61|ano dividido em três estações ~ outros conceitos (e.g. cenas bíblicas) (primeira série)
23H611|Janeiro e Fevereiro ~ outros conceitos (e.g. cenas bíblicas) (ano dividido em seis estações)
23H612|Março e Abril ~ outros conceitos (e.g. cenas bíblicas) (ano dividido em seis estações)
23H613|Maio e Junho ~ outros conceitos (e.g. cenas bíblicas) (ano dividido em seis estações)
23H614|Julho e Agosto ~ outros conceitos (e.g. cenas bíblicas) (ano dividido em seis estações)
23H615|Setembro e Outubro ~ outros conceitos (e.g. cenas bíblicas) (ano dividido em seis estações)
23H616|Novembro e Dezembro ~ outros conceitos (e.g. cenas bíblicas) (ano dividido em seis estações)
23H62|ano dividido em três estações ~ outros conceitos (e.g. cenas bíblicas) (segunda série)
23H621|Dezembro e Janeiro ~ outros conceitos (e.g. cenas bíblicas) (ano dividido em seis estações)
23H622|Fevereiro e Março ~ outros conceitos (e.g. cenas bíblicas) (ano dividido em seis estações)
23H623|Abril e Maio ~ outros conceitos (e.g. cenas bíblicas) (ano dividido em seis estações)
23H624|Junho e Julho ~ outros conceitos (e.g. cenas bíblicas) (ano dividido em seis estações)
23H625|Agosto e Setembro ~ outros conceitos (e.g. cenas bíblicas) (ano dividido em seis estações)
23H626|Outubro e Novembro ~ outros conceitos (e.g. cenas bíblicas) (ano dividido em seis estações)
23I|os doze meses (personificações); 'Mese in generale" (Ripa)
23I1|meses do primeiro trimestre do ano
23I11|Janeiro; "Gennaro" (Ripa)
23I12|Fevereiro; "Febraro" (Ripa)
23I13|Março; "Marzo" (Ripa)
23I2|meses do segundo trimestre do ano
23I21|Abril; "Aprile' (Ripa)
23I22|Maio; "Maggio" (Ripa)
23I23|Junho; "Giugno" (Ripa)
23I3|meses do terceiro trimestre do ano
23I31|Julho;  "Luglio" (Ripa)
23I32|Agosto; "Agosto" (Ripa)
23I33|Setembro; "Settembre" (Ripa)
23I4|meses do quarto trimestre do ano
23I41|Outubro; "Ottobre" (Ripa)
23I42|Novembro; "Novembre" (Ripa)
23I43|Dezembro; "Decembre" (Ripa)
23K|os doze meses representados por cenas que mostram actividades humanas, normalmente numa paisagem; "trabalhos dos meses"
23K1|os meses do primeiro trimestre do ano ~ actividades humanas (os "trabalhos" de Janeiro, Fevereiro e Março)
23K11|Janeiro e os seus "trabalhos"
23K12|Fevereiro e os seus "trabalhos"
23K13|Março e os seus "trabalhos"
23K2|os meses do segundo trimestre do ano ~ actividades humanas (os "trabalhos" de Abril, Maio e Junho)
23K21|Abril e os seus "trabalhos"
23K22|Maio e os seus "trabalhos"
23K23|Junho e os seus "trabalhos"
23K3|os meses do terceiro trimestre do ano ~ actividades humanas (os "trabalhos" de Julho, Agosto e Setembro
23K31|Julho e os seus "trabalhos"
23K32|Agosto e os seus "trabalhos"
23K33|Setembro e os seus "trabalhos"
23K4|os meses do quarto trimestre do ano ~ actividades humanas (os "trabalhos" de Outubro, Novembro e Dezembro)
23K41|Outubro e os seus "trabalhos"
23K42|Novembro e os seus "trabalhos"
23K43|Dezembro e os seus "trabalhos"
23L|os doze meses representados por paisagens
23L1|meses do primeiro trimestre do ano representados por paisagens
23L11|paisagem simbolizando Janeiro
23L12|paisagem simbolizando Fevereiro
23L13|paisagem simbolizando Março
23L2|meses do segundo trimestre do ano representados por paisagens
23L21|paisagem simbolizando Abril
23L22|paisagem simbolizando Maio
23L23|paisagem simbolizando Junho
23L3|meses do terceiro trimestre do ano representados por paisagens
23L31|paisagem simbolizando Julho
23L32|paisagem simbolizando Agosto
23L33|paisagem simbolizando Setembro
23L4|meses do quarto trimestre do ano representados por paisagens
23L41|paisagem simbolizando Outubro
23L42|paisagem simbolizando Novembro
23L43|paisagem simbolizando Dezembro
23M|os doze meses representados por naturezas mortas de flores e/ou frutos
23M1|meses do primeiro trimestre do ano representados por natureza morta de flores e/ou frutos
23M11|Janeiro representado por natureza morta de flores e/ou frutos
23M12|Fevereiro  representado por natureza morta de flores e/ou frutos
23M13|Março  representado por natureza morta de flores e/ou frutos
23M2|meses do segundo trimestre do ano representados por natureza morta de flores e/ou frutos
23M21|Abril  representado por natureza morta de flores e/ou frutos
23M22|Maio representado por natureza morta de flores e/ou frutos
23M23|Junho representado por natureza morta de flores e/ou frutos
23M3|meses do terceiro trimestre do ano representados por natureza morta de flores e/ou frutos
23M31|Julho representado por natureza morta de flores e/ou frutos
23M32|Agosto representado por natureza morta de flores e/ou frutos
23M33|Setembro representado por natureza morta de flores e/ou frutos
23M4|meses do quarto trimestre do ano representados por natureza morta de flores e/ou frutos
23M41|Outubro representado por natureza morta de flores e/ou frutos
23M42|Novembro representado por natureza morta de flores e/ou frutos
23M43|Dezembro representado por natureza morta de flores e/ou frutos
23N|os doze meses do ano representados por outros conceitos como personificações, actividades humanas, paisagens, naturezas mortas de flores e/ou frutos
23N1|meses do primeiro trimestre do ano ~ outros conceitos
23N11|Janeiro ~ outros conceitos
23N12|Fevereiro ~ outros conceitos
23N13|Março ~ outros conceitos
23N2|meses do segundo trimestre do ano ~ outros conceitos
23N21|Abril ~ outros conceitos
23N22|Maio ~ outros conceitos
23N23|Junho ~ outros conceitos
23N3|meses do terceiro trimestre do ano ~ outros conceitos
23N31|Julho ~ outros conceitos
23N32| Agosto ~ outros conceitos
23N33|Setembro ~ outros conceitos
23N4|meses do quarto trimestre do ano ~ outros conceitos
23N41|Outubro ~ outros conceitos
23N42|Novembro ~ outros conceitos
23N43|Dezembro ~ outros conceitos
23O|zodíaco, os doze signos do zodíaco em conjunto
23O1|signos do zodíaco do Inverno
23O11|Capricórnio (signo zodíaco de Dezembro)
23O12|Aquário (signo zodíaco de Janeiro)
23O13|Peixes (signo zodíaco de Fevereiro)
23O2|signos do zodíaco da Primavera
23O21|Carneiro (signo zodíaco de Março)
23O22|Touro (signo zodíaco de Abril)
23O23|Gémeos (signo zodíaco de Maio)
23O3|signos do zodíaco do Verão
23O31|Caranguejo (signo zodíaco de Junho)
23O32|Leão (signo zodíaco de Julho)
23O33|Virgem (signo zodíaco de Agosto)
23O4|signos do zodíaco do Outono
23O41|Balança (signo zodíaco de Setembro)
23O42|Escorpião (signo zodíaco de Outubro)
23O43|Sagitário (signo zodíaco de Novembro)
23O5|homem zodiacal; zodíaco relacionado com partes do corpo humano
23P|semana
23Q|dias da semana
23Q1|Domingo
23Q2|Segunda-feira
23Q3|Terça-feira
23Q4|Quarta-feira
23Q5|Quinta-feira
23Q6|Sexta-feira
23Q7|Sábado
23Q8|amanhã
23Q81|o dia depois de amanhã
23Q9|ontem
23R|dia e noite
23R1|dia de vinte e quatro horas, dia natural
23R10|"Giorno naturale", "Carro del giorno naturale" (Ripa)
23R11|manhã
23R110|personificação da manhã, "Aurora", "Aurora" (Ripa)
23R111|manhã ~ paisagem (por vezes denominada "Aurora")
23R112|manhã ~ outros conceitos
23R113|meio-dia
23R12|tarde
23R120|personificação da tarde, "Meridies"
23R121|tarde ~ paisagem (por vezes denominada "Meridies ')
23R122|tarde ~ outros conceitos
23R13|noite
23R130|personificação da noite, "Vesper"
23R131|noite ~ paisagem (por vezes denominada "Vesper")
23R132|noite ~ outros conceitos
23R14|noite
23R140| personificação da noite, "Nox", "Notte", "Carro della notte", "Serenità della notte" (Ripa)
23R141|noite ~ paisagem (por vezes denominada "Nox")
23R142|noite ~ outros conceitos
23R2|dia, desde o amanhecer até ao anoitecer
23R20|"Giorno artificiale", "Carro del giorno artificiale", "Serenità del giorno, ninfa dell'aria" (Ripa)
23R3|as vinte e quatro horas do dia e da noite
23R31|as primeiras doze horas do dia
23R310|"Hore del giorno" ("Hora prima", "Hora seconda", "Hora terza", "Hora quarta", "Hora quinta", "Hora sesta", "Hora settima", "Hora ottava", "Hora nona", "Hora decima", "Hora undecima", "Hora duodecima") (Ripa)
23R32|as últimas doze horas do dia
23R320|"Hore della notte" ("Hora prima", "Hora seconda", "Hora terza", "Hora quarta", "Hora quinta", "Hora sesta", "Hora settima", "Hora ottava", "Hora nona", "Hora decima", "Hora undecima", "Hora duodecima") (Ripa)
23S|os impérios do mundo
23S1|os quatro impérios do mundo (Babilónia, Pérsia, Grécia, Roma)
23S11|Babilónia (um dos quatro impérios do mundo)
23S12|Pérsia (um dos quatro impérios do mundo)
23S13|Grécia (um dos quatro impérios do mundo)
23S14|Roma (um dos quatro impérios do mundo)
23S2|os impérios do mundo segundo as divisões bíblicas
23S21|os impérios do mundo simbolizados por uma grande estátua de diferentes materiais (Daniel 2)
23S22|os impérios do mundo simbolizados pelas quatro bestas (Daniel 7)
23S3|os impérios do mundo divididos de outra forma
23T|épocas históricas
23T1|história do mundo dividida em sete épocas desde Adão até o fim do mundo
23T11|época de Adão a Noé ~ história do mundo
23T12|época de Noé a Abraão ou Moisés ~ história do mundo
23T13|época de Abraão ou Moisés a David ~ história do mundo
23T14|época de David ao cativeiro babilónico ~ história do mundo
23T15|época do cativeiro babilónico à vinda de Cristo ~ história do mundo
23T16|época de Cristo até ao fim do mundo ~ trabalhar, acordar
23T17|época de Cristo até ao fim do mundo ~ dormir, descansar (Sabat eterno) 
23T2|divisão moderna de épocas históricas
23T21|Pré-História (época histórica)
23T22|História Antiga (época histórica)
23T23|Antiguidade Clássica (época histórica)
23T24|Idade Média, Idade das Trevas (época histórica)
23T25|Idade Média (época histórica)
23T26|Renascimento (época histórica, durante o século XV e XVI)
23T27|divisão moderna de épocas histórica ~ séculos
23T27(...)|divisão moderna de épocas históricas ~ séculos (com NUMERAÇÃO romana)
23U|cronologia
23U1|calendário, almanaque
23U11|calendário perpétuo
23U2|(instrumentos de) medição do tempo
23U20|"Horografia" (Ripa)
23U21|relógio de sol
23U22|ampulheta
23U23|relógio de água
23U24|relógio
23U241|relojoeiro
23U25|relógio de pulso, de bolso
24|o céu (corpos celestes)
240|representações alegóricas do céu (os corpos celestes)
24A|sol como corpo celeste
24A1|nascer do sol
24A11|madrugada
24A110|"Crepuscolo della matina" (Ripa)
24A2|pôr do sol
24A21|crepúsculo
24A210|"Crepuscolo della sera" (Ripa)
24A3|eclipse solar
24A31|eclipse solar total com coroa
24A4|sol da meia-noite
24A5|aspectos físicos do sol
24A51|manchas solares
24A52|fenómenos solares incomuns: parélio, manchas no halo solar, etc.
24A6|sol representado como rosto, roda, etc.
24A7|posições do sol
24A71|solstício de Verão, noite de São João (Festa dos Santos Populares)
24A710|"Solstitio estivo" (Ripa)
24A72|equinócio de Outono
24A720|"Equinottio dell'autunno" (Ripa)
24A73|solstício de Inverno
24A730|"Solstitio hiemale" (Ripa)
24A74|equinócio da Primavera
24A740|"Equinottio della primavera" (Ripa)
24A8|luz solar
24A81|raios de sol
24B|lua como corpo celestial
24B1|lua crescente
24B11|lua crescente representada como rosto
24B2|lua cheia
24B21|lua cheia representada como rosto
24B3|lua minguante
24B31|lua minguante representada como rosto
24B4|eclipse da Lua
24B5|superfície da lua
24B6|luar 
24B61|luar (raios de luz lunar)
24B62|contemplação da lua, "schwärmen"
24B7|nascer da lua
24B8|ocaso da lua
24C|planetas (excepto a Terra)
24C1|planetas; sistema planetário, sistema solar
24C11|Ceres (planeta)
24C12|Júpiter (planeta)
24C13|Marte (planeta)
24C14|Mercúrio (planeta)
24C15|Neptuno (planeta)
24C16|Plutão (planeta)
24C17|Saturno (planeta)
24C18|Urano (planeta)
24C19|Vénus (planeta)
24C191|estrela da manhã (Vénus)
24C192|estrela da noite (Vénus ou outros planetas)
24C2|humanidade influenciada pelos planetas, incluindo o sol e a lua; "Planetenkinder"
24C21|(personificações dos) planetas com seus "filhos", denominados "Planetenkinder"
24C211|Saturno e seus filhos ("Planetenkinder")
24C212|Júpiter e seus filhos ("Planetenkinder")
24C213|Marte e seus filhos ("Planetenkinder")
24C214|Sol e seus filhos ("Planetenkinder")
24C215|Vénus e seus filhos ("Planetenkinder")
24C216|Mercúrio e seus filhos ("Planetenkinder")
24C217|Lua e seus filhos ("Planetenkinder")
24C22|(personificações de) planetas com seus filhos,  denominados "Planetenkinder", acompanhados pelos signos do zodíaco correspondentes
24C221|Saturno e seus filhos ("Planetenkinder") ~ Aquário e Capricórnio
24C222|Júpiter e seus filhos ("Planetenkinder") ~ Peixes e Sagitário
24C223|Marte e seus filhos ("Planetenkinder") ~ Carneiro e Escorpião
24C224|Sol e seus filhos ("Planetenkinder") ~ Leão
24C225|Vénus e seus filhos ("Planetenkinder") ~ Touro e Balança
24C226|Mercúrio e seus filhos ("Planetenkinder") ~ Gémeos e Virgem
24C227|Lua e seus filhos ("Planetenkinder") ~ Caranguejo
24D|estrelas
24D1|estrelas e constelações
24D1(...)|estrelas e constelações (com NOME)
24D1(ORION)|estrelas e constelações: Oríon
24D1(SIRIUS)|estrelas e constelações: Sírio
