5|Ideias e conceitos abstractos
51M11|rapidez, velocidade; "Agilità", "Celerità", "Velocità" (Ripa)
51M12|aceleração
51MM|qualidade do movimento (conceitos opostos)
51MM1|movimento lento
51MM11|lentidão, atraso; "Tardità" (Ripa)
51MM12|vagaroso
52|raciocínio e formação de ideias
52A|inteligência e faculdades intelectuais
52A1|intelecto, inteligência; "Intellecto", "Intelligenza" (Ripa)
52A11|atenção, concentração
52A12|curiosidade, desejo de conhecimento; "Curiosità" (Ripa)
52A13|talento
52A14|inteligência artificial
52A2|premeditação, deliberação; "Previdenza", "Providenza" (Ripa)
52A21|método
52A22|tacto
52A23|prontidão, vigilância; "Guardia", "Vigilanza", "Vigilanza per difendersi & oppugnare altri" (Ripa)
52A24|precaução
52A3|memória; "Memoria" (Ripa)
52A4|imaginação; "Imaginatione" (Ripa)
52A41|ideia, conceito; "Ideia" (Ripa)
52A42|invenção, inventividade, criatividade; "Inventione" (Ripa)
52A43|habilidade, engenho; "Ingegno" (Ripa)
52A44|fantasia, capricho; "Capriccio" (Ripa)
52A5|conhecimento; "Cognitione", "Cognitione delle cose" (Ripa) 
52A51|sabedoria; "Sapienza", "Sapienza humana", "Sapienza vera" (Ripa)
52A511|sabedoria do tolo
52A52|julgamento, juízo; "Giuditio" (Ripa)
52A53|auto-conhecimento
52A54|docilidade; "Docilità" (Ripa)
52A55|subtileza, perspicácia, lucidez, inteligência; "Acutezza de l'Ingegno", "Sottilità" (Ripa)
52A6|verdade; "Verità" (Ripa)
52A7|omnisciência
52AA|inteligência e faculdades intelectuais (conceitos opostos)
52AA1|estupidez, pobreza de intelecto (de espírito); "Stupidità overo Stolidità" (Ripa)
52AA11|falta de talento
52AA2|distracção
52AA21|temeridade, imprudência, negligência
52AA22|falta de tacto; "Inconsideratione" (Ripa)
52AA23|desatenção
52AA24|descuido
52AA3|esquecimento
52AA31|esquecimento; "Oblivione" (Ripa)
52AA4|falta de imaginação, rigidez, inflexibilidade
52AA5|ignorância; "Ignoranza", "Ignoranza di tutte le cose", "Ignoranza in un ricco senza lettere" (Ripa)
52AA51|loucura; "Pazzia", "Sciocchezza", "Stoltitia" (Ripa)
52AA511|ridículo
52AA52|juízo errado, juízo erróneo
52AA521|ilusão, visão
52AA522|desilusão, falácia; "Prima Impressione" (Ripa)
52AA53|falta de auto-conhecimento
52AA54|indocilidade; "Indocilità" (Ripa)
52AA55|rudeza, obtusidade, inactividade
52AA551|superficialidade da mente
52AA552|cegueira intelectual; "Cecità della Mente" (Ripa)
52AA553|preconceito
52AA6|falsidade
52B|razão
52B1|pensar, pensamento, reflexão; "Pensiero" (Ripa)
52B11|contemplação
52B12|melancólico, pensativo
52B13|obsessão, fixação
52B2|convicção, crença
52B21|credulidade
52B3|expectativa
52B31|probabilidade
52B4|verificação
52B41|certeza
52B42|possibilidade
52B5|racionalidade, raciocínio; "Ratiocinatione o Discorso" (Ripa)
52B51|razão; "Ragione" (Ripa)
52B511|distinção entre o bem e o mal; "Distintione del bene & del male" (Ripa)
52B5111|bom, certo
52B5112|mau, maldade, errado
52B512|afastar os maus pensamentos; "Repulsa de pensieri cattivi" (Ripa)
52B513|razão versus impulsos amorosos; "Combattimento della ragione con l'appetito" (Ripa)
52B52|silogismo, demonstração 
52B53|prova
52BB|raciocínio (conceitos opostos)
52BB1|irreflexão
52BB2|dúvida; "Dubbio" (Ripa)
52BB21|incredulidade
52BB3|surpresa, maravilha; "Maraviglia" (Ripa)
52BB31|improbabilidade
52BB4|suposição, conjectura, presunção
52BB41|incerteza
52BB42|impossibilidade
52BB5|irracionalidade
52BB51|intuição
52BB52|sofisma
52BB53|absurdo
52BB54|conjectura infundada
52BB6|frenezim, excitação
52BB61|paixão
52C|compreensão e incompreensão
52C1|consideração; "Consideratione" (Ripa)
52C11|opinião
52C111|opinião pública; "Opinione" (Ripa)
52C12|sentença, "Sententia"
52C2|afirmação, confirmação; "Confermatione" (Ripa)
52C3|reconhecimento, doação
52C4|entendimento, compreensão; "Apprehensiva" (Ripa)
52C41|libertação (de si próprio) do erro ou ilusão
52C42|interpretação
52C5|teoria; "Theoria" (Ripa)
52C51|doutrina
52C52|ideologia
52CC|compreensão e incompreensão (conceitos opostos)
52CC1|desconsideração, desrespeito
52CC2|recusa, negação
52CC3|dissidência
52CC31|refutação, confutação, desaprovação
52CC4|mal-entendido, incompreensão
52CC41|erro; "Errore" (Ripa)
52D|comunicação do pensamento (aspectos qualitativos)
52D1|comunicação do pensamento
52D2|clareza, precisão
52D21|concisão
52D3|eloquência; "Eloquenza", "Fermezza & Gravità dell'Oratione" (Ripa)
52D31|poder da eloquência; "Forza sottoposta all'Eloquenza" (Ripa)
52D4|prolixidade, verbosidade, loquacidade; "Loquacità" (Ripa)
52D41|insignificância, "Nugae"
52D5|rumor; "Rumore" (Ripa)
52DD|comunicação do pensamento (aspectos qualitativos) (conceitos opostos)
52DD1|sigilo, latência, dissimulação; "Secretezza" (Ripa)
52DD11|segredo
52DD2|falta de clareza, imprecisão
52DD21|confusão, obscuridade; "Confusione" (Ripa)
52DD22|mistificação
52DD3|taciturnidade; ''Secretezza", "Secretezza overo Taciturnità" (Ripa)
52E|comunicação do pensamento (pergunta e resposta)
52E1|resposta, pergunta, solução
52E2|previsão, profecia; "Augurio" "Divinatione", "Profetia" (Ripa)
52E21|bom augúrio; "Augurio buono" (Ripa)
52E22|mau augúrio; "Augurio cattivo" (Ripa)
52E3|conselho; "Consiglio" (Ripa)
52EE|comunicação do pensamento (pergunta e resposta) (conceitos opostos)
52EE1|pergunta, questão, interrogação
52EE11|inquérito, investigação; "Investigatione" (Ripa)
53|vontade
53A|características da vontade
53A1|vontade; "Volontà" (Ripa)
53A11|escolha; "Elettione" (Ripa)
53A2|perseverança, resolução, determinação; "Perseveranza" (Ripa)
53A21|perseverança, tenacidade; "Costanza", "Tenacità" (Ripa)
53A211|obstinação; "Ostinatione", "Pertinacia" (Ripa)
53A212|implacabilidade
53A22|estabilidade, firmeza; "Fermezza", "Stabilimento", "Stabilità" (Ripa)
53AA|características da vontade (conceitos opostos)
53AA1|falta de vontade
53AA11|predeterminação
53AA2|irresolução; "Irresolutione" (Ripa)
53AA21|inconstância;  "Incostanza", "Instabilità", 'Instabilità overo Incostanza" (Ripa)
53AA22|prevaricação
53B|actos da vontade
53B1|aceitação
53B2|poder de decisão, decisão
53B3|autocontrolo; "Dominio di se stesso" (Ripa)
53B4|boa vontade
53B41|tendência, propensão; "Inclinatione" (Ripa)
53B5|obediência;  'Obedienza' (Ripa)
53B6|disciplina
53B7|observância, desempenho
53BB|actos da vontade (conceitos opostos)
53BB1|rejeição, recusa
53BB2|hesitação, indecisão, dúvida
53BB3|autoindulgencia
53BB4|má vontade, relutância (em fazer)
53BB5|desobediência, contumácia, insubordinação; "Inubidienza" (Ripa)
53BB51|protesto
53BB6|indisciplina
53BB61|lassidão, falta de firmeza
53BB7|inobservância
53C|autoridade e subordinação
53C1|predomínio
53C11|autoridade, poder; "Dominio", "Giurisdittione" (Ripa)
53C12|severidade; "Severità" (Ripa)
53C13|rigor; "Rigore" (Ripa)
53C2|ordem
53C21|compulsão, coação
53C22|ameaça, intimidação; "Minaccie" (Ripa)
53CC|autoridade e subordinação (conceitos opostos)
53CC1|subordinação, submissão
53CC11|serviço
53CC12|servilismo, subserviência
53CC2|voluntariedade
53CC21|prontidão para cumprir 
53CC3|súplica; "Supplicatione" (Ripa)
53CC31|invocação; "Invocatione" (Ripa)
53CC32|suplicante
53D|actos voluntários em relações intersociais
53D1|oferta, proposta
53D11|permissão
53D12|favor; "Favore" (Ripa)
53D2|promessa; "Promissione" (Ripa) 
53D3|intercessão
53DD|actos voluntários em relações intersociais (conceitos opostos)
53DD1|rejeição
53DD11|proibição
53DD2|quebra de uma promessa
54|acção
54A|forma de estar durante uma acção
54A1|actividade
54A11|diligente, assiduidade; "Assiduità", "Industria", "Zelo" (Ripa)
54A2|cuidado, diligência; "Diligenza" (Ripa)
54A21|ansiedade, solicitude; "Sollecitudine" (Ripa)
54A211|escrupulosidade; "Scropolo" (Ripa)
54A3|competência
54A31|experiência, domínio; "Esperienza" (Ripa)
54A32|preparação
54A33|aptidão, habilidade; "Artificio", "Prontezza" (Ripa)
54A4|calma, tranquilidade, imperturbabilidade
54A41|continência; "Continenza", "Continenza militare" (Ripa)
54A42|restrição
54A43|temperança, moderação; "Misura" (Ripa)
54A431|doutrina do meio-termo; "Mediocrità" (Ripa)
54A44|paciência; "Patienza" (Ripa)
54A45|pacatez, quietação
54A46|descanso, repouso; "Quiete" (Ripa)
54A47|paz de espírito, "Aequitas"
54A5|bondade; "Bontà" (Ripa)
54A51|bom génio; "Genio Buono" (Ripa)
54A52|inocência
54A6|utilidade, prestabilidade
54A7|força, poder; "Fortezza", "Fortezza d'Animo e di corpo", "Fortezza del corpo congiunta con la generosità dell'animo", "Fortezza & valore del corpo congiunto con la prudenza & virtù del animo", "Forza" (Ripa)
54A71|invencibilidade
54A72|invulnerabilidade
54A8|coragem, bravura, valentia, virilidade; "Ardire magnanimo et generoso", "Gagliardezza", "Valore", "Virtù heroica", "Virtù dell'animo e del corpo" (Ripa)
54A81|coragem, intrepidez; "Intrepidità & Costanza" (Ripa)
54A82|audácia, temeridade; "Audacia" (Ripa)
54AA|forma de estar durante uma acção (conceitos opostos)
54AA1|inactividade
54AA11|preguiça, indolência, inércia; "Dapocaggine", "Pigritia" (Ripa)
54AA2|negligência; "Negligenza" (Ripa)
54AA21|indiferença
54AA3|incompetência
54AA31|inexperiência
54AA32|falta de preparação, impreparação
54AA33|incapacidade, falta de jeito, dificuldade
54AA34|mediocridade
54AA4|veemência, violência, ferocidade; "Sforza con Inganno", "Violenza" (Ripa)
54AA41|impulsão; "Impeto" (Ripa)
54AA42|selvagem, selvageria, indomável
54AA43|intemperança, imoderação
54AA44|impaciência
54AA45|combatividade, agressividade
54AA46|inquietação, agitação, desassossego, ansiedade; "Inquietudine" (Ripa)
54AA47|inquietação da mente; "Inquietudine d'animo" (Ripa)
54AA5|maldade
54AA51|mau génio; "Genio cattivo" (Ripa)
54AA52|culpabilidade
54AA6|obstrução
54AA7|fraqueza, impotência, inépcia; "Infermità" (Ripa)
54AA71|vencibilidade
54AA72|vulnerabilidade
54AA8|covardia
54B|formas de acção e suas características
54B1|meios 
54B11|uso
54B12|ocasião, oportunidade, conveniência
54B121|"Occasio", "Kairos"; "Occasione" (Ripa)
54B1211|esperar por uma oportunidade
54B2|indispensabilidade
54B3|utilidade, serventia; "Utilità" (Ripa)
54B4|eficiência
54B5|importância; preponderância
54B6|valor
54BB|formas de acção e suas características (conceitos opostos)
54BB1|desuso
54BB11|mau uso, uso impróprio
54BB12|profanação
54BB13|intempestividade, inoportunidade
54BB2|desnecessário, supérfluo
54BB3|inutilidade, nocividade; "Nocumento", "Nocumento d'ogni cosa" (Ripa)
54BB31|dano; "Danno" (Ripa)
54BB4|ineficiência
54BB5|insignificância
54BB6|falta de valor
54C|intenção, propósito, objectivo
54C1|intencionalidade
54C11|intenção
54C12|propósito, objectivo
54C2|recomendação, indução, incitamento
54C21|persuasão; "Persuasione" (Ripa)
54C22|apelo
54C3|influência
54C31|exemplo
54C4|tentação; "Tentatione" (Ripa)
54CC|intenção, propósito, objectivo (conceitos opostos)
54CC1|ausência de objectivos
54CC11|sem intenção, não planeado, involuntário
54CC2|desencorajamento, desânimo
54CC21|dissuasão
54CC22|detenção, retenção
54D|procedimento
54D1|preparação
54D11|tentativa, prova
54D12|exercício; "Essercitio" (Ripa)
54D2|acção; "Operatione manifesta" (Ripa)
54D21|prática; "Prattica" (Ripa)
54D3|conclusão
54D31|continuação
54D4|facilidade
54D5|segurança
54D6|costume, uso, hábito; "Consuetudine" (Ripa)
54DD|procedimento (conceitos opostos)
54DD1|improvisação
54DD2|ócio "Otio" (Ripa)
54DD3|iniciar, começar
54DD31|interrupção, cessação
54DD311|espera
54DD4|dificuldade
54DD41|trabalho penoso, ingrato, "Fatica", "Fatica estiva" (Ripa)
54DD42|fadiga, lassidão; "Lassitudine o Languidezza estiva" (Ripa)
54DD5|insegurança
54DD51|perigo, "Pericolo" (Ripa)
54DD52|risco; "Ardire ultimo & necessario" (Ripa)
54DD6|desuso
54E|acção recíproca
54E1|cooperação, associação
54E11|necessidade de cooperação mútua 
54E2|orientação
54E3|acordo, concordância
54E31|consentimento, unidade, "Concordia", "Concordia insuperabile", "Concordia militare", "Concordia di Pace", "Unione civile" (Ripa)
54E32|condescendência
54E33|ajustamento
54E4|defesa
54E41|auto-defesa
54E42|protecção; "Custodi", "Difesa contra nimici, malefici & venefici", "Difesa contra pericoli", "Riparo da i tradimenti" (Ripa)
54E43|preservação, subsistência; "Salvezza", "Sostanza" (Ripa)
54EE|acção recíproca (conceitos opostos)
54EE1|falta de cooperação
54EE11|oposição, contraposição, resistência
54EE2|impedimento, obstrucção
54EE3|conflito; "Contraste" (Ripa)
54EE31|desacordo, discórdia; "Discordia" (Ripa)
54EE32|desafio
54EE33|competição, rivalidade, concorrência; "Emulatione" (Ripa)
54EE4|ataque
54F|fortuna e desgraça
54F1|sucesso; "Evento buono" (Ripa)
54F11|bem-estar, prosperidade, "Felicità publica", "Prosperità della vita", "Salute" (Ripa)
54F12|sorte, fortuna; "Fato", "Fortune", "Fortuna aurea", "Fortuna buona", "Fortuna pacifica overo clemente", "Sorte" (Ripa)
54F121|ironia do destino, roda da fortuna
54F122|vicissitudes da vida
54F13|progresso, melhoria, recuperação
54F131|renovação
54F14|vantagem
54F2|vitória
54FF|fortuna e desgraça (conceitos opostos)
54FF1|falhanço
54FF11|adversidade, desgraça, má sorte;  "Fortuna infelice", "Infortunio" (Ripa)
54FF12|destino, fado
54FF13|regressão, deterioração, reincidência
54FF14|desvantagem
54FF15|submissão, "Forza minore da maggior forza superata" (Ripa)
54FF2|derrota
55|propriedade
55A|aquisição e perda
55A1|aquisição, ganho, lucro
55A11|retenção
55A12|recompensa; "Praemium", "Premio", "Remuneratione" (Ripa)
55AA|aquisição e perda (conceitos opostos)
55AA1|perda
55AA11|renúncia, abandono de propriedade
55B|posse
55B1|riqueza, opulência; "Opulenza", "Richeza" (Ripa)
55B2|luxo, luxúria
55B3|"nem muito pobre, nem muito rico"
55BB|posse (conceitos opostos)
55BB1|pobreza;  "Povertà", "Povertà del doni", "Povertà in uno ch"habbia bell'ingegno" (Ripa)
55BB2|fome, "Carestia" (Ripa)
55C|uso de propriedade
55C1|gastar
55C11|esbanjar, extravagância, desperdício, prodigalidade; "Prodigalità" (Ripa)
55C2|dar
55C21|generosidade, liberalidade, "Generosità", "Liberalità" (Ripa)
55C22|oferecer; "Offerta overo Oblatione"(Ripa)
55C221|sacrifício
55C3|emprestar
55C4|tomar
55CC|uso de propriedade (conceitos opostos)
55CC1|poupança, frugalidade, parcimónia; "Parsimonia" (Ripa)
55CC11|ganância, cobiça, ambição, "Cupidità" (Ripa)
55CC2|receber
55CC3|emprestar, arrendar
55CC4|restituição; "Restitutione" (Ripa)
56|emoção
56A|sentir, sentimento
56A1|sensação, sensibilidade
56A2|excitação
56A21|êxtase, exaltação
56AA|sentir, sentimento (conceitos opostos)
56AA1|insensibilidade
56AA11|impassibilidade; "Impassibilità" (Ripa)
56B|alegria e dor
56B1|prazer, deleite, alegria; "Allegrezza", "Allegrezza da le medaglie", "Allegrezza, letitia e giubilo", "Diletto", "Piacere", "Piacere honesto" (Ripa)
56B11|alegria, hilaridade
56B12|jovialidade
56B13|jocosidade
56B131|brincadeira, "Giuoco (dall'antico)" (Ripa)
56B2|felicidade
56B21|bem-aventurança eterna; "Felicità eterna" (Ripa)
56B22|felicidade breve; "Felicità breve" (Ripa)
56B3|satisfação, contentamento; "Contento" (Ripa)
56B4|divertimento
56B41|epicurismo
56B42|vulgaridade, rusticidade
56BB|alegria e dor (conceitos opostos)
56BB1|dor, sofrimento, tristeza; "Dolore", "Dolore di Zeusi" (Ripa)
56BB11|amargura; "Amaritudine" (Ripa)
56BB12|tormento; "Tribulatione" (Ripa)
56BB121|lamentação; " Querela a Dio" (Ripa)
56BB13|angústia, coração partido;  "Affanno", "Cordoglio" (Ripa)
56BB131|suspiros, "Sospiri" (Ripa)
56BB19|consolação
56BB2|infelicidade, "Infelicità" (Ripa)
56BB21|calamidade, aflição; "Calamità", "Calamità o miseria" (Ripa)
56BB22|miséria, "Miseria mondana" (Ripa)
56BB3|descontentamento
56BB31|tédio
56BB32|insaciabilidade
56BB33|lamento, queixa; "Pianto", "Querela" (Ripa)
56BB34|decepção
56BB35|frustração
56BB4|desgosto, aversão, repulsa, náusea
56BB41|saciedade
56C|sentido estético
56C1|sentido de beleza
56C2|admiração
56C3|inspiração; "Ispiratione" (Ripa)
56CC|sentido estético (conceitos opostos)
56CC1|insensibilidade à beleza
56CC2|depreciação
56D|esperança e medo
56D1|esperança; "Speranza", "Speranza delle fatiche" (Ripa)
56D2|confiança
56D21|refúgio "Refugio" (Ripa)
56D29|falsa confiança;  "Pax Falsa"; "Speranza fallace" (Ripa)
56D3|confiança, segurança, tranquiidade; "Confidenza", "Sicurezza e Tranquillità", "Sicurtà", "Sicurtà o Sicurezza", "Tranquillità" (Ripa)
56D31|autoconfiança
56D32|compromisso
56DD|esperança e medo (conceitos opostos)
56DD1|medo, temor;  "Paura", "Timidità o Timore", "Timore" (Ripa)
56DD11|desespero; "Disperatione" (Ripa)
56DD2|desconfiança, suspeita, "Sospitione" (Ripa)
56DD3|insegurança
56DD31|falta de auto-confiança; "Viltà" (Ripa)
56DD32|alarme, susto; "Spavento", "Terrore" (Ripa)
56DD33|confusão, desorientação, pânico; "Perturbatione" (Ripa)
56DD34|horror, aversão
56E|raiva e mansidão
56E1|irritação
56E11|indignação; "Sdegno" (Ripa)
56E2|raiva, ira
56E21|irascibilidade
56E3|fúria; "Furore", "Furore implacabile", "Furore & Rabbia", "Furore superbo & Indomito" (Ripa)
56EE|raiva e mansidão (conceitos opostos)
56EE1|paciência, resistência
56EE2|mansidão; "Mansuetudine" (Ripa)
56F|desejo e aversão
56F1|desejo, "Desiderio" (Ripa)
56F11|ambição; "Ambitione", "Amor di Fama" (Ripa)
56F12|Contento ~ Malcontento:  a procura da felicidade
56F13|(sentimento de) atracção
56F131|poder de atracção
56F2|(personificações e representações simbólicas do) amor; "Amore (secondo Seneca)" (Ripa)
56F21|amor ao próximo; "Amor del Prossimo" (Ripa)
56F211|amor fraternal
56F22|amor recíprocuo
56F23|amizade; "Amicitia "(Ripa)
56F231|fidelidade na amizade;  "Confermatione dell"Amicitia", "Fede nell'Amicitia" (Ripa)
56F232|infidelidade na amizade;  "Amicitia senza giovamento" (Ripa)
56F24|amor próprio; "Amor di se stesso" (Ripa)
56F241|narcisismo
56F25|(personificações e representações simbólicas das) qualidades do amor
56F251|qualidade do amor: primeira série
56F2511|"Riconciliatione d'amore" (Ripa)
56F2512|"Giuditio overo inditio d'amore" (Ripa)
56F2513|"Fermezza d'amore" (Ripa)
56F2514|"Instabilità overo incostanza d'amore" (Ripa)
56F2515|"Forza d'amore, Forza d'amore si nell'acqua come in terra" (Ripa)
56F2516|"Tentatione d'amore" (Ripa)
56F2517|"Fortuna giovevole ad amore" (Ripa)
56F2518|"Passione d'amore" (Ripa)
56F2519|"Allegrezza d'amore" (Ripa)
56F252|qualidades do amor (personificaçãões): segunda série
56F2521|"Contento amoroso" (Ripa)
56F2522|"Tormento d'amore" (Ripa)
56F2523|"Falsita d'amore overo inganno" (Ripa)
56FF|desejo e aversão (conceitos opostos)
56FF1|aversão
56FF13|(sentimento de) repulsa
56FF2|ódio;  "Odio capitale" (Ripa)
56FF21|indiferença ao amor; "Oblivione d'amore" (Ripa)
56FF22|amor não correspondido
56FF23|inimizade; "Inimicitia", "Inimicitia mortale" (Ripa)
57|moralidade
57A|bom e mau comportamento, qualidades morais
57A1|bom comportamento
57A2|sentido do dever, devoção ao dever
57A21|dever
57A22|obrigação; "Obligo" (Ripa)
57A23|chamada, vocação, missão
57A24|tarefa
57A25|responsabilidade
57A3|consciência; "Coscienza" (Ripa)
57A4|vergonha
57A41|lamentar
57A42|compunção, arrependimento, remorso; "Compuntione" (Ripa)
57A43|sentimento de culpa
57A5|decência, timidez, pudor, modéstia
57A6|virtuosidade; "Amor di Virtù", "Attione virtuosa", "Guida sicura de' veri honori", "Virtù", "Virtù insuperabile" (Ripa)
57A61|honestidade; "Honestà" (Ripa)
57A611|franqueza, lealdade; "Lealtà", "Realtà" (Ripa)
57A612|sinceridade; "Purità et Sincerità d'animo", "Sincerità" (Ripa)
57A613|integridade
57A6131|simplicidade, espontaneidade, clareza, naturalidade, franqueza, ingenuidade
57A614|fidelidade, lealdade, "Bona Fide"
57A6141|fiabilidade, credibilidade
57A6142|juramento
57A62|fidelidade; "Fedeltà" (Ripa)
57A63|incorrupto, pureza; "Purità" (Ripa)
57A631|inocência; "Innocenza", "Innocenza o purità" (Ripa)
57A632|inocência acusada injustamente
57A64|humildade; "Humiltà" (Ripa)
57A641|discrição, modéstia; "Discretione", "Modestia"(Ripa)
57A642|simplicidade; "Simplicità" (Ripa)
57A643|timidez, acanhamento
57A644|submissão; "Ossequio" (Ripa)
57A65|altruísmo
57A66|seriedade, gravidade
57A661|espiritualização
57A67|razoabilidade
57A68|nobreza; "Nobiltà" (Ripa)
57A681|imponência; "Gravità", "Gravità nell'huomo" (Ripa)
57A682|magnificência; "Magnificenza" (Ripa)
57A69|santidade; "Santità" (Ripa)
57A7|benevolência, beneficência; "Beneficio", "Benevolenza o Affettione" (Ripa)
57A71|magnanimidade; "Grandezza e robustezza d'animo", "Magnanimità" (Ripa)
57A72|tolerância, paciência, longanimidade; "Longanimità", "Toleranza" (Ripa)
57A73|indulgência, clemência; "Clemenza", "Clemenza & Moderatione", "Indulgenza" (Ripa)
57A74|clemência
57A741|perdão; "Perdono" (Ripa)
57A75|misericórdia, compaixão; "Compassione", "Misericordia" (Ripa)
57A76|favorabilidade, benevolência
57A77|simpatia, cordialidade, gentileza, delicadeza, afabilidade; "Affabilità, piacevolezza, amabilità", "Animo piacevole, trattabile & amorevole", "Benignità" (Ripa)
57A8|gratidão; "Gratitudine", "Memoria grata de beneficii ricevuti" (Ripa)
57A9|humanidade, cortesia; "Cortesia", "Humanità" (Ripa)
57AA|bom e mau comportamento, qualidades morais (conceitos opostos)
57AA1|mau comportamento
57AA2|incumprimento do dever, descurar o dever
57AA21|irresponsabilidade
57AA3|falta de escrúpulo
57AA4|descaramento
57AA41|obstinação, teimosia
