4|Société, Civilisation, Culture
41A625|treillis
41A626|constructions feintes
41A63|disposition du jardin
41A631|pelouse
41A632|parterre de fleurs
41A633|jardin de rocaille
41A634|labyrinthe, dédale ~ jardin
41A635|jardin clos; 'Hortus conclusus'
41A6351|jardin sur le toit
41A636|jardin à la française ou architectonique; jardin à agencement régulier
41A637|jardin anglais, jardin paysager
41A638|voie d'accès au jardin, allée de jardin
41A64|décorations de jardin
41A641|statues, sculptures dans le jardin
41A6411|nains, 'grylloi' (décorations de jardin)
41A642|obélisque (décorations de jardin)
41A643|pyramide (décorations de jardin)
41A644|hermès (décorations de jardin)
41A645|ruines (décorations de jardin)
41A646|vase de jardin
41A65|systèmes hydrauliques du jardin
41A651|fontaine de jardin
41A652|étang de jardin
41A653|cascade de jardin
41A66|grotte artificielle dans le jardin
41A67|plantes décoratives
41A671|nature morte de plantes, de fleurs et de fruits
41A6711|fleurs dans un vase
41A6712|arranger des fleurs
41A672|oeuvres topiaires (buissons et arbres taillés en formes ornementales); bonsaï, arbre en espalier, etc.
41A673|plantes vertes
41A68|culture du jardin (ornemental)
41A681|jardinage
41A6811|arrosage des plantes
41A682|outils, instruments de jardinage
41A682(...)|outils, instruments de jardinage (avec NOM)
41A7|mobilier et équipement ménager
41A71|meubles pour déposer des choses
41A711|table
41A7111|trépied
41A7112|table à tréteaux
41A712|rayons, casier, buffet, crédence
41A7121|étagère
41A7122|étagère à livres
41A71221|bibliothèque, avec des portes
41A713|dessus de table, etc.
41A72|sièges
41A721|chaise
41A7211|tabouret
41A72111|tabouret (pour les pieds)
41A7212|fauteuil, banquette
41A7213|fauteuil à bascule
41A722|canapé, divan, sofa
41A7221|coussin
41A723|banc
41A73|meubles de rangement
41A731|placard
41A732|placard décoratif
41A733|coffre
41A734|'cassone'
41A735|serrure ~ meubles
41A7351|clé, clef ~ meubles
41A7352|verrou ~ meubles
41A7353|cadenas ~ meubles
41A74|meubles à usage spécifique
41A741|écran, paravent
41A75|meubles décoratifs
41A751|écran contre les courants d'air
41A76|meubles pour s'étendre dessus ou dedans
41A761|lit
41A7611|lit-armoire, lit clos (Néerlandais : 'bedstee')
41A7612|lit à baldaquin
41A76121|lit à deux colonnes
41A76122|lit à quatre colonnes
41A762|hamac
41A763|literie
41A7631|matelas
41A7632|oreiller
41A7633|draps
41A7634|couverture
41A7635|couvre-lit
41A77|récipients
41A771|récipient en métal : seau, bidon, boîte métallique, tonnelet, boîte en fer blanc, etc.
41A7711|récipient en métal précieux, aiguière
41A77111|
41A772|récipient en pierre : vase de pierre
41A7721|récipient en pierre (semi-)précieuse
41A773|récipient en céramique : pot, jarre, vase, pichet, broc, cruche
41A774|récipient en verre : bouteille, bocal, vase, carafe, flacon
41A775|récipient en bois : tonneau, baril, fût
41A7751|récipient en matière végétale, autre que le bois : panier
41A776|récipient en cuir : sac en cuir
41A7761|récipient en quelque autre matière animale
41A777|récipient en matière textile : sac, filet
41A778|récipient en papier, carton : sachet, (boîte en) carton
41A779|récipient en matière synthétique
41A78|bibelots
41A8|usage de la maison
41A81|meubler (la maison)
41A82|déménager (maison)
41A9|ruines d'une habitation, maison, château, etc.
41AA1|architecture civique; édifices; résidences - AA - architecture civique : intérieur
41AA10|'Edifitio overo un sito' (Ripa) - AA - architecture civique : intérieur
41AA11|palais - AA - architecture civique : intérieur
41AA111|hôtel : petit palais urbain - AA - architecture civique : intérieur
41AA12|château - AA - architecture civique : intérieur
41AA121|maison urbaine fortifiée - AA - architecture civique : intérieur
41AA13|édifices, p.ex. : bâtiment public, grand magasin - AA - architecture civique : intérieur
41AA14|maison urbaine - AA - architecture civique : intérieur
41AA141|maison courante ou rangée de maisons - AA - architecture civique : intérieur
41AA142|habitation combinée avec un magasin - AA - architecture civique : intérieur
41AA143|maison urbaine séparée - AA - architecture civique : intérieur
41AA144|immeuble, bâtiment divisé en appartements - AA - architecture civique : intérieur
41AA15|gratte-ciel - AA - architecture civique : intérieur
41AA16|maison rurale, p.ex. manoir, villa, cottage - AA - architecture civique : intérieur
41AA161|grande maison de campagne, manoir, petit château - AA - architecture civique : intérieur
41AA162|villa - AA - architecture civique : intérieur
41AA163|petite maison de campagne, cottage, chaumière - AA - architecture civique : intérieur
41AA17|ferme (bâtiment) - AA - architecture civique : intérieur
41AA171|grange - AA - architecture civique : intérieur
41AA18|hutte, cabane, abri - AA - architecture civique : intérieur
41AA181|cabane en rondins - AA - architecture civique : intérieur
41AA182|hutte des Indiens d'Amérique - AA - architecture civique : intérieur
41AA1821|wigwam - AA - architecture civique : intérieur
41AA19|autres types d'habitations - AA - architecture civique : intérieur
41AA191|tente - AA - architecture civique : intérieur
41AA1911|camp de tentes - AA - architecture civique : intérieur
41AA1912|tipi - AA - architecture civique : intérieur
41AA192|caravane (camping-car) - AA - architecture civique : intérieur
41AA1921|camping pour caravanes, campement - AA - architecture civique : intérieur
41AA1922|remorque - AA - architecture civique : intérieur
41AA193|house-boat, péniche aménagée - AA - architecture civique : intérieur
41AA194|habitation lacustre, maison sur pilotis - AA - architecture civique : intérieur
41AA1941|autres habitations surélevées - AA - architecture civique : intérieur
41AA195|igloo, iglou - AA - architecture civique : intérieur
41AA196|caverne, habitation rupestre - AA - architecture civique : intérieur
41AA32|porte - AA - fausse porte
41AA321|ouvrir la porte - AA - fausse porte
41AA3211|porte ouverte - AA - fausse porte
41AA3212|porte à deux battants superposés, le battant supérieur ouvert - AA - fausse porte
41AA3213|porte à tambour, coulissante - AA - fausse porte
41AA322|fermer la porte - AA - fausse porte
41AA3221|porte fermée - AA - fausse porte
41AA323|porte monumentale, portail, 'aediculum' - AA - fausse porte
41AA324|ferronneries de la porte - AA - fausse porte
41AA3241|heurtoir, sonnette (porte) - AA - fausse porte
41AA3242|poignée, bouton de la porte - AA - fausse porte
41AA325|seuil - AA - fausse porte
41AA3251|montant de porte, jambage - AA - fausse porte
41AA3252|accessoires de la porte, p.ex. décrottoir, brosse, paillasson - AA - fausse porte
41AA326|boîte aux lettres ~ porte - AA - fausse porte
41AA327|portier, gardien, concierge - AA - fausse porte
41AA328|serrure ~ porte - AA - fausse porte
41AA3281|clé, clef - AA - fausse porte
41AA32811|passe-partout, passe (clef) - AA - fausse porte
41AA3282|loquet - AA - fausse porte
41AA3283|verrou - AA - fausse porte
41AA3284|cadenas - AA - fausse porte
41AA33|fenêtre - AA - fausse fenêtre
41AA331|ouvrir la fenêtre - AA - fausse fenêtre
41AA3311|fenêtre ouverte - AA - fausse fenêtre
41AA332|fermer la fenêtre - AA - fausse fenêtre
41AA3321|fenêtre fermée - AA - fausse fenêtre
41AA333|volets de fenêtre - AA - fausse fenêtre
41AA3331|volets de fenêtre à l'extérieur - AA - fausse fenêtre
41AA3332|volets de fenêtre à l'intérieur - AA - fausse fenêtre
41AA335|banquette (sous la fenêtre) - AA - fausse fenêtre
41AA336|figure humaine à la fenêtre (ouverte) - AA - fausse fenêtre
41AA3361|figure humaine à la fenêtre (ouverte), vue de l'extérieur - AA - fausse fenêtre
41AA3362|figure humaine à la fenêtre (ouverte), vue de l'intérieur - AA - fausse fenêtre
41AA337|vue, ce que l'on peut voir de la fenêtre - AA - fausse fenêtre
41AA3371|vue de l'intérieur perçue depuis l'extérieur de la fenêtre - AA - fausse fenêtre
41AA3372|vue de l'extérieur perçue depuis l'intérieur de la fenêtre - AA - fausse fenêtre
41B|chauffage, éclairage, ventilation
41B1|feu ouvert (en général)
41B11|allumer le feu
41B111|briquet
41B112|briquet à amadou
41B113|allumette de soufre
41B114|allumette
41B1141|boîte d'allumettes
41B115|plomb, fusible
41B12|mode de combustion
41B12(...)|mode de combustion (avec NOM du combustible)
41B12(COAL)|mode de combustion (avec NOM du combustible) : charbon
41B12(FAGGOT)|mode de combustion (avec NOM du combustible) : fagot
41B12(LOG)|mode de combustion (avec NOM du combustible) : bûche
41B12(OIL)|mode de combustion (avec NOM du combustible) : mazout
41B12(STRAW)|mode de combustion (avec NOM du combustible) : paille
41B121|flamme
41B122|étincelle ~ feu
41B123|gaz dégagé par la combustion
41B13|attiser le feu
41B131|souffler sur le feu
41B1311|soufflet
41B132|ventiler (pour activer le feu)
41B1321|ventilateur
41B133|tisonner (pour activer le feu)
41B1331|tisonnier (~ feu ouvert)
41B14|éteindre le feu
41B15|dépôts de la combustion
41B151|suie
41B152|cendre
41B153|scories, crasses
41B16|feu de camp; feu de bivouac
41B161|feu de joie
41B162|fumée
41B2|foyer et poêle
41B21|cheminée, âtre, foyer
41B211|se chauffer au foyer (cheminée, poêle, brasero)
41B212|instruments ~ cheminée
41B2121|pincettes (pour attiser le feu)
41B2122|extincteur de charbon
41B213|accessoires ~ cheminée
41B2131|écran de cheminée
41B2132|garde-feu
41B2133|devant de foyer
41B2134|figurines en papier mâché ~ cheminée
41B2135|marmite suspendue à une crémaillère
41B2136|chenets
41B214|cheminée
41B2141|tablette de cheminée
41B2142|ornements de cheminée
41B22|poêle
41B221|grille (de poêle)
41B222|tuyau de poêle
41B223|seau à charbon
41B224|pelle à charbon
41B23|chaufferette pour les pieds
41B231|bassinoire (pour le lit)
41B232|bouillotte
41B24|chauffage central
41B241|radiateur (chauffage central)
41B29|circuit de refroidissement, climatiseur
41B3|éclairage; lampes, luminaires
41B31|bougie, chandelle
41B311|chandelier, candélabre, torchère
41B312|applique (éclairage)
41B313|bougeoir
41B314|éteignoir
41B32|torche
41B33|lanterne
41B34|lampe à huile
41B35|lampe à paraffine
41B36|lampe à gaz
41B37|lampe électrique
41B371|ampoule électrique
41B372|lampe néon, tube au néon
41B4|en feu, en flamme
41B5|lutte anti-incendie
41B51|brigade de (sapeurs-)pompiers
41B511|(sapeurs-)pompiers
41B52|équipement des (sapeurs-)pompiers
41B521|seaux (équipement de (sapeurs-)pompiers)
41B522|pompe à incendie (équipement de (sapeurs-)pompiers)
41B523|tuyau d'incendie
41B524|extincteur chimique
41B525|voiture de pompiers
41B53|secours aux victimes d'incendie
41B531|secours aux victimes d'incendie avec une toile de sauvetage
41B6|systèmes de ventilation
41B61|puits d'aérage, puits de ventilation
41BB32|torche - BB - flambeau retourné, torche tenue à l'envers
41C|nutrition, alimentation, aliments
41C1|manger et boire
41C10|gastronomie, l'art culinaire, art de bien manger et boire
41C11|manger
41C111|donner à manger
41C119|faim
41C1190|personnification de la faim, la Faim, 'Fames'; 'Fame' (Ripa)
41C1191|inanition, famine
41C1192|grève de la faim
41C12|boire
41C121|donner à boire
41C122|verser
41C129|soif
41C13|souffler avant de manger, pour refroidir les aliments
41C14|remuer avant de manger, pour refroidir les aliments
41C18|saturation, assouvissement ~ manger et boire
41C19|faim ou soif insatiable
41C2|cuisine et cave, cellier
41C21|cuisine
41C211|intérieur de cuisine
41C2111|intérieur de cuisine avec denrées alimentaires à l'avant-plan (Néerlandais : 'keukenstuk')
41C212|évier (cuisine)
41C22|personnel de cuisine
41C221|cuisinier
41C222|fille de cuisine, servant(e) de cuisine
41C23|cuisine riche et cuisine pauvre
41C231|cuisine riche
41C232|cuisine pauvre
41C24|préservation des aliments
41C241|cellier, cave
41C2411|cave à vin
41C24111|sommelier
41C242|glacière (cavité souterraine)
41C2421|glacière, armoire à glace, réfrigérateur
41C25|cuisiner, préparer des aliments
41C251|rôtir, griller
41C2511|broche ~ cuisiner
41C2512|gril ~ cuisiner
41C252|frire ~ cuisiner
41C253|bouillir ~ cuisiner
41C254|préparation des aliments par le feu
41C2541|feu ouvert, cheminée, cuisinière à charbon, à bois etc. (cuisine)
41C2542|cuisinière électrique, fourneau
41C2543|four ~ cuisine
41C26|préparation des aliments
41C261|nettoyage (aliments)
41C2611|nettoyage des légumes
41C2612|nettoyage des fruits, p.ex. éplucher
41C26121|fruit (à demi) épluché, p.ex. un citron
41C2613|nettoyer, vider une volaille ou un petit animal
41C26131|volaille plumée
41C262|découpage (aliments)
41C2621|couper la viande
41C2622|couper le pain
41C263|mélanger, incorporer (préparation d'aliments)
41C2631|travailler, pétrir la pâte
41C264|rendre homogène, battre (préparation d'aliments)
41C265|décorer, décoration, présentation (préparation d'aliments)
41C269|faire la vaisselle
41C27|ustensiles de cuisine
41C27(...)|ustensiles de cuisine (avec NOM)
41C27(CAULDRON)|ustensiles de cuisine: chaudron
41C27(COLANDER)|ustensiles de cuisine: passoire
41C27(FRYING PAN)|ustensiles de cuisine: poêle
41C27(FUNNEL)|ustensiles de cuisine : entonnoir
41C27(GRATER)|ustensiles de cuisine: râpe
41C27(LADLE)|ustensiles de cuisine: louche
41C27(PAN)|ustensiles de cuisine: casserole
41C27(POT)|ustensiles de cuisine: marmite
41C27(ROLLING-PIN)|ustensiles de cuisine: rouleau à pâtisserie
41C27(SIEVE)|ustensiles de cuisine : tamis (passoire)
41C27(SKIMMER)|ustensiles de cuisine: écumoire
41C3|table mise : vaisselle, décoration de table, etc.
41C31|vaisselle
41C311|couteau de table
41C312|fourchette
41C313|cuiller
41C314|salière, moulin à sel
41C315|boîte à épices
41C316|coquetier
41C317|seau à rafraîchir le vin
41C32|verres, récipients à boire
41C321|coupe
41C3211|corne à boire
41C3212|coupe faite d'une conque marine (nautile)
41C322|timbale, gobelet
41C3221|timbale à pied
41C323|verre
41C323(...)|verre (avec NOM)
41C323(BERKEMEYER)|verre: berkemeyer
41C323(PASGLAS)|verre: pasglas
41C324|chope
41C325|fontaine de table
41C326|bocal, pichet (utilisé comme verre à boire)
41C327|récipient à boire de forme inhabituelle
41C3271|récipient à boire en forme d'animal
41C3272|récipient à boire de forme anthropomorphique
41C32721|crâne humain utilisé comme récipient à boire
41C3273|récipient à boire en forme d'objet
41C33|service à thé et à café
41C331|tasse et soucoupe
41C332|cafetière
41C333|théière; samovar
41C334|sucrier
41C34|service de table
41C341|assiette, soucoupe
41C342|plat (de service)
41C343|plateau (de service)
41C344|saucière
41C345|bol
41C35|décoration de table
41C351|surtout, milieu de table
41C352|'trionfi di tavola', pièces montées
41C353|aquamanile, récipient d'eau pour se laver les mains avant le repas
41C36|service (à dîner) exposé sur le buffet
41C37|nappe
41C371|serviette
41C3711|anneau de serviette
41C38|table mise comme sujet de nature morte
41C381|petit déjeuner ~ nature morte (Néerlandais : 'ontbijtje')
41C382|banquet ~ nature morte
41C4|repas (familial)
41C41|petit déjeuner
41C411|le café du matin
41C42|déjeuner (repas du midi)
41C421|repas léger en début de soirée, 'high tea'
41C4211|cérémonie du thé
41C422|thé, goûter
41C43|dîner, repas du soir
41C44|souper (repas après le spectacle)
41C5|repas festif, festin, banquet
41C50|'Convito' (Ripa)
41C51|banquet ~ compagnie élégante
41C52|beuverie, ribote, orgie
41C520|'Crapula' (Ripa)
41C6|aliments; nature morte avec des aliments
41C61|farine
41C611|sortes de farine ou de céréales
41C612|denrées ~ farine et céréales
41C6121|céréales
41C6122|nouilles, spaghetti, etc.
41C62|pain, gâteau, pâtisserie, etc.
41C621|pain, miche de pain
41C6211|pain travaillé, modelé
41C62111|pain ou pâtisserie de forme plate et ronde, p.ex. pizza
41C6212|pains fourrés, petits pains, p.ex. sandwich, hamburger
41C622|gâteau, tarte, pâtisserie
41C6221|pâtisseries
41C6222|petits gâteaux secs, biscuits
41C623|crêpes
41C624|gaufres
41C6241|gaufrettes
41C625|tarte, tourte
41C626|moules de boulanger
41C6261|moules à gâteaux, à tarte, à pâtisserie
41C6262|moules à petits gâteaux secs, à biscuits
41C62621|moules à spéculoos, Néerlandais : 'speculaasplanken'
41C6263|gaufrier
41C6264|moule à pain
41C63|sucre
41C631|pain de sucre
41C632|sucre en morceaux
41C633|sirop
41C634|sucre candi
41C635|bonbons, friandises
41C6351|crème glacée
41C6352|chocolat (solide)
41C636|miel
41C637|enrobé de sucre
41C6371|glaçage, glace
41C64|produits laitiers et oeufs
41C641|produits laitiers
41C6411|beurre
41C6412|fromage
41C6413|lait
41C64131|babeurre
41C64132|yaourt
41C64133|crème
41C642|oeufs, plats d'oeufs
41C65|légumes et fruits; nature morte de légumes et de fruits
41C651|pommes de terre
41C6511|pommes de terre traitées, p.ex. pommes chips, pommes frites
41C652|légumes
41C652(...)|légumes (avec NOM)
41C6521|légumes traités
41C6521(...)|légumes traités (avec NOM)
41C653|fruits
41C653(...)|fruits (avec NOM)
41C6531|fruits traités, p.ex. confiture, marmelade, etc.
41C66|assaisonnement, épices
41C66(...)|assaisonnement, épices (avec NOM)
41C66(SAFFRON)|assaisonnement, épices : safran
41C661|sel
41C662|poivre
41C663|moutarde
41C67|huile, vinaigre, sauces
41C671|graisses et huiles végétales
41C6711|margarine
41C672|vinaigre
41C673|sauces
41C68|poisson; nature morte de poissons
41C68(...)|poisson (avec NOM)
41C68(SMOKED HERRING)|poisson : hareng fumé
41C681|fruits de mer
41C681(...)|fruits de mer (avec NOM)
41C69|viande, nature morte de viande
41C691|boeuf ou porc abattu (pour la consommation)
41C692|sortes de viandes
41C692(...)|sortes de viandes (avec NOM)
41C693|saucisses
41C694|jambon
41C695|graisse, lard
41C696|bouillon, soupe, potage
41C7|boissons, stimulants, drogues
41C71|boissons alcoolisées
41C711|vin ~ boissons alcoolisées
41C7111|verre de vin
41C7112|bouteille de vin
41C7113|sortes de vin
41C7113(...)|sortes de vin (avec NOM)
41C712|liqueur
41C713|alcool, spiritueux
41C7131|genièvre, gin
41C7132|whisky
41C7133|vodka
41C7134|eau-de-vie
41C714|bière, ale
41C7141|verre de bière, chope
41C715|autres boissons alcoolisées
41C715(...)|autres boissons alcoolisées (avec NOM)
41C7151|cocktail
41C72|boissons stimulantes
41C721|café
41C7211|tasse de café
41C722|thé (feuilles)
41C7221|tasse de thé
41C723|chocolat, cacao
41C73|autres boissons non alcoolisées
41C731|sirop de fruits
41C732|jus de fruit
41C74|tabac
41C741|pipe ~ tabac
41C7411|narguilé, houka
41C7412|rouleau de tabac
41C7413|pot à tabac
41C7414|support, râtelier à pipes
41C7415|cendrier
41C742|cigare
41C7421|boîte de cigares
41C7422|étui à cigares, porte-cigares
41C7423|fume-cigare
41C743|cigarette
41C7431|étui à cigarettes, porte-cigarettes
41C7432|papier de cigarettes
41C7433|fume-cigarette
41C744|prise (tabac)
41C7441|boîte à priser
41C745|tabac à chiquer
41C7451|autres matières stimulantes à mâcher
41C74511|bétel
41C74512|chewing-gum
41C75|drogues
41C75(...)|drogues (avec NOM)
41C75(HASHISH)|drogues : haschisch (hachisch, haschich)
41C751|opium
41C7511|pipe à opium
41C7512|fumerie d'opium
41C76|senteurs, parfums ~ stimulants, drogues
41C761|boîte à parfum
41C762|encensoir ~ senteurs, parfums
41C9|cannibalisme
41C91|nécrophagie
41CC221|cuisinier - CC - cuisinière
41CC25|cuisiner, préparer des aliments - CC - en plein air
41CC251|rôtir, griller - CC - en plein air
41CC2511|broche ~ cuisiner - CC - en plein air
41CC2512|gril ~ cuisiner - CC - en plein air
41CC252|frire ~ cuisiner - CC - en plein air
41CC253|bouillir ~ cuisiner - CC - en plein air
41CC254|préparation des aliments par le feu - CC - en plein air
41CC2541|feu ouvert, cheminée, cuisinière à charbon, à bois etc. (cuisine) - CC - en plein air
41CC2542|cuisinière électrique, fourneau - CC - en plein air
41CC2543|four ~ cuisine - CC - en plein air
41CC26|préparation des aliments - CC - en plein air
41CC261|nettoyage (aliments) - CC - en plein air
41CC2611|nettoyage des légumes - CC - en plein air
41CC2612|nettoyage des fruits, p.ex. éplucher - CC - en plein air
41CC26121|fruit (à demi) épluché, p.ex. un citron - CC - en plein air
41CC2613|nettoyer, vider une volaille ou un petit animal - CC - en plein air
41CC26131|volaille plumée - CC - en plein air
41CC262|découpage (aliments) - CC - en plein air
41CC2621|couper la viande - CC - en plein air
41CC2622|couper le pain - CC - en plein air
41CC263|mélanger, incorporer (préparation d'aliments) - CC - en plein air
41CC2631|travailler, pétrir la pâte - CC - en plein air
41CC264|rendre homogène, battre (préparation d'aliments) - CC - en plein air
41CC265|décorer, décoration, présentation (préparation d'aliments) - CC - en plein air
41CC269|faire la vaisselle - CC - en plein air
41CC4|repas (familial) - CC - à l'extérieur
41CC41|petit déjeuner - CC - à l'extérieur
41CC411|le café du matin - CC - à l'extérieur
41CC42|déjeuner (repas du midi) - CC - à l'extérieur
41CC421|repas léger en début de soirée, 'high tea' - CC - à l'extérieur
41CC4211|cérémonie du thé - CC - à l'extérieur
41CC422|thé, goûter - CC - à l'extérieur
41CC43|dîner, repas du soir - CC - à l'extérieur
41CC44|souper (repas après le spectacle) - CC - à l'extérieur
41CC5|repas festif, festin, banquet - CC - à l'extérieur
41CC50|'Convito' (Ripa) - CC - à l'extérieur
41CC51|banquet ~ compagnie élégante - CC - à l'extérieur
41CC52|beuverie, ribote, orgie - CC - à l'extérieur
41CC520|'Crapula' (Ripa) - CC - à l'extérieur
41D|mode, habillement
41D1|mode
41D11|gravures de mode
41D12|présentation d'une collection (de couture)
41D121|mannequin
41D122|mannequins des étalages
41D13|recherche excessive d'élégance dans la mise; goût de la toilette; fervent de la mode
41D131|dandy, un beau
41D1310|'Delitioso' (Ripa)
41D1311|'incroyable' ~ dandy
41D132|femme à la mode, 'belle'
41D1321|'merveilleuse'
41D14|couturier, dessinateur de mode
41D2|vêtements, costume
41D21|vêtements couvrant tout le corps
41D21(...)|vêtements couvrant tout le corps (avec NOM)
41D211|robe
41D211(...)|robe (avec NOM)
41D211(BALL GOWN)|robe: robe de bal
41D211(CHEMISE À LA REINE)|robe: chemise à la Reine
41D211(COURT GOWN)|robe: robe de cour
41D211(DAY DRESS)|robe: day dress (robe d’après midi)
41D211(DINNER DRESS)|robe: robe de dîner
41D211(EVENING DRESS)|robe: robe de soir
41D211(MANTEAU)|robe: manteau
41D211(MORNING DRESS)|robe: robe du matin
41D211(REDINGOTE)|robe: redingote
41D211(ROBE VOLANTE)|robe: robe volante
41D211(ROBE À L'ANGLAISE)|robe: robe à l'anglaise
41D211(ROBE À LA CIRCASSIENNE)|robe: robe à la circassienne
41D211(ROBE À LA FRANÇAISE)|robe: robe à la française
41D211(ROBE À LA LÉVITE)|robe: robe à la lévite
41D211(ROBE À LA POLONAISE)|robe: robe à la polonaise
41D211(WALKING DRESS)|robe: robe de promenade
41D212|manteau, cape
41D2121|manteau
41D2121(...)|manteau (avec NOM)
41D2121(BOLERO)|manteau : boléro
41D2121(CARACO)|manteau: caraco
41D2121(OVERCOAT)|manteau : surtout
41D21211|robe de chambre
41D21211(...)|robe de chambre (avec NOM)
41D21211(BANYAN)|robe de chambre: banyan
41D2122|cape
41D2122(...)|cape (avec NOM)
41D2122(MANTELET)|cape : mantelet
41D213|ensemble composé de plusieurs vêtements
