0|Art abstrait, non-figuratif
11D316|ex-voto de l'Hémorroïse
11D317|portrait du Christ (en entier) sur le linceul, 'Sindone'
11D318|autres 'portraits' du Christ, p.ex. portrait de profil
11D32|types particuliers du Christ adulte (non accompagné d'autres personnes)
11D321|'Majestas Domini' : le Christ dans une mandorle assis sur un arc en ciel ou une sphère et accompagné du Tétramorphe
11D322|Christ sur un trône
11D3221|'Pantocrator', (buste du) Christ bénissant (ou faisant un geste d'orateur) et tenant un livre en main
11D3222|le 'Christ Roi'
11D3223|le Christ en juge (céleste)
11D323|le Christ 'Logos', le Verbe Incarné
11D324|'Salvator Mundi', le Christ bénissant avec un globe dans la main ou à ses pieds
11D325|le Christ ~ l'Eucharistie
11D3251|le Christ avec un calice et un pain (ou une hostie)
11D3252|Christ dans le pressoir à vin, 'Christus in der Kelter' (Is. 63:3)
11D3253|Christ au moulin mystique
11D326|'Fons Vitae', Fons Pietatis'
11D3261|le Christ debout sur (ou près d') une fontaine répandant son sang
11D3262|le Christ sur la croix (dans une fontaine) répandant son sang
11D327|Christ ~ occupations humaines
11D3271|le Christ en Bon Pasteur
11D3272|le Christ en médecin
11D32721|le Christ en apothicaire
11D3273|le Christ pêchant
11D3274|le Christ en colporteur
11D3275|le Christ en fermier ou jardinier
11D3276|le Christ comme hôte
11D3277|le Christ en (grand) prêtre ou prophète
11D3278|le Christ en pèlerin
11D3279|'Feiertagschristus', le Christ avec des outils d'artisan
11D328|types du Christ adulte (seul)
11D3281|Christ en femme
11D3282|le Christ dans l'attitude d'un orant
11D3283|le Christ en ange
11D3284|Christ ~ Orphée
11D3285|Christ ~ Apollon (Hélios)
11D33|le Christ adulte en compagnie d'autres personnes (représentations non narratives)
11D331|le Christ adulte avec Marie
11D3311|le Christ et Marie en époux et épouse
11D332|le Christ adulte avec des anges
11D333|Christ adulte ~ diable(s) et créatures démoniaques
11D3331|le Christ triomphant du (des) diable(s)
11D334|le Christ adulte avec des apôtres, évangélistes, saints, etc.
11D3341|le Christ avec Jean l'Évangéliste s'appuyant contre sa poitrine, 'Johannesminne' (Jean le Bien-aimé), 'Christus-Johannes-Gruppe'
11D3342|'Traditio legis' (don de la loi), 'Dominus legem dat', le Christ donnant un rouleau (la Loi) à Paul; en présence de Pierre
11D33421|le Christ donnant un rouleau (la Loi) à Paul; en présence d'un (ou de plusieurs) apôtre(s)
11D3343|le Christ avec des pécheurs repentis (Adam, David, le fils prodigue, Marie Madeleine, le bon larron, Pierre, etc.)
11D335|le Christ adulte en compagnie d'êtres humains
11D3351|le Christ (adulte) apparaissant à des êtres humains
11D336|le Christ triomphant, p.ex. dans un char triomphal
11D337|le Christ à cheval
11D3371|le Christ à cheval menant une armée de chevaliers, 'Militia Christi'
11D34|le Christ adulte ~ concepts abstraits
11D35|types particuliers du Christ crucifié (dans un contexte non narratif)
11D351|le Christ souffrant (avec couronne d'épines et la tête généralement tournée de côté)
11D352|le Christ couvert de bubons, 'Pestkruzifixus'
11D353|le Christ triomphant (avec la tête couronnée et généralement tenue droite)
11D354|le Christ en croix qui se penche en avant pour embrasser quelqu'un
11D355|le Christ crucifié sur un arbre ou une vigne
11D356|le Christ crucifié sur une croix 'vivante'
11D357|les Vertus ~ le Christ crucifié
11D36|autres types de Christ en croix dans un contexte non narratif
11D4|légendes et dévotions ~ Christ
11D41|légendes ~ Christ
11D411|légende de la Sainte Croix
11D4111|Seth plante un rameau de l'arbre de la connaissance du bien et du mal sur la tombe d'Adam ~ légende de la Sainte Croix
11D41111|Seth en quête du paradis; un ange lui donne un rameau ou une fiole d'huile ~ légende de la Sainte Croix
11D4112|le bois de la croix est utilisé dans la construction du temple de Salomon ~ légende de la Sainte Croix
11D4113|le bois, qui sert de pont, est adoré par la reine de Saba ~ légende de la Sainte Croix
11D4114|la pièce de bois est retirée de la piscine de Béthesda pour en fabriquer la croix de Jésus-Christ ~ légende de la Sainte Croix
11D4115|Hélène voit en vision des anges portant la Sainte Croix ~ légende de la Sainte Croix
11D4116|l'invention de la Sainte Croix
11D41161|Judas, un juif, est jeté dans un puits sur ordre d' Hélène, mère de Constantin ~ légende de la Sainte Croix
11D41162|les trois croix sont déterrées près d'un temple de Vénus ~ légende de la Sainte Croix
11D41163|Hélène identifie la Sainte Croix : le corps d'un défunt revient à la vie quand il touche la vraie croix ~ légende de la Sainte Croix
11D41164|Hélène et Constantin agenouillés devant (ou se tenant debout près de) la Sainte Croix
11D4117|l'élévation de la Sainte Croix, Exaltation de la Sainte Croix
11D41171|l'empereur Héraclius vainc Chosroës II de Perse et récupère une partie de la Sainte Croix ~ légende de la Sainte Croix
11D41172|l'entrée à Jérusalem d' Héraclius : à la requête d'un ange l'empereur se dépouille de ses vêtements royaux et porte la Sainte Croix à l'intérieur de la ville ~ légende de la Sainte Croix
11D411721|l'entrée à Jérusalem d' Héraclius monté sur un âne ou un cheval ~ légende de la Sainte Croix
11D41173|la Sainte Croix est érigée sur le Golgotha (ou sur un autel) ~ légende de la Sainte Croix
11D41174|Chosroës II, ayant refusé le baptême, est exécuté ~ légende de la Sainte Croix
11D412|légende de la Sainte Lance
11D413|légende du Saint-Graal
11D414|la prophétie de Basilide le Carmélite : l'empereur Titus en route vers Jérusalem consulte Basilide, qui lui montre une apparition de Dieu le Père avec le Christ mort
11D42|dévotion ~ Christ
11D421|les Sept Écoulements de Sang du Christ
11D4211|scènes individuelles des Sept Écoulements de Sang du Christ
11D422|le Sacré-Coeur
11D423|le Précieux sang, le sang du Christ
11D424|Larme du Christ
11D425|Longueur du Christ
11D43|reliques ~ Christ
11D431|fragments de la croix ~ reliques du Christ
11D432|les clous de la croix ~ reliques du Christ
11D433|la Lance Sacrée ~ reliques du Christ
11D434|la robe du Christ ~ reliques du Christ
11D435|'Scala Santa', les degrés du palais de Pilate ~ reliques du Christ
11D5|concepts mystiques ~ Christ
11D51|le Christ et l'Ame
11D511|l'Ame comme épouse du Christ
11D52|le Christ et le coeur humain
11D53|le sang du Christ sauvant l'humanité
11D6|statues miraculeuses du Christ ou de l'enfant Jésus
11D6(...)|statues miraculeuses du Christ ou de l'enfant Jésus (avec NOM)
11D9|l'Antéchrist
11D91|scène de la vie de l'Antéchrist
11DD3|le Christ adulte - DD - Christ imberbe
11DD31|'portraits' du Christ - DD - Christ imberbe
11DD311|le 'Mandylion', portrait du Christ, qu'il fît lui même en imprimant son visage sur un linge, éventuellement pour le roi Abgar d'Édesse - DD - Christ imberbe
11DD3111|le Christ donne le Mandylion au messager du roi Abgar - DD - Christ imberbe
11DD3112|le Mandylion est apporté à Édesse - DD - Christ imberbe
11DD312|'Vera Icon', 'Sudarium', la 'Vraie Image', la 'Véronique' - DD - le Christ triomphant
11DD3121|la 'Vraie Image' tenue par Véronique - DD - le Christ triomphant
11DD3122|la 'Vraie Image' tenue par des anges - DD - le Christ triomphant
11DD3123|la 'Vraie Image' tenue par Pierre et Paul - DD - le Christ triomphant
11DD313|'portrait' du Christ d'après la lettre de Lentulus - DD - Christ imberbe
11DD314|la Sainte Face, p.ex. le Saint-Voult de Lucques (que Nicodème aurait sculpté) - DD - Christ imberbe
11DD315|portrait du Christ attribué à saint Luc - DD - Christ imberbe
11DD316|ex-voto de l'Hémorroïse - DD - Christ imberbe
11DD317|portrait du Christ (en entier) sur le linceul, 'Sindone' - DD - Christ imberbe
11DD318|autres 'portraits' du Christ, p.ex. portrait de profil - DD - Christ imberbe
11DD32|types particuliers du Christ adulte (non accompagné d'autres personnes) - DD - Christ imberbe
11DD321|'Majestas Domini' : le Christ dans une mandorle assis sur un arc en ciel ou une sphère et accompagné du Tétramorphe - DD - Christ imberbe
11DD322|Christ sur un trône - DD - Christ imberbe
11DD3221|'Pantocrator', (buste du) Christ bénissant (ou faisant un geste d'orateur) et tenant un livre en main - DD - Christ imberbe
11DD3222|le 'Christ Roi' - DD - Christ imberbe
11DD3223|le Christ en juge (céleste) - DD - Christ imberbe
11DD323|le Christ 'Logos', le Verbe Incarné - DD - Christ imberbe
11DD324|'Salvator Mundi', le Christ bénissant avec un globe dans la main ou à ses pieds - DD - Christ imberbe
11DD325|le Christ ~ l'Eucharistie - DD - Christ imberbe
11DD3251|le Christ avec un calice et un pain (ou une hostie) - DD - Christ imberbe
11DD3252|Christ dans le pressoir à vin, 'Christus in der Kelter' (Is. 63:3) - DD - Christ imberbe
11DD3253|Christ au moulin mystique - DD - Christ imberbe
11DD326|'Fons Vitae', Fons Pietatis' - DD - Christ imberbe
11DD3261|le Christ debout sur (ou près d') une fontaine répandant son sang - DD - Christ imberbe
11DD3262|le Christ sur la croix (dans une fontaine) répandant son sang - DD - Christ imberbe
11DD327|Christ ~ occupations humaines - DD - Christ imberbe
11DD3271|le Christ en Bon Pasteur - DD - Christ imberbe
11DD3272|le Christ en médecin - DD - Christ imberbe
11DD32721|le Christ en apothicaire - DD - Christ imberbe
11DD3273|le Christ pêchant - DD - Christ imberbe
11DD3274|le Christ en colporteur - DD - Christ imberbe
11DD3275|le Christ en fermier ou jardinier - DD - Christ imberbe
11DD3276|le Christ comme hôte - DD - Christ imberbe
11DD3277|le Christ en (grand) prêtre ou prophète - DD - Christ imberbe
11DD3278|le Christ en pèlerin - DD - Christ imberbe
11DD3279|'Feiertagschristus', le Christ avec des outils d'artisan - DD - Christ imberbe
11DD328|types du Christ adulte (seul) - DD - Christ imberbe
11DD3281|Christ en femme - DD - Christ imberbe
11DD3282|le Christ dans l'attitude d'un orant - DD - Christ imberbe
11DD3283|le Christ en ange - DD - Christ imberbe
11DD3284|Christ ~ Orphée - DD - Christ imberbe
11DD3285|Christ ~ Apollon (Hélios) - DD - Christ imberbe
11DD33|le Christ adulte en compagnie d'autres personnes (représentations non narratives) - DD - Christ imberbe
11DD331|le Christ adulte avec Marie - DD - Christ imberbe
11DD3311|le Christ et Marie en époux et épouse - DD - Christ imberbe
11DD332|le Christ adulte avec des anges - DD - Christ imberbe
11DD333|Christ adulte ~ diable(s) et créatures démoniaques - DD - Christ imberbe
11DD3331|le Christ triomphant du (des) diable(s) - DD - Christ imberbe
11DD334|le Christ adulte avec des apôtres, évangélistes, saints, etc. - DD - Christ imberbe
11DD3341|le Christ avec Jean l'Évangéliste s'appuyant contre sa poitrine, 'Johannesminne' (Jean le Bien-aimé), 'Christus-Johannes-Gruppe' - DD - Christ imberbe
11DD3342|'Traditio legis' (don de la loi), 'Dominus legem dat', le Christ donnant un rouleau (la Loi) à Paul; en présence de Pierre - DD - Christ imberbe
11DD33421|le Christ donnant un rouleau (la Loi) à Paul; en présence d'un (ou de plusieurs) apôtre(s) - DD - Christ imberbe
11DD3343|le Christ avec des pécheurs repentis (Adam, David, le fils prodigue, Marie Madeleine, le bon larron, Pierre, etc.) - DD - Christ imberbe
11DD335|le Christ adulte en compagnie d'êtres humains - DD - le Christ méprisant, menaçant, etc.
11DD3351|le Christ (adulte) apparaissant à des êtres humains - DD - le Christ méprisant, menaçant, etc.
11DD336|le Christ triomphant, p.ex. dans un char triomphal - DD - Christ imberbe
11DD337|le Christ à cheval - DD - Christ imberbe
11DD3371|le Christ à cheval menant une armée de chevaliers, 'Militia Christi' - DD - Christ imberbe
11DD34|le Christ adulte ~ concepts abstraits - DD - Christ imberbe
11DD35|types particuliers du Christ crucifié (dans un contexte non narratif) - DD - Christ imberbe
11DD351|le Christ souffrant (avec couronne d'épines et la tête généralement tournée de côté) - DD - Christ imberbe
11DD352|le Christ couvert de bubons, 'Pestkruzifixus' - DD - Christ imberbe
11DD353|le Christ triomphant (avec la tête couronnée et généralement tenue droite) - DD - Christ imberbe
11DD354|le Christ en croix qui se penche en avant pour embrasser quelqu'un - DD - Christ imberbe
11DD355|le Christ crucifié sur un arbre ou une vigne - DD - Christ imberbe
11DD356|le Christ crucifié sur une croix 'vivante' - DD - Christ imberbe
11DD357|les Vertus ~ le Christ crucifié - DD - Christ imberbe
11DD36|autres types de Christ en croix dans un contexte non narratif - DD - Christ imberbe
11DD422|le Sacré-Coeur - DD - l'enfant Jésus et le Sacré-Coeur
11E|le Saint-Esprit
11E1|le Saint-Esprit représenté par une colombe (dans des flammes)
11E2|le Saint-Esprit représenté par des flammes
11E3|le Saint-Esprit sous une forme humaine
11E4|le Saint-Esprit sous une autre forme, p.ex. rayon(s) de lumière
11E5|les sept dons du Saint-Esprit
11E51|les sept dons du Saint-Esprit représentés par sept colombes
11E52|les sept dons du Saint-Esprit représentés par sept flammes
11E53|les sept dons du Saint-Esprit représentés par sept lampes ou par un candélabre à sept branches
11E54|les sept dons du Saint-Esprit représentés individuellement
11E541|'Sapientia', Sagesse; 'Sapienza divina' (Ripa) ~ un des sept dons du Saint-Esprit
11E542|'Intellectus', 'Intelligentia', Entendement ~ un des sept dons du Saint-Esprit
11E543|'Consilium', Conseil ~ un des sept dons du Saint-Esprit
11E544|'Fortitudo', Force d'âme ~ un des sept dons du Saint-Esprit
11E545|'Pietas', Piété ~ un des sept dons du Saint-Esprit
11E546|'Scientia', Connaissance ~ un des sept dons du Saint-Esprit
11E547|'Timor Dei', Crainte de Dieu ~ un des sept dons du Saint-Esprit
11F|la Vierge Marie
11F1|symboles et préfigurations de Marie
11F11|symboles de Marie
11F111|symboles des litanies de Marie
11F111(...)|symboles des litanies (de Marie) (avec TEXTE)
11F111(CIVITAS DEI)|symboles des litanies de Marie: Civitas Dei
11F111(ELECTA UT SOL)|symboles des litanies de Marie: Electa ut sol
11F111(FLOS CAMPI)|symboles des litanies de Marie: Flos campi
11F111(FONS SIGNATUS)|symboles des litanies de Marie: Fons signatus
11F111(HORTUS CONCLUSUS)|symboles des litanies de Marie: Hortus conclusus
11F111(PORTA COELI)|symboles des litanies de Marie: Porta coeli
11F111(PULCHRA UT LUNA)|symboles des litanies de Marie: Pulchra ut luna
11F111(ROSA MYSTICA)|symboles des litanies de Marie: Rosa mystica
11F111(SPECULUM SINE MACULA)|symboles des litanies de Marie: Speculum sine macula
11F111(STELLA MARIS)|symboles des litanies de Marie: Stella maris
11F111(STELLA MATUTINA)|symboles des litanies de Marie: Stella matutina
11F111(TURRIS DAVIDICA)|symboles des litanies de Marie: Turris Davidica
11F111(TURRIS EBURNEA)|symboles des litanies de Marie: Turris eburnea
11F112|Marie ou Madone avec symboles de la litanie Laurentienne
11F12|monogrammes de Marie
11F13|armoiries de Marie
11F14|'Defensorium inviolatae virginitatis'; symboles de la maternité virginale
11F15|préfigurations de Marie; Marie et ses préfigurations
11F2|Marie (sans l'enfant Jésus)
11F21|Marie enfant
11F22|'portraits' de Marie
11F23|figures debout de Marie sans l'enfant Jésus
11F231|Marie dans l'attitude d'une orante (parfois appelée 'Blacherniotissa')
11F232|'Immaculata', 'Purisima' : Marie, généralement debout sur un croissant de lune, descend du ciel exempte du péché originel (éventuellement foulant le serpent)
11F2321|'Immaculata', 'Purisima' : Marie, généralement debout sur un croissant de lune, descend du ciel exempte du péché originel (éventuellement foulant le serpent) en compagnie de saints
11F233|Marie se tenant debout ou se reposant à terre
11F234|Marie enceinte, Vierge-Enceinte-de-l'Expectation, 'Madonna del Parto'
11F2341|Marie enceinte, l'enfant Jésus visible
11F235|Vierge ouvrante ou ouverte
11F2351|Vierge ouvrante abritant la Trinité
11F2352|Vierge ouvrante abritant des scènes de la Passion
11F236|'Aehrenkleidmaria', la Vierge aux épis (parfois avec l'enfant Jésus)
11F24|figures assises de Marie (seule)
11F241|Notre-Dame des Douleurs
11F2411|les (sept) Douleurs de Marie
11F2412|Marie percée de sept épées
11F242|les Joies de Notre-Dame
11F2421|les (Sept) Joies de Marie
11F243|Marie et la licorne
11F244|Marie assise sur un trône, la Vierge en majesté
11F26|autres types de Marie (seule)
11F25|'Mater Dolorosa'
11F251|Marie pleurant
11F252|Marie percée d'une épée
11F253|Marie avec les instruments de la Passion
11F261|Marie en épouse du Saint-Esprit (avec une colombe sur la poitrine)
11F262|Marie en bergère
11F263|Marie en pèlerine
11F264|Marie en ermite (après la mort du Christ), 'Nostra señora de la Soledad'
11F265|Marie en docteur
11F266|Marie domptant le diable
11F267|Marie sauvant une (ou des) âme(s)
11F268|Marie en prêtresse, distribuant l'Eucharistie
11F3|Marie (sans l'enfant Jésus) en compagnie d'autres
11F31|Marie intercédant (auprès du Christ), 'Maria Mediatrix', la Vierge médiatrice, (parfois Marie montre sa poitrine)
11F32|Marie en compagnie d'êtres humains, qui l'adorent, ou qui implorent son aide
11F33|Marie dispensant le lait de sa poitrine, 'Lactatio'
11F34|Marie protégeant l'humanité contre la peste, p.ex. en cachant des personnes sous son manteau; 'Pestbild'
11F35|Marie en reine des apôtres
11F36|triomphe de Marie, Marie sur un char triomphal
11F4|Madone : Marie avec l'enfant Jésus
11F41|Madone : Marie debout (ou à mi-corps) avec l'enfant Jésus contre sa poitrine
11F411|Marie debout (ou à mi-corps) avec devant elle l'enfant Jésus contre sa poitrine
11F4111|Marie debout (ou à mi-corps) avec devant elle l'enfant Jésus debout contre sa poitrine
11F4112|Marie debout (ou à mi-corps) avec devant elle l'enfant Jésus assis contre sa poitrine
11F41121|'Nikopoia' ~ Madone
11F4113|Marie debout (ou à mi-corps) avec devant elle l'enfant Jésus couché contre sa poitrine
11F412|Marie debout (ou à mi-corps), l'enfant Jésus sur son bras (Jésus à la gauche de Marie)
11F4121|Marie debout (ou à mi-corps), l'enfant Jésus debout sur son bras (Jésus à la gauche de Marie)
11F4122|Marie debout (ou à mi-corps), l'enfant Jésus assis sur son bras (Jésus à la gauche de Marie)
11F41221|'Hodegetria', l'Hodigitria ~ Madone
11F41222|'Dexiocratousa ~ Madone
11F41223|'Eleousa', Éléousa, 'Glykophilousa' ~ Madone
11F4123|Marie debout (ou à mi-corps), l'enfant Jésus couché sur son bras (Jésus à la gauche de Marie)
11F41231|'Galaktotrophousa' ~ Madone
11F413|types particuliers de Madone debout (ou à mi-corps), non accompagnée d'autres personnes
11F4131|'Platytera' : Marie dans l'attitude d'une orante avec l'enfant Jésus devant elle dans un clypeus
11F41311|Marie, dans l'attitude d'une orante, se tenant debout dans une fontaine (de vie), généralement avec l'enfant Jésus
11F4132|Madone (dans une mandorle) sur un croissant de lune (parfois appelée Reine des Cieux)
11F4133|l'enfant Jésus sur le bras de Marie combat le dragon
11F4134|'Madonna della Vittoria', Madone triomphant p.ex. du Protestantisme
11F4135|'Marianum', Madone dans une auréole ou une mandorle (entourée du rosaire), Marie en Gloire
11F4136|Madone sur une colonne, 'Mariensäule'
11F4137|Madone debout (ou assise) sur un lion (de Juda)
11F42|Madone : Marie (parfois représentée à mi-corps) assise, éventuellement sur un trône, avec l'enfant Jésus sur ses genoux (ou contre sa poitrine)
11F421|Marie assise, éventuellement sur un trône, avec devant elle l'enfant Jésus blotti dans son giron (ou contre sa poitrine)
11F4211|Marie assise, éventuellement sur un trône, avec devant elle l'enfant Jésus debout dans son giron (ou contre sa poitrine)
11F4212|Marie assise, éventuellement sur un trône, avec devant elle l'enfant Jésus assis dans son giron (ou contre sa poitrine)
11F42121|'Sedes Sapientiae'
