4|yhteiskunta, sivilisaatio, kulttuuri
#41C263|mixing, combining (preparing food)
#41C2631|preparing dough or batter
#41C264|smoothing, beating (preparing food)
#41C265|ornamenting, decorating, dressing (preparing food)
#41C269|washing up
41C27|keittiövälineet
41C27(...)|keittiövälineet (NIMEN kanssa)
41C27(CAULDRON)|
41C27(COLANDER)|
41C27(FRYING PAN)|
#41C27(FUNNEL)|kitchen-utensils: funnel
41C27(GRATER)|
41C27(LADLE)|
41C27(PAN)|
41C27(POT)|
41C27(ROLLING-PIN)|
#41C27(SIEVE)|kitchen-utensils: sieve
41C27(SKIMMER)|
41C3|katettu pöytä
41C31|ruokailuvälineet ja -astiat
41C311|ruokaveitsi
41C312|haarukka
41C313|lusikka
#41C314|salt-cellar, salt-shaker
#41C315|spice-box
#41C316|egg-cup
#41C317|wine-cooler
41C32|juoma-astiat
41C321|kuppi
#41C3211|drinking-horn
41C3212|nautilus-kuppi
#41C322|mug, beaker, goblet
#41C3221|goblet foot
41C323|juomalasi
41C323(...)|juomalasi (NIMEN kanssa)
41C323(BERKEMEYER)|juomalasi: berkemeyer
41C323(PASGLAS)|juomalasi: pasglas
#41C324|tankard
#41C325|table fountain
#41C326|jar, jug (used as drinking-vessel)
#41C327|drinking-vessel in unusual shape
#41C3271|animal-shaped drinking-vessel
#41C3272|anthropomorphic drinking-vessel
#41C32721|human skull as drinking-vessel
#41C3273|drinking-vessel in the shape of an object
41C33|tee- ja kahviastiasto
41C331|kahvikuppi (teekuppi) ja lautanen
41C332|kahvipannu
41C333|teepannu; samovaari
#41C334|sugar-basin
#41C34|dinner-service
#41C341|dish, plate, saucer
#41C342|serving-dish, platter
#41C343|salver
#41C344|gravy-boat
#41C345|bowl
#41C35|table-decoration
#41C351|centre-piece, epergne, 'surtout', 'milieu-de-table'
#41C352|'trionfi di tavola', 'pièces montées'
41C353|käsienpesuallas, käsienpesuastia
#41C36|(dinner-)service displayed on sideboard
#41C37|table-cloth
#41C371|napkin
#41C3711|napkin-ring
41C38|pöytäasetelma
41C381|aamiaisasetelma (Holl: "ontbijtje")
41C382|juhla-ateria (asetelma)
41C4|(perhe) ateria
#41C41|breakfast
#41C411|morning coffee
#41C42|midday meal, lunch
#41C421|high tea
#41C4211|tea-ceremony
#41C422|afternoon tea
#41C43|evening meal, dinner, supper
#41C44|(late) supper
41C5|juhla-ateria
#41C50|'Convito' (Ripa)
#41C51|banquet of elegant company
41C52|juomingit, orgiat
#41C520|'Crapula' (Ripa)
41C6|ruoka-aineet, ruoka-asetelma
#41C61|flour
#41C611|kinds of flour or grain
#41C612|flour- and grain-products
#41C6121|cereal
#41C6122|noodles, spaghetti, etc.
41C62|leipä, kakku, leivos, leivonnaiset
#41C621|bread, loaf
#41C6211|shaped bread
#41C62111|flat, round bread or pastry, e.g. pizza
#41C6212|filled breads, rolls, e.g. sandwich, hamburger
#41C622|cake, tart, pastry
#41C6221|fancy-cakes, fancy-pastries
#41C6222|biscuits
#41C623|pancakes
#41C624|waffles
#41C6241|rolled wafer
#41C625|pie
#41C626|baker's moulds
#41C6261|moulds for cakes, tarts, pastries
#41C6262|moulds for biscuits
#41C62621|so-called 'speculaasplanken' (biscuit moulds)
#41C6263|waffle-iron
#41C6264|bread-tin, baking-tin
#41C63|sugar
#41C631|loaf-sugar
#41C632|sugar-lumps
#41C633|syrup
#41C634|sugar-candy
#41C635|sweets, dainties
#41C6351|ice-cream
#41C6352|chocolate (solid)
#41C636|honey
#41C637|sugar-coated
#41C6371|icing, frosting
41C64|maitotuotteet ja munat
41C641|maitotuotteet
41C6411|voi
41C6412|juusto
41C6413|maito
41C64131|piimä
41C64132|jugurtti
41C64133|kerma
41C642|munat, munaruoat
41C65|vihannekset ja hedelmät; vihannes- ja hedelmäasetelma
41C651|perunat
#41C6511|processed potatoes, e.g. crisps, chips (French fries)
41C652|vihannekset
41C652(...)|vihannekset (NIMEN kanssa)
#41C6521|processed vegetables
#41C6521(...)|processed vegetables (with NAME)
41C653|hedelmät
41C653(...)|hedelmät (NIMEN kanssa)
41C6531|jalostetut hedelmät, eli hillo, marmelaadi, jne.
41C66|mausteet
41C66(...)|mausteet (NIMEN kanssa)
#41C66(SAFFRON)|seasonings, spices: saffron
41C661|suola
41C662|pippuri
41C663|sinappi
41C67|ruokaöljy, etikka, kastikkeet tai soseet
#41C671|oils and vegetable fats
#41C6711|margarine
#41C672|vinegar
#41C673|sauces
41C68|kala; kala-asetelma
#41C68(...)|fish (with NAME)
#41C68(SMOKED HERRING)|fish: smoked herring
#41C681|seafood
#41C681(...)|seafood (with NAME)
41C69|liha; liha-asetelma
#41C691|slaughtered ox or pig
#41C692|kinds of meat
#41C692(...)|kinds of meat (with NAME)
#41C693|sausage
#41C694|ham
#41C695|fat, lard
#41C696|broth, soup
41C7|juomat, päihteet, huumeet
#41C71|alcoholic drinks
#41C711|wine ~ alcoholic drinks
41C7111|viinilasi, lasillinen viiniä
41C7112|viinipullo
41C7113|viinimerkit, viinityypit
41C7113(...)|viinimerkit, viinityypit (NIMEN kanssa)
41C712|likööri
#41C713|distilled spirits
#41C7131|genever, gin
#41C7132|whisky
#41C7133|vodka
41C7134|brandy
41C714|olut
41C7141|lasi olutta
41C715|muut alkoholijuomat
41C715(...)|muut alkoholijuomat (NIMEN kanssa)
#41C7151|cocktail
41C72|piristävät, stimuloivat juomat
41C721|kahvi
41C7211|kupillinen kahvia
#41C722|tea (leaves)
41C7221|kupillinen teetä
#41C723|chocolate, cocoa
#41C73|other non-alcoholic drinks
#41C731|sweet fruit-syrups
#41C732|fruit-juice
41C74|tupakka
41C741|piippu ~ tupakka
#41C7411|water-pipe, hookah, narghile
#41C7412|tobacco-roll, coiled twist of tobacco
#41C7413|tobacco-jar
#41C7414|pipe-holder, pipe-stand
#41C7415|ashtray
41C742|sikari
#41C7421|cigar-box
#41C7422|cigar-case
#41C7423|cigar-holder
#41C743|cigarette
#41C7431|cigarette-case
#41C7432|cigarette-paper
#41C7433|cigarette-tube, cigarette-holder
#41C744|snuff
#41C7441|snuff-box
#41C745|chewing-tobacco
#41C7451|other stimulant things to chew on
#41C74511|betel, sirih
#41C74512|chewing-gum
41C75|huumeet
#41C75(...)|drugs (with NAME)
#41C75(HASHISH)|drugs: hashish
#41C751|opium
#41C7511|opium-pipe
#41C7512|opium-house
#41C76|scents, perfumes ~ stimulants, drugs
#41C761|scent-box
#41C762|incense-burner ~ scents, perfumes
41C9|kannibalismi
#41C91|necrophagism
#41CC221|cook - CC - female cook
41CC25|ruoanlaitto, kokkaaminen - CC - in the open air
#41CC251|roasting, grilling - CC - in the open air
#41CC2511|spit ~ cooking - CC - in the open air
#41CC2512|grill, gridiron ~ cooking food - CC - in the open air
#41CC252|frying - CC - in the open air
#41CC253|boiling - CC - in the open air
#41CC254|kitchen-fire - CC - in the open air
41CC2541|takka, uuni, leivinuuni (keittiössä) - CC - in the open air
#41CC2542|cooker - CC - in the open air
#41CC2543|oven ~ kitchen - CC - in the open air
#41CC26|preparation of food - CC - in the open air
#41CC261|cleaning (food) - CC - in the open air
#41CC2611|cleaning vegetables - CC - in the open air
#41CC2612|cleaning fruit, e.g. peeling - CC - in the open air
#41CC26121|(half-)peeled fruit, e.g. lemon - CC - in the open air
#41CC2613|cleaning fowl or small animals - CC - in the open air
#41CC26131|plucked fowl - CC - in the open air
#41CC262|dividing (food) - CC - in the open air
#41CC2621|cutting meat - CC - in the open air
#41CC2622|slicing bread - CC - in the open air
#41CC263|mixing, combining (preparing food) - CC - in the open air
#41CC2631|preparing dough or batter - CC - in the open air
#41CC264|smoothing, beating (preparing food) - CC - in the open air
#41CC265|ornamenting, decorating, dressing (preparing food) - CC - in the open air
#41CC269|washing up - CC - in the open air
41CC4|(perhe) ateria - CC - out of doors
#41CC41|breakfast - CC - out of doors
#41CC411|morning coffee - CC - out of doors
#41CC42|midday meal, lunch - CC - out of doors
#41CC421|high tea - CC - out of doors
#41CC4211|tea-ceremony - CC - out of doors
#41CC422|afternoon tea - CC - out of doors
#41CC43|evening meal, dinner, supper - CC - out of doors
#41CC44|(late) supper - CC - out of doors
41CC5|juhla-ateria - CC - out of doors
#41CC50|'Convito' (Ripa) - CC - out of doors
#41CC51|banquet of elegant company - CC - out of doors
41CC52|juomingit, orgiat - CC - out of doors
#41CC520|'Crapula' (Ripa) - CC - out of doors
41D|muoti, vaatetus
41D1|muoti
#41D11|fashion plates
#41D12|fashion show
#41D121|model, mannequin
#41D122|shop-window figures
#41D13|fashion mongering
#41D131|dandy, beau
#41D1310|'Delitioso' (Ripa)
#41D1311|'incroyable' ~ dandy
#41D132|fashionable woman, 'belle'
#41D1321|'merveilleuse'
#41D14|fashion designer
41D2|vaatetus, puvut
#41D21|clothes covering the entire body
#41D21(...)|clothes covering the entire body (with NAME)
#41D211|dress, gown
#41D211(...)|dress, gown (with NAME)
41D211(BALL GOWN)|
#41D211(CHEMISE À LA REINE)|dress, gown: chemise à la Reine
#41D211(COURT GOWN)|dress, gown: court gown or court dress
#41D211(DAY DRESS)|dress, gown: day dress
41D211(DINNER DRESS)|dress, gown: dinner dress
#41D211(EVENING DRESS)|dress, gown: evening dress
41D211(MANTEAU)|
#41D211(MORNING DRESS)|dress, gown: morning dress
#41D211(REDINGOTE)|dress, gown: redingote
#41D211(ROBE VOLANTE)|dress, gown: robe volante
41D211(ROBE À L'ANGLAISE)|
#41D211(ROBE À LA CIRCASSIENNE)|dress, gown: robe à la circassienne
41D211(ROBE À LA FRANÇAISE)|
#41D211(ROBE À LA LÉVITE)|dress, gown: robe à la lévite
41D211(ROBE À LA POLONAISE)|
#41D211(WALKING DRESS)|dress, gown: walking dress
#41D212|coat, cape
41D2121|takki
41D2121(...)|takki (NIMEN kanssa)
#41D2121(BOLERO)|coat: bolero
#41D2121(CARACO)|coat: caraco
41D2121(OVERCOAT)|takki: päällystakki
41D21211|aamutakki
41D21211(...)|aamutakki (NIMEN kanssa)
41D21211(BANYAN)|aamutakki: banyan
#41D2122|cape
41D2122(...)|viitta (NIMEN kanssa)
41D2122(MANTELET)|viitta: mantelet
41D213|ensemble of several pieces of clothing
41D213(...)|
#41D213(SAILOR SUIT)|ensemble of pieces of clothing: sailor suit
#41D22|head-gear and clothing for the upper part of the body
#41D221|head-gear
#41D221(...)|head-gear (with NAME)
41D221(BERET)|
#41D221(BICORNE)|head-gear: bicorne, bicorn
#41D221(BOATER)|head-gear: boater
#41D221(BOWLER)|head-gear: bowler hat
41D221(CAP)|
#41D221(CLOCHE HAT)|head-gear: cloche hat
#41D221(FONTANGE)|head-gear: fontange
41D221(HAT)|
#41D221(HOOD)|head-gear: hood
#41D221(MORNING CAP)|head-gear: morning cap
#41D221(TOP HAT)|head-gear: top hat
#41D221(TOQUE)|head-gear: toque
41D221(TRICORNE)|head-gear: tricorne
41D221(TURBAN)|
#41D2211|veil
#41D2212|Phrygian bonnet
#41D222|neck-gear ~ clothing
#41D222(...)|neck-gear ~ clothing (with NAME)
41D222(COLLAR)|
41D222(JABOT)|
#41D223|clothing for the upper part of the body
#41D223(...)|clothing for the upper part of the body (with NAME)
#41D223(BLOUSE)|clothing for the upper part of the body: blouse
#41D2231|piece of clothing covering the breast or décolleté
#41D2231(...)|piece of clothing covering the breast or décolleté (with NAME)
#41D224|sleeves
#41D225|gloves, mittens, etc.
#41D225(...)|gloves, mittens (with NAME)
#41D2251|'manus velatae' (hands covered with a cloth)
#41D2252|muff
#41D23|clothing for the lower part of the body
41D231(...)|trousers, breeches (with NAME)
#41D2311|codpiece (cover for the genitals)
#41D232|skirt
41D232(...)|
#41D2321|apron
