2|Nature
23B30|'Secolo' (Ripa)
23B4|50 years
23B5|25 years
23B6|12 1/2 years
23B7|10 years, decade
23B8|5 years, lustrum
23B9|other periods
23B9(...)|other periods (with NUMBER of years)
23C|year, solar year
23C1|'Annus', personification of the year; 'Anno', 'Carro dell'anno' (Ripa)
23C2|lunar year
23C3|sidereal year
23D|seasons of the year (esp. personifications); 'Stagione', 'Le quattro stagioni dell'anno' (Ripa)
23D1|not used
23D2|year divided into two seasons
23D21|winter half-year
23D22|summer half-year
23D23|strife of summer and winter
23D3|year divided into three seasons
23D31|year divided into three seasons (first series)
23D311|January - April (year divided into three seasons)
23D312|May - August (year divided into three seasons)
23D313|September - December (year divided into three seasons)
23D32|year divided into three seasons (second series)
23D321|December - March (year divided into three seasons)
23D322|April - July (year divided into three seasons)
23D323|August - November (year divided into three seasons)
23D4|year divided into four seasons
23D41|winter, 'Hyems'; 'Inverno' (Ripa)
23D42|spring, 'Ver'; 'Primavera' (Ripa)
23D43|summer, 'Aestas'; 'Estate' (Ripa)
23D44|autumn, fall, 'Autumnus'; 'Autunno' (Ripa)
23D5|year divided into five seasons
23D6|year divided into six seasons
23D61|year divided into six seasons (first series)
23D611|January and February (year divided into six seasons)
23D612|March and April (year divided into six seasons)
23D613|May and June (year divided into six seasons)
23D614|July and August (year divided into six seasons)
23D615|September and October (year divided into six seasons)
23D616|November and December (year divided into six seasons)
23D62|year divided into six seasons (second series)
23D621|December and January (year divided into six seasons)
23D622|February and March (year divided into six seasons)
23D623|April and May (year divided into six seasons)
23D624|June and July (year divided into six seasons)
23D625|August and September (year divided into six seasons)
23D626|October and November (year divided into six seasons)
23E|seasons of the year represented by scenes showing human activities, usually in a landscape
23E2|year divided into two seasons ~ human activities
23E21|winter half-year ~ human activities (year divided into two seasons)
23E22|summer half-year ~ human activities (year divided into two seasons)
23E23|strife of summer and winter ~ human activities (year divided into two seasons)
23E3|year divided into three seasons ~ human activities
23E31|year divided into three seasons ~ human activities (first series)
23E311|January - April ~ human activities (year divided into three seasons)
23E312|May - August ~ human activities (year divided into three seasons)
23E313|September - December ~ human activities (year divided into three seasons)
23E32|year divided into three seasons ~ human activities (second series)
23E321|December - March ~ human activities (year divided into three seasons)
23E322|April - July ~ human activities (year divided into three seasons)
23E323|August - November ~ human activities (year divided into three seasons)
23E4|the four seasons of the year ~ human activities
23E41|winter ~ human activities (the four seasons of the year)
23E42|spring ~ human activities (the four seasons of the year)
23E43|summer ~ human activities (the four seasons of the year)
23E44|autumn ~ human activities (the four seasons of the year)
23E5|year divided into five seasons ~ human activities
23E6|year divided into six seasons ~ human activities
23E61|year divided into six seasons ~ human activities (first series)
23E611|January and February ~ human activities (year divided into six seasons)
23E612|March and April ~ human activities (year divided into six seasons)
23E613|May and June ~ human activities (year divided into six seasons)
23E614|July and August ~ human activities (year divided into six seasons)
23E615|September and October ~ human activities (year divided into six seasons)
23E616|November and December ~ human activities (year divided into six seasons)
23E62|year divided into six seasons ~ human activities (second series)
23E621|December and January ~ human activities (year divided into six seasons)
23E622|February and March ~ human activities (year divided into six seasons)
23E623|April and May ~ human activities (year divided into six seasons)
23E624|June and July ~ human activities (year divided into six seasons)
23E625|August and September ~ human activities (year divided into six seasons)
23E626|October and November ~ human activities (year divided into six seasons)
23F|seasons of the year represented by landscapes
23F2|year divided into two seasons ~ landscapes
23F21|winter half-year ~ landscapes (year divided into two seasons)
23F22|summer half-year ~ landscapes (year divided into two seasons)
23F23|strife of summer and winter ~ landscapes (year divided into two seasons)
23F3|year divided into three seasons ~ landscapes
23F31|year divided into three seasons ~ landscapes (first series)
23F311|January - April ~ landscapes (year divided into three seasons)
23F312|May - August ~ landscapes (year divided into three seasons)
23F313|September - December ~ landscapes (year divided into three seasons)
23F32|year divided into three seasons ~ landscapes (second series)
23F321|December - March ~ landscapes (year divided into three seasons)
23F322|April - July ~ landscapes (year divided into three seasons)
23F323|August - November ~ landscapes (year divided into three seasons)
23F4|the four seasons of the year ~ landscapes
23F41|winter landscape; landscape symbolizing winter (the four seasons of the year)
23F42|spring landscape; landscape symbolizing spring (the four seasons of the year)
23F43|summer landscape; landscape symbolizing summer (the four seasons of the year)
23F44|autumn landscape; landscape symbolizing autumn (the four seasons of the year)
23F5|year divided into five seasons ~ landscapes
23F6|year divided into six seasons ~ landscapes
23F61|year divided into six seasons ~ landscapes (first series)
23F611|January and February ~ landscapes (year divided into six seasons)
23F612|March and April ~ landscapes (year divided into six seasons)
23F613|May and June ~ landscapes (year divided into six seasons)
23F614|July and August ~ landscapes (year divided into six seasons)
23F615|September and October ~ landscapes (year divided into six seasons)
23F616|November and December ~ landscapes (year divided into six seasons)
23F62|year divided into six seasons ~ landscapes (second series)
23F621|December and January ~ landscapes (year divided into six seasons)
23F622|February and March ~ landscapes (year divided into six seasons)
23F623|April and May ~ landscapes (year divided into six seasons)
23F624|June and July ~ landscapes (year divided into six seasons)
23F625|August and September ~ landscapes (year divided into six seasons)
23F626|October and November ~ landscapes (year divided into six seasons)
23G|seasons of the year represented by still lifes of flowers and/or fruits
23G2|year divided into two seasons ~ still lifes of flowers and/or fruits
23G21|winter half-year ~ still lifes of flowers and/or fruits (year divided into two seasons)
23G22|summer half-year ~ still lifes of flowers and/or fruits (year divided into two seasons)
23G23|strife of summer and winter ~ still lifes of flowers and/or fruits (year divided into two seasons)
23G3|year divided into three seasons ~ still lifes of flowers and/or fruits
23G31|year divided into three seasons ~ still lifes of flowers and/or fruits (first series)
23G311|January - April ~ still lifes of flowers and/or fruits (year divided into three seasons)
23G312|May - August ~ still lifes of flowers and/or fruits (year divided into three seasons)
23G313|September - December ~ still lifes of flowers and/or fruits (year divided into three seasons)
23G32|year divided into three seasons ~ still lifes of flowers and/or fruits (second series)
23G321|December - March ~ still lifes of flowers and/or fruits (year divided into three seasons)
23G322|April - July ~ still lifes of flowers and/or fruits (year divided into three seasons)
23G323|August - November ~ still lifes of flowers and/or fruits (year divided into three seasons)
23G4|the four seasons of the year ~ still lifes of flowers and/or fruits
23G41|still life symbolizing winter (the four seasons of the year)
23G42|still life symbolizing spring (the four seasons of the year)
23G43|still life symbolizing summer (the four seasons of the year)
23G44|still life symbolizing autumn (the four seasons of the year)
23G5|year divided into five seasons ~ still lifes of flowers and/or fruits
23G6|year divided into six seasons ~ still lifes of flowers and/or fruits
23G61|year divided into six seasons ~ still lifes of flowers and/or fruits (first series)
23G611|January and February ~ still lifes of flowers and/or fruits (year divided into six seasons)
23G612|March and April ~ still lifes of flowers and/or fruits (year divided into six seasons)
23G613|May and June ~ still lifes of flowers and/or fruits (year divided into six seasons)
23G614|July and August ~ still lifes of flowers and/or fruits (year divided into six seasons)
23G615|September and October ~ still lifes of flowers and/or fruits (year divided into six seasons)
23G616|November and December ~ still lifes of flowers and/or fruits (year divided into six seasons)
23G62|year divided into six seasons ~ still lifes of flowers and/or fruits (second series)
23G621|December and January ~ still lifes of flowers and/or fruits (year divided into six seasons)
23G622|February and March ~ still lifes of flowers and/or fruits (year divided into six seasons)
23G623|April and May ~ still lifes of flowers and/or fruits (year divided into six seasons)
23G624|June and July ~ still lifes of flowers and/or fruits (year divided into six seasons)
23G625|August and September ~ still lifes of flowers and/or fruits (year divided into six seasons)
23G626|October and November ~ still lifes of flowers and/or fruits (year divided into six seasons)
23H|seasons of the year represented by concepts other than personifications, human activities, landscapes, or still lifes of flowers and/or fruits (e.g. biblical scenes)
23H2|year divided into two seasons ~ other concepts (e.g. biblical scenes)
23H21|winter half-year ~ other concepts (e.g. biblical scenes) (year divided into two seasons)
23H22|summer half-year ~ other concepts (e.g. biblical scenes) (year divided into two seasons)
23H23|strife of summer and winter ~ other concepts (e.g. biblical scenes) (year divided into two seasons)
23H3|year divided into three seasons ~ other concepts (e.g. biblical scenes)
23H31|year divided into three seasons ~ other concepts (e.g. biblical scenes) (first series)
23H311|January - April ~ other concepts (e.g. biblical scenes) (year divided into three seasons)
23H312|May - August ~ other concepts (e.g. biblical scenes) (year divided into three seasons)
23H313|September - December ~ other concepts (e.g. biblical scenes) (year divided into three seasons)
23H32|year divided into three seasons ~ other concepts (e.g. biblical scenes) (second series)
23H321|December - March ~ other concepts (e.g. biblical scenes) (year divided into three seasons)
23H322|April - July ~ other concepts (e.g. biblical scenes) (year divided into three seasons)
23H323|August - November ~ other concepts (e.g. biblical scenes) (year divided into three seasons)
23H4|the four seasons of the year ~ other concepts (e.g. biblical scenes)
23H41|winter ~ other concepts (e.g. biblical scenes) (the four seasons of the year)
23H42|spring ~ other concepts (e.g. biblical scenes) (the four seasons of the year)
23H43|summer ~ other concepts (e.g. biblical scenes) (the four seasons of the year)
23H44|autumn ~ other concepts (e.g. biblical scenes) (the four seasons of the year)
23H5|year divided into five seasons ~ other concepts (e.g. biblical scenes)
23H6|year divided into six seasons ~ other concepts (e.g. biblical scenes)
23H61|year divided into three seasons ~ other concepts (e.g. biblical scenes) (first series)
23H611|January and February ~ other concepts (e.g. biblical scenes) (year divided into six seasons)
23H612|March and April ~ other concepts (e.g. biblical scenes) (year divided into six seasons)
23H613|May and June ~ other concepts (e.g. biblical scenes) (year divided into six seasons)
23H614|July and August ~ other concepts (e.g. biblical scenes) (year divided into six seasons)
23H615|September and October ~ other concepts (e.g. biblical scenes) (year divided into six seasons)
23H616|November and December ~ other concepts (e.g. biblical scenes) (year divided into six seasons)
23H62|year divided into three seasons ~ other concepts (e.g. biblical scenes) (second series)
23H621|December and January ~ other concepts (e.g. biblical scenes) (year divided into six seasons)
23H622|February and March ~ other concepts (e.g. biblical scenes) (year divided into six seasons)
23H623|April and May ~ other concepts (e.g. biblical scenes) (year divided into six seasons)
23H624|June and July ~ other concepts (e.g. biblical scenes) (year divided into six seasons)
23H625|August and September ~ other concepts (e.g. biblical scenes) (year divided into six seasons)
23H626|October and November ~ other concepts (e.g. biblical scenes) (year divided into six seasons)
23I|the twelve months (especially personifications); 'Mese in generale' (Ripa)
23I1|months of the first quarter of the year
23I11|January; 'Gennaro' (Ripa)
23I12|February; 'Febraro' (Ripa)
23I13|March; 'Marzo' (Ripa)
23I2|months of the second quarter of the year
23I21|April; 'Aprile' (Ripa)
23I22|May; 'Maggio' (Ripa)
23I23|June; 'Giugno' (Ripa)
23I3|months of the third quarter of the year
23I31|July; 'Luglio' (Ripa)
23I32|August; 'Agosto' (Ripa)
23I33|September; 'Settembre' (Ripa)
23I4|months of the fourth quarter of the year
23I41|October; 'Ottobre' (Ripa)
23I42|November; 'Novembre' (Ripa)
23I43|December; 'Decembre' (Ripa)
23K|the twelve months represented by scenes showing human activities, usually in a landscape; so-called 'labours of the months'
23K1|the months of the first quarter of the year ~ human activities (the 'labours' of January, February and March)
23K11|January and its 'labours'
23K12|February and its 'labours'
23K13|March and its 'labours'
23K2|the months of the second quarter of the year ~ human activities (the 'labours' of April, May and June)
23K21|April and its 'labours'
23K22|May and its 'labours'
23K23|June and its 'labours'
23K3|the months of the third quarter of the year ~ human activities (the 'labours' of July, August and September)
23K31|July and its 'labours'
23K32|August and its 'labours'
23K33|September and its 'labours'
23K4|the months of the fourth quarter of the year ~ human activities (the 'labours' of October, November and December)
23K41|October and its 'labours'
23K42|November and its 'labours'
23K43|December and its 'labours'
23L|the twelve months represented by landscapes
23L1|months of the first quarter of the year represented by landscapes
23L11|landscape symbolizing January
23L12|landscape symbolizing February
23L13|landscape symbolizing March
23L2|months of the second quarter of the year represented by landscapes
23L21|landscape symbolizing April
23L22|landscape symbolizing May
23L23|landscape symbolizing June
23L3|months of the third quarter of the year represented by landscapes
23L31|landscape symbolizing July
23L32|landscape symbolizing August
23L33|landscape symbolizing September
23L4|months of the fourth quarter of the year represented by landscapes
23L41|landscape symbolizing October
23L42|landscape symbolizing November
23L43|landscape symbolizing December
23M|the twelve months represented by still lifes of flowers and/or fruits
23M1|months of the first quarter of the year represented by still life of flowers and/or fruits
23M11|January represented by still life of flowers and/or fruits
23M12|February represented by still life of flowers and/or fruits
23M13|March represented by still life of flowers and/or fruits
23M2|months of the second quarter of the year represented by still life of flowers and/or fruits
23M21|April represented by still life of flowers and/or fruits
23M22|May represented by still life of flowers and/or fruits
23M23|June represented by still life of flowers and/or fruits
23M3|months of the third quarter of the year represented by still life of flowers and/or fruits
23M31|July represented by still life of flowers and/or fruits
23M32|August represented by still life of flowers and/or fruits
23M33|September represented by still life of flowers and/or fruits
23M4|months of the fourth quarter of the year represented by still life of flowers and/or fruits
23M41|October represented by still life of flowers and/or fruits
23M42|November represented by still life of flowers and/or fruits
23M43|December represented by still life of flowers and/or fruits
23N|the twelve months of the year represented by concepts other than personifications, human activities, landscapes, or still lifes of flowers and/or fruits
23N1|months of the first quarter of the year ~ other concepts
23N11|January ~ other concepts
23N12|February ~ other concepts
23N13|March ~ other concepts
23N2|months of the second quarter of the year ~ other concepts
23N21|April ~ other concepts
23N22|May ~ other concepts
23N23|June ~ other concepts
23N3|months of the third quarter of the year ~ other concepts
23N31|July ~ other concepts
23N32|August ~ other concepts
23N33|September ~ other concepts
23N4|months of the fourth quarter of the year ~ other concepts
23N41|October ~ other concepts
23N42|November ~ other concepts
23N43|December ~ other concepts
23O|zodiac; the twelve zodiacal signs together
23O1|zodiacal signs of the winter season
23O11|Capricorn (zodiacal sign of December)
23O12|Aquarius (zodiacal sign of January)
23O13|Pisces (zodiacal sign of February)
23O2|zodiacal signs of the spring season
23O21|Aries (zodical sign of March)
23O22|Taurus (zodiacal sign of April)
23O23|Gemini (zodiacal sign of May)
23O3|zodiacal signs of the summer season
23O31|Cancer (zodiacal sign of June)
23O32|Leo (zodiacal sign of July)
23O33|Virgo (zodiacal sign of August)
23O4|zodiacal signs of the autumn season
23O41|Libra (zodiacal sign of September)
23O42|Scorpio (zodiacal sign of October)
23O43|Sagittarius (zodiacal sign of November)
23O5|zodiacal man; zodiac combined with parts of the human body
23P|weeks
23Q|days of the week
23Q1|Sunday
23Q2|Monday
23Q3|Tuesday
23Q4|Wednesday
23Q5|Thursday
23Q6|Friday
23Q7|Saturday
23Q8|tomorrow
23Q81|the day after tomorrow
23Q9|yesterday
23R|day and night
23R1|day of 24 hours, natural day
23R10|'Giorno naturale', 'Carro del giorno naturale' (Ripa)
23R11|morning
23R110|personification of the morning, 'Aurora'; 'Aurora' (Ripa)
23R111|morning ~ landscape (sometimes titled 'Aurora')
23R112|morning ~ other concepts
23R113|noon
23R12|afternoon
23R120|personification of the afternoon, 'Meridies'
23R121|afternoon ~ landscape (sometimes titled 'Meridies')
23R122|afternoon ~ other concepts
23R13|evening
23R130|personification of the evening, 'Vesper'
23R131|evening ~ landscape (sometimes titled 'Vesper')
23R132|evening ~ other concepts
23R14|night
23R140|personification of the night, 'Nox'; 'Notte', 'Carro della notte', 'Serenità della notte' (Ripa)
23R141|night ~ landscape (sometimes titled 'Nox')
23R142|night ~ other concepts
23R2|day from sunrise to sunset
23R20|'Giorno artificiale', 'Carro del giorno artificiale', 'Serenità del giorno, ninfa dell'aria' (Ripa)
23R3|the 24 hours of day and night
23R31|the first 12 hours of the day
23R310|'Hore del giorno' ('Hora prima', 'Hora seconda', 'Hora terza', 'Hora quarta', 'Hora quinta', 'Hora sesta', 'Hora settima', 'Hora ottava', 'Hora nona', 'Hora decima', 'Hora undecima', 'Hora duodecima') (Ripa)
23R32|the last 12 hours of the day
23R320|'Hore della notte' ('Hora prima', 'Hora seconda', 'Hora terza', 'Hora quarta', 'Hora quinta', 'Hora sesta', 'Hora settima', 'Hora ottava', 'Hora nona', 'Hora decima', 'Hora undecima', 'Hora duodecima') (Ripa)
23S|the empires of the world
23S1|the four world empires (Babylon, Persia, Greece, Rome)
23S11|Babylon (one of the four world empires)
23S12|Persia (one of the four world empires)
23S13|Greece (one of the four world empires
23S14|Rome (one of the four world empires)
23S2|the empires of the world according to biblical divisions
23S21|the world empires symbolized by a large statue of various materials (Daniel ch. 2)
23S22|the world empires symbolized by four beasts (Daniel ch. 7)
23S3|the empires of the world divided otherwise
23T|historical epochs
23T1|history of the world divided into seven epochs from Adam to the end of the world
23T11|epoch from Adam to Noah ~ history of the world
23T12|epoch from Noah to Abraham or Moses ~ history of the world
23T13|epoch from Abraham or Moses to David ~ history of the world
23T14|epoch from David to the Babylonian Captivity ~ history of the world
23T15|epoch from the Captivity to the coming of Christ ~ history of the world
23T16|epoch from Christ to the end of the world ~ working, waking
23T17|epoch from Christ to the end of the world ~ sleeping, resting (eternal Sabbath)
23T2|modern division of historical epochs
23T21|pre-history (historical epoch)
23T22|ancient history (historical epoch)
23T23|classical antiquity (historical epoch)
23T24|dark ages (historical epoch)
23T25|medieval history, middle ages (historical epoch)
23T26|Renaissance (historical epoch, through 16th century)
23T27|modern division of historical epochs ~ centuries
23T27(...)|modern division of historical epochs ~ centuries (with Roman NUMBER of century)
23U|chronology
23U1|calendar, almanac
23U11|perpetual calendar
23U2|(instruments for) measurement of time
23U20|'Horografia' (Ripa)
23U21|sundial
23U22|hourglass
23U23|water clock
23U24|clock
23U241|watchmaker, clockmaker
23U25|watch
24|the heavens (celestial bodies)
240|allegorical representation of the heavens (celestial bodies)
24A|sun as celestial body
24A1|sunrise
24A11|dawn
24A110|'Crepuscolo della matina' (Ripa)
24A2|sunset
24A21|dusk, evening twilight
24A210|'Crepuscolo della sera' (Ripa)
24A3|solar eclipse
24A31|total solar eclipse with corona
24A4|midnight sun
24A5|physical aspects of the sun
24A51|sun-spots
24A52|unusual solar phenomena: parhelion or mock sun, spots on solar halo, etc.
24A6|sun represented as face, wheel, etc.
24A7|positions of the sun
24A71|summer solstice, midsummer's day
24A710|'Solstitio estivo' (Ripa)
24A72|autumnal equinox
24A720|'Equinottio dell'autunno' (Ripa)
24A73|winter solstice
24A730|'Solstitio hiemale' (Ripa)
24A74|vernal equinox
24A740|'Equinottio della primavera' (Ripa)
24A8|sunlight
24A81|sunbeams
24B|moon as celestial body
24B1|waxing moon, i.e. facing this way: )
24B11|waxing moon represented as face
24B2|full moon
24B21|full moon represented as face
24B3|waning moon, i.e. facing this way (
24B31|waning moon represented as face
24B4|eclipse of the moon
24B5|surface of the moon
24B6|moonlight
24B61|moonbeams
24B62|contemplation of the moon, 'schwärmen'
24B7|moonrise
24B8|setting of the moon
24C|planets (except the earth)
24C1|planets; planetary system, solar system
24C11|Ceres (planet)
24C12|Jupiter (planet)
24C13|Mars (planet)
24C14|Mercury (planet)
24C15|Neptune (planet)
24C16|Pluto (planet)
24C17|Saturn (planet)
24C18|Uranus (planet)
24C19|Venus (planet)
24C191|morning star (Venus)
24C192|evening star (Venus or other planet)
24C2|mankind influenced by the planets, including sun and moon; 'Planetenkinder'
24C21|(personifications of the) planets with their 'children', so-called 'Planetenkinder'
24C211|Saturn and his children ('Planetenkinder')
24C212|Jupiter and his children ('Planetenkinder')
24C213|Mars and his children ('Planetenkinder')
24C214|Sol and his children ('Planetenkinder')
24C215|Venus and her children ('Planetenkinder')
24C216|Mercury and his children ('Planetenkinder')
24C217|Luna and her children ('Planetenkinder')
24C22|(personifications of the) planets with their 'children', so-called 'Planetenkinder', accompanied by the corresponding zodiacal signs
24C221|Saturn and his children ('Planetenkinder') ~ Aquarius and Capricorn
24C222|Jupiter and his children ('Planetenkinder') ~ Pisces and Sagittarius
24C223|Mars and his children ('Planetenkinder') ~ Aries and Scorpio
24C224|Sol and his children ('Planetenkinder') ~ Leo
24C225|Venus and her children ('Planetenkinder') ~ Taurus and Libra
24C226|Mercury and his children ('Planetenkinder') ~ Gemini and Virgo
24C227|Luna and her children ('Planetenkinder') ~ Cancer
24C3|canonical group of seven planets symbolically representing metals
24C31|the sun representing gold
24C32|the moon representing silver
24C33|Mercury representing the metal mercury
24C34|Venus representing copper
24C35|Mars representing iron
24C36|Jupiter representing tin
24C37|Saturn representing lead
24C39|other celestial bodies representing metals
24C39(...)|other celestial bodies representing metals (with NAME)
24C39(URANUS)|Uranus representing platinum
24D|stars
24D0|stars, represented symbolically or allegorically
24D1|stars and constellations
24D1(...)|stars and constellations (with NAME)
24D1(ORION)|stars and constellations: Orion
24D1(POLARIS)|stars and constellations: Polaris, Pole star
24D1(SIRIUS)|stars and constellations: Sirius
24D11|catasterism, honouring a person by including him among the stars
24D2|galaxies
24D21|Milky Way
24D211|genesis of the Milky Way (Juno suckling Hercules)
24D4|other galaxies or stellar systems
24D4(...)|other galaxies or stellar systems (with NAME)
24E|astronomical phenomena
24E1|comet
24E10|'Cometa, ninfa dell'aria' (Ripa)
24E2|meteor
24E3|meteorites
24F|firmament, sky
24F1|contemplating the firmament
24F2|stars in the firmament
24G|spheres ~ heavens
24G1|empyrean
25|earth, world as celestial body
250|'Mondo', 'Machina del mondo' (Ripa)
25A|maps, atlases
25A1|map of the world
25A11|map in square or circular form according to old ideas about the shape of the world
25A111|centre of the world, 'omphalos' (on map or atlas)
25A1111|map with Jerusalem as centre
25A1112|map with Delphi as 'omphalos'
25A12|modern projections ~ map of the world
25A13|globe
25A131|globe in the shape of an icosahedron
25A14|the four main directions
25A141|north (one of the four main directions)
25A1410|'Settentrione' (Ripa)
25A142|east (one of the four main directions)
25A1420|'Oriente' (Ripa)
25A1421|orientation, facing the east
25A143|south (one of the four main directions)
25A1430|'Mezzodì' (Ripa)
25A144|west (one of the four main directions)
25A1440|'Occidente' (Ripa)
25A15|latitude and longitude
25A151|latitude
25A1511|equator
25A1512|tropics
25A152|longitude
25A1521|meridian
25A2|maps of the continents and the polar regions
25A21|(map of) Europe
25A22|(map of) Asia
25A23|(map of) Eurasia
25A24|(map of) Africa
25A25|(map of) America
25A251|(map of) North America
25A252|(map of) South America
25A26|(map of) Australia
25A27|(map of) the polar regions, frigid zones
25A271|(map of) the North Pole
25A272|(map of) the South Pole
25A3|maps of separate countries or regions
25A3(...)|maps of separate countries or regions (with NAME)
25A4|maps of cities
25A4(...)|maps of cities (with NAME)
25A5|marine charts
25A9|map making
25A90|'Corografia', 'Geografia', 'Hidrografia' (Ripa)
25A91|geodesy, surveying
25A910|'Altimetria' (Ripa)
25A911|instruments used in geodesy, surveying instruments
25A911(...)|instruments used in geodesy, surveying instruments (with NAME)
25A9111|Jacob's staff (surveying instrument)
25B|continents represented allegorically
25B1|Europe represented allegorically; 'Europa' (Ripa)
25B2|Asia represented allegorically; 'Asia' (Ripa)
25B3|Africa represented allegorically; 'Africa' (Ripa)
25B4|America represented allegorically; 'America' (Ripa)
25B5|Australia represented allegorically
25B6|the polar regions, frigid zones represented allegorically
25B61|allegorical representation of the North Pole
25B62|allegorical representation of the South Pole
25C|geological phenomena
25C1|volcanism
25C11|eruption (of volcano)
25C111|stream of lava
25C112|ash cloud
25C12|volcano
25C13|hot spring, geyser
25C14|fumes, brimstone, etc.
25C15|earthquake
25C150|'Terremoto' (Ripa)
25C151|consequences of an earthquake
25C16|genesis of mountain chain, etc.
25C17|genesis of island
25C19|extinct volcano
25C191|volcanic formations
25C192|cold lava
25C2|terrestrial magnetism
25C21|compass
25C211|compass card
25D|rock types; minerals and metals; soil types
25D1|rock types
25D11|precious and semiprecious stones
25D11(...)|precious and semiprecious stones (with NAME)
25D11(ALMANDINE)|precious and semiprecious stones: almandine
25D11(AMETHYST)|precious and semiprecious stones: amethyst
25D11(CHALCEDONY)|precious and semiprecious stones: chalcedony
25D11(CHRYSOBERYL)|precious and semiprecious stones: chrysoberyl
25D11(CHRYSOLITE)|precious and semiprecious stones: chrysolite
25D11(CHRYSOPRASE)|precious and semiprecious stones: chrysoprase
25D11(DIAMOND)|precious and semiprecious stones: diamond
25D11(EMERALD)|precious and semiprecious stones: emerald
25D11(JASPER)|precious and semiprecious stones: jasper
25D11(ROCK-CRYSTAL)|precious and semiprecious stones: rock-crystal
25D11(RUBY)|precious and semiprecious stones: ruby
25D11(SAPPHIRE)|precious and semiprecious stones: sapphire
25D11(TOPAZ)|precious and semiprecious stones: topaz
25D11(TURQUOISE)|precious and semiprecious stones: turquoise
25D12|kinds of non-precious stone
25D12(...)|kinds of non-precious stone (with NAME)
25D12(CHALK)|kinds of non-precious stone: chalk
25D12(FLINT)|kinds of non-precious stone: flint
25D12(MARBLE)|kinds of non-precious stone: marble
25D12(PUMICE)|kinds of non-precious stone: pumice
25D13|minerals and metals
