0|Abstract, Non-representational Art
11D3371|Kristus na koni v čele armády rytířů, "Militia Christi"
11D34|adult Christ ~ abstract conceptions
11D35|konkrétní typy ukřižovaného Krista (v nenarativním kontextu)
11D351|Kristus trpící (s trnovou korunou, hlava obvykle otočená na stranu)
11D352|Kristus pokrytý vředy od škůdců, "Pestkruzifixus
11D353|Kristus triumfuje (s korunou, hlava obvykle vzpřímená)
11D354|Kristus se sklání z kříže, aby někoho objal
11D355|Kristus ukřižovaný na stromě nebo na vinné révě
11D356|Kristus ukřižovaný na "živém" kříži
11D357|ctnosti ~ ukřižovaný Kristus
11D36|další typy ukřižovaného Krista v nenarativním kontextu
11D4|legendy a pobožnosti ~ Kristus
11D41|legends ~ Christ
11D411|legenda o pravém kříži
11D4111|Seth položí na Adamův hrob větvičku ze Stromu poznání ~ legenda o pravém kříži
11D41111|Set hledá ráj; anděl mu dává větvičku nebo baňku s olejem ~ legenda o pravém kříži
11D4112|dřevo je použito na stavbu Šalamounova chrámu ~ legenda o pravém kříži
11D4113|dřevo, které slouží jako most, uctívá královna ze Sáby ~ legenda o pravém kříži
11D4114|dřevo je vzato z rybníka Bethesda, aby posloužilo jako Kristův kříž ~ legenda o pravém kříži
11D4115|Helenino vidění svatého kříže neseného anděly ~ legenda o pravém kříži
11D4116|nalezení pravého kříže
11D41161|Žid Jidáš, kterého Helena, matka Konstantina, uvrhla do studny ~ legenda o pravém kříži
11D41162|tři kříže jsou vykopány poblíž Venušina chrámu ~ legenda o pravém kříži
11D41163|Helena identifikuje pravý kříž: lidská mrtvola je navrácena k životu, když se dotkne kříže
11D41164|Helena a Konstantin klečí před pravým křížem (nebo stojí vedle něj)
11D4117|vztyčení pravého kříže, Povýšení svatého kříže
11D41171|Císař Heraklius poráží perského krále Chosroese II. a získává zpět část Pravého kříže
11D41172|Herakleiův vjezd do Jeruzaléma: císař, svlečený z královského roucha, nese na žádost anděla do města pravý kříž
11D411721|vjezd císaře Herakleia do Jeruzaléma na oslu nebo na koni ~ legenda o pravém kříži
11D41173|pravý kříž je vztyčen na Golgotě (nebo na oltáři) ~ legenda o Pravém kříži
11D41174|Chosroes II. odmítl křest a byl popraven ~ legenda o pravém kříži
11D412|legenda o krvácejícím svatém kopí
11D413|legenda o Svatém grálu
11D414|basilidovo proroctví: císař Titus se na cestě do Jeruzaléma radí s Basilidem Karmelitánem, který mu ukazuje vidění Boha Otce s mrtvým Kristem
11D42|devotion ~ Christ
11D421|sedm Kristových krvácení
11D4211|jednotlivé scény Sedmi krvácení Krista
11D422|nejsvětějšího srdce
11D423|posvátná krev
11D424|posvátná slza
11D425|Christ's length
11D43|relics ~ Christ
11D431|úlomky kříže ~ Kristovy relikvie
11D432|křížové hřeby ~ Kristovy relikvie
11D433|svaté kopí ~ Kristovy relikvie
11D434|Kristovo roucho ~ Kristovy relikvie
11D435|"Scala Santa", schody Pilátova paláce ~ Kristovy relikvie
11D5|mystic ideas ~ Christ
11D51|Kristus a duše
11D511|duše jako Kristova nevěsta
11D52|Kristus a lidské srdce
11D53|Christ's blood saving mankind
11D6|zázračné sochy Krista nebo dítěte Krista
11D6(...)|zázračné sochy Krista nebo dítěte Krista (s JMÉNEM)
11D9|Antichrist
11D91|scény ze života Antikrista
11DD3|Christ as adult - DD - Christ beardless
11DD31|"portréty" Krista - DD - Kristus bez vousů
11DD311|"Mandylion", tj. portrét, snad vytvořený pro edesského krále Abgara samotným Kristem přitisknutím jeho tváře na plátno - DD - Kristus bez vousů
11DD3111|Kristus dává mandylion poslovi krále Abgara - DD - Kristus bez vousů
11DD3112|mandylion je přivezen do Edessy - DD - Kristus bez vousů
11DD312|'Vera Icon', 'Sudarium', Veronica-portrait - DD - Christ triumphant
11DD3121|'Vera Icon', held up by Veronica - DD - Christ triumphant
11DD3122|'Vera Icon', held up by angels - DD - Christ triumphant
11DD3123|'Ikona Věry' v rukou Petra a Pavla - DD - Kristus triumfuje
11DD313|"portrét" Krista podle Lentulova dopisu - DD - Kristus bez vousů
11DD314|"Volto Santo", např. z Luccy (snad vyřezáno Nikodémem) - DD - Kristus bez vousů
11DD315|lukášův portrét Krista - DD - Kristus bez vousů
11DD316|ex-foto ženy uzdravené z krvácení - DD - Kristus bez vousů
11DD317|(v celé délce) obraz Krista na rubáši, "Sindone" - DD - Kristus bez vousů
11DD318|(jiné) "portréty" Krista, např. portrét z profilu - DD - Kristus bez vousů
11DD32|jednotlivé typy dospělého Krista (bez dalších) - DD - Kristus bez vousů
11DD321|"Majestas Domini": Kristus v mandorle sedící na duze nebo kouli a doprovázený Tetramorfem - DD - Kristus bez vousů
11DD322|Christ enthroned - DD - Christ beardless
11DD3221|"Pantokrator", (busta) Krista, který dělá mluvící nebo žehnající gesto a drží knihu - DD - Kristus bez vousů
11DD3222|'Christus Rex' - DD - Christ beardless
11DD3223|Christ as (heavenly) judge - DD - Christ beardless
11DD323|Kristus - "Logos", vtělené Slovo - DD - Kristus bez vousů
11DD324|"Salvator Mundi", žehnající gesto; koule v ruce nebo u nohou - DD - Kristus bez vousů
11DD325|Kristus ~ eucharistie - DD - Kristus bez vousů
11DD3251|Kristus s kalichem a chlebem nebo hostií - DD - Kristus bez vousů
11DD3252|Kristus ve vinném lisu, 'Christus in der Kelter' (Iz 63,3) - DD - Kristus bez vousů
11DD3253|Kristus v symbolickém mlýně - DD - Kristus bez vousů
11DD326|'Fons Vitae', 'Fons Pietatis' - DD - Christ beardless
11DD3261|Kristus stojící na prameni nebo v jeho blízkosti, prolévající svou krev - DD - Kristus bez vousů
11DD3262|Kristus na kříži (v kašně), prolévá svou krev - DD - Kristus bez vousů
11DD327|Christ ~ human occupations - DD - Christ beardless
11DD3271|Christ as Good Shepherd - DD - Christ beardless
11DD3272|Christ as physician - DD - Christ beardless
11DD32721|Christ as apothecary - DD - Christ beardless
11DD3273|Christ fishing - DD - Christ beardless
11DD3274|Christ as pedlar - DD - Christ beardless
11DD3275|Kristus jako zemědělec nebo zahradník - DD - Kristus bez vousů
11DD3276|Christ as host - DD - Christ beardless
11DD3277|Kristus jako (vele)kněz nebo prorok - DD - Kristus bez vousů
11DD3278|Christ as pilgrim - DD - Christ beardless
11DD3279|"Feiertagschristus", Kristus s řemeslnickým nářadím - DD - Kristus bez vousů
11DD328|typy dospělého Krista (samotného) - DD - Kristus bez vousů
11DD3281|Christ as woman - DD - Christ beardless
11DD3282|Kristus v oranském postoji - DD - Kristus bez vousů
11DD3283|Christ as angel - DD - Christ beardless
11DD3284|Christ ~ Orpheus - DD - Christ beardless
11DD3285|Christ ~ Apollo (Helios) - DD - Christ beardless
11DD33|dospělý Kristus spolu s ostatními (nenarativní zobrazení) - DD - Kristus bez vousů
11DD331|dospělý Kristus s Marií - DD - Kristus bez vousů
11DD3311|Kristus a Marie jako ženich a nevěsta - DD - Kristus bez vousů
11DD332|dospělý Kristus spolu s anděly - DD - Kristus bez vousů
11DD333|dospělý Kristus ~ ďábel(é) a démonické bytosti - DD - Kristus bez vousů
11DD3331|Christ triumphing over devil(s) - DD - Christ beardless
11DD334|dospělého Krista spolu s apoštoly, evangelisty, svatými atd. - DD - Kristus bez vousů
11DD3341|Kristus s Janem Evangelistou opřeným o jeho hruď, "Johannesminne", "Christus-Johannes-Gruppe" - DD - Kristus bez vousů
11DD3342|"Traditio legis", "Dominus legem dat", tj. Kristus předává svitek (Zákon) Pavlovi; Petr přítomen - DD - Kristus bez vousů
11DD33421|Kristus předává svitek (Zákon) Pavlovi; přítomni apoštolové - DD - Kristus bez vousů
11DD3343|Kristus s kajícími hříšníky (Adam, David, marnotratný syn, Máří Magdaléna, dobrý zločinec, Petr atd.) - DD - Kristus bez vousů
11DD335|dospělý Kristus spolu se smrtelníky - DD - Kristus pohrdá, vyhrožuje atd.
11DD3351|(dospělý) Kristus se zjevuje smrtelníkům - DD - Kristus pohrdá, vyhrožuje atd.
11DD336|triumfující Kristus, např. na triumfálním voze - DD - Kristus bez vousů
11DD337|Kristus na koni - DD - Kristus bez vousů
11DD3371|Kristus na koni vedoucí vojsko rytířů, "Militia Christi" - DD - Kristus bez vousů
11DD34|adult Christ ~ abstract conceptions - DD - Christ beardless
11DD35|konkrétní typy ukřižovaného Krista (v nenarativním kontextu) - DD - Kristus bez vousů
11DD351|Kristus trpící (s trnovou korunou, hlava obvykle otočená na stranu) - DD - Kristus bez vousů
11DD352|Kristus pokrytý morovými ranami, 'Pestkruzifixus' - DD - Kristus bez vousů
11DD353|Kristus triumfující (s korunou, hlava obvykle vzpřímená) - DD - Kristus bez vousů
11DD354|Kristus se sklání z kříže, aby někoho objal - DD - Kristus bez vousů
11DD355|Kristus ukřižovaný na stromě nebo na vinné révě - DD - Kristus bez vousů
11DD356|Kristus ukřižovaný na "živém" kříži - DD - Kristus bez vousů
11DD357|ctnosti ~ ukřižovaný Kristus - DD - Kristus bez vousů
11DD36|další typy ukřižovaného Krista v nenarativním kontextu - DD - Kristus bez vousů
11DD422|nejsvětější srdce - DD - dítě Kristus a Nejsvětější srdce
11E|ducha svatého
11E1|Duch svatý zobrazený jako holubice (v plamenech)
11E2|Holy Ghost represented as flames
11E3|Duch svatý v lidské podobě
11E4|Duch svatý zobrazen jinak, např. paprskem (paprsky) světla
11E5|sedm darů Ducha svatého
11E51|sedm darů Ducha svatého znázorněných jako sedm holubic
11E52|sedm darů Ducha svatého znázorněných jako sedm plamenů
11E53|sedm darů Ducha svatého znázorněných jako sedm lamp nebo jako sedmiramenný svícen
11E54|samostatné představení sedmi darů Ducha svatého
11E541|"Sapientia", Moudrost; "Sapienza divina" (Ripa) ~ jeden ze sedmi darů Ducha svatého
11E542|"Intellectus", "Intelligentia", Porozumění ~ jeden ze sedmi darů Ducha svatého
11E543|"Consilium", Rada ~ jeden ze sedmi darů Ducha svatého
11E544|"Fortitudo", Statečnost ~ jeden ze sedmi darů Ducha svatého
11E545|"Pietas", zbožnost ~ jeden ze sedmi darů Ducha svatého
11E546|"Scientia", vědění ~ jeden ze sedmi darů Ducha svatého
11E547|"Timor Domini", Svatá bázeň ~ jeden ze sedmi darů Ducha svatého
11F|panna Maria
11F1|symboly a prefigurace Marie
11F11|symboly Marie
11F111|symboly Marie z litanií
11F111(...)|symboly Marie z litanií (s TEXTEM)
11F111(CIVITAS DEI)|symboly Marie z litanií: Civitas Dei
11F111(ELECTA UT SOL)|symboly Marie z litanií: Electa ut sol
11F111(FLOS CAMPI)|symboly Marie z litanií: Flos campi
11F111(FONS SIGNATUS)|symboly Marie z litanií: Fons signatus
11F111(HORTUS CONCLUSUS)|symboly Marie z litanií: Hortus conclusus
11F111(PORTA COELI)|symboly Marie z litanií: Porta coeli
11F111(PULCHRA UT LUNA)|symboly Marie z litanií: Pulchra ut luna
11F111(ROSA MYSTICA)|symboly Marie z litanií: Rosa mystica
11F111(SPECULUM SINE MACULA)|symboly Marie z litanií: Speculum sine macula
11F111(STELLA MARIS)|symboly Marie z litanií: Stella maris
11F111(STELLA MATUTINA)|symboly Marie z litanií: Stella matutina
11F111(TURRIS DAVIDICA)|symboly Marie z litanií: Turris Davidica
11F111(TURRIS EBURNEA)|symboly Marie z litanií: Turris eburnea
11F112|Marie nebo Madona se symboly Lauretánské litanie
11F12|monogramy Marie
11F13|erb Marie
11F14|"Defensorium inviolatae virginitatis"; symboly panenského mateřství
11F15|prefigurace Marie; Marie a její prefigurace
11F2|Marie (bez dítěte Krista)
11F21|Mary as child
11F22|"portréty" Marie
11F23|vzpřímené postavy Marie bez dítěte Krista
11F231|Mary as orante (sometimes called 'Blacherniotissa')
11F232|'Immaculata', 'Purisima': Maria, obvykle stojící na půlměsíci, sestupující z nebe, osvobozená od prvotního hříchu (někdy šlape po hadovi)
11F2321|'Immaculata', 'Purisima': Maria se svatými
11F233|Marie stojící nebo spočívající na zemi
11F234|těhotná Marie, Panna Maria Očekávání, "Madonna del Parto
11F2341|pregnant Mary, Christ-child visible
11F235|opening Virgin
11F2351|Trojice uvnitř otvoru Virgin
11F2352|Umučení Krista uvnitř otevírající se Panny Marie
11F236|"Aehrenkleidmaria" (někdy s Christ-child)
11F24|sedící postavy Marie (samotné)
11F241|Panna Maria Bolestná
11F2411|(Sedm) bolestí Panny Marie
11F2412|Mary pierced by seven swords
11F242|Panny Marie Radostné
11F2421|(Sedm) radostí Marie
11F243|Mary a jednorožec
11F244|Mary enthroned
11F26|ostatní typy Mary (samostatně)
11F25|'Mater Dolorosa'
11F251|Mary weeping
11F252|Marie probodnutá mečem
11F253|Marie s nástroji umučení
11F261|Maria jako nevěsta Ducha svatého (s holubicí na prsou)
11F262|Mary as shepherdess
11F263|Mary as pilgrim
11F264|Mary as hermit (after Christ's death), 'Nostra señora de la Soledad'
11F265|Mary as doctor
11F266|Marie vítězí nad ďáblem
11F267|Mary saving soul(s)
11F268|Maria jako kněžka, která podává eucharistii
11F3|Marie (bez dítěte Krista) spolu s ostatními
11F31|Maria se přimlouvá (u Krista), "Maria Mediatrix" (někdy Maria ukazuje svá ňadra)
11F32|Marie spolu se smrtelníky, kteří ji uctívají nebo ji prosí o pomoc
11F33|Marie dává mléko z prsou, "Lactatio
11F34|Maria chrání lidstvo před morem, např. tím, že schovává lidi pod svým pláštěm; "Pestbild"
11F35|Maria jako královna apoštolů
11F36|triumf Marie na triumfálním voze
11F4|Madona: tj. Marie s dítětem Kristem
11F41|Madona: Marie stojící (nebo v poloviční výšce), Kristus-dítě v blízkosti jejího lůna
11F411|Stojící (nebo polopostava) Marie, před ní dítě Kristus, blízko jejích prsou
11F4111|Stojící (nebo v polopřímém postoji) Marie, před ní dítě Kristus, blízko jejích prsou; stojící Maria
11F4112|Marie stojící (nebo v polopřímém postoji) s dítětem Kristem před sebou, blízko svých prsou; sedící
11F41121|'Nikopoia' ~ Madonna
11F4113|Marie stojí (nebo stojí v polopřímém postoji), před sebou dítě Krista, blízko svých prsou; leží
11F412|Stojící Marie (nebo v polopostavě) s dítětem na ruce (dítě vlevo od Marie)
11F4121|Stojící Marie (nebo v polopostavě), na jejím rameni stojí dítě (dítě po Mariině levici)
11F4122|Stojící (nebo v polopostavě) Marie, na jejímž rameni sedí dítě (dítě po Mariině levici)
11F41221|'Hodegetria' ~ Madonna
11F41222|'Dexiocratousa' ~ Madonna
11F41223|'Eleousa', 'Glykophilousa' ~ Madonna
11F4123|Stojící (nebo v polopostavě) Marie, na jejímž rameni leží dítě (dítě vlevo od Marie)
11F41231|'Galaktotrophousa' ~ Madonna
11F413|specifické typy stojících (nebo polopostavených) madon, bez dalších
11F4131|"Platytera", tj. Marie v pozici orans s dítětem v klipu před sebou
11F41311|Marie, obvykle s dítětem Kristem, v orans-pozici v prameni (života)
11F4132|Madona na půlměsíci (někdy nazývaná Královna nebes) (v mandorle)
11F4133|Dítě na Mariině paži bojující s drakem
11F4134|'Madonna della Vittoria', triumphing, e.g. over Protestantism
11F4135|"Marianum", Madona v aureole nebo mandorle (obklopená růžencem), Maria ve slávě
11F4136|Madona na sloupu, "Mariensäule
11F4137|Madona stojící (nebo sedící) na lvu (Judově)
11F42|Madona: sedící nebo trůnící Marie s dítětem na klíně (nebo před ňadry) (někdy je Marie zobrazována v poloviční délce)
11F421|Sedící nebo trůnící Marie s dítětem na klíně (nebo na prsou) před sebou
11F4211|Sedící nebo trůnící Marie s dítětem Kristem před sebou, stojícím na jejím klíně (nebo před jejími prsy)
11F4212|Sedící nebo trůnící Marie, před ní dítě - Kristus, sedící na jejím klíně (nebo před jejími prsy)
11F42121|'Sedes Sapientiae'
11F42122|Madona (nebo samotná Maria) na Šalamounově trůnu, někdy obklopená ctnostmi
11F4213|Sedící nebo trůnící Marie, před ní ležící dítě, ležící na jejím klíně (nebo před jejími ňadry), někdy v pozici Piety
11F422|Sedící nebo trůnící Marie s dítětem na klíně (dítě vlevo od Marie)
11F4221|Sedící nebo trůnící Marie, na jejímž klíně stojí dítě (dítě po Mariině levici)
11F4222|Sedící nebo trůnící Marie, na jejímž klíně sedí dítě (dítě po Mariině levici)
11F4223|Sedící nebo trůnící Marie, na jejímž klíně leží dítě (dítě vlevo od Marie)
11F423|konkrétní typy sedících nebo trůnících Madon (bez dalších)
11F4231|Madona v růžové zahradě, "Paradiesgärtlein
11F4232|Madona obklopená věncem z květin (nebo ovoce)
11F4233|Madona na stromě
11F43|Madona: Marie sedí na zemi, na klíně má dítě Krista
11F431|Marie sedí na zemi, před sebou na klíně má dítě Krista
11F4311|Maria sedí na zemi, před ní stojí na klíně dítě Kristus
11F4312|Marie sedí na zemi, před sebou má na klíně dítě Krista
11F4313|Marie sedí na zemi, před sebou má dítě, které jí leží na klíně
11F43131|"Madonna dell'Umiltà" (obvykle Marie kojící dítě Krista vsedě na zemi)
11F4314|Maria sedí na zemi, před ní klečí na klíně dítě - Kristus
