4|Society, Civilization, Culture
41A723|bench
41A73|skladovací nábytek
41A731|cupboard
41A732|ornamental cupboard
41A733|chest, coffer
41A734|'cassone'
41A735|lock ~ furniture
41A7351|key ~ furniture
41A7352|bolt ~ furniture
41A7353|padlock ~ furniture
41A74|nábytek pro zvláštní použití
41A741|screen, folding screen
41A75|decorative furniture
41A751|draught-screen
41A76|nábytek, na kterém lze ležet nebo v němž lze ležet
41A761|bed
41A7611|vestavěná postel (nizozemsky "bedstee")
41A7612|lůžko s testerem
41A76121|two poster bed
41A76122|four poster bed
41A762|hammock
41A763|bedding
41A7631|mattress
41A7632|pillow
41A7633|sheet
41A7634|blanket
41A7635|bed-spread
41A77|containers
41A771|nádoba z kovu: kbelík, plechovka, kanystr, sud, plechovka atd.
41A7711|nádoba z drahého kovu
41A772|nádoba z kamene: kamenná váza
41A7721|nádoba s (polo)drahým kamenem
41A773|nádoba z keramiky: sklenice, džbán, hrnec, váza
41A774|nádoba ze skla: láhev, sklenice, váza
41A775|wooden container: barrel, cask
41A7751|nádoba z jiného rostlinného materiálu než ze dřeva: koš
41A776|obal z kůže: kožená taška
41A7761|kontejner s jiným živočišným materiálem
41A777|obal z textilního materiálu: pytel, sáček, síťovina
41A778|obal z papíru, lepenky: taška, karton
41A779|nádoba ze syntetického materiálu
41A78|fancy goods, knick-knacks
41A8|užívání domu
41A81|vybavení (domu)
41A82|moving (house)
41A9|zřícenina obydlí, domu, hradu atd.
41AA1|civic architecture; edifices; dwellings - AA - civic architecture: inside
41AA10|'Edifitio overo un sito' (Ripa) - AA - civic architecture: inside
41AA11|palace - AA - civic architecture: inside
41AA111|hôtel, tj. malý palác ve městě - AA - občanská architektura: uvnitř
41AA12|castle - AA - civic architecture: inside
41AA121|opevněný dům ve městě - AA - občanská architektura: uvnitř
41AA13|edifice, e.g.: public building, department store - AA - civic architecture: inside
41AA14|urban housing - AA - civic architecture: inside
41AA141|obvyklý dům nebo řada domů - AA - občanská architektura: uvnitř
41AA142|dům kombinovaný s obchodem - AA - občanská architektura: interiér
41AA143|rodinný dům ve městě - AA - občanská architektura: interiér
41AA144|flat-building, apartment house - AA - civic architecture: inside
41AA15|skyscraper - AA - civic architecture: inside
41AA16|rural housing, e.g. country-house, villa, cottage - AA - civic architecture: inside
41AA161|country-house - AA - civic architecture: inside
41AA162|villa - AA - civic architecture: inside
41AA163|cottage - AA - civic architecture: inside
41AA17|farm (building) - AA - civic architecture: inside
41AA171|barn - AA - civic architecture: inside
41AA18|hut, cabin, lodge - AA - civic architecture: inside
41AA181|log-cabin - AA - civic architecture: inside
41AA182|Indian lodge - AA - civic architecture: inside
41AA1821|wigwam - AA - civic architecture: inside
41AA19|other dwelling types - AA - civic architecture: inside
41AA191|tent - AA - civic architecture: inside
41AA1911|tent-camp - AA - civic architecture: inside
41AA1912|tepee, tipi, teepee - AA - civic architecture: inside
41AA192|caravan (trailer) - AA - civic architecture: inside
41AA1921|caravan-camp - AA - civic architecture: inside
41AA1922|trailer - AA - civic architecture: inside
41AA193|houseboat - AA - civic architecture: inside
41AA194|lake-dwelling, pile-dwelling - AA - civic architecture: inside
41AA1941|ostatní obydlí stojící nad zemí - AA - občanská architektura: uvnitř
41AA195|snow-hut, igloo - AA - civic architecture: inside
41AA196|cave-dwelling - AA - civic architecture: inside
41AA32|door - AA - feigned door, sham-door
41AA321|otevírání dveří - AA - předstírané dveře, falešné dveře
41AA3211|open door - AA - feigned door, sham-door
41AA3212|divided door, upper part opened - AA - feigned door, sham-door
41AA3213|revolving door - AA - feigned door, sham-door
41AA322|zavírání, zavírání dveří - AA - předstírané dveře, falešné dveře
41AA3221|closed door - AA - feigned door, sham-door
41AA323|monumental door, porch, 'aediculum' - AA - feigned door, sham-door
41AA324|kování dveří - AA - předstírané dveře, falešné dveře
41AA3241|door-knocker, doorbell - AA - feigned door, sham-door
41AA3242|door-handle, doorknob - AA - feigned door, sham-door
41AA325|threshold - AA - feigned door, sham-door
41AA3251|stile, post, doorjamb - AA - feigned door, sham-door
41AA3252|door furniture, e.g. boot scraper, brush, doormat - AA - feigned door, sham-door
41AA326|letter-box ~ door - AA - feigned door, sham-door
41AA327|doorkeeper, house-guard (inanimate) - AA - feigned door, sham-door
41AA328|lock ~ door - AA - feigned door, sham-door
41AA3281|key - AA - feigned door, sham-door
41AA32811|master-key, 'passe-partout', skeleton key - AA - feigned door, sham-door
41AA3282|latch - AA - feigned door, sham-door
41AA3283|bolt - AA - feigned door, sham-door
41AA3284|padlock - AA - feigned door, sham-door
41AA33|window - AA - feigned window
41AA331|otevření okna - AA - předstírané okno
41AA3311|open window - AA - feigned window
41AA332|zavření okna - AA - předstírané okno
41AA3321|closed window - AA - feigned window
41AA333|window shutters - AA - feigned window
41AA3331|okenice na vnější straně - AA - předstírané okno
41AA3332|okenice na vnitřní straně - AA - předstírané okno
41AA335|window-seat - AA - feigned window
41AA336|lidská postava u (otevřeného) okna - AA - předstírané okno
41AA3361|lidská postava u (otevřeného) okna, pohled zvenčí - AA - fingované okno
41AA3362|lidská postava u (otevřeného) okna, pohled zevnitř - AA - předstírané okno
41AA337|pohled oknem - AA - předstírané okno
41AA3371|pohled oknem zvenčí - AA - předstírané okno
41AA3372|pohled oknem zevnitř - AA - fingované okno
41B|heating, lighting, ventilating
41B1|otevřený oheň (obecně)
41B11|rozdělání ohně
41B111|křemen a ocel
41B112|tinder-box
41B113|sulphur match
41B114|match
41B1141|match-box
41B115|fuse
41B12|burning as process
41B12(...)|spalování jako proces (s názvem paliva)
41B12(COAL)|burning as process: coal
41B12(FAGGOT)|burning as process: faggot
41B12(LOG)|burning as process: log
41B12(OIL)|burning as process: oil
41B12(STRAW)|burning as process: straw
41B121|flame
41B122|spark ~ fire
41B123|gases liberated by combustion
41B13|rozdmýchávání ohně
41B131|foukání (rozdmýchávání ohně)
41B1311|bellows
41B132|rozdmýchávání (rozdmýchávání ohně)
41B1321|fan
41B133|šťouchání (rozdmýchávání ohně)
41B1331|poker (~ open fire)
41B14|hašení požáru
41B15|usazeniny ze spalování
41B151|soot
41B152|ash
41B153|cinders, slag
41B16|camp-fire; watch-fire
41B161|bonfire
41B162|smoke
41B2|krb a kamna
41B21|open hearth, fire-place
41B211|ohřívání se u ohně (nebo krbu, kamen, ohniště, pekáče)
41B212|implements ~ fire-place
41B2121|fire-tongs
41B2122|hasicí přístroj na uhlí
41B213|accessories ~ fire-place
41B2131|fire-screen
41B2132|fender
41B2133|hearth-plate
41B2134|figurky na desce
41B2135|pot suspended by chain
41B2136|andiron, fire-dog
41B214|chimney
41B2141|chimney-piece, mantelpiece
41B2142|chimney ornaments
41B22|heating stove
41B221|rošt (topných kamen)
41B222|stove-pipe
41B223|coal-bucket
41B224|coal-shovel
41B23|foot-stove
41B231|ohřívací pánev (do postele)
41B232|hot-water bottle
41B24|central heating
41B241|radiator (central heating)
41B29|cooling, air conditioning
41B3|lighting; lamps
41B31|candle
41B311|chandelier, candelabrum
41B312|sconce, wall lamp
41B313|candlestick
41B314|snuffers
41B32|torch
41B33|lantern
41B34|oil-lamp
41B35|paraffin lamp
41B36|gas-lamp
41B37|electric lamp
41B371|light bulb (electric)
41B372|neon lamp, neon tube
41B4|hořící, v plamenech
41B5|fire-fighting
41B51|fire-department, fire-brigade
41B511|firemen
41B52|fire-extinguishing equipment
41B521|pails (fire-extinguishing equipment)
41B522|pump (fire-extinguishing equipment)
41B523|fire-hose
41B524|chemical fire-extinguishing apparatus
41B525|fire-engine
41B53|záchrana před požárem
41B531|záchrana z požáru pomocí skákacího lana
41B6|ventilation systems
41B61|airshaft
41BB32|torch - BB - torch held upside down
41C|nutrition, nourishment
41C1|jídlo a pití
41C10|gastronomie, umění jíst a pít
41C11|eating
41C111|giving food
41C119|hunger
41C1190|personifikace hladu, "Fames"; "Fame" (Ripa)
41C1191|starvation, famine
41C1192|hunger-strike
41C12|drinking
41C121|giving drink
41C122|pouring
41C129|thirst
41C13|foukání, aby se jídlo před konzumací ochladilo
41C14|míchání, aby se jídlo před konzumací ochladilo
41C18|nasycení, nasycení ~ jídlo a pití
41C19|neukojitelný hlad nebo žízeň
41C2|kuchyně a sklep
41C21|kitchen
41C211|kitchen-interior
41C2111|interiér kuchyně s potravinami v popředí (nizozemsky "keukenstuk")
41C212|sink (kitchen)
41C22|kitchen-personnel
41C221|cook
41C222|kitchen-maid, kitchen servant
41C23|chudá a bohatá kuchyně
41C231|rich kitchen
41C232|poor kitchen
41C24|conserving food
41C241|cellar
41C2411|wine-cellar
41C24111|wine-steward
41C242|ice-cellar
41C2421|ice-box, refrigerator
41C25|cooking food
41C251|roasting, grilling
41C2511|spit ~ cooking
41C2512|grill, gridiron ~ cooking food
41C252|frying
41C253|boiling
41C254|kitchen-fire
41C2541|otevřený oheň, krb, kamna (v kuchyni)
41C2542|cooker
41C2543|oven ~ kitchen
41C26|příprava potravin
41C261|cleaning (food)
41C2611|cleaning vegetables
41C2612|cleaning fruit, e.g. peeling
41C26121|(half-)peeled fruit, e.g. lemon
41C2613|čištění drůbeže nebo malých zvířat
41C26131|plucked fowl
41C262|dividing (food)
41C2621|cutting meat
41C2622|slicing bread
41C263|mixing, combining (preparing food)
41C2631|příprava těsta
41C264|smoothing, beating (preparing food)
41C265|ornamenting, decorating, dressing (preparing food)
41C269|washing up
41C27|kitchen-utensils
41C27(...)|kuchyňské náčiní (s NAME)
41C27(CAULDRON)|kitchen-utensils: cauldron
41C27(COLANDER)|kitchen-utensils: colander
41C27(FRYING PAN)|kitchen-utensils: frying pan
41C27(FUNNEL)|kitchen-utensils: funnel
41C27(GRATER)|kitchen utensils: grater
41C27(LADLE)|kitchen-utensils: ladle
41C27(PAN)|kitchen-utensils: pan
41C27(POT)|kitchen-utensils: pot
41C27(ROLLING-PIN)|kitchen-utensils: rolling-pin
41C27(SIEVE)|kitchen-utensils: sieve
41C27(SKIMMER)|kitchen-utensils: skimmer
41C3|laid table: table-ware, table-decoration, etc.
41C31|table-ware
41C311|table-knife
41C312|fork
41C313|spoon
41C314|salt-cellar, salt-shaker
41C315|spice-box
41C316|egg-cup
41C317|wine-cooler
41C32|drinking-vessels
41C321|cup
41C3211|drinking-horn
41C3212|nautilus cup
41C322|mug, beaker, goblet
41C3221|goblet foot
41C323|glass, rummer
41C323(...)|sklenice, rummer (s NAME)
41C323(BERKEMEYER)|glass, rummer: berkemeyer
41C323(PASGLAS)|glass, rummer: pasglas
41C324|tankard
41C325|table fountain
41C326|jar, jug (used as drinking-vessel)
41C327|nádoba na pití neobvyklého tvaru
41C3271|animal-shaped drinking-vessel
41C3272|anthropomorphic drinking-vessel
41C32721|human skull as drinking-vessel
41C3273|nádoba na pití ve tvaru předmětu
41C33|čajový a kávový servis
41C331|šálek a podšálek
41C332|coffee-pot
41C333|tea-pot; samovar
41C334|sugar-basin
41C34|dinner-service
41C341|dish, plate, saucer
41C342|serving-dish, platter
41C343|salver
41C344|gravy-boat
41C345|bowl
41C35|table-decoration
41C351|centre-piece, epergne, 'surtout', 'milieu-de-table'
41C352|'trionfi di tavola', 'pièces montées'
41C353|akvamanile, nádoba na vodu k mytí rukou před jídlem
41C36|(jídelní) servis vystavený na příborníku
41C37|table-cloth
41C371|napkin
41C3711|napkin-ring
41C38|laid table as still life
41C381|breakfast piece (Dutch: 'ontbijtje')
41C382|banquet piece
41C4|(family) meal
41C41|breakfast
41C411|morning coffee
41C42|midday meal, lunch
41C421|high tea
41C4211|tea-ceremony
41C422|afternoon tea
41C43|evening meal, dinner, supper
41C44|(late) supper
41C5|celebration meal, feast, banquet
41C50|'Convito' (Ripa)
41C51|banket elegantní společnosti
41C52|carousal, drinking-bout, orgy
41C520|'Crapula' (Ripa)
41C6|potraviny; zátiší s potravinami
41C61|flour
41C611|druhy mouky nebo obilí
41C612|mouka a obilné produkty
41C6121|cereal
41C6122|noodles, spaghetti, etc.
41C62|bread, cake, pastry, etc.
41C621|bread, loaf
41C6211|shaped bread
41C62111|plochý, kulatý chléb nebo pečivo, např. pizza
41C6212|filled breads, rolls, e.g. sandwich, hamburger
41C622|cake, tart, pastry
41C6221|fancy-cakes, fancy-pastries
41C6222|biscuits
41C623|pancakes
41C624|waffles
41C6241|rolled wafer
41C625|pie
41C626|baker's moulds
41C6261|formy na dorty, koláče a zákusky
41C6262|formy na sušenky
41C62621|so-called 'speculaasplanken' (biscuit moulds)
41C6263|waffle-iron
41C6264|bread-tin, baking-tin
41C63|sugar
41C631|loaf-sugar
41C632|sugar-lumps
41C633|syrup
41C634|sugar-candy
41C635|sweets, dainties
41C6351|ice-cream
41C6352|chocolate (solid)
41C636|honey
41C637|sugar-coated
41C6371|icing, frosting
41C64|mléčné výrobky a vejce
41C641|dairy products
41C6411|butter
41C6412|cheese
41C6413|milk
41C64131|buttermilk
41C64132|yoghurt
41C64133|cream
41C642|eggs, egg-dishes
41C65|zelenina a ovoce; zátiší se zeleninou a ovocem
41C651|potatoes
41C6511|processed potatoes, e.g. crisps, chips (French fries)
41C652|vegetables
41C652(...)|zelenina (s NÁZVEM)
41C6521|processed vegetables
41C6521(...)|zpracovaná zelenina (s NAME)
41C653|fruit
41C653(...)|ovoce (s NÁZVEM)
41C6531|processed fruit, e.g. jam, marmalade, etc.
41C66|seasonings, spices
41C66(...)|koření, kořenící přípravky (s NÁZVEM)
41C66(SAFFRON)|seasonings, spices: saffron
41C661|salt
41C662|pepper
41C663|mustard
41C67|oil, vinegar, sauces
41C671|oleje a rostlinné tuky
41C6711|margarine
41C672|vinegar
41C673|sauces
41C68|ryby; zátiší s rybami
41C68(...)|ryby (s NÁZVEM)
41C68(SMOKED HERRING)|fish: smoked herring
41C681|seafood
41C681(...)|mořské plody (s NÁZVEM)
41C69|maso; zátiší s masem
41C691|poražený vůl nebo prase
41C692|druhy masa
41C692(...)|druhy masa (s NÁZVEM)
41C693|sausage
41C694|ham
41C695|fat, lard
41C696|broth, soup
41C7|drinks, stimulants, drugs
41C71|alcoholic drinks
41C711|wine ~ alcoholic drinks
41C7111|sklenice vína
41C7112|láhev vína
41C7113|druhy vína
41C7113(...)|druhy vína (s NÁZVEM)
41C712|liqueur
41C713|distilled spirits
41C7131|genever, gin
41C7132|whisky
41C7133|vodka
41C7134|brandy, brandywine
41C714|beer, ale
41C7141|sklenice piva
41C715|other alcoholic drinks
41C715(...)|ostatní alkoholické nápoje (s NÁZVEM)
41C7151|cocktail
41C72|stimulating drinks
41C721|coffee
41C7211|šálek kávy
41C722|tea (leaves)
41C7221|šálek čaje
41C723|chocolate, cocoa
41C73|other non-alcoholic drinks
41C731|sweet fruit-syrups
41C732|fruit-juice
41C74|tobacco
41C741|pipe ~ tobacco
41C7411|water-pipe, hookah, narghile
41C7412|tabákový svitek, stočený závitek tabáku
41C7413|tobacco-jar
41C7414|pipe-holder, pipe-stand
41C7415|ashtray
41C742|cigar
41C7421|cigar-box
41C7422|cigar-case
41C7423|cigar-holder
41C743|cigarette
41C7431|cigarette-case
41C7432|cigarette-paper
41C7433|cigarette-tube, cigarette-holder
41C744|snuff
41C7441|snuff-box
41C745|chewing-tobacco
41C7451|další povzbuzující věci k žvýkání
41C74511|betel, sirih
41C74512|chewing-gum
41C75|drugs
41C75(...)|léky (s NÁZVEM)
41C75(HASHISH)|drugs: hashish
41C751|opium
41C7511|opium-pipe
41C7512|opium-house
41C76|scents, perfumes ~ stimulants, drugs
41C761|scent-box
41C762|incense-burner ~ scents, perfumes
41C9|cannibalism
41C91|necrophagism
41CC221|cook - CC - female cook
41CC25|vaření jídla - CC - pod širým nebem
41CC251|opékání, grilování - CC - pod širým nebem
41CC2511|rožeň ~ vaření - CC - pod širým nebem
41CC2512|gril, grilování ~ příprava jídla - CC - pod širým nebem
41CC252|smažení - CC - pod širým nebem
41CC253|vaření - CC - pod širým nebem
41CC254|kuchyňský oheň - CC - pod širým nebem
41CC2541|otevřený oheň, krb, kamna (v kuchyni) - CC - pod širým nebem
41CC2542|sporák - CC - pod širým nebem
41CC2543|trouba ~ kuchyně - CC - pod širým nebem
41CC26|příprava pokrmů - CC - pod širým nebem
41CC261|čištění (potravin) - CC - pod širým nebem
41CC2611|čištění zeleniny - CC - pod širým nebem
41CC2612|čištění ovoce, např. loupání - CC - pod širým nebem
41CC26121|(polo)oloupané ovoce, např. citron - CC - na čerstvém vzduchu
41CC2613|čištění drůbeže nebo malých zvířat - CC - pod širým nebem
41CC26131|oškubaná drůbež - CC - pod širým nebem
41CC262|dělení (potravin) - CC - pod širým nebem
41CC2621|krájení masa - CC - pod širým nebem
41CC2622|krájení chleba - CC - pod širým nebem
41CC263|míchání, kombinování (příprava pokrmů) - CC - pod širým nebem
41CC2631|příprava těsta - CC - pod širým nebem
41CC264|hlazení, šlehání (příprava pokrmů) - CC - pod širým nebem
41CC265|zdobení, dekorace, úprava (příprava jídla) - CC - pod širým nebem
41CC269|mytí nádobí - CC - pod širým nebem
41CC4|(rodinné) jídlo - CC - mimo domov
41CC41|snídaně - CC - venku
41CC411|ranní káva - CC - venku
41CC42|polední jídlo, oběd - CC - mimo domov
41CC421|vysoký čaj - CC - venku
41CC4211|čajový obřad - CC - mimo domov
41CC422|odpolední čaj - CC - venku
41CC43|večerní jídlo, večeře, večeře - CC - mimo domov
41CC44|(pozdní) večeře - CC - mimo domov
41CC5|slavnostní jídlo, hostina, banket - CC - mimo domov
41CC50|'Convito' (Ripa) - CC - mimo budovu
41CC51|banket elegantní společnosti - CC - venku
41CC52|kolotoč, pitka, orgie - CC - mimo domov
41CC520|'Crapula' (Ripa) - CC - mimo domov
41D|fashion, clothing
41D1|fashion
41D11|fashion plates
41D12|fashion show
41D121|model, mannequin
41D122|výkladní skříně
41D13|fashion mongering
41D131|dandy, beau
41D1310|'Delitioso' (Ripa)
41D1311|'incroyable' ~ dandy
41D132|fashionable woman, 'belle'
41D1321|'merveilleuse'
41D14|fashion designer
41D2|clothes, costume
41D21|oblečení zakrývající celé tělo
41D21(...)|oblečení zakrývající celé tělo (s NAME)
41D211|dress, gown
41D211(...)|šaty, šaty (s NAME)
41D211(BALL GOWN)|dress, gown: ball gown
41D211(CHEMISE À LA REINE)|dress, gown: chemise à la Reine
41D211(COURT GOWN)|šaty, šat: dvorní šaty nebo dvorní šaty
41D211(DAY DRESS)|dress, gown: day dress
41D211(DINNER DRESS)|dress, gown: dinner dress 
41D211(EVENING DRESS)|dress, gown: evening dress
41D211(MANTEAU)|dress, gown: manteau
41D211(MORNING DRESS)|dress, gown: morning dress
41D211(REDINGOTE)|dress, gown: redingote
41D211(ROBE VOLANTE)|dress, gown: robe volante
41D211(ROBE À L'ANGLAISE)|dress, gown: robe à l'anglaise
41D211(ROBE À LA CIRCASSIENNE)|dress, gown: robe à la circassienne
41D211(ROBE À LA FRANÇAISE)|dress, gown: robe à la française
41D211(ROBE À LA LÉVITE)|dress, gown: robe à la lévite
41D211(ROBE À LA POLONAISE)|dress, gown: robe à la polonaise
41D211(WALKING DRESS)|dress, gown: walking dress
41D212|coat, cape
41D2121|coat
41D2121(...)|kabát (se jménem)
41D2121(BOLERO)|coat: bolero
41D2121(CARACO)|coat: caraco
41D2121(OVERCOAT)|coat: overcoat
41D21211|housecoat
41D21211(...)|plášť (s NAME)
41D21211(BANYAN)|housecoat: banyan
41D2122|cape
41D2122(...)|pláštěnka (se jménem)
41D2122(MANTELET)|cape: mantelet
41D213|soubor oděvů
41D213(...)|soubory oděvů (s NÁZVEM)
41D213(SAILOR SUIT)|soubor oděvů: námořnický oblek
41D22|pokrývky hlavy a oděvy pro horní část těla
41D221|head-gear
41D221(...)|pokrývka hlavy (s NAME)
41D221(BERET)|head-gear: beret
41D221(BICORNE)|head-gear: bicorne, bicorn
41D221(BOATER)|head-gear: boater
41D221(BOWLER)|head-gear: bowler hat
41D221(CAP)|head-gear: cap
41D221(CLOCHE HAT)|head-gear: cloche hat
41D221(FONTANGE)|head-gear: fontange
41D221(ESCOFFION)|head-gear: escoffion
41D221(HAT)|head-gear: hat
41D221(HOOD)|head-gear: hood
41D221(MORNING CAP)|head-gear: morning cap
41D221(TOP HAT)|head-gear: top hat
41D221(TOQUE)|head-gear: toque
41D221(TRICORNE)|head-gear: tricorn
41D221(TURBAN)|head-gear: turban
41D2211|veil
41D2212|Phrygian bonnet
41D222|neck-gear ~ clothing
41D222(...)|nákrčník ~ oblečení (s NAME)
41D222(COLLAR)|neck-gear: collar
41D222(JABOT)|neck-gear: jabot
41D223|oděv pro horní část těla
41D223(...)|oděv pro horní část těla (s NÁZVEM)
41D223(BLOUSE)|oděv pro horní část těla: halenka
41D2231|kus oděvu zakrývající prsa nebo dekolt
41D2231(...)|kus oděvu zakrývající prsa nebo dekolt (s NÁZVEM)
41D224|sleeves
41D225|gloves, mittens, etc.
41D225(...)|rukavice, palčáky (s názvem)
41D2251|"manus velatae" (ruce přikryté látkou)
41D2252|muff
41D23|oděv pro spodní část těla
41D231|trousers, breeches
41D231(...)|kalhoty, kalhoty s nohavicemi atd. (s NÁZVEM)
41D2311|treska (kryt genitálií)
41D232|skirt
41D232(...)|sukně (s NAME)
41D2321|apron
41D233|vybavení pro nohy a chodidla
41D2331|stockings, socks
41D2332|shoes, sandals
41D23321|boots
41D23322|slippers
41D2333|wooden shoes, clogs
41D2334|nohy nestejně obuté
41D23341|bota a střevíc (nestejně obuté nohy)
41D23342|jedna noha obutá, druhá holá
41D2335|accessories ~ shoes, e.g. insole, shoehorn, shoe-polish
41D2339|barefoot
41D24|oděvy pro speciální účely
41D241|oblečení pro oficiální příležitosti
41D2411|atributy hodnostáře
