4|Społeczeństwo, Cywilizacja, Kultura
#41A7632|pillow
#41A7633|sheet
#41A7634|blanket
#41A7635|bed-spread
41A77|pojemnik, zbiornik
41A771|pojemnik metalowy wiadro, bidon, kanister, pudełko metalowe, puszka
#41A7711|container of precious metal
#41A77111
41A772|pojemnik kamienny waza
#41A7721|container of (semi-)precious stone
41A773|pojemnik ceramiczny garnek, dzban, waza, wazon
41A774|pojemnik ze szkła butelka, słój, wazon
41A775|pojemnik drewniany beczka, baryłka
#41A7751|container made of plant material other than wood: basket
41A776|pojemnik skórzany torba skórzana
#41A7761|container of other animal material
41A777|pojemnik na tekstylia, materie tkackie torba, worek
41A778|pojemnik na papier, karton, tekturę torba, pudełko kartonowe
41A779|pojemnik na materiały syntetyczne, sztuczne, plastyczne
41A78|bibeloty, drobne przedmioty
41A8|użytkowanie domu
41A81|umeblowanie (domu)
41A82|przeprowadzka (domowa)
41A9|ruiny obiektów mieszkalnych, domu, zamku, itp.
41AA1|architektura cywilna; budowle; rodzaje mieszkań - AA - architektura cywilna wewnątrz; w środku
41AA10|'Edifitio overo un sito' (Ripa) - AA - architektura cywilna wewnątrz
41AA11|pałac- AA - architektura cywilna wewnątrz
41AA111|'l' hôtel' niewielki pałac miejski - AA - architektura cywilna wewnątrz
41AA12|zamek - AA - architektura cywilna wewnątrz
41AA121|ufortyfikowany 'dom' miejski - AA - architektura cywilna wewnątrz
41AA13|budowla, np budynek użyteczności publicznej, sklep wielobranżowy - AA - architektura cywilna wewnątrz
41AA14|zamieszkiwanie w mieście- AA - architektura cywilna wewnątrz
41AA141|dom stojący w szeregu budynków - AA - architektura cywilna wewnątrz
41AA142|dom połączony ze sklepem - AA - architektura cywilna wewnątrz
41AA143|dom wolnostojący w mieście - AA - architektura cywilna wewnątrz
41AA144|budynek z mieszkaniami, apartamentowiec - AA - architektura cywilna wewnątrz
41AA15|'drapacz chmur', wieżowiec - AA - architektura cywilna wewnątrz
41AA16|zamieszkiwanie na wsi dom wiejski, willa, cottage -okazała siedziba wiejska - AA - architektura cywilna wewnątrz
41AA161|dom wiejski - AA - architektura cywilna wewnątrz
41AA162|villa - AA - architektura cywilna wewnątrz
41AA163|cottage-okazała siedziba wiejska - AA - architektura cywilna wewnątrz
41AA17|dom farmerski (budynek) - AA - architektura cywilna wewnątrz
41AA171|'stodoła' - AA - architektura cywilna wewnątrz
41AA18|chatka, szałas-pomieszczenie - AA - architektura cywilna wewnątrz
41AA181|rodzaj szałasu, chatki - AA - architektura cywilna wewnątrz
41AA182|szałas indiański - AA - architektura cywilna wewnątrz
41AA1821|wigwam - AA - architektura cywilna wewnątrz
41AA19|pozostałe rodzaje mieszkań - AA - architektura cywilna wewnątrz
41AA191|namiot - AA - architektura cywilna wewnątrz
41AA1911|namiot obozowy - AA - architektura cywilna wewnątrz
41AA1912|tepee, tipi, teepee - AA - architektura cywilna wewnątrz
41AA192|pojazd kempingowy z przyczepą - AA - architektura cywilna wewnątrz
41AA1921|obóz kempingowy - AA - architektura cywilna wewnątrz
41AA1922|przyczepa kempingowa - AA - architektura cywilna wnętrze
41AA193|'dom na łodzi' - AA - architektura cywilna wewnątrz
41AA194|mieszkanie nad jeziorem, 'mieszkanie na palach' - AA - architektura cywilna wewnątrz
41AA1941|pozostałe rodzaje mieszkań posadowione na gruncie stałym - AA - architektura cywilna wewnątrz
41AA195|'śnieżna chata' (dom), igloo - AA - architektura cywilna wewnątrz
41AA196|mieszkanie w jaskini (grocie), skalny dom - AA - architektura cywilna wewnątrz
41AA32|drzwi - AA - drzwi symulowane
41AA321|otwierać, otwieranie, otwarcie drzwi - AA - drzwi symulowane
41AA3211|otwarte drzwi - AA - drzwi symulowane
41AA3212|drzwi składające się z dwóch części - AA - drzwi symulowane
41AA3213|drzwi obrotowe, rozsuwane - AA - drzwi symulowane
41AA322|zamknięcie, zamykanie drzwi - AA - drzwi symulowane
41AA3221|drzwi zamknięte - AA - drzwi symulowane
41AA323|drzwi monumentalne, portyk, 'aediculum' - AA -drzwi symulowane
41AA324|drzwi z elementami metalowymi - AA - drzwi symulowane
41AA3241|kołatka drzwiowa, dzwonek u drzwi - AA - drzwi symulowane
41AA3242|klamka, uchwyt, gałka drzwi - AA - drzwi symulowane
41AA325|próg - AA - drzwi symulowane
41AA3251|futryna, framuga, ramiak - AA - drzwi symulowane
41AA3252|'wyposażenie drzwi' szczotka, skrobaczka, wycieraczka- AA - drzwi symulowane
41AA326|skrzynka pocztowa (na drzwiach) - AA - drzwi symulowane
41AA327|dozorca, stróż - AA - drzwi symulowane
41AA328|zamek drzwiowy- AA - drzwi symulowane
41AA3281|klucz - AA - drzwi symulowane
41AA32811|wytrych - AA - drzwi symulowane
41AA3282|zatrzask, zasuwka - AA - drzwi symulowane
41AA3283|rygiel - AA - drzwi symulowane
41AA3284|kłódka - AA - drzwi symulowane
41AA33|okno - AA - okno symulowane, sztuczne, nieistniejące, fałszywe
41AA331|otwarcie, otwieranie okna - AA - okno symulowane
41AA3311|okno otwarte - AA - okno symulowane
41AA332|zamknięcie, zamykanie okna - AA - okno symulowane
41AA3321|okno zamknięte - AA - okno symulowane
41AA333|okiennice - AA - okno symulowane
41AA3331|okiennice zewnętrzne - AA - okno symulowane
41AA3332|okiennice wewnętrzne - AA - okno symulowane
41AA335|siedzenie w oknie (okienne) - AA - okno symulowane
41AA336|postać ludzka w (otwartym) oknie - AA - okno symulowane
41AA3361|postać ludzka w oknie, widziana z zewnątrz - AA - okno symulowane
41AA3362|postać ludzka w oknie, widziana z wewnątrz - AA - okno symulowane
41AA337|widok przez okno - AA - okno symulowane
41AA3371|widok przez okno z zewnątrz - AA - okno symulowane
41AA3372|widok przez okno z wewnątrz - AA - okno symulowane
41B|ogrzewanie i oświetlanie
41B1|płonący ogień (generalnie)
41B11|zapalanie ognia (wł. 'drewno do podpałki')
41B111|zapalniczka, krzemień
41B112|hubka z krzesiwem
41B113|siarka
41B114|zapałka
41B1141|pudełko zapałek
41B115|lont
41B12|proces spalania
41B12(...)|proces spalania (z nazwą)
41B12(COAL)|proces spalania węgiel
41B12(FAGGOT)|proces spalania wiązka chrustu, patyków lub suchego drzewa
41B12(LOG)|proces spalania kłoda, kloc
41B12(OIL)|proces spalania olej
41B12(STRAW)|proces spalania słoma
41B121|płomień
41B122|iskra ~ ogień
41B123|gaz uwalniający się poprzez spalanie (zapłon)
41B13|rozniecanie, podsycanie ognia
41B131|dmuchanie, dmuchnięcie (rozniecanie ognia)
41B1311|miech
41B132|'wachlowanie', ruch wiatru (-rozniecający ogień)
41B1321|wachlarz (do rozniecania ognia)
41B133|rozgarnianie, grzebanie-w ogniu (rozniecanie, podsycanie ognia)
41B1331|pogrzebacz (~ do płonącego ognia)
41B14|gaszenie ognia
41B15|pozostałości, osad po spaleniu się (-czegoś)
41B151|sadza
41B152|popiół
41B153|żużle, zgorzeliny
41B16|ognisko obozowe, biwak z ogniskiem
41B161|ognisko
41B162|dym
41B2|palenisko i piec, piecyk
41B21|kominek, palenisko (kominka)
41B211|urządzenie grzejące (kominek, piec, piecyk, 'palenisko')
41B212|urządzenia ~ do kominka
41B2121|szczypce do ognia
41B2122|gaśnica (dla węgla)
41B213|przybory ~ palenisko, miejsce pożaru
41B2131|ekran kominkowy, zasłona
41B2132|zasłona przeciwogniowa
41B2133|płyta paleniska
41B2134|dummy board figures-figurki, marionetki z papier mache
41B2135|garnek, kociołek zawieszony na łańcuchu
41B2136|'wilk kominkowy' (kuchenny)
41B214|kominek
41B2141|półka kominkowa
41B2142|zdobienia kominka/kominkowe
41B22|gorący, rozgrzany piec
41B221|ruszt (pieca)
41B222|rura piecowa
41B223|wiadro na węgiel
41B224|szufla do węgla
41B23|grzejnik do nóg
41B231|ogrzewalnik łóżka
41B232|termofor
41B24|centralne ogrzewanie
41B241|kaloryfer, grzejnik (centralnego ogrzewania)
41B29|chłodzenie, klimatyzowanie, klimatyzacja (-'układ chłodzenia')
41B3|oświetlanie, oświetlenie, lampy
41B31|świeca
41B311|kandelabr, świecznik
41B312|kinkiet, lampa ścienna
41B313|lichtarz
41B314|szczypce do świec
41B32|pochodnia
41B33|latarnia
41B34|lampa oliwna
41B35|lampa parafinowa
41B36|lampa gazowa
41B37|lampa elektryczna
41B371|żarówka (elektryczna)
#41B372|neon lamp, neon tube
41B4|'w płomieniach'
41B5|walka z ogniem
41B51|straż pożarna, brygada straży ogniowej
41B511|strażak
41B52|wyposażenie straży pożarnej (gaszących ogień)
41B521|kubeł, wiadro (wyposażenie straży pożarnej)
41B522|pompa (wyposażenie straży pożarnej)
41B523|wąż gaśniczy
41B524|gaśnica chemiczna straży pożarnej
41B525|pojazd straży pożarnej
41B53|ratunek przed ogniem
41B531|ratunek przed ogniem za pomocą płachty strażackiej
#41B6|ventilation systems
#41B61|airshaft
41BB32|pochodnia - BB - 'pochodnia odwrócona ku dołowi', do góry nogami
41C|odżywianie, kultura odżywiania
41C1|jedzenie i picie
41C10|gastronomia, sztuka (kultura) jedzenia i picia
41C11|jedzenie
41C111|otrzymywanie pożywienia
41C119|głód
41C1190|personifikacja głodu, pragnienia - 'Fames'; 'Fame' (Ripa)
41C1191|głodowanie, głód
41C1192|strajk głodowy, okupacyjny
41C12|picie
41C121|otrzymywanie napoju
41C122|nalewanie, rozlewanie
41C129|pragnienie
41C13|dmuchanie, chłodzenie posiłku przed spożyciem
41C14|mieszanie posiłku przed spożyciem
41C18|nasycenie się, zaspokojenie głodu ~ jedzenie i picie
41C19|nienasycenie pragnienia, głodu
41C2|kuchnia i piwnica
41C21|kuchnia
41C211|wnętrze kuchni
41C2111|wnętrze kuchni z artykułami spożywczymi na pierwszym planie (w Holandii 'keukenstuk')
41C212|zlew, zlewozmywak (kuchenny)
41C22|personel kuchenny
41C221|kucharz
41C222|obsługa kuchni
41C23|kuchnia uboga i bogata
41C231|kuchnia bogata
41C232|kuchnia uboga
41C24|przechowywanie żywności
41C241|piwnica
41C2411|piwnica na wino
41C24111|'piwniczny'-zajmujący się winami
41C242|'lodownia'-piwnica na lód
41C2421|lodówka
41C25|gotowanie żywności
41C251|pieczenie, grillowanie
41C2511|rożen ~ gotowanie
41C2512|grill, ruszt ~ gotowanie, przyrządzanie żywności
41C252|smażenie
41C253|'wrzenie'
41C254|przyrządzanie potraw na ogniu
41C2541|płonący ogień, palenisko, piec (w kuchni)
41C2542|kuchenka
41C2543|piekarnik ~ kuchenny
#41C26|preparation of food
#41C261|cleaning (food)
#41C2611|cleaning vegetables
#41C2612|cleaning fruit, e.g. peeling
#41C26121|(half-)peeled fruit, e.g. lemon
#41C2613|cleaning fowl or small animals
#41C26131|plucked fowl
#41C262|dividing (food)
#41C2621|cutting meat
#41C2622|slicing bread
#41C263|mixing, combining (preparing food)
#41C2631|preparing dough or batter
#41C264|smoothing, beating (preparing food)
#41C265|ornamenting, decorating, dressing (preparing food)
#41C269|washing up
#41C27|kitchen-utensils
#41C27(...)|kitchen-utensils (with NAME)
#41C27(CAULDRON)|kitchen-utensils: cauldron
#41C27(COLANDER)|kitchen-utensils: colander
#41C27(FRYING PAN)|kitchen-utensils: frying pan
#41C27(FUNNEL)|kitchen-utensils: funnel
#41C27(GRATER)|kitchen utensils: grater
#41C27(LADLE)|kitchen-utensils: ladle
#41C27(PAN)|kitchen-utensils: pan
#41C27(POT)|kitchen-utensils: pot
#41C27(ROLLING-PIN)|kitchen-utensils: rolling-pin
#41C27(SIEVE)|kitchen-utensils: sieve
#41C27(SKIMMER)|kitchen-utensils: skimmer
#41C3|laid table: table-ware, table-decoration, etc.
#41C31|table-ware
#41C311|table-knife
#41C312|fork
#41C313|spoon
#41C314|salt-cellar, salt-shaker
#41C315|spice-box
#41C316|egg-cup
#41C317|wine-cooler
#41C32|drinking-vessels
#41C321|cup
#41C3211|drinking-horn
#41C3212|nautilus cup
#41C322|mug, beaker, goblet
#41C3221|goblet foot
#41C323|glass, rummer
#41C323(...)|glass, rummer (with NAME)
#41C323(BERKEMEYER)|glass, rummer: berkemeyer
#41C323(PASGLAS)|glass, rummer: pasglas
#41C324|tankard
#41C325|table fountain
#41C326|jar, jug (used as drinking-vessel)
#41C327|drinking-vessel in unusual shape
#41C3271|animal-shaped drinking-vessel
#41C3272|anthropomorphic drinking-vessel
#41C32721|human skull as drinking-vessel
#41C3273|drinking-vessel in the shape of an object
#41C33|tea- and coffee-service
#41C331|cup and saucer
#41C332|coffee-pot
#41C333|tea-pot; samovar
#41C334|sugar-basin
#41C34|dinner-service
#41C341|dish, plate, saucer
#41C342|serving-dish, platter
#41C343|salver
#41C344|gravy-boat
#41C345|bowl
#41C35|table-decoration
#41C351|centre-piece, epergne, 'surtout', 'milieu-de-table'
#41C352|'trionfi di tavola', 'pièces montées'
#41C353|aquamanile, vessel holding water for washing the hands before a meal
#41C36|(dinner-)service displayed on sideboard
#41C37|table-cloth
#41C371|napkin
#41C3711|napkin-ring
#41C38|laid table as still life
#41C381|breakfast piece (Dutch: 'ontbijtje')
#41C382|banquet piece
#41C4|(family) meal
#41C41|breakfast
#41C411|morning coffee
#41C42|midday meal, lunch
#41C421|high tea
#41C4211|tea-ceremony
#41C422|afternoon tea
#41C43|evening meal, dinner, supper
#41C44|(late) supper
#41C5|celebration meal, feast, banquet
#41C50|'Convito' (Ripa)
#41C51|banquet of elegant company
#41C52|carousal, drinking-bout, orgy
#41C520|'Crapula' (Ripa)
#41C6|foodstuffs; still life of foodstuffs
#41C61|flour
#41C611|kinds of flour or grain
#41C612|flour- and grain-products
#41C6121|cereal
#41C6122|noodles, spaghetti, etc.
#41C62|bread, cake, pastry, etc.
#41C621|bread, loaf
#41C6211|shaped bread
#41C62111|flat, round bread or pastry, e.g. pizza
#41C6212|filled breads, rolls, e.g. sandwich, hamburger
#41C622|cake, tart, pastry
#41C6221|fancy-cakes, fancy-pastries
#41C6222|biscuits
#41C623|pancakes
#41C624|waffles
#41C6241|rolled wafer
#41C625|pie
#41C626|baker's moulds
#41C6261|moulds for cakes, tarts, pastries
#41C6262|moulds for biscuits
#41C62621|so-called 'speculaasplanken' (biscuit moulds)
#41C6263|waffle-iron
#41C6264|bread-tin, baking-tin
#41C63|sugar
#41C631|loaf-sugar
#41C632|sugar-lumps
#41C633|syrup
#41C634|sugar-candy
#41C635|sweets, dainties
#41C6351|ice-cream
#41C6352|chocolate (solid)
#41C636|honey
#41C637|sugar-coated
#41C6371|icing, frosting
#41C64|dairy products and eggs
#41C641|dairy products
#41C6411|butter
#41C6412|cheese
#41C6413|milk
#41C64131|buttermilk
#41C64132|yoghurt
#41C64133|cream
#41C642|eggs, egg-dishes
#41C65|vegetables and fruit; still life of vegetables and fruit
#41C651|potatoes
#41C6511|processed potatoes, e.g. crisps, chips (French fries)
#41C652|vegetables
#41C652(...)|vegetables (with NAME)
#41C6521|processed vegetables
#41C6521(...)|processed vegetables (with NAME)
#41C653|fruit
#41C653(...)|fruit (with NAME)
#41C6531|processed fruit, e.g. jam, marmalade, etc.
#41C66|seasonings, spices
#41C66(...)|seasonings, spices (with NAME)
#41C66(SAFFRON)|seasonings, spices: saffron
#41C661|salt
#41C662|pepper
#41C663|mustard
#41C67|oil, vinegar, sauces
#41C671|oils and vegetable fats
#41C6711|margarine
#41C672|vinegar
#41C673|sauces
#41C68|fish; still life of fishes
#41C68(...)|fish (with NAME)
#41C68(SMOKED HERRING)|fish: smoked herring
#41C681|seafood
#41C681(...)|seafood (with NAME)
#41C69|meat; still life of meat
#41C691|slaughtered ox or pig
#41C692|kinds of meat
#41C692(...)|kinds of meat (with NAME)
#41C693|sausage
#41C694|ham
#41C695|fat, lard
#41C696|broth, soup
#41C7|drinks, stimulants, drugs
#41C71|alcoholic drinks
#41C711|wine ~ alcoholic drinks
#41C7111|glass of wine
#41C7112|bottle of wine
#41C7113|kinds of wine
#41C7113(...)|kinds of wine (with NAME)
#41C712|liqueur
#41C713|distilled spirits
#41C7131|genever, gin
#41C7132|whisky
#41C7133|vodka
#41C7134|brandy, brandywine
#41C714|beer, ale
#41C7141|glass of beer
#41C715|other alcoholic drinks
#41C715(...)|other alcoholic drinks (with NAME)
#41C7151|cocktail
#41C72|stimulating drinks
#41C721|coffee
#41C7211|cup of coffee
#41C722|tea (leaves)
#41C7221|cup of tea
#41C723|chocolate, cocoa
#41C73|other non-alcoholic drinks
#41C731|sweet fruit-syrups
#41C732|fruit-juice
#41C74|tobacco
#41C741|pipe ~ tobacco
#41C7411|water-pipe, hookah, narghile
#41C7412|tobacco-roll, coiled twist of tobacco
#41C7413|tobacco-jar
#41C7414|pipe-holder, pipe-stand
#41C7415|ashtray
#41C742|cigar
#41C7421|cigar-box
#41C7422|cigar-case
#41C7423|cigar-holder
#41C743|cigarette
#41C7431|cigarette-case
#41C7432|cigarette-paper
#41C7433|cigarette-tube, cigarette-holder
#41C744|snuff
#41C7441|snuff-box
#41C745|chewing-tobacco
#41C7451|other stimulant things to chew on
#41C74511|betel, sirih
#41C74512|chewing-gum
#41C75|drugs
#41C75(...)|drugs (with NAME)
#41C75(HASHISH)|drugs: hashish
#41C751|opium
#41C7511|opium-pipe
#41C7512|opium-house
#41C76|scents, perfumes ~ stimulants, drugs
#41C761|scent-box
#41C762|incense-burner ~ scents, perfumes
41C9|kanibalizm
41C91|nekrofagizm
41CC221|kucharz - CC - kucharka
41CC25|gotowanie żywności - CC - 'na świeżym powietrzu'
41CC251|smażenie, grillowanie - CC - 'na świeżym powietrzu'
41CC2511|rożen ~ gotowanie - CC - 'na świeżym powietrzu'
41CC2512|grill, ruszt ~ gotowanie żywności- CC - 'na świeżym powietrzu'
41CC252|smażyć - CC - 'na świeżym powietrzu'
41CC253|wrzenie, kipienie - CC - 'na świeżym powietrzu'
41CC254|kuchenka - CC - 'na świeżym powietrzu'
#41CC2541|open fire, fire-place, stove (in kitchen) - CC - in the open air
#41CC2542|cooker - CC - in the open air
#41CC2543|oven ~ kitchen - CC - in the open air
#41CC26|preparation of food - CC - in the open air
#41CC261|cleaning (food) - CC - in the open air
#41CC2611|cleaning vegetables - CC - in the open air
#41CC2612|cleaning fruit, e.g. peeling - CC - in the open air
#41CC26121|(half-)peeled fruit, e.g. lemon - CC - in the open air
#41CC2613|cleaning fowl or small animals - CC - in the open air
#41CC26131|plucked fowl - CC - in the open air
#41CC262|dividing (food) - CC - in the open air
#41CC2621|cutting meat - CC - in the open air
#41CC2622|slicing bread - CC - in the open air
#41CC263|mixing, combining (preparing food) - CC - in the open air
#41CC2631|preparing dough or batter - CC - in the open air
#41CC264|smoothing, beating (preparing food) - CC - in the open air
#41CC265|ornamenting, decorating, dressing (preparing food) - CC - in the open air
#41CC269|washing up - CC - in the open air
#41CC4|(family) meal - CC - out of doors
#41CC41|breakfast - CC - out of doors
#41CC411|morning coffee - CC - out of doors
