4|Maatschappij, Beschaving, Cultuur
41A3915|fontein (binnen)
41A3916|wastafel, wasbak
41A3917|waterafvoersysteem
41A39171|regenpijp
41A39172|waterspuwer
41A392|gasleidingen
41A393|elektrische installatie, fittingen, bijv. stopcontact, stekker, lichtschakelaar, kabel, draad
41A4|decoraties (interieur van het huis)
41A41|muurbekleding
41A411|behang
41A412|betimmering
41A413|tapijt
41A414|cordwain, cordovan leer, Nederlands: goudleer
41A42|stoffering (van een kamer)
41A421|gordijnen
41A422|ophangingen en gordijnen
41A4221|velum (hangings en draperie)
41A423|ceremoniële draperie
41A4231|luifel, baldakijn
41A43|vloerbedekking
41A43(...)|vloerbedekking (met NAAM)
41A431|tapijt, kleed
41A44|versierd plafond
41A5|bijgebouwen en schuren; omheining; poort
41A51|binnenplaats
41A511|binnenplaats van paleis of 'hôtel'
41A512|achtertuin
41A52|koetshuis
41A521|garage
41A53|schuur, klein gebouw voor een specifiek doel
41A531|bakkerij
41A532|gereedschapsschuur
41A54|hek, muur, schutting
41A541|balustrade
41A542|poort, ingang
41A5421|barrière
41A5422|kissend hek, klaphek
41A543|stijl
41A544|watergate
41A6|tuin
41A61|plan, kaart van tuin
41A62|tuin gebouwen
41A621|pergola
41A622|zomerhuis, prieel, tuinhuis (Dutch: 'theekoepel')
41A623|hermitage
41A624|belvedere
41A625|trellis
41A626|nepgebouwen
41A63|indeling van tuin
41A631|gazon
41A632|bloemperk
41A633|rots tuin
41A634|doolhof, doolhof ~ tuin
41A635|omheinde of ommuurde tuin; 'Hortus Conclusus'
41A6351|daktuin
41A636|Franse of architectonische tuin; formele tuin
41A637|Engelse of landschapstuin
41A638|tuinbenadering, tuinrit
41A64|tuinornamenten
41A641|beelden, sculpturen in tuin
41A6411|dwergen, 'grylloi' (tuinornamenten)
41A642|obelisken (tuinornamenten)
41A643|piramides (tuinornamenten)
41A644|herms (tuinornamenten)
41A645|ruïnes (tuinornamenten)
41A646|tuinvaas
41A65|waterwerken in tuin
41A651|tuin fontein
41A652|tuinvijver
41A653|tuincascade
41A66|kunstmatige grot in tuin
41A67|sierplanten
41A671|stilleven van planten, bloemen en fruit
41A6711|bloemen in een vaas
41A6712|het schikken van bloemen
41A672|topiarywerk (struiken en bomen bijgesnoeid en getraind in sierlijke vorm); bonsai, espalier, enz.
41A673|planten in potten
41A68|aanleg van (sier)tuin
41A681|tuinieren
41A6811|planten water geven
41A682|tuinieren-gereedschap
41A682(...)|tuinieren-gereedschap (met NAAM)
41A7|meubels en huishoudelijke effecten
41A71|meubels om dingen op te zetten
41A711|tafel
41A7111|driepoot
41A7112|schraagtafel
41A712|planken, rek, dressoir
41A7121|wat-niet
41A7122|boekenplanken

41A71221|boekenkast, met deuren
41A713|Tafelkleed, enz.
41A72|zitmeubels
41A721|stoel
41A7211|krukje
41A72111|voetenbankje
41A7212|fauteuil, stoel
41A7213|schommelstoel
41A722|bank, sofa, zetel
41A7221|kussen
41A723|bank
41A73|meubels voor opslag
41A731|kast
41A732|sierlijke kast
41A733|borst, koffer
41A734|'cassone'
41A735|slot ~ meubels
41A7351|sleutel ~ meubels
41A7352|bout ~ meubels
41A7353|slot ~ meubels
41A74|meubilair voor speciaal gebruik
41A741|scherm, vouwscherm
41A75|decoratief meubilair
41A751|tochtstrip
41A76|meubels om op te liggen of in te liggen
41A761|bed
41A7611|ingebouwde bedstee
41A7612|bed met hemel
41A76121|twee poster bed
41A76122|hemelbed
41A762|hangmat
41A763|beddengoed
41A7631|matras
41A7632|kussen
41A7633|vel
41A7634|deken
41A7635|bedsprei
41A77|containers
41A771|container van metaal: emmer, blik, blikje, vat, blik, enz.
41A7711|container van edelmetaal
41A772|container van steen: stenen vaas
41A7721|container van (half)edelsteen
41A773|container van keramiek: pot, kruik, pot, vaas
41A774|container van glas: fles, pot, vaas
41A775|houten container: vat, tonneau
41A7751|container gemaakt van plantaardig materiaal anders dan hout: mand
41A776|container van leer: leren tas
41A7761|container van ander dierlijk materiaal
41A777|container van textielmateriaal: tas, zak, net
41A778|container van papier, karton: zak, doos
41A779|container van synthetisch materiaal
41A78|luxe goederen, prullaria
41A8|gebruik van het huis
41A81|inrichting (het huis)
41A82|verhuizen (huis)
41A9|ruïne van een woning, huis, kasteel, enz.
41AA1|burgerlijke architectuur; gebouwen; woningen - AA - burgerlijke architectuur: binnen
41AA10|'Edifitio overo un sito' (Ripa) - AA - civiele architectuur: binnenkant
41AA11|paleis - AA - civiele architectuur: binnenkant
41AA111|hotel, d.w.z. klein paleis in stad - AA - civiele architectuur: binnen
41AA12|kasteel - AA - civiele architectuur: binnenkant
41AA121|versterkt huis in stad - AA - civiele architectuur: binnenkant
41AA13|Gebouw, bijv.: openbaar gebouw, warenhuis - AA - civiele architectuur: binnenkant
41AA14|stedelijke huisvesting - AA - civiele architectuur: binnenkant
41AA141|de gebruikelijke woning of rij huizen - AA - civiele architectuur: binnenkant
41AA142|huis gecombineerd met winkel - AA - civiele architectuur: binnenkant
41AA143|vrijstaand huis in stad - AA - burgerlijke architectuur: binnenkant
41AA144|flatgebouw, appartementencomplex - AA - civiele architectuur: binnenkant
41AA15|wolkenkrabber - AA - civiele architectuur: binnenkant
41AA16|landelijke woningen, bijvoorbeeld landhuis, villa, huisje - AA - civiele architectuur: binnenkant
41AA161|landhuis - AA - civiele architectuur: binnenkant
41AA162|villa - AA - burgerlijke architectuur: binnenkant
41AA163|huisje - AA - burgerlijke architectuur: binnenkant
41AA17|boerderij (gebouw) - AA - civiele architectuur: binnenkant
41AA171|schuur - AA - burgerlijke architectuur: binnenkant
41AA18|Hut, cabin, lodge - AA - burgerlijke architectuur: binnenkant
41AA181|houten blokhut - AA - burgerlijke architectuur: binnenkant
41AA182|Indiase lodge - AA - civiele architectuur: binnenkant
41AA1821|wigwam - AA - burgerlijke architectuur: binnenkant
41AA19|andere woningtypes - AA - burgerlijke architectuur: binnenkant
41AA191|Tent - AA - burgerlijke architectuur: binnenkant
41AA1911|Tent-kamp - AA - burgerlijke architectuur: binnen
41AA1912|tepee, tipi, teepee - AA - burgerlijke architectuur: binnenkant
41AA192|caravan (trailer) - AA - burgerlijke architectuur: binnenkant
41AA1921|caravan-camp - AA - burgerlijke architectuur: binnenkant
41AA1922|Aanhangwagen - AA - burgerlijke architectuur: binnenkant
41AA193|woonboot - AA - civiele architectuur: binnenkant
41AA194|Meerwoning, paalwoning - AA - stedelijke architectuur: binnen
41AA1941|andere woningen die van de grond af staan - AA - civiele architectuur: binnen
41AA195|sneeuwhut, iglo - AA - civiele architectuur: binnenkant
41AA196|grotbewonende - AA - civiele architectuur: binnen
41AA32|nepdeur - AA - gesimuleerde deur, schijn-deur
41AA321|het openen van de deur - AA - nepdeur, schijn-deur
41AA3211|open deur - AA - valse deur, nepdeur
41AA3212|verdeeld door, bovenste deel geopend - AA - nepdeur, schijn-deur
41AA3213|draaideur - AA - nepdeur, schijn-deur
41AA322|sluiten, de deur dichtdoen - AA - nepdeur, schijn-deur
41AA3221|gesloten deur - AA - nepdeur, schijn-deur
41AA323|monumentale deur, veranda, 'aediculum' - AA - nepdeur, schijn-deur
41AA324|metaalwerk van een deur - AA - nepdeur, schijn-deur
41AA3241|deurklopper, deurbel - AA - nepdeur, schijn-deur
41AA3242|deurklink, deurknop - AA - nepdeur, schijn-deur
41AA325|drempel - AA - nepdeur, schijn-deur
41AA3251|stijl, post, deurpost - AA - nepdeur, schijn-deur
41AA3252|deurbeslag, bijvoorbeeld laarzenkrabber, borstel, deurmat - AA - nepdeur, schijn-deur
41AA326|brievenbus ~ deur - AA - nepdeur, schijn-deur
41AA327|deurwachter, huisbewaker (onbezield) - AA - nepdeur, schijn-deur
41AA328|slot ~ deur - AA - nepdeur, schijn-deur
41AA3281|sleutel - AA - nepdeur, schijn-deur
41AA32811|meestersleutel, 'passe-partout', skelet sleutel - AA - nepdeur, schijn-deur
41AA3282|vergrendeling - AA - nepdeur, schijn-deur
41AA3283|bout - AA - nepdeur, schijn-deur
41AA3284|slot - AA - nepdeur, schijn-deur
41AA33|venster - AA - nagemaakt venster
41AA331|het raam openen - AA - nep raam
41AA3311|open venster - AA - gesimuleerd venster
41AA332|het sluiten van het venster - AA - nep venster
41AA3321|gesloten raam - AA - nep raam
41AA333|raamluiken - AA - nep raam
41AA3331|raamluiken aan de buitenkant - AA - nepraam
41AA3332|raamluiken aan de binnenkant - AA - nagemaakt raam
41AA335|raamplaats - AA - nagemaakt raam
41AA336|menselijke figuur bij (open) raam - AA - nep raam
41AA3361|menselijke figuur bij (open) raam, gezien van buitenaf - AA - nep raam
41AA3362|menselijke figuur bij (open) raam, gezien van binnenuit - AA - nep raam
41AA337|zicht door een raam - AA - nep raam
41AA3371|Bekijk door een raam van buitenaf - AA - nep raam
41AA3372|Bekijk door een raam van binnenuit - AA - nep raam
41B|verwarming, verlichting, ventileren
41B1|open vuur (in het algemeen)
41B11|het aansteken van een vuur
41B111|vuursteen en staal
41B112|tinder-box
41B113|zwavel lucifer
41B114|wedstrijd
41B1141|luciferdoosje
41B115|smelten
41B12|branden als proces
41B12(...)|branden als proces (met NAAM van brandstof)
41B12(COAL)|branden als proces: steenkool
41B12(FAGGOT)|branden als proces: fakkel
41B12(LOG)|branden als proces: logboek
41B12(OIL)|branden als proces: olie
41B12(STRAW)|branden als proces: stro
41B121|vlam
41B122|vonk ~ vuur
41B123|gassen vrijgekomen door verbranding
41B13|een vuur aanwakkeren
41B131|aanwakkeren (het vuur opstoken)
41B1311|balgen
41B132|waaieren (het aanwakkeren van een vuur)
41B1321|fan
41B133|roeren (het vuur aanwakkeren)
41B1331|poker (~ open vuur)
41B14|brand blussen
41B15|afzettingen van verbranding
41B151|roet
41B152|as


41B153|as, slak
41B16|kampvuur; wachtvuur
41B161|kampvuur
41B162|rook
41B2|haard en kachel
41B21|open haard, vuurplaats
41B211|zich verwarmen bij een vuur (of haard, kachel, vuurpan, brazier)
41B212|implementeert ~ open haard
41B2121|vuurtang
41B2122|blusapparaat voor steenkool
41B213|accessoires ~ open haard
41B2131|brandwerend scherm
41B2132|spatbord
41B2133|haardplaat
41B2134|dummy bordfiguren
41B2135|pot opgehangen aan ketting
41B2136|haardijzer, vuurhond
41B214|schoorsteen
41B2141|schoorsteenmantel, schouwmantel
41B2142|schoorsteen versieringen
41B22|verwarming kachel
41B221|rooster (van verwarmingskachel)
41B222|kachelpijp
41B223|kolenemmer
41B224|kolen schep
41B23|voetenwarmer
41B231|bedverwarmer
41B232|warmwaterkruik
41B24|centrale verwarming
41B241|radiator (centrale verwarming)
41B29|koeling, airconditioning
41B3|verlichting; lampen
41B31|kaars
41B311|kroonluchter, kandelaar
41B312|wandlamp, wandlamp
41B313|kaarsenhouder
41B314|snuffers
41B32|fakkel
41B33|lantaarn
41B34|olie-lamp
41B35|petroleumlamp
41B36|gaslamp
41B37|elektrische lamp
41B371|lamp (elektrisch)
41B372|neon lamp, neon buis
41B4|in brand, laaiend
41B5|brandbestrijding
41B51|brandweer, brandweer
41B511|brandweermannen
41B52|brandblusapparatuur
41B521|emmers (brandblusapparatuur)
41B522|pomp (brandblusapparatuur)
41B523|brandslang
41B524|chemisch brandblusapparaat
41B525|brandweerwagen
41B53|redding bij brand
41B531|redding van brand met springzeil
41B6|ventilatiesystemen
41B61|luchtschacht
41BB32|fakkel - BB - fakkel ondersteboven vastgehouden
41C|voeding, voeding
41C1|eten en drinken
41C10|gastronomie, de kunst van eten en drinken
41C11|eten
41C111|voedsel geven
41C119|honger
41C1190|personificatie van honger, 'Fames'; 'Fame' (Ripa)
41C1191|ondervoeding, hongersnood
41C1192|hongerstaking
41C12|drinken
41C121|drank geven
41C122|gieten
41C129|dorst
41C13|blazen, om voedsel af te koelen voor het eten
41C14|roeren, voedsel afkoelen voor het eten
41C18|verzadiging, verzadiging ~ eten en drinken
41C19|onstilbare honger of dorst
41C2|keuken en kelder
41C21|keuken
41C211|keukeninterieur
41C2111|keukeninterieur met voedingswaren op de voorgrond (Dutch: 'keukenstuk')
41C212|keuken gootsteen
41C22|keukenpersoneel
41C221|kok
41C222|keukenmeid, keukenbediende
41C23|Arme en rijke keuken
41C231|luxe keuken
41C232|arme keuken
41C24|voedsel bewaren
41C241|kelder
41C2411|wijnkelder
41C24111|wijnkelner
41C242|ijskelder
41C2421|ijskast, koelkast
41C25|koken van voedsel
41C251|roosteren, grillen
41C2511|spit ~ koken
41C2512|grill, rooster ~ koken van voedsel
41C252|bakken
41C253|koken
41C254|keukenbrand
41C2541|open vuur, open haard, fornuis (in keuken)
41C2542|koker
41C2543|oven ~ keuken
41C26|voorbereiding van voedsel
41C261|schoonmaken (voedsel)
41C2611|groenten schoonmaken
41C2612|het schoonmaken van fruit, bijv. schillen
41C26121|(half-)geschild fruit, bijv. citroen
41C2613|het schoonmaken van gevogelte of kleine dieren
41C26131|geplukte vogel
41C262|verdelen (voedsel)
41C2621|vlees snijden
41C2622|brood snijden
41C263|mixen, combineren (voedsel bereiden)
41C2631|het deeg of beslag voorbereiden
41C264|gladstrijken, kloppen (voorbereiden van voedsel)
41C265|versieren, decoreren, aankleden (voorbereiden van eten)
41C269|afwassen
41C27|keukenbenodigdheden
41C27(...)|keukenbenodigdheden (met NAAM)
41C27(CAULDRON)|keukenbenodigdheden: ketel
41C27(COLANDER)|keukenbenodigdheden: vergiet
41C27(FRYING PAN)|keukenbenodigdheden: koekenpan
41C27(FUNNEL)|keukenbenodigdheden: trechter
41C27(GRATER)|keukengerei: rasp
41C27(LADLE)|keukenbenodigdheden: soeplepel
41C27(PAN)|keukenbenodigdheden: pan
41C27(POT)|keukenbenodigdheden: pot
41C27(ROLLING-PIN)|keukenbenodigdheden: deegroller
41C27(SIEVE)|keukenbenodigdheden: zeef
41C27(SKIMMER)|keukenbenodigdheden: schuimspaan
41C3|gedekte tafel: tafelgerei, tafeldecoratie, enz.
41C31|tafelgerei
41C311|tafelmes
41C312|vork
41C313|lepel
41C314|zoutvat, zoutstrooier
41C315|kruidenbox
41C316|eierdopje
41C317|wijnkoeler
41C32|drinkbekers
41C321|beker
41C3211|drinkhoorn
41C3212|nautilusbeker
41C322|mok, beker, kelk
41C3221|gobletvoet
41C323|glas, rummer
41C323(...)|glas, rummer (met NAAM)
41C323(BERKEMEYER)|glas, rummer: berkemeyer
41C323(PASGLAS)|glas, rummer: pasglas
41C324|tankard
41C325|tafel fontein
41C326|pot, kruik (gebruikt als drinkbeker)
41C327|drinkbeker in ongebruikelijke vorm
41C3271|dier-vormige drinkbeker
41C3272|antropomorfisch drinkvat
41C32721|menselijke schedel als drinkbeker
41C3273|drinkbeker in de vorm van een object
41C33|thee- en koffieservice
41C331|kopje en schotel
41C332|koffiepot
41C333|theepot; samovar
41C334|suikerpot
41C34|diner-service
41C341|gerecht, bord, schoteltje
41C342|serveerschaal, schotel
41C343|salver
41C344|juskommetje
41C345|kom
41C35|tafeldecoratie
41C351|middenstuk, epergne, 'surtout', 'milieu-de-tafel'
41C352|'trionfi di tavola', 'pièces montées'
41C353|aquamanile, vat met water voor het wassen van de handen voor een maaltijd
41C36|dinerservice weergegeven op dressoir
41C37|tafelkleed
41C371|servet
41C3711|servetring
41C38|gedekte tafel als stilleven
41C381|ontbijtje
41C382|banketstuk
41C4|(familie) maaltijd
41C41|ontbijt
41C411|ochtendkoffie
41C42|middagmaal, lunch
41C421|hoge thee
41C4211|theeceremonie
41C422|namiddag thee
41C43|avondmaal, diner, avondeten
41C44|(laat) avondeten
41C5|feestmaaltijd, feest, banket
41C50|'Convito' (Ripa)
41C51|banket van elegante gezelschap
41C52|carrousel, drinkgelag, orgie
41C520|'Crapula' (Ripa)
41C6|voedingsmiddelen; stilleven van voedingsmiddelen
41C61|bloem
41C611|soorten bloem of graan
41C612|bloem- en graanproducten
41C6121|graanontbijt
41C6122|noedels, spaghetti, enz.
41C62|brood, taart, gebak, enz.
41C621|brood, brood
41C6211|gevormd brood
41C62111|plat, rond brood of gebak, bijv. pizza
41C6212|gevulde broodjes, broodjes, bijv. sandwich, hamburger
41C622|cake, taart, gebak
41C6221|speciale taarten, speciale gebakjes
41C6222|koekjes
41C623|pannenkoeken
41C624|wafels
41C6241|gerolde wafel
41C625|taart
41C626|bakvormen
41C6261|vormen voor taarten, taartjes, gebakjes
41C6262|vormen voor koekjes
41C62621|zogenaamde speculaasplanken (koekvormen)
41C6263|wafelijzer
41C6264|broodvorm, bakvorm
41C63|suiker
41C631|broodsuiker
41C632|suikerklontjes
41C633|stroop
41C634|suikerwerk
41C635|snoepjes, lekkernijen
41C6351|ijsje
41C6352|chocolade (vast)
41C636|honing
41C637|gesuikerd
41C6371|glazuur, icing
41C64|zuivelproducten en eieren
41C641|zuivelproducten
41C6411|boter
41C6412|kaas
41C6413|melk
41C64131|karnemelk
41C64132|yoghurt
41C64133|room
41C642|eieren, eiergerechten
41C65|groenten en fruit; stilleven van groenten en fruit
41C651|aardappelen
41C6511|verwerkte aardappelen, bijv. chips, frietjes (patat)
41C652|groenten
41C652(...)|groenten (met NAAM)
41C6521|verwerkte groenten
41C6521(...)|verwerkte groenten (met NAAM)
41C653|fruit
41C653(...)|fruit (met NAAM)
41C6531|verwerkt fruit, bijv. jam, marmelade, enz.
41C66|kruiden, specerijen
41C66(...)|kruiden, specerijen (met NAAM)
41C66(SAFFRON)|kruiden, specerijen: saffraan
41C661|zout
41C662|peper
41C663|mosterd
41C67|olie, azijn, sauzen
41C671|oliën en plantaardige vetten
41C6711|margarine
41C672|azijn
41C673|sauzen
41C68|vis; stilleven van vissen
41C68(...)|vis (met NAAM)
41C68(SMOKED HERRING)|vis: gerookte haring
41C681|zeevruchten
41C681(...)|zeevruchten (met NAAM)
41C69|vlees; stilleven van vlees
41C691|geslachte os of varken
41C692|soorten vlees
41C692(...)|Soorten vlees (met NAAM)
41C693|worstje
41C694|ham
41C695|vet, reuzel
41C696|bouillon, soep
41C7|drankjes, stimulerende middelen, drugs
41C71|alcoholische dranken
41C711|wijn ~ alcoholische dranken
41C7111|glas wijn
41C7112|fles wijn
41C7113|soorten wijn
41C7113(...)|Soorten wijn (met NAAM)
41C712|likeur
41C713|Gedistilleerde dranken
41C7131|jenever, gin
41C7132|whisky
41C7133|wodka
41C7134|brandewijn, brandewijn
41C714|bier, ale
41C7141|glas bier
41C715|andere alcoholische dranken
41C715(...)|andere alcoholische dranken (met NAAM)
41C7151|cocktail
41C72|stimulerende drankjes
41C721|koffie
41C7211|kopje koffie
41C722|thee (bladeren)
41C7221|kopje thee
41C723|chocolade, cacao
41C73|andere niet-alcoholische dranken
41C731|zoete vruchten siropen
41C732|vruchtensap
41C74|tabak
41C741|pijp ~ tabak
41C7411|waterpijp, waterpijp, nargile
41C7412|tabaksrol, opgerolde twist van tabak
41C7413|tabaksdoos
41C7414|pijpdrager, pijpstandaard
41C7415|asbak
41C742|sigaar
41C7421|sigarendoos
41C7422|sigarenkoker
41C7423|sigarenhouder
41C743|sigaret
41C7431|sigarettenkoker
41C7432|sigarettenpapier
41C7433|sigarettenhuls, sigarettenhouder
41C744|snuff
41C7441|snuffdoos
41C745|kauwtabak
41C7451|andere stimulerende dingen om op te kauwen
41C74511|betel, sirih
41C74512|kauwgom
41C75|drugs
41C75(...)|medicijnen (met NAAM)
41C75(HASHISH)|Drugs: hasj
41C751|opium
41C7511|opium-pijp
41C7512|opiumhuis
41C76|geuren, parfums ~ stimulerende middelen, drugs
41C761|geurdoos
41C762|wierookbrander ~ geuren, parfums
41C9|kannibalisme
41C91|necrofagie
41CC221|kok - CC - vrouwelijke kok
41CC25|koken van voedsel - CC - in de open lucht
41CC251|Roosteren, grillen - CC - in de open lucht
41CC2511|spit ~ koken - CC - in de open lucht
41CC2512|grill, rooster ~ voedsel bereiden - CC - in de open lucht
41CC252|frituren - CC - in de open lucht
41CC253|koken - CC - in de open lucht
41CC254|keukenbrand - CC - in de open lucht
41CC2541|open vuur, open haard, fornuis (in keuken) - CC - in de open lucht
41CC2542|koker - CC - in de open lucht
41CC2543|oven ~ keuken - CC - in de open lucht
41CC26|voorbereiding van voedsel - CC - in de open lucht
41CC261|schoonmaken (voedsel) - CC - in de open lucht
41CC2611|het schoonmaken van groenten - CC - in de open lucht
41CC2612|het schoonmaken van fruit, bijvoorbeeld schillen - CC - in de open lucht
41CC26121|(half-)geschild fruit, bijv. citroen - CC - in de open lucht
41CC2613|het reinigen van gevogelte of kleine dieren - CC - in de open lucht
41CC26131|geplukte vogel - CC - in de buitenlucht
41CC262|verdelen (voedsel) - CC - in de open lucht
41CC2621|Vlees snijden - CC - in de open lucht
41CC2622|Brood snijden - CC - in de open lucht
41CC263|mixen, combineren (voedsel bereiden) - CC - in de open lucht
41CC2631|het deeg of beslag bereiden - CC - in de open lucht
41CC264|gladstrijken, kloppen (voorbereiden van voedsel) - CC - in de open lucht
41CC265|versieren, decoreren, aankleden (bereiden van voedsel) - CC - in de open lucht
41CC269|afwassen - CC - in de open lucht
41CC4|Gezinsmaaltijd - CC - buiten
41CC41|ontbijt - CC - buiten
41CC411|ochtendkoffie - CC - buiten
41CC42|Middagmaaltijd, lunch - CC - buiten
41CC421|hoge thee - CC - buiten
41CC4211|Theeceremonie - CC - buiten
41CC422|middagthee - CC - buiten
41CC43|avondmaal, diner, avondeten - CC - buiten
41CC44|(laat) avondeten - CC - buiten
41CC5|feestmaal, feest, banket - CC - in de buitenlucht
41CC50|'Convito' (Ripa) - CC - buiten
41CC51|banket van elegante gezelschap - CC - buiten
41CC52|Carrousel, drinkgelag, orgie - CC - buiten
41CC520|'Crapula' (Ripa) - CC - buiten
41D|mode, kleding
41D1|mode
41D11|modeplaten
41D12|modeshow
41D121|model, mannequin
41D122|etalagepoppen
41D13|modezucht
41D131|dandy, beau
41D1310|'Delitioso' (Ripa)
41D1311|'incroyable' ~ dandy
41D132|modieuze vrouw, 'belle'
41D1321|'merveilleuse'
41D14|modeontwerper
41D2|kleding, kostuum
41D21|kleding die het hele lichaam bedekt
41D21(...)|kleding die het hele lichaam bedekt (met NAAM)
41D211|jurk, japon
41D211(...)|jurk, japon (met NAAM)
41D211(BALL GOWN)|jurk, japon: baljurk
41D211(CHEMISE À LA REINE)|jurk, japon: chemise à la Reine
41D211(COURT GOWN)|jurk, gewaad: hofjapon of hofjurk
41D211(DAY DRESS)|jurk, japon: dagjurk
41D211(DINNER DRESS)|jurk, japon: avondjurk
41D211(EVENING DRESS)|jurk, japon: avondjurk
41D211(MANTEAU)|jurk, japon: manteau
41D211(MORNING DRESS)|jurk, japon: ochtendjurk
41D211(REDINGOTE)|jurk, japon: redingote
41D211(ROBE VOLANTE)|jurk, japon: 'robe volante'
41D211(ROBE À L'ANGLAISE)|jurk, japon: 'robe à l'anglaise'
41D211(ROBE À LA CIRCASSIENNE)|jurk, japon: 'robe à la circassienne'
41D211(ROBE À LA FRANÇAISE)|jurk, japon: robe à la française
41D211(ROBE À LA LÉVITE)|jurk, gewaad: 'robe à la lévite'
41D211(ROBE À LA POLONAISE)|jurk, japon: 'robe à la polonaise'
41D211(WALKING DRESS)|jurk, japon: wandeljurk
41D212|jas, cape
41D2121|jas
41D2121(...)|jas (met NAAM)
41D2121(BOLERO)|jas: bolero
41D2121(CARACO)|jas: caraco
41D2121(OVERCOAT)|jas: overjas
41D21211|ochtendjas
41D21211(...)|ochtendjas (met NAAM)
41D21211(BANYAN)|huisjas: banyan
41D2122|kaap
41D2122(...)|Kaap (met NAAM)
41D2122(MANTELET)|Kaap: mantelet
41D213|ensemble van kledingstukken
41D213(...)|Kledingsets (met NAAM)
41D213(SAILOR SUIT)|ensemble van kledingstukken: matrozenpak
41D22|Hoofddeksels en kleding voor het bovenlichaam
41D221|hoofddeksel
41D221(...)|hoofddeksel (met NAAM)
41D221(BERET)|hoofddeksel: baret
41D221(BICORNE)|hoofddeksel: bicorne, bicorn
41D221(BOATER)|hoofddeksel: boater
41D221(BOWLER)|hoofddeksel: bolhoed
41D221(CAP)|hoofddeksel: pet
