2|Natuur
22E33|Celsius (temperatuurschaal)
22E34|andere temperatuurschalen
22E34(...)|andere temperatuurschalen (met NAAM)
22E4|thermometer
23|tijd
23A|allegorie van Tijd en Eeuwigheid
23A1|Vader Tijd, man met vleugels en zeis
23A11|andere allegorieën van Tijd, bijvoorbeeld 'Tempo' (Ripa)
23A2|Eeuwigheid, 'Aeternitas'; 'Eternità','Eternità o Perpetuità' (Ripa)
23A21|slang Ouroboros
23A3|verleden, heden en toekomst
23A31|verleden
23A32|heden
23A33|toekomst
23A4|allegorische voorstellingen van de effecten van tijd
23A41|Tijd onthult Waarheid; Tijd draagt Waarheid omhoog
23A411|Tijd ontbloot Waarheid
23A42|Tijd verbergt het verleden
23A43|Tijd belonende Industrie en straffende Luiheid
23A44|fugaciteit van Tijd
23A441|Tijd veroorzaakt de ondergang van gebouwen, enz.
23A45|Tijd ontvoert Schoonheid
23B|periode van meer dan één jaar
23B1|periode van meer dan 1000 jaar
23B2|millennium
23B3|100 jaar, eeuw
23B30|'Secolo' (Ripa)
23B4|50 jaar
23B5|25 jaar
23B6|12 1/2 jaar
23B7|10 jaar, decennium
23B8|5 jaar, lustrum
23B9|andere periodes
23B9(...)|andere periodes (met AANTAL jaren)
23C|jaar, zonnejaar
23C1|'Annus', personificatie van het jaar; 'Anno', 'Carro dell'anno' (Ripa)
23C2|maanjaar
23C3|siderisch jaar
23D|seizoenen van het jaar (vooral personificaties); 'Stagione', 'Le quattro stagioni dell'anno' (Ripa)
23D1|niet gebruikt
23D2|jaar verdeeld in twee seizoenen
23D21|winter halfjaar
23D22|zomer halfjaar
23D23|strijd van zomer en winter
23D3|jaar verdeeld in drie seizoenen
23D31|jaar verdeeld in drie seizoenen (eerste serie)
23D311|januari - april (jaar verdeeld in drie seizoenen)
23D312|mei - augustus (jaar verdeeld in drie seizoenen)
23D313|september - december (jaar verdeeld in drie seizoenen)
23D32|jaar verdeeld in drie seizoenen (tweede serie)
23D321|december - maart (jaar verdeeld in drie seizoenen)
23D322|april - juli (jaar verdeeld in drie seizoenen)
23D323|augustus - november (jaar verdeeld in drie seizoenen)
23D4|jaar verdeeld in vier seizoenen
23D41|winter, 'Hyems'; 'Inverno' (Ripa)
23D42|lente, 'Ver'; 'Primavera' (Ripa)
23D43|zomer, 'Aestas'; 'Estate' (Ripa)
23D44|herfst, 'Autumnus'; 'Autunno' (Ripa)
23D5|jaar verdeeld in vijf seizoenen
23D6|jaar verdeeld in zes seizoenen
23D61|jaar verdeeld in zes seizoenen (eerste reeks)
23D611|januari en februari (jaar verdeeld in zes seizoenen)
23D612|maart en april (jaar verdeeld in zes seizoenen)
23D613|mei en juni (jaar verdeeld in zes seizoenen)
23D614|juli en augustus (jaar verdeeld in zes seizoenen)
23D615|september en oktober (jaar verdeeld in zes seizoenen)
23D616|november en december (jaar verdeeld in zes seizoenen)
23D62|jaar verdeeld in zes seizoenen (tweede serie)
23D621|december en januari (jaar verdeeld in zes seizoenen)
23D622|februari en maart (jaar verdeeld in zes seizoenen)
23D623|april en mei (jaar verdeeld in zes seizoenen)
23D624|juni en juli (jaar verdeeld in zes seizoenen)
23D625|August en september (jaar verdeeld in zes seizoenen)
23D626|oktober en november (jaar verdeeld in zes seizoenen)
23E|seizoenen van het jaar vertegenwoordigd door scènes die menselijke activiteiten tonen, meestal in een landschap
23E2|jaar verdeeld in twee seizoenen ~ menselijke activiteiten
23E21|winter half-jaar ~ menselijke activiteiten (jaar verdeeld in twee seizoenen)
23E22|zomer halfjaar ~ menselijke activiteiten (jaar verdeeld in twee seizoenen)
23E23|strijd van zomer en winter ~ menselijke activiteiten (jaar verdeeld in twee seizoenen)
23E3|jaar verdeeld in drie seizoenen ~ menselijke activiteiten
23E31|jaar verdeeld in drie seizoenen ~ menselijke activiteiten (eerste serie)
23E311|januari - april ~ menselijke activiteiten (jaar verdeeld in drie seizoenen)
23E312|mei - augustus ~ menselijke activiteiten (jaar verdeeld in drie seizoenen)
23E313|september - december ~ menselijke activiteiten (jaar verdeeld in drie seizoenen)
23E32|jaar verdeeld in drie seizoenen ~ menselijke activiteiten (tweede serie)
23E321|december - maart ~ menselijke activiteiten (jaar verdeeld in drie seizoenen)
23E322|april - July ~ menselijke activiteiten (jaar verdeeld in drie seizoenen)
23E323|August - november ~ menselijke activiteiten (jaar verdeeld in drie seizoenen)
23E4|de vier seizoenen van het jaar ~ menselijke activiteiten
23E41|winter ~ menselijke activiteiten (de vier seizoenen van het jaar)
23E42|lente ~ menselijke activiteiten (de vier seizoenen van het jaar)
23E43|zomer ~ menselijke activiteiten (de vier seizoenen van het jaar)
23E44|herfst ~ menselijke activiteiten (de vier seizoenen van het jaar)
23E5|jaar verdeeld in vijf seizoenen ~ menselijke activiteiten
23E6|jaar verdeeld in zes seizoenen ~ menselijke activiteiten
23E61|jaar verdeeld in zes seizoenen ~ menselijke activiteiten (eerste serie)
23E611|januari en februari ~ menselijke activiteiten (jaar verdeeld in zes seizoenen)
23E612|maart en april ~ menselijke activiteiten (jaar verdeeld in zes seizoenen)
23E613|mei en juni ~ menselijke activiteiten (jaar verdeeld in zes seizoenen)
23E614|juli en augustus ~ menselijke activiteiten (jaar verdeeld in zes seizoenen)
23E615|september en oktober ~ menselijke activiteiten (jaar verdeeld in zes seizoenen)
23E616|november en december ~ menselijke activiteiten (jaar verdeeld in zes seizoenen)
23E62|jaar verdeeld in zes seizoenen ~ menselijke activiteiten (tweede serie)
23E621|december en januari ~ menselijke activiteiten (jaar verdeeld in zes seizoenen)
23E622|februari en maart ~ menselijke activiteiten (jaar verdeeld in zes seizoenen)
23E623|april en mei ~ menselijke activiteiten (jaar verdeeld in zes seizoenen)
23E624|juni en juli ~ menselijke activiteiten (jaar verdeeld in zes seizoenen)
23E625|August en september ~ menselijke activiteiten (jaar verdeeld in zes seizoenen)
23E626|oktober en november ~ menselijke activiteiten (jaar verdeeld in zes seizoenen)
23F|seizoenen van het jaar vertegenwoordigd door landschappen
23F2|jaar verdeeld in twee seizoenen ~ landschappen
23F21|winter half-jaar ~ landschappen (jaar verdeeld in twee seizoenen)
23F22|zomer halfjaar ~ landschappen (jaar verdeeld in twee seizoenen)
23F23|strijd van zomer en winter ~ landschappen (jaar verdeeld in twee seizoenen)
23F3|jaar verdeeld in drie seizoenen ~ landschappen
23F31|jaar verdeeld in drie seizoenen ~ landschappen (eerste serie)
23F311|januari - april ~ landschappen (jaar verdeeld in drie seizoenen)
23F312|mei - augustus ~ landschappen (jaar verdeeld in drie seizoenen)
23F313|september - december ~ landschappen (jaar verdeeld in drie seizoenen)
23F32|jaar verdeeld in drie seizoenen ~ landschappen (tweede serie)
23F321|december - maart ~ landschappen (jaar verdeeld in drie seizoenen)
23F322|april - juli ~ landschappen (jaar verdeeld in drie seizoenen)
23F323|August - november ~ landschappen (jaar verdeeld in drie seizoenen)
23F4|de vier seizoenen van het jaar ~ landschappen
23F41|winterlandschap; landschap dat de winter symboliseert (de vier seizoenen van het jaar)
23F42|lentelandschap; landschap dat de lente symboliseert (de vier seizoenen van het jaar)
23F43|zomerlandschap; landschap dat de zomer symboliseert (de vier seizoenen van het jaar)
23F44|herfstlandschap; landschap dat de herfst symboliseert (de vier seizoenen van het jaar)
23F5|jaar verdeeld in vijf seizoenen ~ landschappen
23F6|jaar verdeeld in zes seizoenen ~ landschappen
23F61|jaar verdeeld in zes seizoenen ~ landschappen (eerste serie)
23F611|januari en februari ~ landschappen (jaar verdeeld in zes seizoenen)
23F612|maart en april ~ landschappen (jaar verdeeld in zes seizoenen)
23F613|mei en juni ~ landschappen (jaar verdeeld in zes seizoenen)
23F614|juli en augustus ~ landschappen (jaar verdeeld in zes seizoenen)
23F615|september en oktober ~ landschappen (jaar verdeeld in zes seizoenen)
23F616|november en december ~ landschappen (jaar verdeeld in zes seizoenen)
23F62|jaar verdeeld in zes seizoenen ~ landschappen (tweede serie)
23F621|december en januari ~ landschappen (jaar verdeeld in zes seizoenen)
23F622|februari en maart ~ landschappen (jaar verdeeld in zes seizoenen)
23F623|april en mei ~ landschappen (jaar verdeeld in zes seizoenen)
23F624|juni en juli ~ landschappen (jaar verdeeld in zes seizoenen)
23F625|August en september ~ landschappen (jaar verdeeld in zes seizoenen)
23F626|oktober en november ~ landschappen (jaar verdeeld in zes seizoenen)
23G|seizoenen van het jaar vertegenwoordigd door stillevens van bloemen en/of vruchten
23G2|jaar verdeeld in twee seizoenen ~ stillevens van bloemen en/of vruchten
23G21|winter half-jaar ~ stillevens van bloemen en/of vruchten (jaar verdeeld in twee seizoenen)
23G22|zomer halfjaar ~ stillevens van bloemen en/of vruchten (jaar verdeeld in twee seizoenen)
23G23|strijd van zomer en winter ~ stillevens van bloemen en/of vruchten (jaar verdeeld in twee seizoenen)
23G3|jaar verdeeld in drie seizoenen ~ stillevens van bloemen en/of vruchten
23G31|jaar verdeeld in drie seizoenen ~ stillevens van bloemen en/of vruchten (eerste serie)
23G311|januari - april ~ stillevens van bloemen en/of vruchten (jaar verdeeld in drie seizoenen)
23G312|mei - augustus ~ stillevens van bloemen en/of vruchten (jaar verdeeld in drie seizoenen)
23G313|september - december ~ stillevens van bloemen en/of vruchten (jaar verdeeld in drie seizoenen)
23G32|jaar verdeeld in drie seizoenen ~ stillevens van bloemen en/of vruchten (tweede serie)
23G321|december - maart ~ stillevens van bloemen en/of vruchten (jaar verdeeld in drie seizoenen)
23G322|april - July ~ stillevens van bloemen en/of vruchten (jaar verdeeld in drie seizoenen)
23G323|August - november ~ stillevens van bloemen en/of vruchten (jaar verdeeld in drie seizoenen)
23G4|de vier seizoenen van het jaar ~ stillevens van bloemen en/of vruchten
23G41|stilleven dat de winter symboliseert (de vier seizoenen van het jaar)
23G42|stilleven dat de lente symboliseert (de vier seizoenen van het jaar)
23G43|stilleven dat de zomer symboliseert (de vier seizoenen van het jaar)
23G44|stilleven dat de herfst symboliseert (de vier seizoenen van het jaar)
23G5|jaar verdeeld in vijf seizoenen ~ stillevens van bloemen en/of vruchten
23G6|jaar verdeeld in zes seizoenen ~ stillevens van bloemen en/of vruchten
23G61|jaar verdeeld in zes seizoenen ~ stillevens van bloemen en/of vruchten (eerste serie)
23G611|januari en februari ~ stillevens van bloemen en/of vruchten (jaar verdeeld in zes seizoenen)
23G612|maart en april ~ stillevens van bloemen en/of vruchten (jaar verdeeld in zes seizoenen)
23G613|mei en juni ~ stillevens van bloemen en/of vruchten (jaar verdeeld in zes seizoenen)
23G614|juli en augustus ~ stillevens van bloemen en/of vruchten (jaar verdeeld in zes seizoenen)
23G615|september en oktober ~ stillevens van bloemen en/of vruchten (jaar verdeeld in zes seizoenen)
23G616|november en december ~ stillevens van bloemen en/of vruchten (jaar verdeeld in zes seizoenen)
23G62|jaar verdeeld in zes seizoenen ~ stillevens van bloemen en/of vruchten (tweede serie)
23G621|december en januari ~ stillevens van bloemen en/of vruchten (jaar verdeeld in zes seizoenen)
23G622|februari en maart ~ stillevens van bloemen en/of vruchten (jaar verdeeld in zes seizoenen)
23G623|april en mei ~ stillevens van bloemen en/of vruchten (jaar verdeeld in zes seizoenen)
23G624|juni en juli ~ stillevens van bloemen en/of vruchten (jaar verdeeld in zes seizoenen)
23G625|August en september ~ stillevens van bloemen en/of vruchten (jaar verdeeld in zes seizoenen)
23G626|oktober en november ~ stillevens van bloemen en/of vruchten (jaar verdeeld in zes seizoenen)
23H|seizoenen van het jaar vertegenwoordigd door concepten anders dan personificaties, menselijke activiteiten, landschappen of stillevens van bloemen en/of vruchten (bijv. bijbelse scènes)
23H2|jaar verdeeld in twee seizoenen ~ andere concepten (bijv. bijbelse scènes)
23H21|winter half-jaar ~ andere concepten (bijv. bijbelse scènes) (jaar verdeeld in twee seizoenen)
23H22|zomerhalfjaar ~ andere concepten (bijv. bijbelse scènes) (jaar verdeeld in twee seizoenen)
23H23|strijd van zomer en winter ~ andere concepten (bijv. bijbelse scènes) (jaar verdeeld in twee seizoenen)
23H3|jaar verdeeld in drie seizoenen ~ andere concepten (bijv. bijbelse scènes)
23H31|jaar verdeeld in drie seizoenen ~ andere concepten (bijv. bijbelse scènes) (eerste serie)
23H311|januari - april ~ andere concepten (bijv. bijbelse scènes) (jaar verdeeld in drie seizoenen)
23H312|mei - augustus ~ andere concepten (bijv. bijbelse scènes) (jaar verdeeld in drie seizoenen)
23H313|september - december ~ andere concepten (bijv. bijbelse scènes) (jaar verdeeld in drie seizoenen)
23H32|jaar verdeeld in drie seizoenen ~ andere concepten (bijv. bijbelse scènes) (tweede serie)
23H321|december - maart ~ andere concepten (bijv. bijbelse scènes) (jaar verdeeld in drie seizoenen)
23H322|april - juli ~ andere concepten (bijv. bijbelse scènes) (jaar verdeeld in drie seizoenen)
23H323|augustus - november ~ andere concepten (bijv. bijbelse scènes) (jaar verdeeld in drie seizoenen)
23H4|de vier seizoenen van het jaar ~ andere concepten (bijv. bijbelse scènes)
23H41|winter ~ andere concepten (bijv. bijbelse scènes) (de vier seizoenen van het jaar)
23H42|lente ~ andere concepten (bijv. bijbelse scènes) (de vier seizoenen van het jaar)
23H43|zomer ~ andere concepten (bijv. bijbelse scènes) (de vier seizoenen van het jaar)
23H44|herfst ~ andere concepten (bijv. bijbelse scènes) (de vier seizoenen van het jaar)
23H5|jaar verdeeld in vijf seizoenen ~ andere concepten (bijv. bijbelse scènes)
23H6|jaar verdeeld in zes seizoenen ~ andere concepten (bijv. bijbelse scènes)
23H61|jaar verdeeld in drie seizoenen ~ andere concepten (bijv. bijbelse scènes) (eerste serie)
23H611|januari en februari ~ andere concepten (bijv. bijbelse scènes) (jaar verdeeld in zes seizoenen)
23H612|maart en april ~ andere concepten (bijv. bijbelse scènes) (jaar verdeeld in zes seizoenen)
23H613|mei en juni ~ andere concepten (bijv. bijbelse scènes) (jaar verdeeld in zes seizoenen)
23H614|juli en augustus ~ andere concepten (bijv. bijbelse scènes) (jaar verdeeld in zes seizoenen)
23H615|september en oktober ~ andere concepten (bijv. bijbelse scènes) (jaar verdeeld in zes seizoenen)
23H616|november en december ~ andere concepten (bijv. bijbelse scènes) (jaar verdeeld in zes seizoenen)
23H62|jaar verdeeld in drie seizoenen ~ andere concepten (bijv. bijbelse scènes) (tweede serie)
23H621|december en januari ~ andere concepten (bijv. bijbelse scènes) (jaar verdeeld in zes seizoenen)
23H622|februari en maart ~ andere concepten (bijv. bijbelse scènes) (jaar verdeeld in zes seizoenen)
23H623|april en mei ~ andere concepten (bijv. bijbelse scènes) (jaar verdeeld in zes seizoenen)
23H624|juni en juli ~ andere concepten (bijv. bijbelse scènes) (jaar verdeeld in zes seizoenen)
23H625|augustus en september ~ andere concepten (bijv. bijbelse scènes) (jaar verdeeld in zes seizoenen)
23H626|oktober en november ~ andere concepten (bijv. bijbelse scènes) (jaar verdeeld in zes seizoenen)
23I|de twaalf maanden (vooral personificaties); 'Mese in generale' (Ripa)
23I1|maanden van het eerste kwartaal van het jaar
23I11|januari; 'Gennaro' (Ripa)
23I12|februari; 'Febraro' (Ripa)
23I13|maart; 'Marzo' (Ripa)
23I2|maanden van het tweede kwartaal van het jaar
23I21|april; 'Aprile' (Ripa)
23I22|mei; 'Maggio' (Ripa)
23I23|juni; 'Giugno' (Ripa)
23I3|maanden van het derde kwartaal van het jaar
23I31|juli; 'Luglio' (Ripa)
23I32|August; 'Agosto' (Ripa)
23I33|september; 'Settembre' (Ripa)
23I4|maanden van het vierde kwartaal van het jaar
23I41|oktober; 'Ottobre' (Ripa)
23I42|november; 'Novembre' (Ripa)
23I43|december; 'Decembre' (Ripa)
23K|de twaalf maanden vertegenwoordigd door scènes die menselijke activiteiten tonen, meestal in een landschap; de zogenaamde 'labours of the months'
23K1|de maanden van het eerste kwartaal van het jaar ~ menselijke activiteiten (de 'labours' van januari, februari en maart)
23K11|januari en zijn 'labours'
23K12|februari en zijn 'labours'
23K13|maart en zijn 'labours'
23K2|de maanden van het tweede kwartaal van het jaar ~ menselijke activiteiten (de 'labours' van april, mei en juni)
23K21|april en zijn 'labours'
23K22|mei en zijn 'labours'
23K23|juni en zijn 'labours'
23K3|de maanden van het derde kwartaal van het jaar ~ menselijke activiteiten (de 'labours' van juli, augustus en september)
23K31|juli en zijn 'labours'
23K32|augustus en zijn 'labours'
23K33|september en zijn 'labours'
23K4|de maanden van het vierde kwartaal van het jaar ~ menselijke activiteiten (de 'labours' van oktober, november en december)
23K41|oktober en zijn 'labours'
23K42|november en zijn 'labours'
23K43|december en zijn 'labours'
23L|de twaalf maanden vertegenwoordigd door landschappen
23L1|maanden van het eerste kwartaal van het jaar vertegenwoordigd door landschappen
23L11|landschap dat januari symboliseert
23L12|landschap dat februari symboliseert
23L13|landschap dat maart symboliseert
23L2|maanden van het tweede kwartaal van het jaar vertegenwoordigd door landschappen
23L21|landschap dat april symboliseert
23L22|landschap dat mei symboliseert
23L23|landschap dat juni symboliseert
23L3|maanden van het derde kwartaal van het jaar vertegenwoordigd door landschappen
23L31|landschap dat juli symboliseert
23L32|landschap dat augustus symboliseert
23L33|landschap dat september symboliseert
23L4|maanden van het vierde kwartaal van het jaar vertegenwoordigd door landschappen
23L41|landschap dat oktober symboliseert
23L42|landschap dat november symboliseert
23L43|landschap dat december symboliseert
23M|de twaalf maanden vertegenwoordigd door stillevens van bloemen en/of vruchten
23M1|maanden van het eerste kwartaal van het jaar vertegenwoordigd door een stilleven van bloemen en/of vruchten
23M11|januari vertegenwoordigd door een stilleven van bloemen en/of vruchten
23M12|februari vertegenwoordigd door een stilleven van bloemen en/of vruchten
23M13|maart vertegenwoordigd door een stilleven van bloemen en/of vruchten
23M2|maanden van het tweede kwartaal van het jaar vertegenwoordigd door een stilleven van bloemen en/of vruchten
23M21|april vertegenwoordigd door een stilleven van bloemen en/of vruchten.
23M22|Kan worden vertegenwoordigd door een stilleven van bloemen en/of vruchten
23M23|juni vertegenwoordigd door een stilleven van bloemen en/of vruchten
23M3|maanden van het derde kwartaal van het jaar vertegenwoordigd door een stilleven van bloemen en/of vruchten
23M31|juli vertegenwoordigd door een stilleven van bloemen en/of vruchten
23M32|August vertegenwoordigd door een stilleven van bloemen en/of vruchten
23M33|september vertegenwoordigd door een stilleven van bloemen en/of vruchten
23M4|maanden van het vierde kwartaal van het jaar vertegenwoordigd door een stilleven van bloemen en/of vruchten
23M41|oktober vertegenwoordigd door een stilleven van bloemen en/of vruchten
23M42|november vertegenwoordigd door een stilleven van bloemen en/of vruchten
23M43|december vertegenwoordigd door stilleven van bloemen en/of vruchten
23N|de twaalf maanden van het jaar vertegenwoordigd door concepten anders dan personificaties, menselijke activiteiten, landschappen, of stillevens van bloemen en/of vruchten
23N1|maanden van het eerste kwartaal van het jaar ~ andere concepten
23N11|januari ~ andere concepten
23N12|februari ~ andere concepten
23N13|maart ~ andere concepten
23N2|maanden van het tweede kwartaal van het jaar ~ andere concepten
23N21|april ~ andere concepten
23N22|Mogen ~ andere concepten
23N23|juni ~ andere concepten
23N3|maanden van het derde kwartaal van het jaar ~ andere concepten
23N31|juli ~ andere concepten
23N32|augustus ~ andere concepten
23N33|september ~ andere concepten
23N4|maanden van het vierde kwartaal van het jaar ~ andere concepten
23N41|oktober ~ andere concepten
23N42|november ~ andere concepten
23N43|december ~ andere concepten
23O|dierenriem; de twaalf dierenriemtekens samen
23O1|dierenriemtekens van het winterseizoen
23O11|Steenbok (sterrenbeeld van december)
23O12|Waterman (sterrenbeeld van januari)
23O13|Vissen (sterrenbeeld van februari)
23O2|dierenriemtekens van het lenteseizoen
23O21|Aries (sterrenbeeld van maart)
23O22|Stier (sterrenbeeld van april)
23O23|Tweelingen (sterrenbeeld van mei)
23O3|dierenriemtekens van het zomerseizoen
23O31|Kreeft (zodiakaal teken van juni)
23O32|Leo (zodiakaal teken van juli)
23O33|Maagd (sterrenbeeld van augustus)
23O4|dierenriemtekens van het herfstseizoen
23O41|Weegschaal (sterrenbeeld van september)
23O42|Schorpioen (sterrenbeeld van oktober)
23O43|Boogschutter (sterrenbeeld van november)
23O5|dierenriemmens; dierenriem gecombineerd met delen van het menselijk lichaam
23P|weken
23Q|dagen van de week
23Q1|Zondag
23Q2|Maandag
23Q3|Dinsdag
23Q4|Woensdag
23Q5|Donderdag
23Q6|Vrijdag
23Q7|Zaterdag
23Q8|morgen
23Q81|overmorgen
23Q9|gisteren
23R|dag en nacht
23R1|dag van 24 uur, natuurlijke dag
23R10|'Giorno naturale', 'Carro del giorno naturale' (Ripa)
23R11|ochtend
23R110|personificatie van de ochtend, 'Aurora'; 'Aurora' (Ripa)
23R111|ochtend ~ landschap (soms getiteld 'Aurora')
23R112|ochtend ~ andere concepten
23R113|middag
23R12|middag
23R120|personificatie van de middag, 'Meridies'
23R121|middag ~ landschap (soms getiteld 'Meridies')
23R122|middag ~ andere concepten
23R13|avond
23R130|personificatie van de avond, 'Vesper'
23R131|avond ~ landschap (soms getiteld 'Vesper')
23R132|avond ~ andere concepten
23R14|nacht
23R140|personificatie van de nacht, 'Nox'; 'Notte', 'Carro della notte', 'Serenità della notte' (Ripa)
23R141|nacht ~ landschap (soms getiteld 'Nox')
23R142|nacht ~ andere concepten
23R2|dag van zonsopgang tot zonsondergang
23R20|'Giorno artificiale', 'Carro del giorno artificiale', 'Serenità del giorno, ninfa dell'aria' (Ripa)
23R3|de 24 uur van dag en nacht
23R31|de eerste 12 uur van de dag
23R310|'Hore del giorno' ('Hora prima', 'Hora seconda', 'Hora terza', 'Hora quarta', 'Hora quinta', 'Hora sesta', 'Hora settima', 'Hora ottava', 'Hora nona', 'Hora decima', 'Hora undecima', 'Hora duodecima') (Ripa)
23R32|de laatste 12 uur van de dag
23R320|'Hore della notte' ('Hora prima', 'Hora seconda', 'Hora terza', 'Hora quarta', 'Hora quinta', 'Hora sesta', 'Hora settima', 'Hora ottava', 'Hora nona', 'Hora decima', 'Hora undecima', 'Hora duodecima') (Ripa)
23S|de rijken van de wereld
23S1|de vier wereldrijken (Babylon, Perzië, Griekenland, Rome)
23S11|Babylon (één van de vier wereldrijken)
23S12|Perzië (één van de vier wereldrijken)
23S13|Griekenland (één van de vier wereldrijken)
23S14|Rome (één van de vier wereldrijken)
23S2|de rijken van de wereld volgens bijbelse indelingen
23S21|de wereldrijken gesymboliseerd door een groot standbeeld van verschillende materialen (Daniël hoofdstuk 2)
23S22|de wereldrijken gesymboliseerd door vier beesten (Daniël hfdst. 7)
23S3|de rijken van de wereld verdeeld anders
23T|historische tijdperken
23T1|geschiedenis van de wereld verdeeld in zeven tijdperken van Adam tot het einde van de wereld
23T11|tijdperk van Adam tot Noach ~ geschiedenis van de wereld
23T12|tijdperk van Noach tot Abraham of Mozes ~ geschiedenis van de wereld
23T13|tijdperk van Abraham of Mozes tot David ~ geschiedenis van de wereld
23T14|tijdperk van David tot de Babylonische Ballingschap ~ geschiedenis van de wereld
23T15|tijdperk van de Gevangenschap tot de komst van Christus ~ geschiedenis van de wereld
23T16|tijdperk van Christus tot het einde van de wereld ~ werkend, wakend
23T17|tijdperk van Christus tot het einde van de wereld ~ slapen, rusten (eeuwige Sabbat)
23T2|moderne verdeling van historische tijdperken
23T21|pre-historie (historisch tijdperk)
23T22|oude geschiedenis (historisch tijdperk)
23T23|klassieke oudheid (historisch tijdperk)
23T24|donkere eeuwen (historisch tijdperk)
23T25|middeleeuwse geschiedenis, middeleeuwen (historisch tijdperk)
23T26|Renaissance (historische periode, tot de 16e eeuw)
23T27|moderne verdeling van historische tijdperken ~ eeuwen
23T27(...)|moderne verdeling van historische tijdperken ~ eeuwen (met Romeins NUMMER van eeuw)
23U|chronologie
23U1|kalender, almanak
23U11|eeuwige kalender
23U2|(instrumenten voor) meting van tijd
23U20|'Horografia' (Ripa)
23U21|zonnewijzer
23U22|zandloper
23U23|waterklok
23U24|klok
23U241|uurwerkmaker, klokkenmaker
23U25|kijken
24|de hemellichamen (hemellichamen)
240|allegorische voorstelling van de hemel (hemellichamen)
24A|zon als hemellichaam
24A1|zonsopgang
24A11|dageraad
24A110|'Crepuscolo della matina' (Ripa)
24A2|zonsondergang
24A21|schemering, avondschemering
24A210|'Crepuscolo della sera' (Ripa)
24A3|zonsverduistering
24A31|totale zonsverduistering met corona
24A4|middernachtzon
24A5|fysieke aspecten van de zon
24A51|zonvlekken
24A52|ongewone zonneverschijnselen: parhelion of nepzon, vlekken op zonnehalo, enz.
24A6|zon vertegenwoordigd als gezicht, wiel, enz.
24A7|posities van de zon
24A71|zomerzonnewende, midzomerdag
24A710|'Solstitio estivo' (Ripa)
24A72|herfstnachtevening
