5|Abstracte Ideeën en Concepten
51G4|Hardheid
51G5|Zichtbaarheid
51G6|Gladheid
51GG|Enkele Kenmerken van Materie (tegenovergestelde concepten)
51GG1|kleinheid, geringheid
51GG2|Lichtheid; 'Leggierezza' (Ripa)
51GG3|Breekbaarheid; 'Fragilità' (Ripa)
51GG4|Zachtheid (materie)
51GG5|Onzichtbaarheid
51GG6|Ruwheden
51H|Hoeveelheid en Graad
51H1|Totaliteit, het Geheel
51H11|ondeelbaarheid
51H2|universaliteit
51H3|Veelheid
51H4|Overvloed
51H41|Voldoende
51H42|Overvloed; 'Abondanza', 'Abondanza maritima' (Ripa)
51H421|Teveel
51H43|Overbodigheid
51H5|Groei, Toename
51HH|Hoeveelheid en Graad (tegenovergestelde concepten)
51HH1|Deel, Sectie, Aspect
51HH11|deelbaarheid
51HH2|Bijzonderheid, Individualiteit
51HH3|Schaarste, Weinigheid
51HH4|Gebrek, Tekort
51HH41|Onvoldoende
51HH5|verminderen
51I|Ruimte
51I1|Beperkte, Gedefinieerde Ruimte
51I2|Volheid
51I3|Locatie, Positie
51I4|nabijheid
51I5|Midden; 'Mezo' (Ripa)
51I6|hoog, Top
51II|Ruimte (tegenovergestelde concepten)
51II1|Onbeperkte Ruimte
51II11|Uitbreiding
51II2|Leegte
51II3|Verplaatsing, Verschuiving
51II4|Afstand
51II5|isolatie
51II6|laag, bodem
51K|Aspecten van Verandering
51K1|verandering
51K11|Hervorming; 'Riforma' (Ripa)
51K2|Veranderlijkheid; 'Immutatione' (Ripa)
51K3|Vervanging
51K31|Aflossing
51K4|Evolutie
51K41|Revolutie
51K5|Reactie
51KK|Aspecten van Verandering (tegenovergestelde concepten)
51KK1|Permanentie
51KK11|Behoud; 'Conservatione' (Ripa)
51KK2|Onveranderlijkheid
51KK3|Wisselen, Uitwisselen
51L|Soorten Beweging
51L1|beweging
51L2|Reguliere Beweging
51L3|richting, oriëntatie
51L4|Vooruitgang, Voorwaartse Beweging
51L41|Benadering
51L42|Beweging naar, Aantrekkingskracht, Aantrekking, Trekkracht
51L5|Stijging
51L51|Wederopstanding; 'Ressurrettione' (Ripa)
51LL|Soorten Beweging (tegenovergestelde concepten)
51LL1|Rust, Onbeweeglijkheid, Stilstand
51LL2|Onregelmatige Beweging
51LL3|Afwijking, Divergentie
51LL4|Regressie, Achterwaartse Beweging
51LL41|Recessie
51LL42|Beweging Van, Afstotende Kracht, Afstoting, Duw
51LL5|Afdaling
51M|Kwaliteit van Beweging
51M1|Snelle Beweging
51M11|Snelheid; 'Agilità', 'Celerità', 'Velocità' (Ripa)
51M12|Haast
51MM|Kwaliteit van Beweging (tegenovergestelde concepten)
51MM1|Langzame beweging
51MM11|Traagheid, Laatheid; 'Tardità' (Ripa)
51MM12|Aanhoudend
52|Redenering en Vorming van Ideeën
52A|Intelligentie en intellectuele vermogens
52A1|Intellect, Intelligentie; 'Intelletto', 'Intelligenza' (Ripa)
52A11|Aandacht, Concentratie
52A12|Nieuwsgierigheid, nieuwsgierigheid, verlangen naar kennis; 'Curiosità' (Ripa)
52A13|Talent
52A14|Kunstmatige intelligentie
52A2|Vooruitdenken, Overweging; 'Previdenza', 'Providenza' (Ripa)
52A21|Methode
52A22|Tact
52A23|Waakzaamheid, Oplettendheid; 'Guardia', 'Vigilanza', 'Vigilanza per difendersi & oppugnare altri' (Ripa)
52A24|Voorzorgsmaatregel
52A3|Geheugen; 'Memoria' (Ripa)
52A4|Verbeelding; 'Imaginatione' (Ripa)
52A41|idee, concept; 'Idea' (Ripa)
52A42|Uitvinding, Inventiviteit; 'Inventione' (Ripa)
52A43|Vindingrijkheid; 'Ingegno' (Ripa)
52A44|Fantasie, Gril; 'Capriccio' (Ripa)
52A5|Kennis; 'Cognitione', 'Cognitione delle cose' (Ripa)
52A51|Wijsheid; 'Sapienza', 'Sapienza humana', 'Sapienza vera' (Ripa)
52A511|Wijsheid van de Dwaas
52A52|oordeel, discriminatie; 'Giuditio' (Ripa)
52A53|Zelfkennis
52A54|dociliteit; 'Docilità' (Ripa)
52A55|Subtiliteit, Scherpzinnigheid, Helderheid, Geestigheid; 'Acutezza de l'Ingegno', 'Sottilità' (Ripa)
52A6|waarheid; 'Verità' (Ripa)
52A7|Alwetendheid
52AA|Intelligentie en intellectuele vermogens (tegenovergestelde concepten)
52AA1|Domheid, armoede van intellect; 'Stupidità overo Stolidità' (Ripa)
52AA11|Gebrek aan Talent
52AA2|Verstrooidheid
52AA21|Onbezonnenheid, Onvoorzichtigheid, Roekeloosheid
52AA22|Onbeleefdheid; 'Inconsideratione' (Ripa)
52AA23|Onoplettendheid
52AA24|onvoorzichtigheid
52AA3|Vergeetachtigheid
52AA31|Vergetelheid; 'Oblivione' (Ripa)
52AA4|Gebrek aan verbeeldingskracht, starheid
52AA5|onwetendheid; 'Ignoranza', 'Ignoranza di tutte le cose', 'Ignoranza in un ricco senza lettere' (Ripa)
52AA51|Dwaasheid; 'Pazzia', 'Sciocchezza', 'Stoltitia' (Ripa)
52AA511|Belachelijkheid
52AA52|Foutief oordeel
52AA521|Illusie, Fantoom
52AA522|waanidee, drogreden; 'Prima Impressione' (Ripa)
52AA53|Gebrek aan zelfkennis
52AA54|Ongehoorzaamheid; 'Indocilità' (Ripa)
52AA55|Botte, Stompheid, Saaiheid
52AA551|Oppervlakkigheid van Geest
52AA552|Intellectuele Blindheid; 'Cecità della Mente' (Ripa)
52AA553|Vooroordeel
52AA6|onwaarheid
52B|Redenering
52B1|Denken, Gedachte, Reflectie; 'Pensiero' (Ripa)
52B11|Beschouwing
52B12|Broeden
52B13|Fixatie
52B2|Toelating, Geloof
52B21|gelovigheid
52B3|Verwachting
52B31|Kans
52B4|Verificatie
52B41|Zekerheid
52B42|Mogelijkheid
52B5|Rationaliteit, Redenering; 'Ratiocinatione o Discorso' (Ripa)
52B51|Reden; 'Ragione' (Ripa)
52B511|Onderscheid tussen Goed en Slecht; 'Distintione del bene & del male' (Ripa)
52B5111|Goed, Juist
52B5112|slecht, kwaad, fout
52B512|Verdrijven van slechte gedachten; 'Repulsa de pensieri cattivi' (Ripa)
52B513|Reden versus Liefdeslust; 'Combattimento della ragione con l'appetito' (Ripa)
52B52|Syllogisme, Demonstratie
52B53|Bewijs
52BB|Redenering (tegenovergestelde concepten)
52BB1|Onnadenkendheid
52BB2|Twijfel; 'Dubbio' (Ripa)
52BB21|ongeloof
52BB3|verrassing, verwondering; 'Maraviglia' (Ripa)
52BB31|onwaarschijnlijkheid
52BB4|Vooronderstelling
52BB41|Onzekerheid
52BB42|onmogelijkheid
52BB5|Irrationaliteit
52BB51|Intuïtie
52BB52|Sofisme
52BB53|onzin, absurditeit
52BB54|Ongefundeerde Speculatie
52BB6|razernij
52BB61|verliefdheid
52C|Begrip en Misverstand
52C1|Overweging; 'Consideratione' (Ripa)
52C11|Mening
52C111|Publieke opinie; 'Opinione' (Ripa)
52C12|Zin, 'Sententia'
52C2|Bevestiging; 'Confermatione' (Ripa)
52C3|Erkenning, Toekenning
52C4|begrip, inzicht; 'Apprehensiva' (Ripa)
52C41|Bevrijding van Fout of Illusie
52C42|Interpretatie
52C5|Theorie; 'Theoria' (Ripa)
52C51|doctrine
52C52|Ideologie
52CC|Begrip en Misverstand (tegenovergestelde concepten)
52CC1|Onbeleefdheid
52CC2|Ontkenning, Negatie
52CC3|Dissidentie
52CC31|Weerlegging, Weerlegging
52CC4|Misverstand, Onbegrip
52CC41|Fout; 'Errore' (Ripa)
52D|Communicatie van Gedachte (kwalitatieve aspecten)
52D1|Communicatie van Gedachte
52D2|duidelijkheid, precisie
52D21|Beknoptheid
52D3|welsprekendheid; 'Eloquenza', 'Fermezza & Gravità dell'Oratione' (Ripa)
52D31|Kracht van welsprekendheid; 'Forza sottoposta all'Eloquenza' (Ripa)
52D4|Uitvoerigheid, Verbose, Spraakzaamheid; 'Loquacità' (Ripa)
52D41|Trifles, 'Nugae'
52D5|Gerucht; 'Rumore' (Ripa)
52DD|Communicatie van Gedachte (kwalitatieve aspecten) (tegenovergestelde concepten)
52DD1|Geheimhouding, Vertraging, Verberging; 'Secretezza' (Ripa)
52DD11|Geheim
52DD2|Onduidelijkheid, Onnauwkeurigheid
52DD21|verwarring, duisternis; 'Confusione' (Ripa)
52DD22|Verwarring
52DD3|Stilzwijgendheid; 'Secretezza', 'Secretezza overo Taciturnità' (Ripa)
52E|Communicatie van Gedachte (antwoord en vraag)
52E1|Reactie, Antwoord, Oplossing
52E2|Voorspelling, Profetie; 'Augurio', 'Divinatione', 'Profetia' (Ripa)
52E21|Goed Omen; 'Augurio buono' (Ripa)
52E22|slecht voorteken; 'Augurio cattivo' (Ripa)
52E3|Advies; 'Consiglio' (Ripa)
52EE|Communicatie van Gedachte (antwoord en vraag) (tegenovergestelde concepten)
52EE1|Vragen, Vraag, Interrogatie
52EE11|Onderzoek; 'Investigatione' (Ripa)
53|wil, Wilskracht
53A|Kenmerken van Will
53A1|Zal; 'Volontà' (Ripa)
53A11|Keuze; 'Elettione' (Ripa)
53A2|Volharding, Besluit, Vastberadenheid; 'Perseveranza' (Ripa)
53A21|Standvastigheid, Vasthoudendheid; 'Costanza', 'Tenacità' (Ripa)
53A211|Koppigheid; 'Ostinatione', 'Pertinacia' (Ripa)
53A212|Onverzettelijkheid
53A22|Stabiliteit, Stevigheid; 'Fermezza', 'Stabilimento', 'Stabilità' (Ripa)
53AA|Kenmerken van Wil (tegenovergestelde concepten)
53AA1|Willoosheid
53AA11|Voorbestemming
53AA2|Besluiteloosheid; 'Irresolutione' (Ripa)
53AA21|Wisselvalligheid; 'Incostanza', 'Instabilità', 'Instabilità overo Incostanza' (Ripa)
53AA22|Tergiversatie
53B|Handelingen van de Wil
53B1|Acceptatie
53B2|Besluitvaardigheid, Beslissing
53B3|Zelfbeheersing; 'Dominio di se stesso' (Ripa)
53B4|bereidheid
53B41|Helling; 'Inclinatione' (Ripa)
53B5|Gehoorzaamheid; 'Obedienza' (Ripa)
53B6|Discipline
53B7|Naleving, Vervulling
53BB|Handelingen van de Wil (tegenovergestelde concepten)
53BB1|Afwijzing
53BB2|aarzeling
53BB3|zelfgenoegzaamheid
53BB4|onwil
53BB5|ongehoorzaamheid, opstandigheid, insubordinatie; 'Inubidienza' (Ripa)
53BB51|protest
53BB6|indiscipline
53BB61|laxiteit
53BB7|Niet-naleving
53C|Autoriteit en Ondergeschiktheid
53C1|Overwicht
53C11|Autoriteit, Kracht; 'Dominio', 'Giurisdittione' (Ripa)
53C12|ernst; 'Severità' (Ripa)
53C13|Strengheid; 'Rigore' (Ripa)
53C2|Opdracht
53C21|dwang
53C22|dreiging, intimidatie; 'Minaccie' (Ripa)
53CC|Autoriteit en Ondergeschiktheid (tegenovergestelde concepten)
53CC1|ondergeschiktheid
53CC11|Dienst
53CC12|onderdanigheid
53CC2|Vrijwilligheid
53CC21|Gereedheid om te voldoen
53CC3|Aanroeping; 'Supplicatione' (Ripa)
53CC31|Oproep; 'Invocatione' (Ripa)
53CC32|pleidooi
53D|Intersociale Wil
53D1|Aanbod, Voorstel
53D11|Toestemming
53D12|Voorkeur; 'Favore' (Ripa)
53D2|Belofte; 'Promissione' (Ripa)
53D3|Bemiddeling
53DD|Intersociale Wil (tegenovergestelde concepten)
53DD1|Weigering
53DD11|Verbod
53DD2|schending van belofte
54|Proces van Actie
54A|Toestand van Zijn tijdens het Doen
54A1|Activiteit
54A11|Vlijt, ijver; 'Assiduità', 'Industria', 'Zelo' (Ripa)
54A2|voorzichtigheid, ijver; 'Diligenza' (Ripa)
54A21|angst, bezorgdheid; 'Sollecitudine' (Ripa)
54A211|Scrupulosity; 'Scropolo' (Ripa)
54A3|Competentie
54A31|ervaring, meesterschap; 'Esperienza' (Ripa)
54A32|voorbereiding
54A33|Vaardigheid, Vermogen; 'Artificio', 'Prontezza' (Ripa)
54A4|Kalmte, Gelijkmoedigheid, Onverstoorbaarheid
54A41|continentie; 'Continenza', 'Continenza militare' (Ripa)
54A42|beperking
54A43|Matigheid, Gematigdheid; 'Misura' (Ripa)
54A431|de Gulden Snede; 'Mediocrità' (Ripa)
54A44|geduld; 'Patienza' (Ripa)
54A45|Vreedzaamheid
54A46|Rust; 'Quiete' (Ripa)
54A47|Gemoedsrust, 'Aequitas'
54A5|goedheid; 'Bontà' (Ripa)
54A51|goede genie; 'Genio Buono' (Ripa)
54A52|Onschuld
54A6|Behulpzaamheid
54A7|Kracht; 'Fortezza', 'Fortezza d'Animo e di corpo', 'Fortezza del corpo congiunta con la generosità dell'animo', 'Fortezza & waarde del corpo congiunto con de prudenza & virtù del animo', 'Forza' (Ripa)
54A71|Onkwetsbaarheid
54A72|Onkwetsbaarheid
54A8|Moed, Dapperheid, Mannelijkheid; 'Ardire magnanimo et generoso', 'Gagliardezza', 'Valore', 'Virtù heroica', 'Virtù dell'animo e del corpo' (Ripa)
54A81|Onbevreesdheid, Onverschrokkenheid; 'Intrepidità & Costanza' (Ripa)
54A82|Durf, Brutaliteit; 'Audacia' (Ripa)
54AA|Toestand van Zijn tijdens het Doen (tegenovergestelde concepten)
54AA1|Inactiviteit
54AA11|Traagheid; 'Dapocaggine', 'Pigritia' (Ripa)
54AA2|nalatigheid; 'Negligenza' (Ripa)
54AA21|onverschilligheid
54AA3|Onbekwaamheid
54AA31|Onervarenheid
54AA32|Onvoorbereidheid
54AA33|Onbekwaamheid, Onhandigheid, Onbeholpenheid
54AA34|middelmatigheid
54AA4|Heftigheid, Geweld, Felheid; 'Sforza con Inganno', 'Violenza' (Ripa)
54AA41|Impulsie; 'Impeto' (Ripa)
54AA42|Wildheid, Ongetemdheid
54AA43|Onmatigheid, Overdaad
54AA44|Ongeduld
54AA45|Vechtlust
54AA46|Onrust, Rusteloosheid, Onrust; 'Inquietudine' (Ripa)
54AA47|Onrust van Geest; 'Inquietudine d'animo' (Ripa)
54AA5|Slechtheid
54AA51|Kwaadaardig Genie; 'Genio cattivo' (Ripa)
54AA52|schuldigheid
54AA6|Hinderlijkheid
54AA7|zwakte, machteloosheid, hulpeloosheid; 'Infermità' (Ripa)
54AA71|Vincibiliteit
54AA72|kwetsbaarheid
54AA8|lafheid
54B|Middelen en Kenmerken van Middelen
54B1|betekent
54B11|Gebruik
54B12|Kans, Opportuniteit, Gelegenheidheid
54B121|'Occasio', 'Kairos'; 'Occasione' (Ripa)
54B1211|Wachten op een kans
54B1212|Gemiste kans
54B1213|Een Kans Grijpen
54B2|Onmisbaarheid
54B3|nut, bruikbaarheid; 'Utilità' (Ripa)
54B4|Efficiëntie
54B5|belang, overwicht
54B6|waarde
54BB|Middelen en Kenmerken van Middelen (tegenovergestelde concepten)
54BB1|Inactiviteit
54BB11|Misbruik, Verkeerd gebruik
54BB12|Ontwijding
54BB13|Ongelegenheid, Ongepastheid, Ongelegenheid
54BB2|Overbodigheid, Overvloed
54BB3|Onnut, Schadelijkheid; 'Nocumento', 'Nocumento d'ogni cosa' (Ripa)
54BB31|Schade, Nadeel; 'Danno' (Ripa)
54BB4|Inefficiëntie
54BB5|Onbelangrijkheid
54BB6|Waardeloosheid
54C|bedoeling, doel, doelwit
54C1|Doelgerichtheid
54C11|bedoeling
54C12|doel, doelwit
54C2|Aanbeveling, Aansporing, Aanzetting
54C21|overtuiging; 'Persuasione' (Ripa)
54C22|Beroep
54C3|invloed
54C31|Voorbeeld
54C4|Tentatione; 'Tentatione' (Ripa)
54CC|bedoeling, doel (tegenovergestelde concepten)
54CC1|Doelloosheid
54CC11|zonder intentie, niet-ontwerp, onbedoeldheid, ondoordachtheid
54CC2|Ontmoediging
54CC21|Afschrikking
54CC22|Afschrikking
54D|Procedure
54D1|Voorbereiding
54D11|poging, proef
54D12|Oefening; 'Essercitio' (Ripa)
54D2|Actie; 'Operatione manifesta' (Ripa)
54D21|Oefening; 'Prattica' (Ripa)
54D3|Voltooiing
54D31|Voortzetting
54D4|Faciliteit
54D5|Veiligheid
54D6|Aangepast, Gewoonte; 'Consuetudine' (Ripa)
54DD|Procedure (tegenovergestelde concepten)
54DD1|Improvisatie
54DD2|Ledigheid; 'Otio' (Ripa)
54DD3|Begin
54DD31|Onderbreking, Stopzetting
54DD311|Wachten, Kijken
54DD4|moeilijkheid
54DD41|Eentonigheid; 'Fatica', 'Fatica estiva' (Ripa)
54DD42|Vermoeidheid, Lusteloosheid; 'Lassitudine o Languidezza estiva' (Ripa)
54DD5|Onveiligheid
54DD51|Gevaar; 'Pericolo' (Ripa)
54DD52|Risico; 'Ardire ultimo & necessario' (Ripa)
54DD6|onbruik
54E|Wederzijdse Actie
54E1|Samenwerking, Vereniging
54E11|Noodzaak van wederzijdse samenwerking
54E2|Begeleiding
54E3|overeenkomst, overeenstemming
54E31|Overeenkomst, Eenheid; 'Concordia', 'Concordia insuperabile', 'Concordia militare', 'Concordia di Pace', 'Unione civile' (Ripa)
54E32|Naleving
54E33|Aanpassing
54E4|Verdediging
54E41|Zelfverdediging
54E42|Bescherming; Custodia, Verdediging tegen vijanden, boosdoeners & tovenaars, Verdediging tegen gevaren, Schuilplaats tegen verraad (Ripa)
54E43|Behoud, Behoud; 'Salvezza', 'Sostanza' (Ripa)
54EE|Wederzijdse Actie (tegenovergestelde concepten)
54EE1|niet-samenwerking
54EE11|Tegenstand, Tegenaanval, Weerstand
54EE2|Belemmering, Obstakel
54EE3|Conflict; 'Contrasto' (Ripa)
54EE31|onenigheid; 'Discordia' (Ripa)
54EE32|Trotseren
54EE33|Wedstrijd, Rivaliteit, Emulatie; 'Emulatione' (Ripa)
54EE4|Aanval
54F|Fortuin en Ongeluk
54F1|Succes; 'Evento buono' (Ripa)
54F11|Welzijn, Voorspoed; 'Felicità publica', 'Prosperità della vita', 'Salute' (Ripa)
54F12|Geluk, Fortuin, Lot; 'Fato', 'Fortuna', 'Fortuna aurea', 'Fortuna buona', 'Fortuna pacifica overo clemente', 'Sorte' (Ripa)
54F121|Wending van het Lot, Rad van Fortuin
54F122|Wisselvalligheden van het Leven
54F13|Vooruitgang, Verbetering, Herstel
54F131|Renovatie
54F14|Voordeel
54F2|Overwinning
54FF|Geluk en Ongeluk (tegenovergestelde concepten)
54FF1|mislukking
54FF11|Tegenspoed, Ongeluk, Pech; 'Fortuna infelice', 'Infortunio' (Ripa)
54FF12|Lot, Noodlot
54FF13|regressie, verslechtering, terugval
54FF14|Nadeel
54FF15|Inzending; 'Forza minore da maggior forza superata' (Ripa)
54FF2|Verslaan
55|Eigendom
55A|Verwerving en Verlies
55A1|Verwerving, Winst
55A11|retentie
55A12|Beloning, 'Praemium'; 'Premio', 'Remuneratione' (Ripa)
55AA|Verwerving en Verlies (tegenovergestelde concepten)
55AA1|Verlies
55AA11|Afwijzing, Verlating van Eigendom
55B|bezit
55B1|Rijkdom, Weelde; 'Opulenza', 'Richezza' (Ripa)
55B2|luxe, luxegevoel
55B3|'Niet te arm, niet te rijk'
55BB|Bezit (tegenovergestelde concepten)
55BB1|Armoede; 'Povertà', 'Povertà del doni', 'Povertà in uno ch'habbia bell'ingegno' (Ripa)
55BB2|Schaarste; 'Carestia' (Ripa)
55C|Gebruik van eigendom
55C1|besteding
55C11|Verspilling, Overdaad, Verkwisting, Afval; 'Prodigalità' (Ripa)
55C2|geven
55C21|Gulheid, vrijgevigheid; 'Generosità', 'Liberalità' (Ripa)
55C22|Aanbieding; 'Offerta overo Oblatione' (Ripa)
55C221|opoffering
55C3|Uitlenen, Verhuren
55C4|Het nemen van
55C5|Delen
55CC|Gebruik van Eigendom (tegenovergestelde concepten)
55CC1|sparen, zuinigheid, karigheid; 'Parsimonia' (Ripa)
55CC11|hebzucht, hebberigheid, begerigheid; 'Cupidità' (Ripa)
55CC2|Ontvangen
55CC3|Lenen, Huren
55CC4|Restitutie; 'Restitutione' (Ripa)
55CC5|Met het achterhouden, voor zichzelf houden
56|emotie
56A|gevoel
56A1|Sensatie, Gevoeligheid, Sensitiviteit
56A2|Opwinding
56A21|extase, verheffing
56AA|Gevoel (tegenovergestelde concepten)
56AA1|Ongevoeligheid
56AA11|Onbewogenheid; 'Impassibilità' (Ripa)
56B|Vreugde en Verdriet
56B1|Plezier, Genot, Vreugde; 'Allegrezza', 'Allegrezza da le medaglie', 'Allegrezza, letitia e giubilo', 'Diletto', 'Piacere', 'Piacere honesto' (Ripa)
56B11|Vrolijkheid
56B12|Vrolijkheid
56B13|Jolijt
56B131|Grappig; 'Giuoco (dall'antico)' (Ripa)
56B2|geluk, gelukzaligheid
56B21|Eeuwige Geluk; 'Felicità eterna' (Ripa)
56B22|Korte Felicity; 'Felicità breve' (Ripa)
56B3|Voldoening, Tevredenheid; 'Contento' (Ripa)
56B4|Vermaak
56B41|Kieskeurigheid, Epicurisme
56B42|Grofheid, Rustiekheid
56BB|Vreugde en Verdriet (tegenovergestelde concepten)
56BB1|pijn, verdriet, droefheid; 'Dolore', 'Dolore di Zeusi' (Ripa)
56BB11|Bitterheid; 'Amaritudine' (Ripa)
56BB12|Pijniging; 'Tribulatione' (Ripa)
56BB121|Klaagzang; 'Querela a Dio' (Ripa)
56BB13|Hartzeer; 'Affanno', 'Cordoglio' (Ripa)
56BB131|Zucht; 'Sospiri' (Ripa)
56BB19|Troost
56BB2|Ongelukkigheid; 'Infelicità' (Ripa)
56BB21|Ramp, Nood; 'Calamità', 'Calamità o miseria' (Ripa)
56BB22|Misery; 'Miseria mondana' (Ripa)
56BB3|Ontevredenheid
56BB31|verveling
56BB32|Onverzadigbaarheid
56BB33|Mopperen, Klacht; 'Pianto', 'Querela' (Ripa)
56BB34|Teleurstelling
56BB35|Frustratie
56BB4|afschuw, afkeer, misselijkheid
56BB41|Verzadiging
56C|Esthetisch Gevoel
56C1|Zin voor Schoonheid
56C2|Bewondering
56C3|Inspiratie; 'Ispiratione' (Ripa)
56CC|Esthetisch Gevoel (tegenovergestelde concepten)
56CC1|Ongevoeligheid voor Schoonheid
56CC2|Afschrijving
56D|Hoop en Angst
56D1|hoop; 'Speranza', 'Speranza delle fatiche' (Ripa)
56D2|vertrouwen
56D21|Toevluchtsoord; 'Refugio' (Ripa)
56D29|Verkeerd vertrouwen, Valse Zekerheid, Pax Falsa; Speranza fallace (Ripa)
56D3|Zelfvertrouwen, Veiligheid, Rust; 'Confidenza', 'Sicurezza e Tranquillità', 'Sicurtà', 'Sicurtà o Sicurezza', 'Tranquillità' (Ripa)
56D31|zelfvertrouwen
56D32|Toewijding
56DD|Hoop en Angst (tegenovergestelde concepten)
56DD1|Angst, Vrees; 'Paura', 'Timidità o Timore', 'Timore' (Ripa)
56DD11|wanhoop; 'Disperatione' (Ripa)
56DD2|wantrouwen, verdenking; 'Sospitione' (Ripa)
56DD3|onzekerheid
56DD31|Gebrek aan zelfvertrouwen; 'Viltà' (Ripa)
56DD32|Alarm, Fright; 'Spavento', 'Terrore' (Ripa)
56DD33|Verwarring, Verbijstering, Paniek; 'Perturbatione' (Ripa)
56DD34|afschuw
56E|Boosheid en Zachtheid
56E1|Irritatie
56E11|Verontwaardiging; 'Sdegno' (Ripa)
56E2|woede, boosheid
56E21|Prikkelbaarheid
56E3|Woede; 'Furore', 'Furore implacabile', 'Furore & Rabbia', 'Furore superbo & Indomito' (Ripa)
56EE|Woede en Zachtheid (tegenovergestelde concepten)
56EE1|Verdraagzaamheid
56EE2|Zachtmoedigheid; 'Mansuetudine' (Ripa)
56F|Verlangen en Aversie
56F1|Verlangen; 'Desiderio' (Ripa)
56F11|Ambitie; 'Ambitione', 'Amor di Fama' (Ripa)
56F12|Contento ~ Malcontento: het streven naar Geluk
56F13|Aantrekkingskracht
56F131|Kracht van Aantrekking
56F2|(personificaties en symbolische representaties van) Liefde; Amore (volgens Seneca) (Ripa)
56F21|Naastenliefde; 'Amor del Prossimo' (Ripa)
56F211|Broederliefde
