0|Abstracte, non-figuratieve Kunst
11D3112|de Mandylion wordt naar Edessa gebracht    # the Mandylion is brought to Edessa
11D312|'Veera Icoon', 'Sudarium', Veronica-portret'    # 'Vera Icon', 'Sudarium', Veronica-portrait
11D3121|'VeRa Icon', opgehouden door Veronica    # 'Vera Icon', held up by Veronica
11D3122|'VeRa Icon', opgehouden door engelen    # 'Vera Icon', held up by angels
11D3123|'VeRa Icon', ondersteund door Peter en Paul    # 'Vera Icon', held up by Peter and Paul
11D3124|'Vera Icon', opgehouden door de vier symbolen van de evangelisten    # 'Vera Icon', held up by the four symbols of the evangelists
11D313|'portret' van Christus volgens de brief van Lentulus    # 'portrait' of Christ according to the letter of Lentulus
11D314|'Volto Santo', bijvoorbeeld in Lucca (mogelijk gesneden door Nicodemus)    # 'Volto Santo', e.g. of Lucca (perhaps carved by Nicodemus)
11D315|portret van Christus gemaakt door Lucas    # portrait of Christ made by Luke
11D316|Ex-voto van de vrouw die genezen is van de bloedvloeiing    # ex-voto of the woman healed from the issue of blood
11D317|(volledige lengte) afbeelding van Christus op lijkwade, 'Sindone'    # (full-length) image of Christ on shroud, 'Sindone'
11D318|(andere) 'portretten' van Christus, bijv. profielportret    # (other) 'portraits' of Christ, e.g. profile portrait
11D32|Bijzondere soorten volwassen Christus (zonder anderen)    # particular types of adult Christ (without others)
11D321|'Majestas Domini': Christus in mandorla gezeten op een regenboog of bol en vergezeld door de Tetramorf    # 'Majestas Domini': Christ in mandorla seated on a rainbow or sphere and accompanied by the Tetramorph
11D322|Christus op de troon    # Christ enthroned
11D3221|'Pantocrator', (buste van) Christus, maakt een sprekend of zegenend gebaar en houdt een boek vast    # 'Pantocrator', (bust of) Christ, making a speaking or blessing gesture and holding a book
11D3222|'Christus Rex'    # 'Christus Rex'
11D3223|Christus als (hemelse) rechter    # Christ as (heavenly) judge
11D323|Christus-'Logos', het Woord in Vlees    # Christ-'Logos', the Word Incarnate
11D324|'Salvator Mundi', die een zegenend gebaar maakt; een bol in zijn hand of aan zijn voeten    # 'Salvator Mundi', making a blessing gesture; an orb in his hand or at his feet
11D325|Christus ~ de Eucharistie    # Christ ~ the Eucharist
11D3251|Christus met kelk, en brood of hostie    # Christ with chalice, and bread or Host
11D3252|Christus in de wijnpers, 'Christus in der Kelter' (Jes. 63:3)    # Christ in the wine-press, 'Christus in der Kelter' (Is. 63:3)
11D3253|Christus in de symbolische molen    # Christ in the symbolic mill
11D326|'Fons Vitae', 'Fons Pietatis'    # 'Fons Vitae', 'Fons Pietatis'
11D3261|Christus staat op of nabij een fontein, waarbij hij zijn bloed vergiet    # Christ standing on or near a fountain, shedding his blood
11D3262|Christus aan het kruis (in een fontein), die zijn bloed vergiet    # Christ on the cross (in a fountain), shedding his blood
11D327|Christus ~ menselijke beroepen    # Christ ~ human occupations
11D3271|Christus als Goede Herder    # Christ as Good Shepherd
11D3272|Christus als geneesheer    # Christ as physician
11D32721|Christ als apotheker    # Christ as apothecary
11D3273|Christus vissen    # Christ fishing
11D3274|Christus als marskramer    # Christ as pedlar
11D3275|Christus als boer of tuinman    # Christ as farmer or gardener
11D3276|Christus als gastheer    # Christ as host
11D3277|Christus als hogepriester of profeet    # Christ as (high) priest or prophet
11D3278|Christus als pelgrim    # Christ as pilgrim
11D3279|'Feiertagschristus', Christus met ambachtslieden gereedschap    # 'Feiertagschristus', Christ with craftsman's tools
11D328|Soorten volwassen Christus (alleen)    # types of adult Christ (alone)
11D3281|Christus als vrouw    # Christ as woman
11D3282|Christus in orante houding    # Christ in orans attitude
11D3283|Christus als engel    # Christ as angel
11D3284|Christus ~ Orpheus    # Christ ~ Orpheus
11D3285|Christus ~ Apollo (Helios)    # Christ ~ Apollo (Helios)
11D33|volwassene Christus samen met anderen (niet-narratieve voorstellingen)    # adult Christ together with others (non-narrative representations)
11D331|Volwassene Christus met Maria    # adult Christ with Mary
11D3311|Christus en Maria als bruidegom en bruid    # Christ and Mary as bridegroom and bride
11D332|Volwassen Christus samen met engelen    # adult Christ together with angels
11D333|Volwassen Christus ~ duivel(s) en demonische wezens    # adult Christ ~ devil(s) and demonic creatures
11D3331|Christus die triomfeert over duivel(s)    # Christ triumphing over devil(s)
11D334|Volwassen Christus samen met apostelen, evangelisten, heiligen, enz.    # adult Christ together with apostles, evangelists, saints, etc.
11D3341|Christus met Johannes de Evangelist leunend op zijn borst, 'Johannesminne', 'Christus-Johannes-Gruppe'    # Christ with John the Evangelist leaning on his breast, 'Johannesminne', 'Christus-Johannes-Gruppe'
11D3342|'Traditio legis', 'Dominus legem dat', d.w.z. Christus geeft een boekrol (de Wet) aan Paulus; Petrus aanwezig    # 'Traditio legis', 'Dominus legem dat', i.e. Christ giving a scroll (the Law) to Paul; Peter present
11D33421|Christus geeft een rol (de Wet) aan Paulus; apostel(s) aanwezig    # Christ giving a scroll (the Law) to Paul; apostle(s) present
11D3343|Christus met boetvaardige zondaars (Adam, David, verloren zoon, Maria Magdalena, goede misdadiger, Petrus, enz.)    # Christ with penitent sinners (Adam, David, prodigal son, Mary Magdalene, good malefactor, Peter, etc.)
11D335|Volwassene Christus samen met stervelingen    # adult Christ together with mortals
11D3351|(volwassene) Christus verschijnt aan stervelingen    # (adult) Christ appearing to mortals
11D336|Triomferende Christus, bijvoorbeeld op triomfwagen    # triumphant Christ, e.g. on triumphal chariot
11D337|Christus te paard    # Christ on horseback
11D3371|Christus te paard die een leger van ridders leidt, 'Militia Christi'    # Christ on horseback leading an army of knights, 'Militia Christi'
11D34|volwassen Christus ~ abstracte begrippen    # adult Christ ~ abstract conceptions
11D35|Specifieke soorten gekruisigde Christus (in niet-narratieve context)    # specific types of crucified Christ (in non-narrative context)
11D351|Christus lijden (met doornenkroon, hoofd meestal opzij gedraaid)    # Christ suffering (with crown of thorns, head usually turned sidewards)
11D352|Christus bedekt met pestzweren, Pestkruzifixus    # Christ covered with pest-sores, 'Pestkruzifixus'
11D353|Christus triomferend (met kroon, hoofd meestal rechtop)    # Christ triumphing (with crown, head usually upright)
11D354|Christus buigt zich van het kruis om iemand te omhelzen    # Christ bowing down from the cross to embrace someone
11D355|Christus gekruisigd aan een boom of aan een wijnstok    # Christ crucified on a tree or on a vine
11D356|Christus gekruisigd aan een 'levend' kruis    # Christ crucified on a 'living' cross
11D357|de Deugden ~ gekruisigde Christus    # the Virtues ~ crucified Christ
11D36|Andere soorten gekruisigde Christus in niet-narratieve context    # other types of crucified Christ in non-narrative context
11D4|legendes en toewijdingen ~ Christus    # legends and devotions ~ Christ
11D41|legendes ~ Christus    # legends ~ Christ
11D411|Legende van het Ware Kruis    # legend of the True Cross
11D4111|Seth legt een tak van de Boom van Kennis op het graf van Adam ~ legende van het Ware Kruis    # Seth puts a branch from the Tree of Knowledge on Adam's grave ~ legend of the True Cross
11D41111|Seth op zoek naar het paradijs; de engel geeft hem een takje of een flesje olie ~ legende van het Ware Kruis    # Seth searching for paradise; the angel gives him a twig or a flask of oil ~ legend of the True Cross
11D4112|het hout wordt gebruikt voor de bouw van de tempel van Salomo ~ de legende van het Ware Kruis    # the wood is used for the building of the temple of Solomon ~ the legend of the True Cross
11D4113|Het hout, dat dient als een brug, wordt vereerd door de koningin van Sheba ~ de legende van het Ware Kruis    # the wood, serving as a bridge, is worshipped by the queen of Sheba ~ the legend of the True Cross
11D4114|Het hout wordt weggenomen uit het bad van Bethesda om te dienen als het kruis van Christus ~ legende van het Ware Kruis    # the wood is taken from the pool of Bethesda to serve as Christ's cross ~ legend of the True Cross
11D4115|Helena's visie van het Heilige Kruis gedragen door engelen ~ legende van het Ware Kruis    # Helena's vision of the Holy Cross borne by angels ~ legend of the True Cross
11D4116|de vinding van het Ware Kruis    # the finding of the True Cross
11D41161|Judas, een Jood, in een put geplaatst door Helena, moeder van Constantijn ~ legende van het Ware Kruis    # Judas, a Jew, put into a well by Helena, mother of Constantine ~ legend of the True Cross
11D41162|De drie kruisen worden opgegraven in de buurt van de tempel van Venus ~ legende van het Ware Kruis    # the three crosses are dug up near the temple of Venus ~ legend of the True Cross
11D41163|Helena identificeert het Ware Kruis: een menselijk lijk wordt tot leven hersteld wanneer het het kruis aanraakt    # Helena identifies the True Cross: a human corpse is restored to life when it touches the cross
11D41164|Helena en Constantine knielen voor (of staan naast) het Ware Kruis    # Helena and Constantine kneeling before (or standing beside) the True Cross
11D4117|het verheffen van het Ware Kruis, Verheffing van het Heilig Kruis    # the raising of the True Cross, Exaltation of the Holy Cross
11D41171|Keizer Heraclius verslaat Chosroes II van Perzië en herstelt een deel van het Ware Kruis    # Emperor Heraclius defeats Chosroes II of Persia, and recovers a part of the True Cross
11D41172|Heraclius' into Jerusalem: zoals gevraagd door een engel draagt de keizer, ontdaan van zijn koninklijke gewaden, het Ware Kruis de stad binnen    # Heraclius' entry into Jerusalem: as asked by an angel, the emperor, stripped of his royal robes, carries the True Cross into the city
11D411721|keizer Heraclius' intocht in Jeruzalem, rijdend op een ezel of te paard ~ legende van het Ware Kruis    # emperor Heraclius' entry into Jerusalem, riding on an ass or on horseback ~ legend of the True Cross
11D41173|De Echte Kruis wordt opgericht op Golgotha (of op een altaar) ~ legende van de Echte Kruis    # the True Cross is erected on Golgotha (or on an altar) ~ legend of the True Cross
11D41174|Chosroes II, die weigert zich te laten dopen, wordt geëxecuteerd ~ legende van het Ware Kruis    # Chosroes II, having refused baptism, is executed ~ legend of the True Cross
11D412|Legende van de bloedende Heilige Lans    # legend of the bleeding Holy Lance
11D413|Legende van de Heilige Graal    # legend of the Holy Grail
11D414|de profetie van Basilides: op weg naar Jeruzalem raadpleegt keizer Titus Basilides de Karmeliet, die hem een visioen toont van God de Vader met de dode Christus    # the prophecy of Basilides: on his way to Jerusalem, emperor Titus consults Basilides the Carmelite, who shows him a vision of God the Father with the dead Christ
11D42|toewijding ~ Christus    # devotion ~ Christ
11D421|de Zeven Bloedingen van Christus    # the Seven Bleedings of Christ
11D4211|Enkele scènes van de Zeven Bloedstortingen van Christus    # single scenes of the Seven Bleedings of Christ
11D422|het Heilig Hart    # the Sacred Heart
11D423|het Heilige Bloed    # the Sacred Blood
11D424|de Heilige Traan    # the Sacred Tear
11D425|Christus' lengte    # Christ's length
11D43|relikwieën ~ Christus    # relics ~ Christ
11D431|splinters van het kruis ~ relieken van Christus    # splinters of the cross ~ relics of Christ
11D432|Spijkers van het kruis ~ relieken van Christus    # nails of the cross ~ relics of Christ
11D433|de Heilige Lans ~ relieken van Christus    # the Holy Lance ~ relics of Christ
11D434|De mantel van Christus ~ relieken van Christus    # Christ's robe ~ relics of Christ
11D435|'Scala Santa', de trappen van het paleis van Pilatus ~ relieken van Christus    # 'Scala Santa', the stairs of Pilate's palace ~ relics of Christ
11D5|mystieke ideeën ~ Christus    # mystic ideas ~ Christ
11D51|Christus en de ziel    # Christ and the Soul
11D511|de ziel als bruid van Christus    # the Soul as bride of Christ
11D52|Christus en het menselijk hart    # Christ and the human heart
11D53|Het bloed van Christus redt de mensheid    # Christ's blood saving mankind
11D6|wonderbaarlijke standbeelden van Christus of het Christuskind    # miraculous statues of Christ or the Christ-child
11D6(...)|wonderbaarlijke beelden van Christus of het Christuskind (met NAAM)    # miraculous statues of Christ or the Christ-child (with NAME)
11D9|antichrist    # Antichrist
11D91|Scènes uit het leven van de Antichrist    # scenes from the life of the Antichrist
11DD3|Christus als volwassene - DD - Christus zonder baard    # Christ as adult - DD - Christ beardless
11DD31|'portretten' van Christus - DD - Christus zonder baard    # 'portraits' of Christ - DD - Christ beardless
11DD311|'Mandylion', d.w.z. portret, wellicht gemaakt voor Koning Abgar van Edessa door Christus zelf, door zijn gezicht tegen een doek te drukken - DD - Christus zonder baard    # 'Mandylion', i.e. portrait, perhaps made for King Abgar of Edessa by Christ himself, by pressing his face against a cloth - DD - Christ beardless
11DD3111|Christus geeft de Mandylion aan de boodschapper van Koning Abgar - DD - Christus baardloos    # Christ gives the Mandylion to the messenger of King Abgar - DD - Christ beardless
11DD3112|De mandylion wordt naar Edessa gebracht - DD - Christus baardloos    # the Mandylion is brought to Edessa - DD - Christ beardless
11DD312|'Veera Icon', 'Sudarium', Veronica-portret - DD - Christus triomfant    # 'Vera Icon', 'Sudarium', Veronica-portrait - DD - Christ triumphant
11DD3121|'VeRa Icon', opgehouden door Veronica - DD - Christus triomfantelijk    # 'Vera Icon', held up by Veronica - DD - Christ triumphant
11DD3122|'VeRa Icon', opgehouden door engelen - DD - Christus triomfantelijk    # 'Vera Icon', held up by angels - DD - Christ triumphant
11DD3123|'VeRa Icon' opgehouden door Peter en Paul - DD - Christus triomfantelijk    # 'Vera Icon' held up by Peter and Paul - DD - Christ triumphant
11DD313|'portret' van Christus volgens de brief van Lentulus - DD - Christus zonder baard    # 'portrait' of Christ according to the letter of Lentulus - DD - Christ beardless
11DD314|'Volto Santo', bijvoorbeeld in Lucca (mogelijk gesneden door Nicodemus) - DD - Christus zonder baard    # 'Volto Santo', e.g. of Lucca (perhaps carved by Nicodemus) - DD - Christ beardless
11DD315|portret van Christus gemaakt door Lucas - DD - Christus zonder baard    # portrait of Christ made by Luke - DD - Christ beardless
11DD316|Ex-voto van de vrouw die genezen is van de bloedvloeiing - DD - Christus zonder baard    # ex-voto of the woman healed from the issue of blood - DD - Christ beardless
11DD317|(volledige lengte) afbeelding van Christus op lijkwade, 'Sindone' - DD - Christus zonder baard    # (full-length) image of Christ on shroud, 'Sindone' - DD - Christ beardless
11DD318|(andere) 'portretten' van Christus, bijv. profielportret - DD - Christus zonder baard    # (other) 'portraits' of Christ, e.g. profile portrait - DD - Christ beardless
11DD32|Specifieke soorten volwassen Christus (zonder anderen) - DD - Christus zonder baard    # particular types of adult Christ (without others) - DD - Christ beardless
11DD321|'Majestas Domini': Christus in een mandorla gezeten op een regenboog of bol en vergezeld door de Tetramorf - DD - Christus zonder baard    # 'Majestas Domini': Christ in mandorla seated on a rainbow or sphere and accompanied by the Tetramorph - DD - Christ beardless
11DD322|Christus op de troon - DD - Christus zonder baard    # Christ enthroned - DD - Christ beardless
11DD3221|'Pantocrator', (buste van) Christus, maakt een sprekend of zegenend gebaar en houdt een boek vast - DD - Christus zonder baard    # 'Pantocrator', (bust of) Christ, making a speaking or blessing gesture and holding a book - DD - Christ beardless
11DD3222|'Christus Rex' - DD - Christus zonder baard    # 'Christus Rex' - DD - Christ beardless
11DD3223|Christus als (hemelse) rechter - DD - Christus zonder baard    # Christ as (heavenly) judge - DD - Christ beardless
11DD323|Christus-'Logos', het Woord in Vlees - DD - Christus ongeschoren    # Christ-'Logos', the Word Incarnate - DD - Christ beardless
11DD324|'Salvator Mundi', met een zegenend gebaar; een bol in zijn hand of aan zijn voeten - DD - Christus zonder baard    # 'Salvator Mundi', making a blessing gesture; an orb in his hand or at his feet - DD - Christ beardless
11DD325|Christus ~ de Eucharistie - DD - Christus zonder baard    # Christ ~ the Eucharist - DD - Christ beardless
11DD3251|Christus met kelk, en brood of hostie - DD - Christus zonder baard    # Christ with chalice, and bread or Host - DD - Christ beardless
11DD3252|Christus in de wijnpers, 'Christus in der Kelter' (Jes. 63:3) - DD - Christus zonder baard    # Christ in the wine-press, 'Christus in der Kelter' (Is. 63:3) - DD - Christ beardless
11DD3253|Christus in de symbolische molen - DD - Christus zonder baard    # Christ in the symbolic mill - DD - Christ beardless
11DD326|'Fons Vitae', 'Fons Pietatis' - DD - Christus zonder baard    # 'Fons Vitae', 'Fons Pietatis' - DD - Christ beardless
11DD3261|Christus staat op of nabij een fontein, waarbij hij zijn bloed vergiet - DD - Christus zonder baard    # Christ standing on or near a fountain, shedding his blood - DD - Christ beardless
11DD3262|Christus aan het kruis (in een fontein), zijn bloed vergietend - DD - Christus zonder baard    # Christ on the cross (in a fountain), shedding his blood - DD - Christ beardless
11DD327|christus ~ menselijke beroepen - DD - christus zonder baard    # Christ ~ human occupations - DD - Christ beardless
11DD3271|Christus als Goede Herder - DD - Christus zonder baard    # Christ as Good Shepherd - DD - Christ beardless
11DD3272|Christus als geneesheer - DD - Christus zonder baard    # Christ as physician - DD - Christ beardless
11DD32721|Christus als apotheker - DD - Christus zonder baard    # Christ as apothecary - DD - Christ beardless
11DD3273|Christus vissend - DD - Christus zonder baard    # Christ fishing - DD - Christ beardless
11DD3274|Christus als marskramer - DD - Christus zonder baard    # Christ as pedlar - DD - Christ beardless
11DD3275|Christus als boer of tuinman - DD - Christus zonder baard    # Christ as farmer or gardener - DD - Christ beardless
11DD3276|Christus als gastheer - DD - Christus zonder baard    # Christ as host - DD - Christ beardless
11DD3277|Christus als hogepriester of profeet - DD - Christus zonder baard    # Christ as (high) priest or prophet - DD - Christ beardless
11DD3278|Christus als pelgrim - DD - Christus zonder baard    # Christ as pilgrim - DD - Christ beardless
11DD3279|'Feiertagschristus', Christus met ambachtslieden gereedschap - DD - Christus zonder baard    # 'Feiertagschristus', Christ with craftsman's tools - DD - Christ beardless
11DD328|Soorten volwassen Christus (alleen) - DD - Christus zonder baard    # types of adult Christ (alone) - DD - Christ beardless
11DD3281|Christus als vrouw - DD - Christus zonder baard    # Christ as woman - DD - Christ beardless
