0|Abstracte, non-representatieve kunst
11D23|Christuskind ~ Passie, 'Schmerzenskind'
11D231|Kindje Jezus mediteert voor de instrumenten van het Lijden
11D232|Christuskind omringd door de instrumenten van het Lijden
11D233|Christuskind draagt de instrumenten van het Lijden
11D234|Christuskind dat de vijf wonden toont
11D235|Kindje Jezus windt een kroon van doornen, of met doornige takken
11D236|Kindje Jezus draagt het kruis
11D237|Kindje Jezus knielend voor het kruis
11D238|Christuskind slapend op het kruis
11D24|Christuskind als eucharistisch symbool
11D241|Christuskind in of op een kelk
11D2411|'Melismos' ~ Christus-kind als eucharistisch symbool
11D242|Kindje Jezus in de mystieke molen
11D25|Christuskind samen met anderen
11D26|Christus als jongere
11D261|Christus 'Emmanuel'
11D3|Christus als volwassene
11D31|'portretten' van Christus
11D311|'Mandylion', d.w.z. portret, wellicht gemaakt voor Koning Abgar van Edessa door Christus zelf, door zijn gezicht tegen een doek te drukken
11D3111|Christus geeft de Mandylion aan de boodschapper van koning Abgar.
11D3112|de Mandylion wordt naar Edessa gebracht
11D312|'Veera Icoon', 'Sudarium', Veronica-portret'
11D3121|'VeRa Icon', opgehouden door Veronica
11D3122|'VeRa Icon', opgehouden door engelen
11D3123|'VeRa Icon', ondersteund door Peter en Paul
11D3124|'Vera Icon', opgehouden door de vier symbolen van de evangelisten
11D313|'portret' van Christus volgens de brief van Lentulus
11D314|'Volto Santo', bijvoorbeeld in Lucca (mogelijk gesneden door Nicodemus)
11D315|portret van Christus gemaakt door Lucas
11D316|Ex-voto van de vrouw die genezen is van de bloedvloeiing
11D317|(volledige lengte) afbeelding van Christus op lijkwade, 'Sindone'
11D318|(andere) 'portretten' van Christus, bijv. profielportret
11D32|Bijzondere soorten volwassen Christus (zonder anderen)
11D321|'Majestas Domini': Christus in mandorla gezeten op een regenboog of bol en vergezeld door de Tetramorf
11D322|Christus op de troon
11D3221|'Pantocrator', (buste van) Christus, maakt een sprekend of zegenend gebaar en houdt een boek vast
11D3222|'Christus Rex'
11D3223|Christus als (hemelse) rechter
11D323|Christus-'Logos', het Woord in Vlees
11D324|'Salvator Mundi', die een zegenend gebaar maakt; een bol in zijn hand of aan zijn voeten
11D325|Christus ~ de Eucharistie
11D3251|Christus met kelk, en brood of hostie
11D3252|Christus in de wijnpers, 'Christus in der Kelter' (Jes. 63:3)
11D3253|Christus in de symbolische molen
11D326|'Fons Vitae', 'Fons Pietatis'
11D3261|Christus staat op of nabij een fontein, waarbij hij zijn bloed vergiet
11D3262|Christus aan het kruis (in een fontein), die zijn bloed vergiet
11D327|Christus ~ menselijke beroepen
11D3271|Christus als Goede Herder
11D3272|Christus als geneesheer
11D32721|Christ als apotheker
11D3273|Christus vissen
11D3274|Christus als marskramer
11D3275|Christus als boer of tuinman
11D3276|Christus als gastheer
11D3277|Christus als hogepriester of profeet
11D3278|Christus als pelgrim
11D3279|'Feiertagschristus', Christus met ambachtslieden gereedschap
11D328|Soorten volwassen Christus (alleen)
11D3281|Christus als vrouw
11D3282|Christus in orante houding
11D3283|Christus als engel
11D3284|Christus ~ Orpheus
11D3285|Christus ~ Apollo (Helios)
11D33|volwassene Christus samen met anderen (niet-narratieve voorstellingen)
11D331|Volwassene Christus met Maria
11D3311|Christus en Maria als bruidegom en bruid
11D332|Volwassen Christus samen met engelen
11D333|Volwassen Christus ~ duivel(s) en demonische wezens
11D3331|Christus die triomfeert over duivel(s)
11D334|Volwassen Christus samen met apostelen, evangelisten, heiligen, enz.
11D3341|Christus met Johannes de Evangelist leunend op zijn borst, 'Johannesminne', 'Christus-Johannes-Gruppe'
11D3342|'Traditio legis', 'Dominus legem dat', d.w.z. Christus geeft een boekrol (de Wet) aan Paulus; Petrus aanwezig
11D33421|Christus geeft een rol (de Wet) aan Paulus; apostel(s) aanwezig
11D3343|Christus met boetvaardige zondaars (Adam, David, verloren zoon, Maria Magdalena, goede misdadiger, Petrus, enz.)
11D335|Volwassene Christus samen met stervelingen
11D3351|(volwassene) Christus verschijnt aan stervelingen
11D336|Triomferende Christus, bijvoorbeeld op triomfwagen
11D337|Christus te paard
11D3371|Christus te paard die een leger van ridders leidt, 'Militia Christi'
11D34|volwassen Christus ~ abstracte begrippen
11D35|Specifieke soorten gekruisigde Christus (in niet-narratieve context)
11D351|Christus lijden (met doornenkroon, hoofd meestal opzij gedraaid)
11D352|Christus bedekt met pestzweren, Pestkruzifixus
11D353|Christus triomferend (met kroon, hoofd meestal rechtop)
11D354|Christus buigt zich van het kruis om iemand te omhelzen
11D355|Christus gekruisigd aan een boom of aan een wijnstok
11D356|Christus gekruisigd aan een 'levend' kruis
11D357|de Deugden ~ gekruisigde Christus
11D36|Andere soorten gekruisigde Christus in niet-narratieve context
11D4|legendes en toewijdingen ~ Christus
11D41|legendes ~ Christus
11D411|Legende van het Ware Kruis
11D4111|Seth legt een tak van de Boom van Kennis op het graf van Adam ~ legende van het Ware Kruis
11D41111|Seth op zoek naar het paradijs; de engel geeft hem een takje of een flesje olie ~ legende van het Ware Kruis
11D4112|het hout wordt gebruikt voor de bouw van de tempel van Salomo ~ de legende van het Ware Kruis
11D4113|Het hout, dat dient als een brug, wordt vereerd door de koningin van Sheba ~ de legende van het Ware Kruis
11D4114|Het hout wordt weggenomen uit het bad van Bethesda om te dienen als het kruis van Christus ~ legende van het Ware Kruis
11D4115|Helena's visie van het Heilige Kruis gedragen door engelen ~ legende van het Ware Kruis
11D4116|de vinding van het Ware Kruis
11D41161|Judas, een Jood, in een put geplaatst door Helena, moeder van Constantijn ~ legende van het Ware Kruis
11D41162|De drie kruisen worden opgegraven in de buurt van de tempel van Venus ~ legende van het Ware Kruis
11D41163|Helena identificeert het Ware Kruis: een menselijk lijk wordt tot leven hersteld wanneer het het kruis aanraakt
11D41164|Helena en Constantine knielen voor (of staan naast) het Ware Kruis
11D4117|het verheffen van het Ware Kruis, Verheffing van het Heilig Kruis
11D41171|Keizer Heraclius verslaat Chosroes II van Perzië en herstelt een deel van het Ware Kruis
11D41172|Heraclius' into Jerusalem: zoals gevraagd door een engel draagt de keizer, ontdaan van zijn koninklijke gewaden, het Ware Kruis de stad binnen
11D411721|keizer Heraclius' intocht in Jeruzalem, rijdend op een ezel of te paard ~ legende van het Ware Kruis
11D41173|De Echte Kruis wordt opgericht op Golgotha (of op een altaar) ~ legende van de Echte Kruis
11D41174|Chosroes II, die weigert zich te laten dopen, wordt geëxecuteerd ~ legende van het Ware Kruis
11D412|Legende van de bloedende Heilige Lans
11D413|Legende van de Heilige Graal
11D414|de profetie van Basilides: op weg naar Jeruzalem raadpleegt keizer Titus Basilides de Karmeliet, die hem een visioen toont van God de Vader met de dode Christus
11D42|toewijding ~ Christus
11D421|de Zeven Bloedingen van Christus
11D4211|Enkele scènes van de Zeven Bloedstortingen van Christus
11D422|het Heilig Hart
11D423|het Heilige Bloed
11D424|de Heilige Traan
11D425|Christus' lengte
11D43|relikwieën ~ Christus
11D431|splinters van het kruis ~ relieken van Christus
11D432|Spijkers van het kruis ~ relieken van Christus
11D433|de Heilige Lans ~ relieken van Christus
11D434|De mantel van Christus ~ relieken van Christus
11D435|'Scala Santa', de trappen van het paleis van Pilatus ~ relieken van Christus
11D5|mystieke ideeën ~ Christus
11D51|Christus en de ziel
11D511|de ziel als bruid van Christus
11D52|Christus en het menselijk hart
11D53|Het bloed van Christus redt de mensheid
11D6|wonderbaarlijke standbeelden van Christus of het Christuskind
11D6(...)|wonderbaarlijke beelden van Christus of het Christuskind (met NAAM)
11D9|antichrist
11D91|Scènes uit het leven van de Antichrist
11DD3|Christus als volwassene - DD - Christus zonder baard
11DD31|'portretten' van Christus - DD - Christus zonder baard
11DD311|'Mandylion', d.w.z. portret, wellicht gemaakt voor Koning Abgar van Edessa door Christus zelf, door zijn gezicht tegen een doek te drukken - DD - Christus zonder baard
11DD3111|Christus geeft de Mandylion aan de boodschapper van Koning Abgar - DD - Christus baardloos
11DD3112|De mandylion wordt naar Edessa gebracht - DD - Christus baardloos
11DD312|'Veera Icon', 'Sudarium', Veronica-portret - DD - Christus triomfant
11DD3121|'VeRa Icon', opgehouden door Veronica - DD - Christus triomfantelijk
11DD3122|'VeRa Icon', opgehouden door engelen - DD - Christus triomfantelijk
11DD3123|'VeRa Icon' opgehouden door Peter en Paul - DD - Christus triomfantelijk
11DD313|'portret' van Christus volgens de brief van Lentulus - DD - Christus zonder baard
11DD314|'Volto Santo', bijvoorbeeld in Lucca (mogelijk gesneden door Nicodemus) - DD - Christus zonder baard
11DD315|portret van Christus gemaakt door Lucas - DD - Christus zonder baard
11DD316|Ex-voto van de vrouw die genezen is van de bloedvloeiing - DD - Christus zonder baard
11DD317|(volledige lengte) afbeelding van Christus op lijkwade, 'Sindone' - DD - Christus zonder baard
11DD318|(andere) 'portretten' van Christus, bijv. profielportret - DD - Christus zonder baard
11DD32|Specifieke soorten volwassen Christus (zonder anderen) - DD - Christus zonder baard
11DD321|'Majestas Domini': Christus in een mandorla gezeten op een regenboog of bol en vergezeld door de Tetramorf - DD - Christus zonder baard
11DD322|Christus op de troon - DD - Christus zonder baard
11DD3221|'Pantocrator', (buste van) Christus, maakt een sprekend of zegenend gebaar en houdt een boek vast - DD - Christus zonder baard
11DD3222|'Christus Rex' - DD - Christus zonder baard
11DD3223|Christus als (hemelse) rechter - DD - Christus zonder baard
11DD323|Christus-'Logos', het Woord in Vlees - DD - Christus ongeschoren
11DD324|'Salvator Mundi', met een zegenend gebaar; een bol in zijn hand of aan zijn voeten - DD - Christus zonder baard
11DD325|Christus ~ de Eucharistie - DD - Christus zonder baard
11DD3251|Christus met kelk, en brood of hostie - DD - Christus zonder baard
11DD3252|Christus in de wijnpers, 'Christus in der Kelter' (Jes. 63:3) - DD - Christus zonder baard
11DD3253|Christus in de symbolische molen - DD - Christus zonder baard
11DD326|'Fons Vitae', 'Fons Pietatis' - DD - Christus zonder baard
11DD3261|Christus staat op of nabij een fontein, waarbij hij zijn bloed vergiet - DD - Christus zonder baard
11DD3262|Christus aan het kruis (in een fontein), zijn bloed vergietend - DD - Christus zonder baard
11DD327|christus ~ menselijke beroepen - DD - christus zonder baard
11DD3271|Christus als Goede Herder - DD - Christus zonder baard
11DD3272|Christus als geneesheer - DD - Christus zonder baard
11DD32721|Christus als apotheker - DD - Christus zonder baard
11DD3273|Christus vissend - DD - Christus zonder baard
11DD3274|Christus als marskramer - DD - Christus zonder baard
11DD3275|Christus als boer of tuinman - DD - Christus zonder baard
11DD3276|Christus als gastheer - DD - Christus zonder baard
11DD3277|Christus als hogepriester of profeet - DD - Christus zonder baard
11DD3278|Christus als pelgrim - DD - Christus zonder baard
11DD3279|'Feiertagschristus', Christus met ambachtslieden gereedschap - DD - Christus zonder baard
11DD328|Soorten volwassen Christus (alleen) - DD - Christus zonder baard
11DD3281|Christus als vrouw - DD - Christus zonder baard
11DD3282|Christus in orante houding - DD - Christus zonder baard
11DD3283|Christus als engel - DD - Christus zonder baard
11DD3284|Christus ~ Orpheus - DD - Christus zonder baard
11DD3285|Christus ~ Apollo (Helios) - DD - Christus ongeschoren
11DD33|Volwassene Christus samen met anderen (niet-narratieve voorstellingen) - DD - Christus zonder baard
11DD331|Volwassen Christus met Maria - DD - Christus zonder baard
11DD3311|Christus en Maria als bruidegom en bruid - DD - Christus zonder baard
11DD332|Volwassen Christus samen met engelen - DD - Christus zonder baard
11DD333|Volwassen Christus ~ duivel(s) en demonische wezens - DD - Christus baardloos
11DD3331|Christus die triomfeert over duivel(s) - DD - Christus zonder baard
11DD334|volwassen Christus samen met apostelen, evangelisten, heiligen, enz. - DD - Christus zonder baard
11DD3341|Christus met Johannes de Evangelist die op zijn borst leunt, 'Johannesminne', 'Christus-Johannes-Gruppe' - DD - Christus zonder baard
11DD3342|'Traditio legis', 'Dominus legem dat', d.w.z. Christus geeft een rol (de Wet) aan Paulus; Petrus aanwezig - DD - Christus zonder baard
11DD33421|Christus geeft een rol (de Wet) aan Paulus; apostel(s) aanwezig - DD - Christus zonder baard
11DD3343|Christus met boetvaardige zondaars (Adam, David, verloren zoon, Maria Magdalena, goede misdadiger, Petrus, enz.) - DD - Christus zonder baard
11DD335|Volwassen Christus samen met stervelingen - DD - Christus spottend, dreigend, enz.
11DD3351|(volwassene) Christus verschijnt aan stervelingen - DD - Christus spottend, dreigend, enz.
11DD336|Triomferende Christus, bijvoorbeeld op triomfwagen - DD - Christus zonder baard
11DD337|Christus te paard - DD - Christus zonder baard
11DD3371|Christus te paard die een leger van ridders leidt, 'Militia Christi' - DD - Christus zonder baard
11DD34|Volwassen Christus ~ abstracte begrippen - DD - Christus zonder baard
11DD35|Specifieke soorten gekruisigde Christus (in niet-narratieve context) - DD - Christus zonder baard
11DD351|Christus lijdt (met doornenkroon, hoofd meestal opzij gedraaid) - DD - Christus zonder baard
11DD352|Christus bedekt met pestzweren, Pestkruzifixus - DD - Christus zonder baard
11DD353|Christus triomferend (met kroon, hoofd meestal rechtop) - DD - Christus zonder baard
11DD354|Christus buigt zich van het kruis om iemand te omhelzen - DD - Christus zonder baard
11DD355|Christus gekruisigd aan een boom of aan een wijnstok - DD - Christus zonder baard
11DD356|Christus gekruisigd aan een 'levend' kruis - DD - Christus zonder baard
11DD357|de Deugden ~ gekruisigde Christus - DD - Christus zonder baard
11DD36|andere soorten gekruisigde Christus in niet-narratieve context - DD - Christus zonder baard
11DD422|het Heilig Hart - DD - het Christuskind en het Heilig Hart
11E|de Heilige Geest
11E1|Heilige Geest voorgesteld als een duif (in vlammen)
11E2|Heilige Geest voorgesteld als vlammen
11E3|Heilige Geest voorgesteld in menselijke vorm
11E4|Heilige Geest vertegenwoordigd anders, bijv. straal(stralen) van licht
11E5|de zeven gaven van de Heilige Geest
11E51|de zeven gaven van de Heilige Geest voorgesteld als zeven duiven
11E52|de zeven gaven van de Heilige Geest voorgesteld als zeven vlammen
11E53|De zeven gaven van de Heilige Geest worden voorgesteld als zeven lampen of als een zevenarmige kandelaar.
11E54|Aparte representaties van de zeven gaven van de Heilige Geest
11E541|'Sapientia', Wijsheid; 'Sapienza divina' (Ripa) ~ een van de zeven gaven van de Heilige Geest
11E542|'Intellectus', 'Intelligentia', Begrip ~ een van de zeven gaven van de Heilige Geest
11E543|'Consilium', Raad ~ een van de zeven gaven van de Heilige Geest
11E544|'Fortitudo', Fortitude ~ een van de zeven gaven van de Heilige Geest
11E545|'Pietas', Vroomheid ~ een van de zeven gaven van de Heilige Geest
11E546|'Scientia', Kennis ~ een van de zeven gaven van de Heilige Geest
11E547|'Timor Domini', Heilige Vrees ~ een van de zeven gaven van de Heilige Geest
11F|de Maagd Maria
11F1|symbolen en prefiguraties van Maria
11F11|symbolen van Maria
11F111|symbolen van Maria uit litanieën
11F111(...)|Symbolen van Maria uit litanieën (met TEKST)
11F111(CIVITAS DEI)|symbolen van Maria uit litanieën: Civitas Dei
11F111(ELECTA UT SOL)|symbolen van Maria uit litanieën: Electa ut sol
11F111(FLOS CAMPI)|symbolen van Maria uit litanieën: Flos campi
11F111(FONS SIGNATUS)|Symbolen van Maria uit litanieën: Fons signatus
11F111(HORTUS CONCLUSUS)|Symbolen van Maria uit litanieën: Hortus conclusus
11F111(PORTA COELI)|symbolen van Maria uit litanieën: Porta coeli
11F111(PULCHRA UT LUNA)|symbolen van Maria uit litanieën: Pulchra ut luna
11F111(ROSA MYSTICA)|symbolen van Maria uit litanieën: Rosa mystica
11F111(SPECULUM SINE MACULA)|symbolen van Maria uit litanieën: Speculum sine macula
11F111(STELLA MARIS)|symbolen van Maria uit litanieën: Stella maris
11F111(STELLA MATUTINA)|symbolen van Maria uit litanieën: Stella matutina
11F111(TURRIS DAVIDICA)|symbolen van Maria uit litanieën: Turris Davidica
11F111(TURRIS EBURNEA)|symbolen van Maria uit litanieën: Turris eburnea
11F112|Maria of Madonna met symbolen van de Lauretanische Litanie
11F12|Monogrammen van Maria
11F13|wapen van Maria
11F14|'Defensorium inviolatae virginitatis'; symbolen van maagdelijk moederschap
11F15|voorspellingen van Maria; Maria en haar voorspellingen
11F2|Mary (zonder het Christuskind)
11F21|Mary als kind
11F22|'portretten' van Mary
11F23|rechtopstaande figuren van Maria zonder het Christuskind
11F231|Mary als orante (soms genoemd 'Blacherniotissa')
11F232|'Immaculata', 'Purisima': Maria, meestal staand op een halve maan, neerdalend uit de hemel, vrij van oorspronkelijke zonde (soms slang vertrappend)
11F2321|'Immaculata', 'Purisima': Maria met heiligen
11F233|Mary staat of rust op de aarde
11F234|Zwangere Maria, Onze Lieve Vrouw van Verwachting, Madonna del Parto
11F2341|zwangere Maria, Christus-kind zichtbaar
11F235|opening Maagd
11F2351|Drievuldigheid binnenin de openende Maagd
11F2352|Passie van Christus binnenin de openende Maagd
11F236|'Aehrenkleidmaria' (soms met Christuskind)
11F24|zittende figuren van Maria (alleen)
11F241|Onze Lieve Vrouw van de Smarten
11F2411|de (Zeven) Smarten van Maria
11F2412|Mary doorzeefd door zeven zwaarden
11F242|Onze Lieve Vrouw van de Vreugden
11F2421|de (Zeven) Vreugden van Maria
11F243|Maria en de eenhoorn
11F244|Maria op de troon
11F26|andere soorten Maria (alleen)
11F25|'Mater Dolorosa'
11F251|Maria huilt
11F252|Mary doorboord door een zwaard
11F253|Maria met de instrumenten van het Lijden
11F261|Maria als bruid van de Heilige Geest (met een duif op haar borst)
11F262|Mary als herderin
11F263|Maria als pelgrim
11F264|Maria als kluizenaar (na de dood van Christus), Nostra Señora de la Soledad
11F265|Mary als dokter
11F266|Mary die de duivel overwint
11F267|Mary redt ziel(en)
11F268|Mary als priesteres, die de Eucharistie toedient
11F3|Mary (zonder Christuskind), samen met anderen
11F31|Maria bemiddelend (met Christus), 'Maria Mediatrix' (soms Maria die haar borsten toont)
11F32|Mary samen met stervelingen, die haar aanbidden, of haar smeken om hulp
11F33|Mary geeft melk van haar borsten, 'Lactatio'
11F34|Mary beschermt de mensheid tegen de pest, bijvoorbeeld door mensen te verbergen onder haar mantel; 'Pestbild'
11F35|Maria als Koningin van de apostelen
11F36|triomf van Maria, op triomfwagen
11F4|Madonna: d.w.z. Maria met het Christuskind
11F41|Madonna: Maria staand (of half-lengte), Christus-kind dicht bij haar borst
11F411|Mary staand (of half-lengte), het Christuskind voor haar, dicht bij haar boezem
11F4111|Mary staand (of half-lengte), het Christuskind voor haar, dicht bij haar boezem; staand
11F4112|Mary staand (of half-lengte), het Christuskind voor haar, dicht bij haar boezem; zittend
11F41121|'Nikopoia' ~ Madonna
11F4113|Mary staat (of half-lengte), het Christuskind voor haar, dicht bij haar boezem; liggend
11F412|Mary staand (of half-length), het Christuskind op haar arm (Christuskind aan de linkerkant van Maria)
11F4121|Mary staand (of half-lengte), het Christuskind staand op haar arm (Christuskind aan de linkerkant van Maria)
11F4122|Mary staand (of half-lengte), het Christuskind zittend op haar arm (Christuskind aan de linkerkant van Maria)
11F41221|'Hodegetria' ~ Madonna
11F41222|'Dexiocratousa' ~ Madonna
11F41223|'Eleousa', 'Glykophilousa' ~ Madonna
11F4123|Mary staand (of half-lengte), het Christuskind liggend op haar arm (Christuskind aan de linkerkant van Maria)
11F41231|'Galaktotrophousa' ~ Madonna
11F413|Specifieke types van staande (of half-lengte) Madonna's, zonder anderen
11F4131|'Platytera', d.w.z. Maria in orans-houding met het Christus-kind in een clipeus voor haar
11F41311|Mary, meestal met het Christus-kind, in orans-houding in een fontein (van het leven)
11F4132|Madonna op de sikkel van de maan (soms genoemd Koningin van de Hemel) (in mandorla)
11F4133|Kindje Jezus op de arm van Maria die vecht tegen de draak
11F4134|'Madonna della Vittoria', triomferend, bijvoorbeeld over het protestantisme
11F4135|'Marianum', Madonna in aureool of mandorla (omringd door de rozenkrans), Maria in de Glorie
11F4136|Madonna op een zuil, 'Mariensäule'
11F4137|Madonna staand (of zittend) op een leeuw (van Juda)
11F42|Madonna: Maria zittend of op een troon, het Christuskind op haar schoot (of voor haar boezem) (Maria soms half-lengte afgebeeld)
11F421|Maria zittend of troonend, het Christuskind voor haar op schoot (of voor haar borst)
11F4211|Maria zittend of troonend, het Christuskind voor haar, staand op haar schoot (of voor haar boezem)
11F4212|Maria zittend of troonend, het Christuskind voor haar, zittend op haar schoot (of voor haar boezem)
11F42121|'Sedes Sapientiae'
11F42122|Madonna (of Maria alleen) op de troon van Salomo, soms omringd door deugden
