2|příroda
23D42|Zobrazit
23D42|jaro
23D43|Léto
23D43|Léto
23D43|léto
23D44|Podzim
23D44|Podzim
23D44|podzim
23D5|pět
23D6|šest
23D611|únor
23D611|leden
23D612|duben
23D612|březen
23D613|červen
23D613|Existuje
23D614|srpen
23D614|červenec
23D615|říjen
23D615|září
23D616|December
23D616|listopad
23D621|December
23D621|leden
23D622|únor
23D622|březen
23D623|duben
23D623|Existuje
23D624|červenec
23D624|červen
23D625|srpen
23D625|září
23D626|listopad
23D626|říjen
23E|aktivity
23E|práce
23E|krajina
23E|zaměstnání
23E|sezóna
23E2|dva
23E21|zima
23E22|léto
23E23|svár
23E23|léto
23E23|zima
23E3|tři
23E311|duben
23E311|únor
23E311|leden
23E311|březen
23E312|srpen
23E312|červenec
23E312|červen
23E312|Existuje
23E313|December
23E313|listopad
23E313|říjen
23E313|září
23E321|December
23E321|únor
23E321|leden
23E321|březen
23E322|duben
23E322|červenec
23E322|červen
23E322|Existuje
23E323|srpen
23E323|listopad
23E323|říjen
23E323|září
23E4|čtyři
23E41|zima
23E42|jaro
23E43|léto
23E44|podzim
23E5|pět
23E6|šest
23E611|únor
23E611|leden
23E612|duben
23E612|březen
23E613|červen
23E613|Existuje
23E614|srpen
23E614|červenec
23E615|říjen
23E615|září
23E616|December
23E616|listopad
23E621|December
23E621|leden
23E622|únor
23E622|březen
23E623|duben
23E623|Existuje
23E624|červenec
23E624|červen
23E625|srpen
23E625|září
23E626|listopad
23E626|říjen
23F|krajina
23F|sezóna
23F2|dva
23F21|zima
23F22|léto
23F23|svár
23F23|léto
23F23|zima
23F3|tři
23F311|duben
23F311|únor
23F311|leden
23F311|březen
23F312|srpen
23F312|červenec
23F312|červen
23F312|Existuje
23F313|December
23F313|listopad
23F313|říjen
23F313|září
23F321|December
23F321|únor
23F321|leden
23F321|březen
23F322|duben
23F322|červenec
23F322|červen
23F322|Existuje
23F323|srpen
23F323|listopad
23F323|říjen
23F323|září
23F4|čtyři
23F41|zima
23F42|jaro
23F43|léto
23F44|podzim
23F5|pět
23F6|šest
23F611|únor
23F611|leden
23F612|duben
23F612|březen
23F613|červen
23F613|Existuje
23F614|srpen
23F614|červenec
23F615|říjen
23F615|září
23F616|December
23F616|listopad
23F621|December
23F621|leden
23F622|únor
23F622|březen
23F623|duben
23F623|Existuje
23F624|červenec
23F624|červen
23F625|srpen
23F625|září
23F626|listopad
23F626|říjen
23G|květina
23G|ovoce
23G|sezóna
23G|zátiší
23G2|dva
23G21|zima
23G22|léto
23G23|svár
23G23|léto
23G23|zima
23G3|tři
23G311|duben
23G311|únor
23G311|leden
23G311|březen
23G312|srpen
23G312|červenec
23G312|červen
23G312|Existuje
23G313|December
23G313|listopad
23G313|říjen
23G313|září
23G321|December
23G321|únor
23G321|leden
23G321|březen
23G322|duben
23G322|červenec
23G322|červen
23G322|Existuje
23G323|srpen
23G323|listopad
23G323|říjen
23G323|září
23G4|čtyři
23G41|zima
23G42|jaro
23G43|léto
23G44|podzim
23G5|pět
23G6|šest
23G611|únor
23G611|leden
23G612|duben
23G612|březen
23G613|červen
23G613|Existuje
23G614|srpen
23G614|červenec
23G615|říjen
23G615|září
23G616|December
23G616|listopad
23G621|December
23G621|leden
23G622|únor
23G622|březen
23G623|duben
23G623|Existuje
23G624|červenec
23G624|červen
23G625|srpen
23G625|září
23G626|listopad
23G626|říjen
23H|Bible
23H|sezóna
23H2|dva
23H21|zima
23H22|léto
23H23|svár
23H23|léto
23H23|zima
23H3|tři
23H311|duben
23H311|únor
23H311|leden
23H311|březen
23H312|srpen
23H312|červenec
23H312|červen
23H312|Existuje
23H313|December
23H313|listopad
23H313|říjen
23H313|září
23H321|December
23H321|únor
23H321|leden
23H321|březen
23H322|duben
23H322|červenec
23H322|červen
23H322|Existuje
23H323|srpen
23H323|listopad
23H323|říjen
23H323|září
23H4|čtyři
23H41|zima
23H42|jaro
23H43|léto
23H44|podzim
23H5|pět
23H6|šest
23H611|únor
23H611|leden
23H612|duben
23H612|březen
23H613|červen
23H613|Existuje
23H614|srpen
23H614|červenec
23H615|říjen
23H615|září
23H616|December
23H616|listopad
23H621|December
23H621|leden
23H622|únor
23H622|březen
23H623|duben
23H623|Existuje
23H624|červenec
23H624|červen
23H625|srpen
23H625|září
23H626|listopad
23H626|říjen
23I|Měsíc obecně
23I|Stuha
23I|měsíc
23I|personifikace
23I|dvanáct
23I11|Gennaro
23I11|leden
23I12|únor
23I12|únor
23I13|březen
23I13|Březen
23I21|duben
23I21|Duben
23I22|Květen
23I22|Existuje
23I23|Červen
23I23|červen
23I31|červenec
23I31|Červenec
23I32|Srpen
23I32|srpen
23I33|září
23I33|Září
23I41|říjen
23I41|Říjen
23I42|listopad
23I42|listopad
23I43|December
23I43|prosinec
23K|aktivity
23K|pečení
23K|Sokolnictví
23K|shromáždění
23K|roubování
23K|sklizeň
23K|senoseč
23K|práce
23K|krajina
23K|měsíc
23K|zaměstnání
23K|prase
23K|prořezávání
23K|porážka
23K|setí
23K|mlácení
23K|dvanáct
23K|vinice
23K|vintage
23K|vinný sud
23K|lis na víno
23K|řezbářství
23K11|leden
23K12|únor
23K13|březen
23K21|duben
23K22|Existuje
23K23|červen
23K31|červenec
23K32|srpen
23K33|září
23K41|říjen
23K42|listopad
23K43|December
23L|krajina
23L|měsíc
23L|dvanáct
23L11|leden
23L12|únor
23L13|březen
23L21|duben
23L22|Existuje
23L23|červen
23L31|červenec
23L32|srpen
23L33|září
23L41|říjen
23L42|listopad
23L43|December
23M|květina
23M|ovoce
23M|měsíc
23M|zátiší
23M|dvanáct
23M11|leden
23M12|únor
23M13|březen
23M21|duben
23M22|Existuje
23M23|červen
23M31|červenec
23M32|srpen
23M33|září
23M41|říjen
23M42|listopad
23M43|December
23N|měsíc
23N|dvanáct
23N11|leden
23N12|únor
23N13|březen
23N21|duben
23N22|Existuje
23N23|červen
23N31|červenec
23N32|srpen
23N33|září
23N41|říjen
23N42|listopad
23N43|December
23O|značka
23O|dvanáct
23O|zvěrokruh
23O1|zima
23O11|Kozoroh
23O11|December
23O12|Nositel vody
23O12|leden
23O13|únor
23O13|Ryby
23O2|jaro
23O21|Beran
23O21|březen
23O22|duben
23O22|Býk
23O23|Blíženci
23O23|Existuje
23O3|léto
23O31|Rakovina
23O31|červen
23O32|červenec
23O32|Dnes
23O33|srpen
23O33|Panna
23O4|podzim
23O41|Libry
23O41|září
23O42|říjen
23O42|Štír
23O43|listopad
23O43|Lukostřelec
23O5|astrologie
23P|týden
23Q|den
23Q|sedm
23Q1|neděle
23Q2|pondělí
23Q3|úterý
23Q4|středa
23Q5|čtvrtek
23Q6|pátek
23Q7|Sobota
23Q8|zítra
23R1|den
23R1|přirozený den
23R1|dvacet čtyři
23R10|Přírodní vůz dne
23R10|Přirozený den
23R10|Stuha
23R11|ráno
23R110|Svítání
23R110|Stuha
23R110|personifikace
23R111|Svítání
23R111|krajina
23R113|pak
23R12|odpoledne
23R120|Poledne
23R120|personifikace
23R121|Poledne
23R121|krajina
23R13|večer
23R130|Večer
23R130|personifikace
23R131|Večer
23R131|krajina
23R14|noc
23R140|Noční vůz
23R140|Noc
23R140|Nox
23R140|Stuha
23R140|Klid noci
23R140|personifikace
23R141|Nox
23R141|krajina
23R2|den
23R20|Umělý vůz dne
23R20|Umělý den
23R20|Stuha
23R20|Klid dne
23R3|hodiny
23R3|dvacet čtyři
23R31|dvanáct
23R310|Hore dne
23R310|Stuha
23R310|hodina
23R32|dvanáct
23R320|Hore noci
23R320|Stuha
23R320|hodina
23S|říše
23S|svět
23S1|čtyři
23S11|Babylon
23S12|Persie
23S13|Řecko
23S14|Řím
23S2|Bible
23S21|Daniel
23S21|Nebúkadnesar
23S21|sen
23S21|velký
23S21|socha
23S22|Daniel
23S22|zvíře
23S22|čtyři
23S22|vize
23T|epochy
23T|historie
23T1|Bible
23T1|sedm
23T11|Muž
23T11|Noe
23T12|Abraham
23T12|Mojžíš
23T12|Noe
23T13|Abraham
23T13|David
23T13|Mojžíš
23T14|Babylonské zajetí
23T14|David
23T15|Babylonské zajetí
23T15|Kristus
23T16|Kristus
23T16|než
23T16|práce
23T16|Jeho manželka
23T17|Kristus
23T17|Nebeský Jeruzalém
23T17|sabbat
23T17|než
23T17|odpočinek
23T17|spící
23T21|prehistorie
23T22|starověká historie
23T23|klasická antika
23T24|temné období
23T25|středověká historie
23T25|středověk
23T26|renesance
23T27|století
23U|chronologie
23U1|almanach
23U1|kalendář
23U11|věčnost
23U2|chronometrie
23U2|instrument
23U2|měření
23U20|Horografie
23U20|Stuha
23U21|sluneční hodiny
23U22|přesýpací hodiny
23U23|vodní hodiny
23U24|hodiny
23U241|hodinář
23U241|hodinář
23U25|hodiny (hodinky)
24|nebeská tělesa
24|nebe
240|alegorie
24A|oni
24A1|východ slunce
24A11|tyto
24A110|Úsvit rána
24A110|Stuha
24A2|západ slunce
24A21|soumrak
24A21|večer
24A210|Večerní soumrak
24A210|Stuha
24A3|zatmění
24A31|koruna
24A4|půlnoční slunce
24A5|fyzikální jevy
24A51|místo
24A51|sluneční skvrny
24A52|Dobrý den
24A52|falešné slunce
24A52|sluneční pes
24A52|jevy
24A52|místo
24A6|face
24A6|kolo
24A7|pozice
24A71|letní slunovrat
24A71|slunovrat
24A71|letní slunovrat
24A710|Stuha
24A710|Letní slunovrat
24A72|podzimní rovnodennost
24A72|rovnodennost
24A720|Podzimní rovnodennost
24A720|Stuha
24A73|slunovrat
24A73|zimní slunovrat
24A730|Stuha
24A730|Zimní slunovrat
24A74|rovnodennost
24A74|jaro
24A74|jarní rovnodennost
24A740|Jarní rovnodennost
24A740|Stuha
24A8|světlo
24A8|sluneční světlo
24A81|paprsek světla
24B|Miluji tě
24B1|srpek měsíce
24B1|ubývající měsíc
24B11|face
24B2|úplněk
24B21|face
24B3|srpek měsíce
24B3|ubývající měsíc
24B31|face
24B4|zatmění
24B5|krajina
24B5|měsíční krajina
24B6|světlo
24B6|měsíční svit
24B61|měsíční paprsek
24B61|paprsek světla
24B62|kontemplace
24B62|nadávat
24B7|východ měsíce
24B8|měsíc zapadá
24C|planeta
24C1|sluneční soustava
24C1|systém
24C11|Ceres
24C12|Jupiter
24C13|březen
24C14|Rtuť
24C15|Neptun
24C16|Pluto
24C17|Saturn
24C18|Uran
24C19|Venuše
24C191|jitřenka
24C191|hvězda
24C192|večernice
24C192|hvězda
24C2|Děti planet
24C2|vliv
24C2|Miluji tě
24C2|oni
24C21|dítě
24C21|personifikace
24C211|Saturn
24C212|Jupiter
24C213|březen
24C214|Slunce
24C215|Venuše
24C216|Rtuť
24C217|Měsíc
24C22|personifikace
24C22|zvěrokruh
24C221|Nositel vody
24C221|Kozoroh
24C221|Saturn
24C222|Jupiter
24C222|Ryby
24C222|Lukostřelec
24C223|Beran
24C223|březen
24C223|Štír
24C224|Dnes
24C224|Slunce
24C225|Libry
24C225|Býk
24C225|Venuše
24C226|Blíženci
24C226|Rtuť
24C226|Panna
24C227|Rakovina
24C227|Měsíc
24C3|kov
24C3|symbol
24C31|zlato
24C31|oni
24C32|Miluji tě
24C32|stříbro
24C33|rtuť
24C34|měď
24C34|Venuše
24C35|železo
24C35|březen
24C36|Jupiter
24C36|novinky
24C37|olovo
24C37|Saturn
24C39(URANUS)|platina
24C39(URANUS)|Uran
24D|hvězda
24D0|alegorie
24D0|symbol
24D1|souhvězdí
24D1(ORION)|Orion
24D1(POLARIS)|sever
24D1(POLARIS)|Severní hvězda
24D1(POLARIS)|Polaris
24D1(POLARIS)|Žádná hvězda
24D1(SIRIUS)|Psí hvězda
24D2|galaxie
24D21|Mléčná dráha
24D211|Herkules
24D211|červen
24D211|Genesis
24D211|mléko
24D211|kojení
24D4|galaxie
24E|astronomie
24E|jevy
24E1|komet
24E10|Kometa
24E10|Stuha
24E2|meteor
24E3|meteority
24F|nebesa
24F|nebe
24F1|kontemplace
24F2|hvězda
24G|sféra
24G1|empyrean
25|země
25|svět
250|Stroj světa
250|Svět
250|Stuha
25A|atlas
25A|mapa
25A1|světová mapa
25A11|kruh
25A11|tvar
25A11|čtverec (tvar)
25A111|střed světa
25A111|pupek
25A1111|Jeruzalém
25A1112|Delphi
25A13|glóbus
25A131|ikosahedron
25A14|směr
25A14|čtyři
25A141|sever
25A1410|Stuha
25A1410|Sever
25A142|východ
25A1420|Orient
25A1420|Stuha
25A1421|orientace
25A143|jih
25A1430|Poledne
25A1430|Stuha
25A144|západ
25A1440|Západ
25A1440|Stuha
25A15|zeměpisná šířka
25A15|zeměpisná délka
25A1511|rovník
25A1512|Rakovina
25A1512|Kozoroh
25A1512|tropický
25A1521|poledník
25A2|kontinent
25A21|Evropa
25A22|Záležitost
25A23|Eurasie
25A24|Afrika
25A25|Amerika
25A251|Severní Amerika
25A252|Jižní Amerika
25A26|Austrálie
25A27|polární oblasti
25A271|severní pól
25A272|Jižní pól
25A3|země
25A3|region
25A4|město
25A5|graf
25A5|námořní mapa
25A9|kartografie
25A90|Korografie
25A90|Geografie
25A90|Hydrologie
25A90|Stuha
25A90|zeměpis
25A91|geodézie
25A91|geodézie
25A910|Výškový profil
25A910|Stuha
25A911|instrument
25A911|měření
25A911|geodetický přístroj
25A9111|Jakubův štáb
25A9111|personál
25B|kontinent
25B1|Evropa
25B1|Evropa
25B1|Stuha
25B2|Záležitost
25B2|Stuha
25B3|Afrika
25B3|Stuha
25B4|Amerika
25B4|Stuha
25B5|Austrálie
25B6|polární oblasti
25B61|severní pól
25B62|Jižní pól
25C|geologie
25C|jevy
25C1|sopečná činnost
25C11|erupce
25C11|sopka
25C111|hledat
25C112|popelový mrak
25C12|sopka
25C13|gejzír
25C13|teplo
25C13|jaro (zdroj)
25C13|pára
25C14|síra
25C14|výpary
25C15|poškození
25C15|zemětřesení
25C15|účinek
25C150|Stuha
25C150|Zemětřesení
25C16|Genesis
25C16|hora
25C17|Genesis
25C17|ostrov
25C19|vyhynulý
25C19|sopka
25C192|hledat
25C2|magnetismus
25C2|zemský magnetismus
25C21|kompas
25C211|kompasová karta
25D1|kámen
25D11|drahokam
25D11(ALMANDINE)|oxid hlinitý
25D11(AMETHYST)|ametyst
25D11(CHALCEDONY)|chalcedon
25D11(CHRYSOBERYL)|chryzoberyl
25D11(CHRYSOLITE)|chryzolit
25D11(CHRYSOPRASE)|chrysopras
25D11(DIAMOND)|diamant
25D11(EMERALD)|smaragd
25D11(JASPER)|jaspis
25D11(ROCK-CRYSTAL)|křišťál
25D11(RUBY)|rubín
25D11(SAPPHIRE)|safír
25D11(TOPAZ)|topaz
25D11(TURQUOISE)|tyrkysová
25D12|kámen
25D12(CHALK)|křída
25D12(FLINT)|křemen
25D12(MARBLE)|mramor
25D12(PUMICE)|pumice
25D13|kov
25D13|minerál
25D13(BITUMEN)|bitumen
25D13(COPPER)|měď
25D13(GOLD)|zlato
25D13(IRON)|železo
25D13(LEAD)|olovo
25D13(MAGNETITE)|magnety
25D13(MERCURY)|rtuť
25D13(MERCURY)|rtuť
25D13(PLATINUM)|platina
25D13(SILVER)|stříbro
25D13(SULPHUR)|síra
25D13(TIN)|novinky
25D14|zvíře
25D14|děti
25D141|antracitová
25D141|uhlí
25D142|hnědé uhlí
25D142|uhlí
25D142|hnědé uhlí
25D143|jantar
25D143|fosilie
25D143|pryskyřice
25D15|krystal
25D2|půda
25D211|humus
25D22|štěrk
25D23|písek
25D24|hlína
25D241|Hlína
25D242|spraš
25D25|rašelina
25D26|špína
25D26|bláto
25D29|prach
25D3|těžba
25D31|jít
25D311|povrchový důl
25D311|povrchová těžba
25D312|galerie
25D312|hřídel
25D32|miner
25D32|zaměstnání
25D321|prospektor
25D33|budova
25D34|lom
25D35|vysoká pec
25D35|pec
25D35|náš
25D35|tavení
25D4|tekutina
25D41|minerální voda
25D41|voda
25D411|léčení
25D411|lék
25D411|jaro (zdroj)
25D421|jaro (zdroj)
25D43|olej
25D431|vrtání
25D4311|derrick
25D4312|vrtná plošina
25D4312|platforma
25D432|čerpadlo
25D4321|erupce
25D4321|erupce
25D4321|jaro (zdroj)
25D433|přeprava
25D4331|potrubní systém
25D4331|potrubí
25D434|rafinérie
25D435|nádrž (kontejner)
25D44|asfalt
25D44|makadam
25D45|plyn
25D45|země
25D451|uhlí
25D4511|továrna
25D4511|plynárna
25D4512|plynový zásobník
25D4512|nádrž (kontejner)
25D5|zemětřesení
25D5|geologie
25D5|sesuv půdy
25D5|pohyb
25E|chronologie
25E|geologie
25E|historie
25E(BIG BANG)|Velký třesk
25E(CENOZOIC)|kainozoikum
25E(PALEOZOIC)|paleozoikum
25E(PALEOZOIC)|Primární
25E(TERTIARY)|Terciární
25F|zvíře
25F1|skupina
25F2|savec
25F21|skupina
25F22|opice
25F22(BABOON)|pavián
25F23|dravé zvíře
25F23(BADGER)|jezevec
25F23(BEAR)|medvěd
25F23(CHEETAH)|gepard
25F23(ERMINE)|hermelín
25F23(FERRET)|fretka
25F23(FOX)|liška
25F23(HYENA)|Hyena
25F23(ICHNEUMON)|ichneumon
25F23(LEOPARD)|leopard
25F23(LION)|lev
25F23(LYNX)|kuna
25F23(MANGOUSTE)|mangusta
25F23(MARTEN)|marten
25F23(OTTER)|vydra
25F23(PANTHER)|panter
25F23(POLAR BEAR)|lední medvěd
25F23(SABLE)|písek
25F23(TIGER)|tygr
25F23(WEASEL)|lasice
25F23(WOLF)|vlk
25F24|kopytník
25F24(...)|sob
25F24(ANTELOPE)|antilopa
25F24(BISON)|pratur
25F24(BISON)|My jsme buvoli.
25F24(BISON)|bonus
25F24(BOAR)|kanec
25F24(CAMEL)|velbloud
25F24(DEER)|jelen
25F24(DROMEDARY)|jednobradý velbloud
25F24(ELK)|každý
25F24(GAZELLE)|gazela
25F24(GIRAFFE)|žirafa
25F24(GNU)|kráva
25F24(HIPPOPOTAMUS)|hroch
25F24(IBEX)|kamzík
25F24(MUSK-DEER)|pižmoň
25F24(ONAGER)|onager
25F24(ORYX)|Oryx
25F24(QUAGGA)|quagga
25F24(RHINOCEROS)|nosorožec
25F24(STAG)|tyč
25F24(ZEBRA)|zebra
25F25|zvíře s kufrem
25F25(ELEPHANT)|slon
25F26|hlodavec
25F26(BEAVER)|bobr
25F26(HARE)|Vítejte zpět
25F26(MOUSE)|myš
25F26(MUSK-RAT)|pižmo
25F26(MUSK-RAT)|ondatra
25F26(RABBIT)|králík
25F26(RAT)|rada
25F26(SQUIRREL)|veverka
25F26(WOMBAT)|wombat
25F27|mořský savec
25F27(DOLPHIN)|delfín
25F27(SEAL)|tuleň (savec)
25F27(WHALE)|velryba
25F28|létající savec
25F28(BAT)|jeden
25F29(ARMADILLO)|pásovec
25F29(HEDGEHOG)|ježek
25F29(KANGAROO)|klokan
25F29(KANGAROO)|vačnatec
25F29(MOLE)|krtek (savec)
25F29(PORCUPINE)|dikobraz
25F29(SLOTH)|lenost
25F3|pták
25F31|skupina
25F32|zpěvný pták
25F32(BLACKBIRD)|kos
25F32(CROW)|vrána
25F32(FINCH)|finch
25F32(GOLDFINCH)|stehlík
25F32(JACKDAW)|Kavka
25F32(LARK)|skřivan
25F32(MAGPIE)|straka
25F32(NIGHTINGALE)|slavík
25F32(RAVEN)|úroveň
25F32(ROBIN)|červenka
25F32(SPARROW)|vrabec
25F32(STARLING)|špaček
25F32(SWALLOW)|vlaštovka
25F32(THRUSH)|drozd
25F32(TIT)|Název
25F32(WAGTAIL)|konipas
25F32(WARBLER)|pěnice
25F32(WHITE THROAT)|bílý krk
25F32(WREN)|střízlík
25F33|dravý pták
25F33(EAGLE)|orel
25F33(FALCON)|sokol
25F33(FISH-HAWK)|rybožravý dravec
25F33(FISH-HAWK)|Osprey
25F33(HAWK)|jestřáb
25F33(KITE)|luňák (pták)
25F33(SPARROW-HAWK)|krahujec
25F33(VULTURE)|sup
25F34|sova
25F35|okrasný pták
25F35(BIRD OF PARADISE)|rajka
25F35(BIRD OF PARADISE)|ráj
25F35(COCKATOO)|kakadu
25F35(HORNBILL)|zoborožec
25F35(PARROT)|papoušek
25F35(PEACOCK)|páv
25F36|potápěčský pták
25F36|vodní pták
25F36(COOT)|Malý chlupatý savec se špičatým čenichem.
25F36(DIPPER)|lžíce
25F36(DUCK)|kachna
25F36(GOOSE)|hus
25F36(PELICAN)|Pelikán
25F36(SWAMP-HEN)|bažantice
25F36(SWAN)|lilie
25F37|pobřežní pták
25F37|brodivý pták
25F37(BITTERN)|hořčit
25F37(CRANE)|jeřáb
25F37(GULL)|zlato
25F37(HERON)|hrdina
25F37(IBIS)|Ibis
25F37(LAPWING)|čejka
25F37(MARABOU)|pírko
25F37(PLOVER)|pluh
25F37(PURPLE WATER-HEN)|fialová vodní slepice
25F37(SNIPE)|bekas
25F37(STORK)|čáp
25F37(TROCHILUS)|Trochilus
25F37(WOODCOCK)|sluka
25F38|běžec pták
25F38|kráčející pták
25F38(...)|perlička
25F38(BUSTARD)|Velký, těžký pták s dlouhýma nohama, typicky hnědošedé barvy.
25F38(BUSTARD)|otis
25F38(OSTRICH)|pštros
25F38(PARTRIDGE)|koroptev
25F38(PHEASANT)|bažant
25F38(QUAIL)|křepelka
25F38(TURKEY)|krůta
25F39(...)|včelojed
25F39(CUCKOO)|kukačka
25F39(DODO)|dodo
25F39(DOVE)|kam
25F39(HOOPOE)|naděje
25F39(HUMMING-BIRD)|kolibřík
25F39(KINGFISHER)|ledňáček
25F39(TURTLE DOVE)|želva
25F39(WOODPECKER)|datel
25F39(WRYNECK)|krkavec
25F4|plaz
25F41|ještěrka
25F41(CHAMELEON)|chameleon
25F42|had
25F42(...)|užovka obecná
25F42(VIPER)|Viper
25F43|krokodýl
25F43(ALLIGATOR)|aligátor
25F44|želva
25F44|želva
25F5|obojživelník
25F51|nedostatek
25F51|ocas
25F51(FROG)|žába
25F51(TOAD)|pokoje
25F52|ocas
25F6|ryba
25F61|chrupavčitá ryba
25F61(DOGFISH)|psí žralok
25F61(RAY)|paprsek (ryba)
25F61(SAWFISH)|piloun
25F61(SHARK)|žralok
25F62|kostnaté ryby
25F62(BARBEL)|činka
25F62(BUTTERFISH)|máslovka
25F62(CARP)|kapr
25F62(HERRING)|sleď
25F62(HIPPOCAMPUS)|hipokampus
25F62(LUNGFISH)|plíce
25F62(MACKEREL)|makrela
25F62(MULLET)|parmice
25F62(PIKE)|štika (ryba)
25F62(PILOT-FISH)|pilotní ryba
25F62(RED HERRING)|odvedení pozornosti
25F62(ROACH)|šváb
25F62(SALMON)|losos
25F62(SARDINE)|sardinky
25F62(SCARUS)|papouščí ryba
25F62(SCARUS)|scarus
25F62(SEA-BREAM)|mořský cejn
25F62(SEA-DEVIL)|mořský ďábel
25F62(SEA-PERCH)|mořský okoun
25F62(SEA-WOLF)|mořský vlk
25F62(SHEAT-FISH)|ryba sheat
25F62(STURGEON)|jeseter
25F62(SUN-FISH)|sluneční ryba
25F62(SWORD-FISH)|mečoun
25F62(TUNNY)|tuňák
25F62(WEEVER)|weever
25F63|před
25F63(LAMPREY)|mihule
25F63(SEA-EEL)|mořský úhoř
25F64|hluboké moře
25F7|nižší živočich
25F71|členovec
25F711|hmyz
25F711(ANT)|na
25F711(ANT)|vážka
25F711(ANT)|blecha
25F711(ANT)|veš
25F711(BEE)|včela
25F711(BEE)|vážka
25F711(BEE)|blecha
25F711(BEE)|veš
25F711(BEETLE)|brouk
25F711(BEETLE)|vážka
25F711(BEETLE)|blecha
25F711(BEETLE)|veš
